schema,pos rule,pos keywords,A （雇主）pos legal advice,B （雇员）pos legal advice,neg rule,neg keywords,A（雇主） neg legal advice,B （雇员）neg legal advice,risk level,legal basis,risk statement
标题,正则匹配,"劳务合同|劳务协议|劳务雇佣合同
",劳务合同是生活中比较常见的一种合同类型，但不同于一般的劳动合同，雇主在签订这类合同时要注意与雇员明确特殊法律情况的处理准则。并且要清楚劳动关系和劳务关系的区别，以防被认定为劳动关系后承担赔偿责任。,雇员应分清劳务关系与劳动关系，在签订劳务合同时应与雇主明确劳务关系，以确保出现人身损害情形时可以索要赔偿并获得救济。,匹配,劳动合同,合同标题能够反映合同性质和法律关系，若雇主与雇员之间构成了事实上的劳动关系，则应当签订书面劳动合同，雇主也要受制于《劳动法》、《劳动合同法》的相关规定。,,高,"《中华人民共和国劳动合同法》第十条
《劳动和社会保障部关于确立劳动关系有关事项的通知》第一点",若用工单位通过订立所谓的劳务合同、雇佣合同等方式，意图规避劳动关系的建立，这样既不能推卸用工责任，也无法规避用工风险，反而还可能因未签订有效的书面劳动合同，导致本单位承担未签订书面合同而向劳动者每月支付二倍的工资的法律责任。
甲方,匹配,雇主｜用工单位,以公司名义签订劳务合同的，在合同主体、签名盖章处应当写明公司名称；法定代表人代表公司签订合同的，签字处应列明“法定代表人、授权代表”等字样。个人签订劳务合同的，合同主体应列明个人姓名、身份证号。,雇员在签订劳务合同时要注意提前了解雇主的基本信息，以避免个人权益得不到保障。,未识别,,合同主体属于必备条款，建议添加,,高,,一般主体没有特殊要求，但可能会存在非法用工的情形。
甲方法定代表人/授权代表,识别,,若雇主以公司名义签订劳务合同的，应当写明公司法定代表人或授权代表，同时要确保已经予以了真实授权。,在签订合同时，雇员应对雇主的身份信息以及是否获得真实授权予以查明，以避免不必要的纠纷。,未识别,,若主体为公司，则建议添加,,中,,
甲方联系方式,比对,电话号码、微信号或邮箱,,,未识别,,合同基本条款缺少，建议添加,,中,,
甲方地址,识别,外部接口,,,未识别,,合同基本条款缺少，建议添加,,中,,
乙方,匹配,雇员｜劳动者,雇主在与雇员签订劳务合同时有权了解雇员的基本信息，同时也应当对雇员的基本信息予以保密。,以公司名义签订劳务合同的，在合同主体、签名盖章处应当写明公司名称；法定代表人代表公司签订合同的，签字处应列明“法定代表人、授权代表”等字样。个人签订劳务合同的，合同主体应列明个人姓名、身份证号。,未识别,,合同主体属于必备条款，建议添加,,高,,
身份证号,比对,18位,,,未识别,,合同基本条款缺少，建议添加,,中,,
乙方联系方式,识别,电话号码、微信号或邮箱,,,未识别,,合同基本条款缺少，建议添加,,中,,
乙方地址,识别,外部接口,,,未识别,,合同基本条款缺少，建议添加,,中,,
鉴于条款,识别,,订立劳务合同，应当遵循合法、自愿、公平、诚信的基本原则。,,未匹配，则不做审核,,,,低,《中华人民共和国民法典》第五条、第六条、第七条、第八条,
合同期限,识别,,劳务合同因为涉及某些临时性工作因而期限一般比较短，主要依靠雇主与雇员自由协商确定。,,未识别,,合同期限属于必备条款，建议在合同中明确约定。,,中,,
试用期,识别,,双方在具备相应的民事行为能力，意思表示真实，并且不违反法律、行政法规的强制性规定下可以自由协商确定是否约定试用期。,,未识别，不作审核,,,,中,《中华人民共和国民法典》第一百四十三条,
工作内容,识别,,签订劳务合同时应当明确雇员的工作岗位和工作内容，以明确权利义务关系，确保合同的履行。,明确的工作内容能够帮助雇员了解工作职责以及工资标准。,未识别,,工作内容可以进一步明确雇员的工作性质，建议添加。,工作内容反映了工作性质，应当予以明确约定，否则在发生纠纷时会因为工种太过广泛而面临败诉的风险，建议添加。,高,,
工作时间,正则匹配,工作时间|.*时到.*时|.*点到.*点,签订劳务合同时应当明确具体的、科学的工作时间，避免雇主变相加班剥削雇员劳动力引发纠纷。,明确具体的工作时间能够确保合同的履行，保障雇员合法权益。,未匹配,,工作时间属于必备条款，建议添加。,没有明确具体的工作时间，雇员可能会受到雇主默认加班的压迫，从而产生矛盾纠纷，建议添加。,高,,
劳动报酬,正则匹配,工资｜费用,劳务合同中工资的标准由雇主与雇员协商确定，若没有约定或约定不明，可以协议补充，不能达成补充协议的，按照合同相关条款或者交易习惯确定。,,未识别,,工资属于劳务合同中的必备条款应当予以明确，建议添加,,高,《中华人民共和国民法典》第五百一十条、第五百一十一条,
试用期工资,识别,,试用期工资标准主要由双方协商确定，但一般不得低于当地的最低工资标准。,,未识别,,合同约定试用期的，应当写明试用期工资标准。,,高,,
支付方式,识别,,支付方式一般包含按天结、按月结、按季结，一次性结清、分期结清等，劳务合同中应当对具体的支付方式予以明确约定，以防工资结算时产生不必要的纠纷。,,未识别,,支付方式条款缺少，建议添加,,高,,
加班,识别,,雇主与雇员可以约定加班条款，雇主在法律规定范围内约定具体计算方式的，依其约定，没有约定或约定不明的，按照国家有关规定。,,未识别，不作审核,,,,中,,
工资结算,识别,,劳务合同中最好明确工资结算的时间、方式、地点，以避免不必要的纠纷。,,未识别，不作审核,,,,中,,
保险,识别,,劳务合同中关于保险的约定主要由雇主与雇员之间自由协商确定。,,未识别，则不做审核,,,,低,,
权利和义务,识别,,雇主应当及时按照合同约定支付劳务报酬，并为雇员提供必要的保护措施。,雇员应当按照雇主要求亲自提供劳务，并有权按照合同约定享有劳务报酬。,未识别,,劳务合同中的权利和义务主要尊重当事人之间的自由协商，一般没有法律上的强行规定，建议添加，以避免因权利义务不明导致的合同履行瑕疵。,,,,
保密条款,识别,,对于劳务合同涉及商业秘密或与知识产权相关的保密事项的，雇主可与雇员约定保密条款。,,未识别,,对于雇员可能涉及的保密内容，在没有约定保密条款的情形下，雇主可能会面临秘密泄露的风险，建议添加。,,中,,
合同解除,识别,,雇主与雇员可以协商解除劳务合同，雇主可以单方解除，雇员也可以在满足一定条件下提前通知解除、单方解除劳务合同。,,未识别,,合同解除属于劳务合同的必备条款，建议添加,,高,《中华人民共和国劳动合同法》第三十六条、第三十七条、第三十八条、第三十九条、第四十条、第四十一条,
违约责任,识别,,双方可以约定违反合同约定承担一定违约金的违约责任，具体的数额及认定以造成的损失为准。,,未识别,,违约责任属于必备条款，建议添加,,高,《中华人民共和国民法典》第五百八十三条、第五百八十五条,
