,审查条款名称,问题说明（未识别时),参考条款,风险等级（高、中、低）,识别关键词（正则),备注
0,合同名称明确性,写明合同名称有利于明确合同调整的法律关系。,劳动合同,低,劳动合同,
1,签订日期明确性,当双方约定以盖章或授权代表签字后生效时，应写明盖章或签字的时间。,签订日期：____年____月____日,高,日期.*年.*月,
2,签订地明确性,“合同签订地”是法定的争议解决管辖方式，另外也是介绍合同签订背景的一个重要信息。,合同签订地：____省____市____区,中,签订地,
3,当事人基本情况明确性,合同中应写明双方当事人的姓名、身份信息、住址等基本情况。当事人为个人的则写明姓名、身份证号或者其他有效身份证件号码、住址、联系方式；当事人为单位的则写明单位全称、法定代表人或者主要负责人、地址、联系方式。,甲方（用人单位）：___________，法定代表人（负责人）：___________，住所地：___________，联系电话：___________； 乙方（劳动者）：___________ ，居民身份证号码：___________，住址（通信地址）：___________，联系电话：__________。,高,姓名|住址|地址|身份证号|法定代表人,
4,鉴于条款,鉴于条款是合同总结概括性条款，可能包含所依据的法律法规、双方自愿签订合同的意思表示，双方当事人的基本信息等内容。,根据《中华人民共和国劳动法》、《中华人民共和国劳动合同法》以及有关法律、法规、规章和政策的规定，经双方平等协商，用人单位同意聘请劳动者为合同制职工，并订立本合同。双方在签订本合同前，已认真阅读本合同，本合同一经签订，即具有法律效力，双方必须严格履行。,低,根据.*规定,
5,劳动合同期限,合同期限是《劳动合同法》规定的劳动合同中应当具备的条款，劳动合同期限是指合同的有效时间，它一般始于合同的生效之日，终于合同的终止之时。劳动合同期限分为（1）固定期限，如：1年、3年等；（2）无固定期限，不约定具体时间，只约定终止合同的条件，若无特殊情况，无固定期限的合同应存续到劳动者达到退休年龄；劳动者在同一用人单位连续工作满十年以上，当事人双方同意续延劳动合同的，如果劳动者提出订立无固定期限的劳动合同，应当订立无固定期限的劳动合同。（3）以完成一定的工作为期限。用人单位与劳动者在协商选择合同期限时，应根据双方的实际情况和需要来约定。其中最常见的是固定期限的劳动合同，时间一般在一年以上十年以内。,"本合同期限采取下列第（   ）种形式：

1、固定期限。合同期从____年__月__日至____年__月__日。其中试用期为____个月，从__年___月__日至__年___月___日止。

2、无固定期限。合同期从____年__月__日至法定解除（终止）合同的条件出现时止。其中试用期为____个月，从____年__月__日至____年__月__日止。

3、以完成 _____________（生产工作）为期限。任务完成以_____________为标志。该生产工作完成后，双方终止劳动合同。",高,合同期限|固定期限|以完成|.*年.*月.*日至.*年.*月.*日|年|月,
6,试用期条款,劳动合同期限不满三个月，不设试用期。劳动合同期限三个月以上不满一年的，试用期不得超过一个月；劳动合同期限一年以上不满三年的，试用期不得超过二个月；三年以上固定期限和无固定期限的劳动合同，试用期不得超过六个月。同一用人单位与同一劳动者只能约定一次试用期。,其中试用期为____个月，从____年__月__日至____年__月__日止。,中,试用期,
7,试用期录用条件,录用条件是企业在试用期间考察劳动者能够能够通过试用的标准。《劳动法》对“录用条件”没有明确约定，因此如何对其进行界定即可以由企业自主决定。,"若试用期劳动者存在下列行为，视为不符合录用条件：   
（1）不符合招聘时公示的招聘条件的；
（2）不能胜任公司安排的工作和公司规定的岗位职责的； 
（3）向公司提供的材料和信息内容有虚假或有隐瞒的； 
（4）与原用人单位存在竞业限制约定且在限制范围之内的；
（5）_____________________________ ；                                                                                                                                                                                                                                                                                                                         ",中,试用期.*条件,
8,工作时间条款,劳动合同应该明确每天的工作时间（即劳动者一天工作多长时间，如8小时、白班、晚班等问题）以及每周的工作总时间。,用人单位依法制定员工工时、休息和休假制度;乙方须遵守甲方依法制定的工时、休息和休假制度，并按照规定上下班。,中,工作时间,
9,工时制度,目前用人单位可采取三种工时制度，标准工时、综合工时和不定时工时。用人单位实行综合工时和不定时工时制度的，须向当地劳动行政部门申请并获得批准，未经批准自行约定实行特殊工时是无效的。,"用人单位对劳动者所在岗位实行以下第_____种工时制度。（实行第2、3种工时制须依法经劳动行政部门批准。）

1、标准工时工作制度；

2、综合计算工时工作制度；

3、不定时工时工作制度。",低,工时制度|标准工时|标准工作制,
