,地区,最低工资标准,实行日期
0,四川省,1550元/月、1650元/月、1780元/月,2018.07.01
1,云南省,1350元/月、1550元/月、1670元/月,2018.05.01
2,西藏自治区,1650元/月,2018.01.01
3,贵州省,1470元/月、1570元/月、1680元/月,2017.07.01
4,重庆市,1700元/月、1800元/月,2019.01.01
5,新疆维吾尔自治区,1460元/月、1540元/月、1620元/月、1820元/月,2018.01.01
6,陕西省,1600元/月、1700元/月、1800元/月,2019.05.01
7,青海省,1500元/月,2017.05.01
8,宁夏回族自治区,1480元/月、1560元/月、1660元/月,2017.10.01
9,甘肃省,1470元/月、1520元/月、1570元/月、1620元/月,2017.06.01
10,山东省,1550元/月、1730元/月、1910元/月,2018.06.01
11,江苏省,1620元/月、1830元/月、2020元/月,2018.08.01
12,上海市,2480元/月,2019.04.01
13,浙江省,1500元/月、1660元/月、1800元/月、2010元/月,2017.12.01
14,江西省,1470元/月、1580元/月、1680元/月,2018.01.01
15,福建省,1280元/月、1380元/月、1500元/月、1650元/月、1700元/月,2017.07.01
16,安徽省,1180元/月、1280元/月、1380元/月、1550元/月,2018.11.01
17,广西壮族自治区,1300元/月、1450元/月、1680元/月,2018.02.01
18,广东省,1410元/月、1550元/月、1720元/月、2100元/月（广州）、2200元/月（深圳）,2018.07.01
19,海南省,1520元/月、1570元/月、1670元/月,2018.12.01
20,天津市,2050元/月,2017.07.01
21,北京市,2200元/月,2019.07.01
22,山西省,1400元/月、1500元/月、1600元/月、1700元/月,2017.10.01
23,内蒙古自治区,1460元/月、1560元/月、1660元/月、1760元/月,2017.08.01
24,河北省,1380元/月、1480元/月、1590元/月、1650元/月,2016.07.01
25,湖南省,1130元/月、1280元/月、1430元/月、1580元/月,2017.07.01
26,河南省,1500元/月、1700元/月、1900元/月,2018.10.01
27,湖北省,1250元/月、1380元/月、1500元/月、1750元/月,2017.11.01
28,黑龙江省,1270元/月、1450元/月、1680元/月,2017.10.01
29,吉林省,1480元/月、1580元/月、1680元/月、1780元/月,2017.10.01
30,辽宁省,1120元/月、1300元/月、1420元/月、1620元/月,2018.01.01
