schema,pos rule,pos keywords,pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis
标题,匹配,借据|收据|借条,法院审查借贷关系需依据借条、收据、收款确认书等多项证据予以确认。借款应出具借条，明确借款关系。,匹配,欠条|收条,欠条形成的原因有很多，既可以是借贷，也可以是买卖、承揽、劳资纠纷等其他法律关系，因此仅凭欠条尚不足以证明争讼钱款的性质。换句话说，借款肯定是欠款，但欠款不一定是借款。当欠条持有人凭欠条向法院起诉后，欠条持有人必须向法官陈述欠条形成的事实，如果对方对此事实进行否认、抗辩，欠条持有人必须进一步举证证明存在欠条形成事实。|收条是指债权人在收到钱款时向债务人出具证明还款事实的凭证，并不对债务人产生“还款（付息）赎条”的义务。因此收条反映的是给付关系，不反映债权债务关系，相反是用来消灭债权的。以收条作为证据向法院起诉，一般不会得到法院支持。,中,"《中华人民共和国民法典》第六百六十七条 借款合同是借款人向贷款人借款,到期返还借款并支付利息的合同。"
借款人,识别,,"1、书写借条时，应载明出借人和借款人的姓名、身份证号码、住址等信息，目的是确定借款关系中的债权人、债务人身份信息，可要求出借人在姓名、金额、日期等关键内容上捺印，以防偷换原件。
2、若借款人为替他人借款而签字捺印的，需承担还款义务",未识别,,借条中可以不写明确的出借人，但需有明确的借款人,高,《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第一条　本规定所称的民间借贷，是指自然人、法人和非法人组织之间进行资金融通的行为。
借款用途,识别,"用于|由于
因.*需要",借款人借款用于违法犯罪活动时，借贷合同无效,匹配,赌博|吸毒|枪,"在《借条》或《借款合同》中如不写明借款用途虽并不会影响双方债权债务关系的成立，但在《借条》或《借款合同中》约定借款用途是为了：1、监督借款人使用借款情况，发现借款人擅自改变借款用途的，可以停止发放借款、提前收回借款或者解除合同，这对保证借款资金安全具有重要的意义。
2、借款人如果虚构借款用途或者隐瞒借款用途而骗取借款的，有可能涉嫌诈骗犯罪，需要承担刑事责任。也就是说，出借人最好与借款人约定借款用途，以保证借款资金安全。同时在必要时候，可以追究恶意借款人刑事责任。
因此，建议约定明确的借款用途",高,"《中华人民共和国民法典》第六百七十三条 借款人未按照约定的借款用途使用借款的,贷款人可以停止发放借款、提前收回借款或者解除合同。
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十三条　具有下列情形之一的，人民法院应当认定民间借贷合同无效：
　　（一）套取金融机构贷款转贷的；
　　（二）以向其他营利法人借贷、向本单位职工集资，或者以向公众非法吸收存款等方式取得的资金转贷的；
　　（三）未依法取得放贷资格的出借人，以营利为目的向社会不特定对象提供借款的；
　　（四）出借人事先知道或者应当知道借款人借款用于违法犯罪活动仍然提供借款的；
　　（五）违反法律、行政法规强制性规定的；
　　（六）违背公序良俗的。"
借款方式,识别,"现金|转账|支付宝转账|微信转账|银行汇款银行转账
转入.*（账户|银行账户）","借款合同具有下列情形之一，视为合同成立：
　　（一）以现金支付的，自借款人收到借款时；
　　（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；
　　（三）以票据交付的，自借款人依法取得票据权利时；
　　（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；
　　（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。
以现金支付的，注意保留现金支付凭证，或让借款人出具《收条》。
银行汇款的，需在借条中注明借款人的银行账号，采用银行汇款或微信、支付宝转账的，需备注 因xx，给xxx借款。",未识别,,由于借条属于实践性合同，即款项实际交付才生效，因此为避免发生纠纷时的举证困难，建议在借款合同中约定借款的交付方式，以现金支付的，注意保留现金支付凭证，或让借款人出具《收条》。银行汇款的，需在借条中注明借款人的银行账号，采用银行汇款或微信、支付宝转账的，需备注 因xx，给xxx借款。,中,"《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第九条
　自然人之间的借款合同具有下列情形之一的，可以视为合同成立：
　　（一）以现金支付的，自借款人收到借款时；
　　（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；
　　（三）以票据交付的，自借款人依法取得票据权利时；
　　（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；
　　（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。"
借款金额,比对,识别大小写，以及大小写是否一致,"借款本金同时以汉字大写和小写表达，以防被篡改。
中文大写金额数字到“元”为止的，在“元”之后应写“整”（或“正”），“角”“分”之后不写“整”（或“正”）。中文大写金额数字书写中将“元”写成“圆”也是可以的。
如借条上的借款金额出现大小写不一致，根据日常生活经验和逻辑推理，一般以大写金额认定，除非有证据证明是所借钱款是小写金额。",,,,高,
借款期限,识别,"（自|从）.*起（至|到）.*止
（借款期限|期限）.*（年|月）
分.*（还清|偿还）",没有约定还款期限的借条，出借人可以随时要求借款人还款。,未识别,,借款期限是《借条》的必备条款，应写明借款期限，有利于利息的计算和债权的安全实现，也有利于避免借贷双方发生不必要的纠纷。,高,《中华人民共和国民法典》第六百七十四条 借款人应当按照约定的期限支付利息。对支付利息的期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定，借款期间不满一年的，应当在返还借款时一并支付;借款期间一年以上的，应当在每届满一年时支付，剩余期间不满一年的，应当在返还借款时一并支付。
借款利率,比对,"现行民间借贷利率不得超过lpr的4倍，即14.8%
月利率=年利率/12
日利率=年利率/360、月利率/30
一分=1%，一厘=0.1%，若待审核文本中已写明利率，需计算年利率是否超过14.8%
利息|利率|年利率|月利息","利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。
　　前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。
      人民法院在民间借贷纠纷案件审理过程中，对于各种以“利息”“违约金”“服务费”“中介费”“保证金”“延期费”等突破或变相突破法定利率红线的，依法不予支持。",,,,高,"《中华人民共和国民法典》第六百八十条第一款规定，禁止高利放贷，借款的利率不得违反国家有关规定。借款合同对支付利息没有约定的,视为没有利息。
借款合同对支付利息约定不明确,当事人不能达成补充协议的,按照当地或者当事人的交易方式、交易习惯、市场利率等因素确定利息;自然人之间借款的,视为没有利息。
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十五条 出借人请求借款人按照合同约定利率支付利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。"
还款日期,识别,"还款日期|还款日
（于|到）.*（还清|偿还|归还）
（到|至）.*前",没有约定还款期限的借条，出借人可以随时要求借款人还款。,未识别,,还款日期是《借条》的必备条款，应写明还款日期，有利于利息的计算和债权的安全实现，也有利于避免借贷双方发生不必要的纠纷。,高,"《中华人民共和国民法典》第六百七十五条 借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确,依据本法第五百一十条的规定仍不能确定的,借款人可以随时返还;贷款人可以催告借款人在合理期限内返还。"
逾期利率,其他,"识别约定逾期利率|未识别到逾期利息
,但识别到借款利息|未识别到逾期利息
且未识别到借款利息",借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。|约定了借期内利率但是未约定逾期利率，出借人主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的，人民法院应予支持。|既未约定借期内利率，也未约定逾期利率，出借人主张借款人自逾期还款之日起承担逾期还款违约责任的，人民法院应予支持；。,未识别,,,高,"《民法典》第676条 借款人未按照约定的期限返还借款的，应当按照约定或者国家有关规定支付逾期利息。
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十八条　借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。
　　未约定逾期利率或者约定不明的，人民法院可以区分不同情况处理：
　　（一）既未约定借期内利率，也未约定逾期利率，出借人主张借款人自逾期还款之日起参照当时一年期贷款市场报价利率标准计算的利息承担逾期还款违约责任的，人民法院应予支持；
　　（二）约定了借期内利率但是未约定逾期利率，出借人主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的，人民法院应予支持。"
预先扣除利息,识别,,借据、收据、欠条等债权凭证载明的借款金额，一般认定为本金。预先在本金中扣除利息的，人民法院应当将实际出借的金额认定为本金。,未识别,,预先扣除利息即砍头息为法律明确禁止，在您的借条中未识别到预先扣除利息有关字样，合法合规。,高,《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十六条　借据、收据、欠条等债权凭证载明的借款金额，一般认定为本金。预先在本金中扣除利息的，人民法院应当将实际出借的金额认定为本金。
