schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,,,应注意是单方保密协议还是双方保密协议，如果我方也要披露保密信息，就要力争双方保密。,未识别,,建议写明“保密协议”合同类型字样，以避免合同类型产生争议。,中,"【《中华人民共和国反不正当竞争》第九条】经营者不得实施下列侵犯商业秘密的行为：
（一）以盗窃、贿赂、欺诈、胁迫、电子侵入或者其他不正当手段获取权利人的商业秘密；
（二）披露、使用或者允许他人使用以前项手段获取的权利人的商业秘密；
（三）违反保密义务或者违反权利人有关保守商业秘密的要求，披露、使用或者允许他人使用其所掌握的商业秘密；
（四）教唆、引诱、帮助他人违反保密义务或者违反权利人有关保守商业秘密的要求，获取、披露、使用或者允许他人使用权利人的商业秘密。
经营者以外的其他自然人、法人和非法人组织实施前款所列违法行为的，视为侵犯商业秘密。
第三人明知或者应知商业秘密权利人的员工、前员工或者其他单位、个人实施本条第一款所列违法行为，仍获取、披露、使用或者允许他人使用该商业秘密的，视为侵犯商业秘密。
本法所称的商业秘密，是指不为公众所知悉、具有商业价值并经权利人采取相应保密措施的技术信息、经营信息等商业信息。|【《中华人民共和国劳动合同法》第五百零一条】当事人在订立合同过程中知悉的商业秘密或者其他应当保密的信息，无论合同是否成立，不得泄露或者不正当地使用；泄露、不正当地使用该商业秘密或者信息，造成对方损失的，应当承担赔偿责任。【《中华人民共和国劳动合同法》第二十三条】 用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。",商业秘密，是指不为公众所知悉，具有商业价值，并经权利人采取相应保密措施的技术信息、经营信息等商业信息。,,合同标题条款审核,合同标题审核
甲方,公司名称校验,,,,未识别,,甲方姓名或名称缺失，建议补充完整。,中,,甲方姓名或名称应当准确无误，同时要确保与签章内容相一致。,甲方名称校验错误，建议核实。,合同主体名称审核,合同主体审核
甲方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,甲方身份证号/统一社会信用代码缺失，建议补充完整。,中,,,甲方身份证号校验错误，建议核实。|甲方统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
甲方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
乙方,公司名称校验,,,,未识别,,乙方姓名或名称缺失，建议补充完整。,中,,乙方姓名或名称应当准确无误，同时要确保与签章内容相一致。,乙方名称校验错误，建议核实。,合同主体名称审核,合同主体审核
乙方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
乙方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,乙方身份证号/统一社会信用代码缺失，建议补充完整。,中,,,乙方身份证号校验错误，建议核实。|乙方统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
乙方地址,识别,,,,未识别,,乙方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
鉴于条款,识别,,,,未识别，不作审核,,,低,,,,合同背景条款审核,合同背景审核
