schema,shangyebaomi,laodongbaomi,caigou,fangwuzulin,jiekuan,jietiao,laodong,laowu,maimai,yibanzulin
标题,标题,标题,标题,标题,标题,标题,标题,标题,标题,标题
甲方,甲方（披露方）,甲方（披露方）,甲方（供方）,甲方（出租人）,甲方（出借方),甲方（出借人）,甲方（用人单位）,甲方（雇主）,甲方（卖方）,甲方（出租人）
甲方身份证号/统一社会信用代码,披露方身份证号/统一社会信用代码,披露方身份证号/统一社会信用代码,供方身份证号/统一社会信用代码,出租人身份证号码/统一社会信用代码,出借方身份证号/统一社会信用代码,出借人身份证号码,用人单位统一社会信用代码,雇主身份证号码/统一社会信用代码,卖方身份证号/统一社会信用代码,出租人身份证号/统一社会信用代码
甲方地址,披露方地址,披露方地址,供方地址,出租人地址,出借方地址,出借人住址,用人单位地址,雇主地址,卖方地址,出租人地址
甲方联系方式,披露方联系方式,披露方联系方式,供方联系方式,出租人联系方式,出借方联系方式,无,用人单位联系方式,雇主联系方式,卖方联系方式,出租人联系方式
甲方法定代表人/授权代表人,披露方法定代表人/授权代表,披露方法定代表人/授权代表,供方法定代表人/授权代表,无,无,无,法定代表人/授权代表,雇主法定代表人/授权代表,卖方法定代表人/授权代表,出租人法定代表人/授权代表
乙方,乙方（接受方）,乙方（接受方）,乙方（需方）,乙方（承租人）,乙方（借款方),乙方（借款人）,乙方（劳动者）,乙方（雇员）,乙方（买方）,乙方（承租人）
乙方身份证号/统一社会信用代码,接受方身份证号/统一社会信用代码,接受方身份证号,需方身份证号/统一社会信用代码,承租人身份证号码/统一社会信用代码,借款方身份证号/统一社会信用代码,借款人身份证号码,劳动者身份证号,雇员身份证号,买方身份证号/统一社会信用代码,承租人身份证号/统一社会信用代码
乙方地址,接受方地址,接受方地址,需方地址,承租人地址,借款方地址,借款人住址,劳动者地址,雇员地址,买方地址,承租人地址
乙方联系方式,接受方联系方式,接受方联系方式,需方联系方式,承租人联系方式,借款方联系方式,无,劳动者联系方式,雇员联系方式,买方联系方式,承租人联系方式
乙方法定代表人/授权代表,接受方法定代表人/授权代表,无,需方法定代表人/授权代表,无,无,无,无,无,买方法定代表人/授权代表,承租人法定代表人/授权代表
开户名称,无,无,供方开户名称,无,无,无,无,无,卖方开户名称,无
账号,无,无,供方账号,无,无,无,无,无,卖方账号,无
开户行,无,无,供方开户行,无,无,无,无,无,卖方开户行,无
鉴于条款,鉴于条款,鉴于条款,鉴于条款,鉴于条款,鉴于条款,无,鉴于条款,鉴于条款,鉴于条款,鉴于条款
合同生效,合同生效,合同生效,合同生效,生效条款,合同生效,无,生效条款,合同生效,合同生效,合同生效
附件,附件,附件,附件,合同附件,合同附件,无,附件,附件,附件,合同附件
签字和盖章,签字或盖章,签字或盖章,签字或盖章,签字或盖章,签字或盖章,签字或盖章,签字或盖章,签字或盖章,签字或盖章,无
签订日期,签订日期,签订日期,签订日期,签订日期,签订日期,签订日期,签订日期,签订日期,签订日期,签订日期
签订地点,签订地点,签订地点,签订地点,无,无,无,无,无,签订地点,签订地点
金额,无,无,产品总价,租金,借款金额,借款金额,工资,劳务报酬,产品总价,租金
通知与送达,通知与送达,通知与送达,通知与送达,通知与送达,通知与送达,无,无,无,通知与送达,通知与送达
争议解决,争议解决,争议解决,争议解决,争议解决,争议解决,无,争议解决,劳务合同争议解决,争议解决,争议解决
未尽事宜,未尽事宜,未尽事宜,无,未尽事项,未尽事宜,无,未尽事宜条款,未尽事宜,无,未尽事宜
甲方解除合同,披露方合同解除,披露方合同解除,供方合同解除,出租人解除,无,无,用人单位解除,雇主合同解除,卖方合同解除,出租人解除
乙方解除合同,接受方合同解除,接受方合同解除,需方合同解除,承租人解除,无,无,劳动者解除,雇员合同解除,买方合同解除,承租人解除
