schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,,,,未识别,,合同标题条款缺失或约定不明确，建议补充完整标题“房屋租赁合同”合同类型字样。,低,"【《中华人民共和国民法典》第七百零三条】 租赁合同是出租人将租赁物交付承租人使用、收益,承租人支付租金的合同。 |【《城市房地产管理法》第五十四条】 房屋租赁，出租人和承租人应当签订书面租赁合同，约定租赁期限、租赁用途、租赁价格、修缮责任等条款，以及双方的其他权利和义务，并向房产管理部门登记备案。",,,合同标题条款审核,合同标题审核
甲方,识别,,,,未识别,,甲方姓名或名称缺失，建议补充完整。,中,,,,合同主体名称审核,合同主体审核
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,甲方联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
乙方,识别,,,,未识别,,乙方姓名或名称缺失，建议补充完整。,中,,,,合同主体名称审核,合同主体审核
乙方地址,识别,,,,未识别,,乙方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺失，建议补充完整。,中,,,乙方联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
鉴于条款,识别,,,,未识别，不作审核,,,低,,,,合同背景条款审核,合同背景审核
房屋基本信息,识别,,,,未识别,,"房屋基本信息条款缺失或约定不明确，建议补充完整。
租赁房屋基本情况中需清晰罗列 ，并附《房屋交割清单》以反映房屋装修及设施状况，同时可将其作为交房和收房时的验收依据。",高,,租赁合同应明确约定租赁房屋的的详细地址，建筑面积等基本信息。,,标的物明确性审核,合同标的物审核
房屋权属,识别,,,,未识别,,房屋权属条款缺失或约定不明确，建议补充完整。建议在房屋租赁合同中写明房屋的所有人或合法使用人，并提供房屋所有权证书或其他能够证明权利人可对外出租该房屋的合法性文件。,中,【《中华人民共和国民法典》第七百二十三条】 因第三人主张权利，致使承租人不能对租赁物使用、收益的，承租人可以请求减少租金或者不支付租金。                   第七百二十五条 租赁物在承租人按照租赁合同占有期限内发生所有权变动的，不影响租赁合同的效力。,出租人有权出租房屋，构成房屋租赁合同合同合法性、有效性和可履行的基础。,,标的物权属审核,合同标的物审核
租赁用途,识别,,,,未识别,,"租赁用途条款缺失或约定不明确，建议补充完整。
合同上约定用途应与房产证上所载房屋用途一致。租赁房屋用途一般分为自住、商用、办公、仓库等，且由租赁房屋的土地使用权性质决定。约定的用途应与房产证上所载房屋用途一致。",中,"【《中华人民共和国民法典》第七百零八条】 出租人应当按照约定将租赁物交付承租人,并在租赁期限内保持租赁物符合约定的用途。",租赁合同应明确租赁房屋的用途，承租人未经出租人书面同意不能改变用途，改变用途不应违反房屋的本来可用范围、房屋本来的使用性质。,,租赁用途审核,合同标的物审核
租赁期限,房屋租赁期限审核,,,,未识别,,租赁期限条款缺失或约定不明确，建议补充完整。租赁合同期限需明确，有装修免租期的应标明装修免租期时长。租赁期限不得超过二十年，超过二十年的部分无效。,高,"《中华人民共和国民法典》第七百零五条 租赁期限不得超过二十年。超过二十年的，超过部分无效。
租赁期限届满，当事人可以续订租赁合同;但是，约定的租赁期限自续订之日起不得超过二十年。",租赁合同应明确约定租赁的起止日期，若未约定租赁期限或约定不明确的，属于不定期租赁的合同，双方当事人均可随时解除。,租赁期限过长，建议修改。,租赁期限审核,合同期限
租赁起止日期,日期外部关联【房屋租赁期限】,,租赁起止时间应与租赁期限相一致。,租赁起止时间应与租赁期限相一致。,未识别,,租赁起始时间条款缺失或约定不明确，建议补充完整。应在约定租赁期限的同时写明租赁起止时间，租赁起止时间应与租赁期限起始时间相一致。,中,,租金起算点要明确;如有装修时间，不计算租金的(所谓免租期)，也应明确。,租赁起止时间与房屋租赁期限不一致，建议核对或修改。,租赁期限审核,合同期限
租金,识别,,,,未识别,,租金条款缺失或约定不明确，建议补充完整。承租人应当按照约定的期限支付租金。,高,,在房屋租赁合同中应写明租金的计算标准及支付方式、租金支付期限，并写明是否需要开票，是否含税，税率多少。分期支付的应该写明每期租金具体金额及支付方式。,,租金明确性审核,合同金额审核
押金,识别,,,,未识别，不作审核,,押金条款缺失或约定不明确，建议补充完整。租赁合同通常约定承租人支付相当于1-3个月租金的押金给出租人，押金的数额建议控制在合同总金额的20%以内。,中,,押金主要用于担保租金的支付，防止欠租；对房屋的合理使用，防止对房屋及其附属设备的损害；防止拖欠水电费等相关费用。,,押金合理性审核,合同金额审核
支付方式,识别,,,,未识别,,支付方式条款缺失或约定不明确，建议补充完整。应在合同中写明租金及押金的支付方式，写明以银行转账或微信或支付宝的方式支付，并明确账号信息。,高,,应向合同约定的企业账户或房东个人账户支付款项，切勿向业务人员及其他个人账户支付款项。转账支付应保留转账凭证，现金支付应 要求出租方出具收据。,,支付方式风险审核,合同履行条款审核
