schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice
标题,识别,借据|借条,,,识别,欠条,标题建议写明“借条”、“借据”等字样。欠条形成的原因有很多，既可以是借贷，也可以是买卖、承揽、劳资纠纷等其他法律关系，因此仅凭欠条尚不足以证明争讼钱款的性质。换句话说，借款肯定是欠款，但欠款不一定是借款。当欠条持有人凭欠条向法院起诉后，欠条持有人必须向法官陈述欠条形成的事实，如果对方对此事实进行否认、抗辩，欠条持有人必须进一步举证证明存在欠条形成事实。,低,"【《中华人民共和国民法典》第六百六十七条】借款合同是借款人向贷款人借款,到期返还借款并支付利息的合同。",,
借款人,识别,乙方,,,未识别,,缺少借款人，建议添加。,中,【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第一条】　本规定所称的民间借贷，是指自然人、法人和非法人组织之间进行资金融通的行为。,,
借款人身份证号码,身份证校验,,,,未识别,,缺少借款人身份证号，建议添加。,中,,,身份证号码错误，建议核对或修改。
借款人住址,识别,,,,未识别,,缺少借款人住址，建议添加。,中,,,
出借人,识别,甲方,,,未识别,,缺少出借人，建议添加。,中,,,
出借人身份证号,身份证校验,,,,未识别,,缺少出借人身份证号，建议添加。,中,,,身份证号码错误，建议核对或修改。
出借人住址,识别,,,,未识别,,缺少出借人住址，建议添加。,中,,,
借款用途,用途审核,因.*需要|用于|由于,,,未识别,,缺少借款用途，建议添加。在《借条》或《借款合同》中如不写明借款用途虽并不会影响双方债权债务关系的成立，但在《借条》或《借款合同中》约定借款用途是为了：1、监督借款人使用借款情况，发现借款人擅自改变借款用途的，可以停止发放借款、提前收回借款或者解除合同，这对保证借款资金安全具有重要的意义。2、借款人如果虚构借款用途或者隐瞒借款用途而骗取借款的，有可能涉嫌诈骗犯罪，需要承担刑事责任。也就是说，出借人最好与借款人约定借款用途，以保证借款资金安全。同时在必要时候，可以追究恶意借款人刑事责任。,高,"【《中华人民共和国民法典》第六百七十三条】借款人未按照约定的借款用途使用借款的,贷款人可以停止发放借款、提前收回借款或者解除合同。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十三条】具有下列情形之一的，人民法院应当认定民间借贷合同无效：
　　（一）套取金融机构贷款转贷的；
　　（二）以向其他营利法人借贷、向本单位职工集资，或者以向公众非法吸收存款等方式取得的资金转贷的；
　　（三）未依法取得放贷资格的出借人，以营利为目的向社会不特定对象提供借款的；
　　（四）出借人事先知道或者应当知道借款人借款用于违法犯罪活动仍然提供借款的；
　　（五）违反法律、行政法规强制性规定的；
　　（六）违背公序良俗的。","借款人借款用于违法犯罪活动时，借条无效。借款人未按照约定的借款用途使用借款的,贷款人可以停止发放借款、提前收回借款或者解除合同。",借款不能用于赌博、吸毒、购买枪支等违法犯罪行为，否则借条无效。
借款方式,识别,现金|转账|支付宝转账|微信转账|银行汇款银行转账|转入.*（账户|银行账户）,,,未识别,,缺少借款方式，建议添加。由于借条属于实践性合同，即款项实际交付才生效，因此为避免发生纠纷时的举证困难，建议在借款合同中约定借款的交付方式，以现金支付的，注意保留现金支付凭证，或让借款人出具《收条》。银行汇款的，需在借条中注明借款人的银行账号，采用银行汇款或微信、支付宝转账的，需备注 因xx，给xxx借款。,中,"【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第九条】自然人之间的借款合同具有下列情形之一的，可以视为合同成立：
　　（一）以现金支付的，自借款人收到借款时；
　　（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；
　　（三）以票据交付的，自借款人依法取得票据权利时；
　　（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；
　　（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。","1、以现金支付的，注意保留现金支付凭证，或让借款人出具《收条》。
2、银行汇款的，需在借条中注明借款人的银行账号，采用银行汇款或微信、支付宝转账的，需备注 因xx，给xxx借款。",
借款金额,金额相等,,,,未识别,,缺少借款金额，建议添加。,高,,借款本金同时以汉字大写和小写表达，以防被篡改。中文大写金额数字到“元”为止的，在“元”之后应写“整”（或“正”），“角”“分”之后不写“整”（或“正”）。中文大写金额数字书写中将“元”写成“圆”也是可以的。如借条上的借款金额出现大小写不一致，根据日常生活经验和逻辑推理，一般以大写金额认定，除非有证据证明是所借钱款是小写金额。,金额的大小写校验错误，建议核实。
