schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice
标题,识别,劳动合同,,,识别,劳务合同|劳务协议,建议双方将合同标题由劳务合同改为劳动合同。,中,《中华人民共和国劳动合同法》【第十条】建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。,,
甲方,公司名称校验,,,,未识别,,"合同主体缺失，建议补充完整。
签约主体若为个体工商户，双方为劳务关系。",中,,甲方姓名或名称应当准确无误，同时要确保与签章内容相一致。,甲方名称校验错误，建议核实。
法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,
甲方统一社会信用代码,统一社会信用代码校验,,,,未识别,,甲方统一社会信用代码缺失，建议补充完整。,中,,,甲方统一社会信用代码校验错误，建议核实。
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,中,,,
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。
乙方,,,,,未识别,,乙方姓名缺失，建议补充完整。,中,,乙方姓名应当准确无误，同时要确保与签章内容相一致。,
乙方身份证号,身份证号校验,,,,未识别,,乙方身份证号缺失，建议补充完整。,中,,,乙方身份证号校验错误，建议核实。
乙方地址,识别,,,,未识别,,乙方地址缺失，建议补充完整。,中,,,
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。
合同期限,日期内部关联,,,,未识别,,合同期限有固定期限劳动合同、无固定期限劳动合同和以完成一定工作任务为期限，应当注意合同起止日期与合同期限相对应。,高,《中华人民共和国劳动合同法》【第十二条】劳动合同分为固定期限劳动合同、无固定期限劳动合同和以完成一定工作任务为期限的劳动合同。,劳动合同应具备合同期限条款，应在劳动合同中写明。,合同期限与合同起止日期不一致，建议核实。
试用期,日期内部关联,,用人单位应当按照与劳动者签订的合同期限在法定范围内确定试用期。,若约定的试用期超过法定标准的，劳动者可以向劳动行政部门举报或投诉。,未识别,,"试用期条款缺失，建议补充完整。
劳动合同期限三个月以上不满一年的，试用期不得超过一个月；劳动合同期限一年以上不满三年的，试用期不得超过二个月；三年以上固定期限和无固定期限的劳动合同，试用期不得超过六个月。同一用人单位与同一劳动者只能约定一次试用期。",高,《中华人民共和国劳动合同法》【第十九条】劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。劳动合同文本由用人单位和劳动者各执一份。同一用人单位与同一劳动者只能约定一次试用期。以完成一定工作任务为期限的劳动合同或者劳动合同期限不满三个月的，不得约定试用期。试用期包含在劳动合同期限内。劳动合同仅约定试用期的，试用期不成立，该期限为劳动合同期限。,试用期期限受制于劳动合同期限的约定，同一用人单位与同一劳动者只能约定一次试用期。,试用期期限与试用期起止时间不一致，建议核实。
工作岗位,识别,,用人单位变更劳动者工作岗位的需与劳动者协商一致，否则需要承担不利后果。,用人单位变更工作岗位又未与劳动者达成变更合意的，劳动者可以与用人单位解除劳动合同，并要求用人单位支付经济补偿金。,未识别,,工作岗位条款缺失或约定不明确，建议补充完整。,高,《中华人民共和国劳动合同法》【第十七条】劳动合同应当具备以下条款：(一)用人单位的名称、住所和法定代表人或者主要负责人；(二)劳动者的姓名、住址和居民身份证或者其他有效身份证件号码；(三)劳动合同期限；(四)工作内容和工作地点；(五)工作时间和休息休假；(六)劳动报酬；(七)社会保险；(八)劳动保护、劳动条件和职业危害防护；(九)法律、法规规定应当纳入劳动合同的其他事项。劳动合同除前款规定的必备条款外，用人单位与劳动者可以约定试用期、培训、保守秘密、补充保险和福利待遇等其他事项。,用人单位变更劳动者工作岗位的需与劳动者协商一致。,
工作地点,识别,,用人单位变更劳动者工作地点的需与劳动者协商一致，否则需要承担不利后果。,劳动者真实的工作地点与合同约定地点不一致又没有与用人单位达成变更合意的，劳动者可以与用人单位解除劳动合同，并要求用人单位支付经济补偿金。,未识别,,工作地点条款缺失或约定不明确，建议补充完整。,高,《中华人民共和国劳动合同法》【第十七条】劳动合同应当具备以下条款：(一)用人单位的名称、住所和法定代表人或者主要负责人；(二)劳动者的姓名、住址和居民身份证或者其他有效身份证件号码；(三)劳动合同期限；(四)工作内容和工作地点；(五)工作时间和休息休假；(六)劳动报酬；(七)社会保险；(八)劳动保护、劳动条件和职业危害防护；(九)法律、法规规定应当纳入劳动合同的其他事项。劳动合同除前款规定的必备条款外，用人单位与劳动者可以约定试用期、培训、保守秘密、补充保险和福利待遇等其他事项。,用人单位变更劳动者工作地点的需与劳动者协商一致。,
工作时间,识别,,,劳动者超时加班的，可以请求用人单位按照相关规定支付加班工资，严重超时的，劳动者可以向当地劳动监察部门投诉。,未识别,,工作时间条款缺失或约定不明确，建议补充完整。,高,《中华人民共和国劳动法》【第三十六条】国家实行劳动者每日工作时间不超过八小时、平均每周工作时间不超过四十四小时的工时制度。 |《中华人民共和国劳动法》【第三十八条】用人单位应当保证劳动者每周至少休息一日。 |《中华人民共和国劳动法》【第三十九条】企业因生产特点不能实行本法第三十六条、第三十八条规定的，经劳动行政部门批准，可以实行其他工作和休息办法。 |《中华人民共和国劳动法》【第四十一条】用人单位由于生产经营需要，经与工会和劳动者协商后可以延长工作时间，一般每日不得超过一小时；因特殊原因需要延长工作时间的，在保障劳动者身体健康的条件下延长工作时间每日不得超过三小时，但是每月不得超过三十六小时。,劳动者每日工作不超过八小时、平均每周工作时间不超过四十四小时。用人单位因生产特点，可以经劳动行政部门批准，实行其他工作和休息办法。,
工资,正式工资审核|金额内部相等,劳动报酬,用人单位不得约定低于用人单位所在地的最低工资标准，并向劳动者及时足额支付劳动报酬。,用人单位不按时支付足额工资，劳动者可向当地劳动及社会保障部门反映，或提起仲裁。,未识别,,"工资条款缺失或约定不明确，建议补充完整。
工资金额应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。",高,《中华人民共和国劳动合同法》【第三十条】用人单位应当按照劳动合同约定和国家规定，向劳动者及时足额支付劳动报酬。用人单位拖欠或者未足额支付劳动报酬的，劳动者可以依法向当地人民法院申请支付令，人民法院应当依法发出支付令。,用人单位不得约定低于用人单位所在地的最低工资标准。,约定的正式工资过低，建议核实。正式工资不得少于用人单位所在地最低工资标准。|金额大小写不一致，建议核实。
试用期工资,试用期工资审核|金额内部相等,,用人单位与劳动者约定的试用期工资应大于等于正式工资的80%。,用人单位不按时支付足额工资，劳动者可向当地劳动及社会保障部门反映，或提起仲裁。,未识别,,"试用期工资条款缺失或约定不明确，建议补充完整。
试用期工资金额应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。",高,《中华人民共和国劳动合同法》【第二十条】劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的百分之八十，并不得低于用人单位所在地的最低工资标准。,劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的80%，并不得低于用人单位所在地的最低工资标准。,约定的试用期工资过低，建议核实。试用期工资不得少于正式工资的80%。|金额大小写不一致，建议核实。
工资发放时间,识别,,用人单位应于每月特定时间支付劳动报酬。,用人单位未按时足额发放工资的，劳动者可以解除劳动合同并请求用人单位支付经济补偿。,未识别,,工资发放时间条款缺失或约定不明确，建议补充完整。,中,《中华人民共和国劳动法》【第五十条】工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。,工资应当以货币形式按月给付给劳动者本人。,
加班,识别,单双休|六天|单休|加班|延长工作时间|补休,用人单位应严格执行劳动定额标准。工作日加班，用人单位应支付不低于150%的工资。休息日加班，用人单位应支付不低于200%的工资。法定节假日加班，用人单位应支付不低于300%的工资。,劳动者超时加班的，可以请求用人单位按照相关规定支付加班工资。,未识别，不作审核,,,高,《中华人民共和国劳动合同法》【第三十一条】用人单位应当严格执行劳动定额标准，不得强迫或者变相强迫劳动者加班。用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费。,用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费或安排调休。,
社会保险,识别,,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,用人单位未依法为劳动者缴纳社会保险，劳动者可以解除劳动合同，并要求用人单位支付经济补偿。,未识别,,"社会保险条款缺失或约定不明确，建议补充完整。
用人单位应当依法为劳动者缴纳社会保险，同时，对于未缴社保的用人单位，劳动者可以解除劳动合同并主张补缴社保和赔偿金。需要注意的是，一旦发生劳动争议，即使双方签订了《自愿放弃社保承诺书》也会被认定为无效，不免除用人单位缴纳社保的义务。",高,《中华人民共和国劳动法》【第七十二条】社会保险基金按照保险类型确定资金来源，逐步实行社会统筹。用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,
合同变更,识别,,,,未识别，不作审核,,,中,《中华人民共和国劳动合同法》【第三十五条】用人单位与劳动者协商一致，可以变更劳动合同约定的内容。变更劳动合同，应当采用书面形式。变更后的劳动合同文本由用人单位和劳动者各执一份。,变更劳动合同的，用人单位应与劳动者协商一致，并采用书面形式。,
劳动者解除,识别,,,,未识别,,"劳动者解除条款缺失或约定不明确，建议补充完整。
劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动者劳动的，或者用人单位违章指挥、强令冒险作业危及劳动者人身安全的，劳动者可以立即解除劳动合同，不需事先告知用人单位。",高,《中华人民共和国劳动合同法》【第三十六条】用人单位与劳动者协商一致，可以解除劳动合同。|《中华人民共和国劳动合同法》【第三十七条】劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。|《中华人民共和国劳动合同法》【第三十八条】用人单位有下列情形之一的，劳动者可以解除劳动合同：(一)未按照劳动合同约定提供劳动保护或者劳动条件的；(二)未及时足额支付劳动报酬的；(三)未依法为劳动者缴纳社会保险费的；(四)用人单位的规章制度违反法律、法规的规定，损害劳动者权益的；(五)因本法第二十六条第一款规定的情形致使劳动合同无效的；(六)法律、行政法规规定劳动者可以解除劳动合同的其他情形。用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动者劳动的，或者用人单位违章指挥、强令冒险作业危及劳动者人身安全的，劳动者可以立即解除劳动合同，不需事先告知用人单位。,劳动者有权按照法律规定或与用人单位协商一致解除劳动合同。,
