schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,劳务合同|劳务协议|劳务雇佣合同,,,识别,劳动合同,建议将合同标题由劳动合同修改为劳务合同。若用工单位通过订立所谓的劳务合同、雇佣合同等方式，意图规避劳动关系的建立，可能仍会被认定为劳动关系。,中,【《中华人民共和国劳动合同法》第十条】建立劳动关系，应当订立书面劳动合同。已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。|《劳动和社会保障部关于确立劳动关系有关事项的通知》  一、用人单位招用劳动者未订立书面劳动合同，但同时具备下列情形的，劳动关系成立。（一）用人单位和劳动者符合法律、法规规定的主体资格；（二）用人单位依法制定的各项劳动规章制度适用于劳动者，劳动者受用人单位的劳动管理，从事用人单位安排的有报酬的劳动；（三）劳动者提供的劳动是用人单位业务的组成部分。,合同双方应当厘清劳动合同与劳务合同的区别，以合同标题反映合同性质和法律关系。,,合同标题条款审核,合同标题审核
甲方,公司名称校验,雇主|用工单位,,,未识别,,甲方姓名或名称缺失，建议补充完整。,中,,甲方姓名或名称应当准确无误，同时要确保与签章内容相一致。,甲方名称校验错误，建议核实。,合同主体名称审核,合同主体审核
甲方法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
甲方身份证号码/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,甲方甲方身份证号码/统一社会信用代码缺失，建议补充完整。,中,,,甲方身份证号校验错误，建议核实。|统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
乙方,,雇员|劳动者,,,未识别,,乙方姓名缺失，建议补充完整。,中,,乙方姓名应当准确无误，同时要确保与签章内容相一致。,,合同主体名称审核,合同主体审核
乙方身份证号,身份证号校验,,,,未识别,,乙方身份证号缺失，建议补充完整。,中,,,乙方身份证号校验错误，建议核实。,合同主体规范性审核,合同主体审核
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,通知与送达有效性审核,通知与送达审核
乙方地址,识别,,,,未识别,,乙方地址缺失，建议补充完整。,中,,,,通知与送达有效性审核,通知与送达审核
鉴于条款,识别,根据.*《中华人民共和国民法典》,,,未识别，不作审核,,,低,,,,合同背景条款审核,合同背景审核
合同期限,日期内部关联,,,,未识别,,合同期限条款缺失或约定不明确，建议补充完整。,高,,合同期限应与合同起止日期相一致。,合同期限与合同起止日期不一致，建议核实。,合同期限审核,合同期限审核
工作内容,识别,,,,未识别,,工作内容条款缺失或约定不明确，建议补充完整。,中,,工作内容反映了工作性质，应明确约定。,,工作内容审核,工作内容
工作时间,识别,,,,未识别,,工作时间条款缺失或约定不明确，建议补充完整。,中,,,,工作时间审核,工作时间和休息
劳务报酬,金额内部相等,劳动报酬|劳务费,,,未识别,,"劳务报酬条款缺失或约定不明确，建议补充完整。
劳务报酬金额应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。",高,【《中华人民共和国民法典》第五百一十条】合同生效后，当事人就质量、价款或者报酬、履行地点等内容没有约定或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同相关条款或者交易习惯确定。,劳务报酬属于劳务合同中的必备条款应当予以明确。,劳务报酬金额大小写不一致，建议核实。,劳务报酬金额审核,劳务报酬
