schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,违法,欠条,,,未识别,,标题条款缺失，建议补充完整。,低,"【《中华人民共和国民法典》第六百六十七条】借款合同是借款人向贷款人借款,到期返还借款并支付利息的合同。",,标题建议写明“借条”、“借据”等字样。,标题审核,标题审核
乙方（借款人）,识别,乙方,借款人姓名应与身份证上的一致，借款人有多人，应分别列明，如借款人已婚，应根据实际情况将另一方增加为借款人。,,未识别,,借款人姓名缺失，建议补充完整。,中,【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第一条】　本规定所称的民间借贷，是指自然人、法人和非法人组织之间进行资金融通的行为。【《中华人民共和国民法典》第一千零六十四条】夫妻双方共同签名或者夫妻一方事后追认等共同意思表示所负的债务，以及夫妻一方在婚姻关系存续期间以个人名义为家庭日常生活需要所负的债务，属于夫妻共同债务。,,,主体审核,主体信息审核
借款人身份证号码,身份证号校验,,借款人身份证号码是争议解决的必备信息，如后期产生争议，可以根据借条明确对方身份信息。,,未识别,,借款人身份证号缺失，建议补充完整。,中,,,借款人身份证号码错误，建议核实。,主体身份审核,主体信息审核
借款人住址,识别,,,,未识别,,借款人住址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核
甲方（出借人）,识别,甲方,,出借人姓名应与身份证上的一致，并与还款账户保持一致，避免执业放贷人，通过虚假信息进行放贷行为。,未识别,,出借人姓名缺失，建议补充完整。,中,【《最高人民法院、最高人民检察院、公安部、司法部关于办理非法放贷刑事案件若干问题的意见》第1条】经常性地向社会不特定对象发放贷款”，是指2年内向不特定多人（包括单位和个人）以借款或其他名义出借资金10次以上。贷款到期后延长还款期限的，发放贷款次数按照1次计算。,,,主体审核,主体信息审核
出借人身份证号码,身份证号校验,,,,未识别,,出借人身份证号缺失，建议补充完整。,中,,,出借人身份证号码错误，建议核实。,主体身份审核,主体信息审核
出借人住址,识别,,,,未识别,,出借人住址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核
借款用途,借款用途审核,因.*需要|用于|由于,,,未识别,,借款用途缺失，建议补充完整。合法用途的借款才受法律保护，借款人借款如用于违法犯罪活动或法律禁止用途时，借贷合同无效。,高,"【《中华人民共和国民法典》第六百七十三条】借款人未按照约定的借款用途使用借款的,贷款人可以停止发放借款、提前收回借款或者解除合同。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第十三条】具有下列情形之一的，人民法院应当认定民间借贷合同无效：
　　（一）套取金融机构贷款转贷的；
　　（二）以向其他营利法人借贷、向本单位职工集资，或者以向公众非法吸收存款等方式取得的资金转贷的；
　　（三）未依法取得放贷资格的出借人，以营利为目的向社会不特定对象提供借款的；
　　（四）出借人事先知道或者应当知道借款人借款用于违法犯罪活动仍然提供借款的；
　　（五）违反法律、行政法规强制性规定的；
　　（六）违背公序良俗的。",出借人应与借款人约定合法的借款用途，以保证借贷关系合法有效。,借款用途不合法，建议核实。借款不能用于赌博、吸毒、购买枪支等违法犯罪行为，否则借条无效。,借款用途审核,用途审核
借款支付方式,识别,现金|转账|支付宝转账|微信转账|银行汇款银行转账|转入.*（账户|银行账户）,借款方式以现金支付的，应注意保留现金支付凭证，例如《收条》。以银行转账方式支付，需在借条中注明借款人的本人银行账号，在转账时备注借款。以微信、支付宝转账支付的，转账时应备注支付给xxx借款，并在平台申请转账电子凭证、回单。,,未识别,,"借款方式缺失，建议补充完整。
由于借条属于实践性合同，即款项实际交付才生效，因此为避免发生纠纷，建议在借款合同中约定借款的交付方式。",高,"【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第九条】自然人之间的借款合同具有下列情形之一的，可以视为合同成立：
（一）以现金支付的，自借款人收到借款时；
（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；
（三）以票据交付的，自借款人依法取得票据权利时；
（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；
（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。",在借款实际交付时双方借贷关系成立，借贷双方均需留存借款交付凭证。,,借款给付方式风险审核,借款给付方式审核
借款金额,金额内部相等,,,,未识别,,借款金额缺失，建议补充完整。,高,,借款金额应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。,金额的大小写校验错误，建议核实。,借款金额审核,借款金额审核
借款期限,日期外部关联【还款日期-借款日期】,（自|从）.*起（至|到）.*止|（借款期限|期限）.*（年|月）|分.*（还清|偿还）,没有约定还款期限的借条，出借人可以随时要求借款人还款。,没有约定还款期限的借条，出借人可以随时要求借款人还款。借款人可以提前偿还借款，但是当事人另有约定的除外。借款人提前偿还借款可以主张按照实际借款期限计算利息。,未识别,,借款期限缺失，建议补充完整。未约定还款期限的，出借人可以随时要求借款人还款。已约定借款期限的，需注意诉讼时效，其起算点为借款期限届满之日起三年。,高,"【《中华人民共和国民法典》第六百七十四条】借款人应当按照约定的期限支付利息。对支付利息的期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定，借款期间不满一年的，应当在返还借款时一并支付;借款期间一年以上的，应当在每届满一年时支付，剩余期间不满一年的，应当在返还借款时一并支付。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第三十条】借款人可以提前偿还借款，但是当事人另有约定的除外。
借款人提前偿还借款并主张按照实际借款期限计算利息的，人民法院应予支持。",借款期限应根据借款种类、借款性质、借款用途明确约定，且应详细、具体、全面，以确保借款的顺利履行，防止产生纠纷。,借款期限与借款起止时间不一致，建议核实。,借款期限审核,借条期间审核
借款日期,识别,借款日|借款日期,,,未识别,,借款日期缺失，建议补充完整，一般为实际支付借款的日期，应将其明确到年月日。,高,"【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第九条】自然人之间的借款合同具有下列情形之一的，可以视为合同成立：
　　（一）以现金支付的，自借款人收到借款时；
　　（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；
　　（三）以票据交付的，自借款人依法取得票据权利时；
　　（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；
　　（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。",借款日期关系到借款交付期限、利息起算期限，是借条的必备条款。,,借款日期审核,借条期间审核
借款利率,民间借贷利率审核,利息|利率|年利率|月利息,,,未识别,,借款利率缺失或未约定明确，建议补充完整。根据法律规定，借款利率的约定不得超过合同成立时一年期贷款市场报价利率的四倍。“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。,高,"【《中华人民共和国民法典》第六百八十条】禁止高利放贷，借款的利率不得违反国家有关规定。借款合同对支付利息没有约定的,视为没有利息。
借款合同对支付利息约定不明确,当事人不能达成补充协议的,按照当地或者当事人的交易方式、交易习惯、市场利率等因素确定利息;自然人之间借款的,视为没有利息。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十五条】出借人请求借款人按照合同约定利率支付利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。",民间借贷没有明确约定借款利率的，将被认定为无息借款。,约定的利率过高，建议核实。双方约定的利率不得超过合同成立时一年期贷款市场报价利率的四倍。,借款利率审核,利率审核
还款日期,识别,还款日期|还款日|（于|到）.*（还清|偿还|归还）|（到|至）.*前,,,未识别,,还款日期缺失或未明确约定，建议明确约定到年月日，以便有利于利息的计算和债权的安全实现，也有利于避免借贷双方发生争议。没有约定还款期限的借条，出借人可以随时要求借款人还款。,高,"【《中华人民共和国民法典》第六百七十五条 】借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确,依据本法第五百一十条的规定仍不能确定的,借款人可以随时返还;贷款人可以催告借款人在合理期限内返还。",没有约定还款期限的借条，出借人可以随时要求借款人还款。,,还款日期审核,借条期间审核
还款方式,识别,一次性付清本息|一次性还本付息|按月付息|每月偿还|等额本息|等额本金,,,未识别,,"还款方式缺失，建议补充完整。
为避免发生纠纷，建议在借款合同中约定借款的还款方式，合理规划还款周期。",高,,还款方式关系到还款的周期，比如是分期还款还是一次性本息付清还款。,,还款方式审核,还款审核
还款支付方式,识别,现金|转账|支付宝转账|微信转账|银行汇款银行转账|转入.*（账户|银行账户）,,还款方式以现金支付的，应注意保留现金支付凭证，例如《收条》。以银行转账方式支付，需在借条中注明出借人的本人银行账号，在转账时备注还款。以微信、支付宝转账支付的，转账时应备注支付给xxx还款，并在平台申请转账电子凭证、回单。,未识别,,"还款支付方式缺失，建议补充完整。
为避免发生纠纷，建议在借款合同中约定借款人的还款支付方式。",高,,还款支付方式关系到借款人是否按照约定返还借款。,,还款支付方式审核,还款审核
逾期利率,民间借贷逾期利率审核,逾期利率|逾期利息,借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。|约定了借期内利率但是未约定逾期利率，出借人可以主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的。|既未约定借期内利率，也未约定逾期利率，出借人可以主张借款人自逾期还款之日起承担逾期还款违约责任。,借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。|约定了借期内利率但是未约定逾期利率，借款人注意，出借人可以主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的。|既未约定借期内利率，也未约定逾期利率，借款人注意，出借人可以主张借款人自逾期还款之日起承担逾期还款违约责任。,未识别,,逾期利率缺失，建议补充完整。借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。,高,"【《中华人民共和国民法典》第六百七十六条 】借款人未按照约定的期限返还借款的，应当按照约定或者国家有关规定支付逾期利息。|【《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》】第二十八条　借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。
未约定逾期利率或者约定不明的，人民法院可以区分不同情况处理：
（一）既未约定借期内利率，也未约定逾期利率，出借人主张借款人自逾期还款之日起参照当时一年期贷款市场报价利率标准计算的利息承担逾期还款违约责任的，人民法院应予支持；
（二）约定了借期内利率但是未约定逾期利率，出借人主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的，人民法院应予支持。",逾期利息是由逾期贷款/借款造成的罚利息，指贷/借款人不按照合同的约定归还借款的超期罚息。,约定的逾期利率过高，建议核实。双方约定的逾期利率不得超过合同成立时一年期贷款市场报价利率的四倍。,逾期利率审核,利率审核
