schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify,,,
标题,识别,物业服务合同|物业服务协议|物业管理协议,物业服务合同属于《民法典》中新增的有名合同，双方当事人在签订合同时应当采用书面形式。若未签订书面合同，委托方事实上享受了物业服务的，也需要交纳服务费。,一般物业服务合同期限较长，因此在签订合同时应当采用书面形式，以避免发生纠纷时缺少合同证明而导致取证困难的情形。若作出有利于委托方的服务承诺，则属于合同的组成部分，应当积极履行。,未识别,,标题缺失，建议补充完整。,低,【《中华人民共和国民法典》第九百三十七条】物业服务合同是物业服务人在物业服务区域内，为业主提供建筑物及其附属设施的维修养护、环境卫生和相关秩序的管理维护等物业服务，业主支付物业费的合同。物业服务人包括物业服务企业和其他管理人。|【《中华人民共和国民法典》第九百三十八条】物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺，为物业服务合同的组成部分。物业服务合同应当采用书面形式。|【《中华人民共和国物业管理条例》第三十四条】业主委员会应当与业主大会选聘的物业服务企业订立书面的物业服务合同。??物业服务合同应当对物业管理事项、服务质量、服务费用、双方的权利义务、专项维修资金的管理与使用、物业管理用房、合同期限、违约责任等内容进行约定。,应在合同标题中准确反映合同性质，便于双方理解条款。,,合同标题条款审核,合同标题审核,,,
甲方（物业管理公司）,公司名称校验,,,,未识别,,"甲方姓名或名称缺失，建议补充完整。
物业管理公司应当按照法律规定取得独立法人资格以及相应的资质等级，若签订的主体与实际提供物业服务的主体不一致的，应当提供授权委托。",中,【《中华人民共和国物业管理条例》第三十二条】从事物业管理活动的企业应当具有独立的法人资格。 国务院建设行政主管部门应当会同有关部门建立守信联合激励和失信联合惩戒机制，加强行业诚信管理。,甲方姓名或名称应当准确无误，同时要确保与签章内容相一致。,甲方名称校验错误，建议核实。,合同主体名称审核,合同主体审核,,,
甲方法定代表人/授权代表,识别,,,,未识别,,甲方负责人缺失，建议补充完整。,低,,,,合同主体代表审核,合同主体审核,,,
甲方统一社会信用代码,统一社会信用代码校验,,,,未识别,,甲方统一社会信用代码缺失，建议补充完整。,中,,,甲方统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核,,,
甲方联系方式,联系方式校验,,,,未识别,,甲方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,合同主体联系方式审核,合同主体审核,,,
甲方地址,识别,,,,未识别,,甲方地址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核,,,
乙方（业主）,公司名称校验,,,,未识别,,"乙方姓名或名称缺失，建议补充完整。
一般签订合同的主体包括全体业主、业主委员会、社区居民委员会以及首次开发新建的小区开发商。若建设单位选聘物业服务企业的，应当签订书面的前期物业服务合同，同时签订物业服务合同时还需要达到法定比例。",中,【《中华人民共和国物业管理条例》第二十一条】在业主、业主大会选聘物业服务企业之前，建设单位选聘物业服务企业的，应当签订书面的前期物业服务合同。|【《中华人民共和国民法典》第二百七十八条】第二百七十八条　下列事项由业主共同决定：（一）制定和修改业主大会议事规则；（二）制定和修改管理规约；（三）选举业主委员会或者更换业主委员会成员；（四）选聘和解聘物业服务企业或者其他管理人；（五）使用建筑物及其附属设施的维修资金；（六）筹集建筑物及其附属设施的维修资金；（七）改建、重建建筑物及其附属设施；（八）改变共有部分的用途或者利用共有部分从事经营活动；（九）有关共有和共同管理权利的其他重大事项。业主共同决定事项，应当由专有部分面积占比三分之二以上的业主且人数占比三分之二以上的业主参与表决。决定前款第六项至第八项规定的事项，应当经参与表决专有部分面积四分之三以上的业主且参与表决人数四分之三以上的业主同意。决定前款其他事项，应当经参与表决专有部分面积过半数的业主且参与表决人数过半数的业主同意。,乙方姓名或名称应当准确无误，同时要确保与签章内容相一致。,乙方名称校验错误，建议核实。,合同主体名称审核,合同主体审核,,,
乙方负责人,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核,,,
乙方身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,乙方身份证号/统一社会信用代码缺失，建议补充完整。,中,,,乙方身份证号/统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核,,,
乙方联系方式,联系方式校验,,,,未识别,,乙方联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,合同主体联系方式审核,合同主体审核,,,
乙方地址,识别,,,,未识别,,乙方地址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核,,,
鉴于条款,失效法律规定审核,根据《中华人民共和国民法典》|《中华人民共和国物业管理条例》,,,未识别，不作审核,,,低,,,法条引用错误，《民法典》自2021年1月1日起施行《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。,合同背景条款审核,合同背景审核,,,
物业项目名称,识别,,,,未识别,,物业项目名称条款缺失，建议补充完整。物业服务中一般应载明委托物业的基本情况。,中,,物业项目名称可以具体反映物业服务合同所管理的物业项目。,,物业项目名称条款审核,物业概况,,,
物业类型,识别,,,,未识别,,物业类型条款缺失，建议补充完整。物业服务中一般应载明委托物业的基本情况。,中,,物业类型是物业服务合同的重要条款，不同物业的性质，物业服务收费标准也不同。,,物业类型审核,物业概况,,,
座落位置,识别,,,,未识别,,物业坐落位置条款缺失，建议补充完整。物业服务中一般应载明委托物业的基本情况。,中,,物业服务中一般应载明委托物业的基本情况。,,物业位置审核,物业概况,,,
物业管理区域四至范围,识别,,,,未识别,,物业管理区域条款缺失，建议补充完整。物业服务中一般应载明委托物业的基本情况。,中,,物业管理区域四至范围是物业服务合同重要条款，明确了物业服务的范围。,,物业区域审核,物业概况,,,
占地面积,识别,,,,未识别,,物业占地面积条款缺失，建议补充完整。物业服务中一般应载明委托物业的基本情况。,中,,物业占地面积是物业服务合同重要条款，占地面积涉及物业服务费用的计算。,,物业占地面积审核,物业概况,,,
建筑面积,识别,,,,未识别,,物业建筑面积条款缺失，建议补充完整。物业服务中一般应载明委托物业的基本情况。,中,,物业建筑面积是物业服务合同重要条款，占地面积涉及物业服务费用的计算。,,物业建筑面积审核,物业概况,,,
服务期限,日期内部关联,,,,未识别,,服务期限条款缺失或约定不明确，建议补充完整。,高,【《中华人民共和国民法典》第九百三十八条】物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺，为物业服务合同的组成部分。物业服务合同应当采用书面形式。|【《中华人民共和国民法典》第九百四十八条】物业服务期限届满后，业主没有依法作出续聘或者另聘物业服务人的决定，物业服务人继续提供物业服务的，原物业服务合同继续有效，但是服务期限为不定期。当事人可以随时解除不定期物业服务合同，但是应当提前六十日书面通知对方。,服务期限条款是物业服务合同必备条款。,服务期限与服务起止日期不一致，建议核实。,服务期限审核,服务期限,,,
服务内容,识别,,,,未识别,,"服务内容条款缺失或约定不明确，建议补充完整。物业委托管理的管理事项一般包括主要有以下内容：
①建筑物本体建筑的维修养护与更新改造。
②物业公用设备、设施，如公用照明、中央空调的使用管理、维修、养护和更新。
③物业区域内市政公用设施和附属建筑物、构筑物的使用管理、维修、养护与更新。
④附属配套建筑和设施，包括商业网点等的维修、养护与管理。
⑤环境卫生管理与服务。
⑥安全管理与服务（如治安管理、消防管理和车辆道路安全管理等）。
⑦物业档案资料管理。
⑧环境的美化与绿化管理，如公共绿地、花木、建筑小品等的养护、营造与管理。
⑨供暖管理。
⑩社区文化建设。",高,【《中华人民共和国民法典》第九百三十八条】物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺，为物业服务合同的组成部分。物业服务合同应当采用书面形式。,服务事项主要阐述服务项目的性质、服务项目由哪几部分组成。,,服务内容具体明确性审核,服务内容,,,
服务质量,识别,,服务标准一定程度上体现了被委托方是否积极履行职责，有约定按照约定，没有约定的一般可以参照各个地区的地方性标准。因此在签订物业服务合同时应当明确提供服务的具体标准或应当达到何种质量水平，以避免因服务标准约定不明产生不必要的纠纷。,若合同中约定的服务要求与相关规范之间发生冲突的，被委托方应当以较高的服务要求为准提供物业服务，在满足委托方基本需求的同时进一步提升企业知名度。,未识别,,服务质量条款缺失或约定不明确，建议补充完整。在签订物业服务合同时应当明确提供服务的具体标准或应当达到何种质量水平，以避免因服务标准约定不明产生不必要的纠纷。,高,【《中华人民共和国民法典》第九百三十八条】物业服务合同的内容一般包括服务事项、服务质量、服务费用的标准和收取办法、维修资金的使用、服务用房的管理和使用、服务期限、服务交接等条款。物业服务人公开作出的有利于业主的服务承诺，为物业服务合同的组成部分。物业服务合同应当采用书面形式。,物业服务合同因其服务综合事务具有涉及面广且利益关系相当重大，合同履行期也相对较长，为避免争议，物业服务质量需尽可能明确细致。,,服务质量明确性审核,服务质量,,,
