schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,识别,租赁合同|租用合同|租赁协议|租用协议,,,未识别,,,低,【《中华人民共和国民法典》第七百零三条】租赁合同是出租人将租赁物交付承租人使用、收益，承租人支付租金的合同。,合同标题能够反映合同性质，便于合同双方准确理解合同相关条款。若实务中出现合同标题与合同性质不一致的情形，应当以合同反映的真实法律关系为准。,,合同类型与交易需求相符审核,合同标题审核
甲方（出租人）,公司名称校验,,,,未识别,,出租人姓名或名称缺失，建议补充完整。,中,,出租人姓名或名称应当准确无误，同时要确保与签章内容相一致。,出租人名称校验错误，建议核实。,合同主体履约能力审核,合同主体审核
出租人法定代表人/授权代表,识别,,,,未识别，不作审核,,,中,,,,合同主体代表审核,合同主体审核
出租人身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,出租人身份证号/统一社会信用代码缺失，建议补充完整。,中,,,出租人身份证号校验错误，建议核实。|出租人统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
出租人联系方式,联系方式校验,,,,未识别,,出租人联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,合同主体联系地址审核,合同主体审核
出租人地址,识别,,,,未识别,,出租人地址缺失，建议补充完整。,中,,,,合同主体联系方式审核,合同主体审核
乙方（承租人）,公司名称校验,,,,未识别,,承租人姓名或名称缺失，建议补充完整。,中,,承租人姓名或名称应当准确无误，同时要确保与签章内容相一致。,承租人名称校验错误，建议核实。,合同主体履约能力审核,合同主体审核
承租人法定代表人/授权代表,识别,,,,未识别，不作审核,,,中,,,,合同主体代表审核,合同主体审核
承租人身份证号/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,承租人身份证号/统一社会信用代码缺失，建议补充完整。,中,,,承租人身份证号校验错误，建议核实。|承租人统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
承租人联系方式,联系方式校验,,,,未识别,,承租人联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,合同主体联系地址审核,合同主体审核
承租人地址,识别,,,,未识别,,承租人地址缺失，建议补充完整。,中,,,,合同主体联系方式审核,合同主体审核
鉴于条款,失效法律规定审核,,,,未识别，不作审核,,,低,,,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。

《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。",合同背景条款审核,合同背景审核
租赁物,识别,合同标的|标的物|标的,,,未识别,,"租赁物条款缺失或约定不明确，建议补充完整。
租赁物应当具体明确到品牌、规格、型号、数量，用语应当符合规范，避免使用模糊不清的词语从而出现一语多义的情形。",高,,对于某些法律禁止或具有争议的租赁物，可能会影响合同效力甚至导致合同归于无效。,,标的物审核,合同标的物审核
使用用途,识别,,,,未识别,,"使用用途条款缺失或约定不明确，建议补充完整。
租赁合同中应当明确租赁物的使用用途，没有约定或约定不明无法达成补充协议的，按照《中华人民共和国民法典》第五百一十条的规定进行确定，若仍不能确定的，按照标的物性质使用。",高,【《中华人民共和国民法典》第七百零九条】承租人应当按照约定的方法使用租赁物。对租赁物的使用方法没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，应当根据租赁物的性质使用。,,,租赁用途审核,合同标的物审核
备案登记,识别,,,,未识别，不作审核,,,中,【《中华人民共和国民法典》第七百零六条】当事人未依照法律、行政法规规定办理租赁合同登记备案手续的，不影响合同的效力。,,,备案登记条款审核,登记备案手续审核
租赁期限,租赁期限审核,合同期限|合同期间|租赁期间|租用时间|租赁时间,当事人应当明确具体的租赁期限，包括起始日和终止日。期限超过六个月的，注意应当采取书面形式，期限届满可以续订，但需要注意，租赁期限不得超过二十年，自续订之日起也不得超过二十年，否则超过的部分无效。,,未识别,,"租赁期限条款缺失或约定不明确，建议补充完整。
当事人约定期限超过六个月的应当采取书面形式，否则应当认为该合同为不定期租赁。同时需要注意，租赁期限不得超过二十年，自续订之日起也不得超过二十年，否则超过的部分无效。",高,【《中华人民共和国民法典》第七百零五条】租赁期限不得超过二十年。超过二十年的，超过部分无效。租赁期限届满，当事人可以续订租赁合同；但是，约定的租赁期限自续订之日起不得超过二十年。|【《中华人民共和国民法典》第七百零七条】租赁期限六个月以上的，应当采用书面形式。当事人未采用书面形式，无法确定租赁期限的，视为不定期租赁。|【《中华人民共和国民法典》第七百三十条】当事人对租赁期限没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，视为不定期租赁；当事人可以随时解除合同，但是应当在合理期限之前通知对方。,当事人应当明确具体的租赁期限，包括起始日和终止日。若未约定租赁期限或约定不明确的，属于不定期租赁的合同，双方当事人均可随时解除。,租赁期限过长，建议修改。,租赁期限审核,合同期限
租赁起止时间,日期外部关联【租赁期限】,,,,未识别,,"租赁起止时间条款缺失或约定不明确，建议补充完整。
应在约定租赁期限的同时写明租赁起止时间，租赁起止时间应与租赁期限起止时间相一致。",高,,租赁起始日与终止日应明确，同时要注意按照年、月、日计算期间的，开始的当日不计入，自下一日开始计算。,租赁起止时间与租赁期限不一致，建议核对或修改。,租赁期限审核,合同期限
租金,金额内部相等,合同价款|租赁费用|租赁金额|合同金额,合同中应当明确约定租金以及各项费用的收费标准，合同中约定的租金条款应同时以大写和小写注明，以防被篡改，同时在约定租金条款时要具体明确，以防出现模棱两可、一语多义的情形。,合同中应当明确约定租金以及各项费用的收费标准，合同中约定的租金条款应同时以大写和小写注明，以防被篡改，同时在约定租金条款时要具体明确，以防出现模棱两可、一语多义的情形。,未识别,,"租金条款缺失或约定不明确，建议补充完整。
当事人应当对合同金额约定明确，租金没有约定或约定不明，可以协议补充；不能达成补充协议的，按照合同有关条款或交易习惯确定。",高,,租金应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。,租金大小写不一致，建议核实。,租金明确性审核,合同金额审核
