schema,pos rule,pos keywords,pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis
标题,匹配,劳动合同,入职30天内，用人单位须与劳动者签订书面劳动合同,匹配,劳务合同|劳务协议,若双方构成了事实上的劳动关系，则已签订的劳务协议无效。因此用人单位需明确知悉劳动关系和劳务关系的区别，遵守劳动法规，在企业用工方面规避不必要的损失。,高,"《劳动合同法》第十条 建立劳动关系，应当订立书面劳动合同。
已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。
用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立"
甲方,识别,,签约主体若为个体工商户，双方为劳务关系。,未识别,,,高,
法定代表人,识别,外部接口,,未识别,,,中,
地址,识别,外部接口,,未识别,,,中,
联系电话,比对,电话号码或微信号,,未识别,,,中,
乙方,识别,,,未识别,,,高,
身份证号,比对,18位比对,,未识别,,,高,
地址,识别,,,未识别,,,中,
紧急联系人及电话,比对,,,,,,中,
联系电话,比对,电话号码或微信号,,,,,中,
鉴于条款,匹配,根据.*劳动合同法,订立劳动合同，应当遵循合法、公平、平等自愿、协商一致、诚实信用的原则。,未匹配,,,低,"《劳动合同法》第三条 订立劳动合同，应当遵循合法、公平、平等自愿、协商一致、诚实信用的原则。
依法订立的劳动合同具有约束力，用人单位与劳动者应当履行劳动合同约定的义务。"
合同期限,识别,,"用人单位自用工之日起即与劳动者建立劳动关系，订立书面劳动合同。
已建立劳动关系，未同时订立书面劳动合同的，应当自用工之日起一个月内订立书面劳动合同。
用人单位与劳动者在用工前订立劳动合同的，劳动关系自用工之日起建立。",未识别,,劳动合同应具备条款，应在劳动合同中写明,高,《劳动合同法》第十二条 劳动合同分为固定期限劳动合同、无固定期限劳动合同和以完成一定工作任务为期限的劳动合同。
试用期,识别,,"""劳动合同期限三个月以上不满一年的，试用期不得超过一个月；劳动合同期限一年以上不满三年的，试用期不得超过二个月；三年以上固定期限和无固定期限的劳动合同，试用期不得超过六个月。
同一用人单位与同一劳动者只能约定一次试用期。""",未识别,,劳动合同应具备条款，应在劳动合同中写明,高,"《劳动合同法》第十九条 劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。
劳动合同文本由用人单位和劳动者各执一份。同一用人单位与同一劳动者只能约定一次试用期。
以完成一定工作任务为期限的劳动合同或者劳动合同期限不满三个月的，不得约定试用期。
试用期包含在劳动合同期限内。劳动合同仅约定试用期的，试用期不成立，该期限为劳动合同期限。"
工作岗位,识别,,劳动合同应具备条款，用人单位若变更劳动者工作岗位，需与劳动者协商一致。在劳动合同中约定用人单位有权调整工作岗位，员工无条件接受的，该约定并不完全有效,未识别,,劳动合同应具备条款，应在劳动合同中写明,高,"　《劳动合同法》第十七条 劳动合同应当具备以下条款：

(一)用人单位的名称、住所和法定代表人或者主要负责人；

(二)劳动者的姓名、住址和居民身份证或者其他有效身份证件号码；

(三)劳动合同期限；

(四)工作内容和工作地点；

(五)工作时间和休息休假；

(六)劳动报酬；

(七)社会保险；

(八)劳动保护、劳动条件和职业危害防护；

(九)法律、法规规定应当纳入劳动合同的其他事项。

劳动合同除前款规定的必备条款外，用人单位与劳动者可以约定试用期、培训、保守秘密、补充保险和福利待遇等其他事项。"
工作地点,识别,,劳动合同应具备条款，用人单位若变更劳动者工作地点的，需与劳动者协商一致。在劳动合同中约定用人单位有权调整工作地点，员工无条件接受的，该约定并不完全有效。,未识别,,劳动合同应具备条款，应在劳动合同中写明,高,"　《劳动合同法》第十七条 劳动合同应当具备以下条款：

(一)用人单位的名称、住所和法定代表人或者主要负责人；

(二)劳动者的姓名、住址和居民身份证或者其他有效身份证件号码；

(三)劳动合同期限；

(四)工作内容和工作地点；

(五)工作时间和休息休假；

(六)劳动报酬；

(七)社会保险；

(八)劳动保护、劳动条件和职业危害防护；

(九)法律、法规规定应当纳入劳动合同的其他事项。

劳动合同除前款规定的必备条款外，用人单位与劳动者可以约定试用期、培训、保守秘密、补充保险和福利待遇等其他事项。"
工作时间,关键词匹配,工作时间|.*时到.*时|.*点到.*点,用人单位应当严格执行劳动定额标准，不得强迫或者变相强迫劳动者加班。用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费或安排调休。,未匹配,,劳动合同应具备条款，应在劳动合同中写明,高,"　《劳动合同法》第十七条 劳动合同应当具备以下条款：

(一)用人单位的名称、住所和法定代表人或者主要负责人；

(二)劳动者的姓名、住址和居民身份证或者其他有效身份证件号码；

(三)劳动合同期限；

(四)工作内容和工作地点；

(五)工作时间和休息休假；

(六)劳动报酬；

(七)社会保险；

(八)劳动保护、劳动条件和职业危害防护；

(九)法律、法规规定应当纳入劳动合同的其他事项。

劳动合同除前款规定的必备条款外，用人单位与劳动者可以约定试用期、培训、保守秘密、补充保险和福利待遇等其他事项。"
工资,识别,,不得低于用人单位所在地的最低工资标准，并向劳动者及时足额支付劳动报酬。,未识别,,劳动合同应具备条款，应在劳动合同中写明,高,"《劳动合同法》第三十条 用人单位应当按照劳动合同约定和国家规定，向劳动者及时足额支付劳动报酬。
用人单位拖欠或者未足额支付劳动报酬的，劳动者可以依法向当地人民法院申请支付令，人民法院应当依法发出支付令。"
试用期工资,识别,,劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的百分之八十，并不得低于用人单位所在地的最低工资标准。,未识别,,劳动合同应具备条款，应在劳动合同中写明,高,《劳动合同法》第二十条 劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的百分之八十，并不得低于用人单位所在地的最低工资标准。
