schema,pos rule,pos keywords,pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,
标题,正则匹配,(厂房|商铺|自建房|写字楼|公寓|仓库|住宅|房屋)(租赁|出租)(合同|协议),"虽然签订了房屋租赁合同，但也需注意租赁合同无效的情形。房屋租赁合同无效的情形有：
1、出租房屋为出租人未取得建设工程规划许可证或者未按照建设工程规划许可证的规定建设的房屋，包括未取得建设用地规划许可证的建筑、擅自改变使用性质的建筑、擅自将临时建筑建设成永久性的建筑等
2、以办理登记备案手续为生效要件的租赁合同，当事人未按约定办理登记备案手续的，租赁合同无效注意这里主要是以办理登记备案手续为生效要件的前提下，否则，出租人以未办理登记备案手续为由请求租赁合同无效的，不能获得支持
3、租赁房屋未经整体验收合格的，租赁合同无效，注意这里的是指整体，而非局部或单项工程的验收，以保证房屋存在安全隐患
",未识别,,合同标题缺失或不完整，建议写明,中,"《民法典》第七百零三条 租赁合同是出租人将租赁物交付承租人使用、收益,承租人支付租金的合同。  
《城市房地产管理法》第五十四条 房屋租赁，出租人和承租人应当签订书面租赁合同，约定租赁期限、租赁用途、租赁价格、修缮责任等条款，以及双方的其他权利和义务，并向房产管理部门登记备案。",
签订地,识别,,“合同签订地”是法定争议解决管辖方式之一，亦涉及合同签订背景。,,,,低,"《民法典》第四百九十二条　承诺生效的地点为合同成立的地点。
　　采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。
第四百九十三条　当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。",
甲方,识别,,,未识别,,缺少双方基本信息-甲方,高,,
甲方地址,识别,,,未识别,,缺少双方基本信息-甲方地址,中,,
甲方联系方式,识别,,,未识别,,缺少双方基本信息-甲方联系方式,高,,
乙方,识别,,,未识别,,缺少双方基本信息-乙方,高,,
乙方地址,识别,,,未识别,,缺少双方基本信息-乙方地址,中,,
乙方联系方式,识别,,,未识别,,缺少双方基本信息-乙方联系方式,高,,
鉴于条款,识别,,,未匹配，不作审核,,,低,,应审查鉴于条款中所包含的法律法规名称是否正确
房屋基本信息,识别,房屋基本情况|房屋基本信息|建筑面积|坐落于|小区|街道,房屋基本情况中需罗列标的房屋的详细地址，结构，建筑面积，并附《房屋交割清单》以反映房屋装修及设施状况，同时可将其作为交房和收房时的验收依据。另说明权属状况，有无权利瑕疵。应将合同中记载的房屋信息以及所附的《房屋交割清单》与实际房屋情况仔细核对，避免后续发生纠纷。,未识别,,"房屋基本信息缺失
房屋基本情况中需罗列标的房屋的详细地址，结构，建筑面积，并附《房屋交割清单》以反映房屋装修及设施状况，同时可将其作为交房和收房时的验收依据。另说明权属状况，有无权利瑕疵。应将合同中记载的房屋信息以及所附的《房屋交割清单》与实际房屋情况仔细核对，避免后续发生纠纷。",高,,
房屋权属,识别,,房屋的权利人或合法使用人还需提供房屋所有权证书或其他能够证明权利人可对外出租该房屋的合法性文件以验证合同标的房屋的权属情况。另外，房屋所有权证上的所有权人名称应与合同出租方名称一致（所有权人书面同意转租或授权其他主体签署合同的除外）；房产证上所载房屋用途与合同上约定用途一致。合同应当明确房屋所处位置，且该描述应当与房屋产权证书所载一致。,未识别,,"缺少房屋权属条款
在房屋租赁合同中应写明房屋的所有人或合法使用人，并提供房屋所有权证书或其他能够证明权利人可对外出租该房屋的合法性文件。",,,
租赁用途,识别,,租赁房屋用途一般分为住宅、工商业、办公、仓库等，由租赁房屋的土地使用权用途决定。不同用途类型的房屋租赁会对应一些不同的权利义务内容，双方都应注意并遵守。租赁用途条款是指在房屋租赁合同中规定的房屋的使用性质，租赁用途一旦定明，则承租人不得擅自改用用途。而因为不同的租赁用途导致了对房屋的寿命影响不同，因此会对租金、租期，权利义务、违约责任等都产生影响。,未识别,,"缺少租赁用途条款
租赁用途不同，在合同中对应体现出来的内容也会有所不同，建议对房屋约定明确的租赁用途，并根据租赁用途起草",高,"《民法典》第七百零八条 【出租人交付租赁物义务和适租义务】出租人应当按照约定将租赁物交付承租人,并在租赁期限内保持租赁物符合约定的用途。",
租赁期限,识别,,在租赁期限内，承租人合法享有对租赁房屋的使用权。,未识别,,"缺少租赁期限
租赁合同期限需明确，有装修免租期的应标注装修免租期。若属于不定期租赁的合同，双方当事人均可随时解除，同时需给对方预留一定的准备时间",高,"《民法典》第七百二十一条 【租金支付期限】承租人应当按照约定的期限支付租金。对支付租金的期限没有约定或者约定不明确,依据本法第五百一十条的规定仍不能确定,租赁期限不满一年的,应当在租赁期限届满时支付;租赁期限一年以上的,应当在每届满一年时支付,剩余期限不满一年的,应当在租赁期限届满时支付。",
租赁起止时间,识别,,租赁起止时间应与租赁期限相符合,未识别,,"缺少租赁起始时间
应在约定租赁期限的同时写明租赁起止时间",,,
租金,识别,,在房屋租赁合同中应写明租金的计算标准及支付方式，租金支付期限，分期支付的应该写明每期租金具体金额及支付方式，押金并写明是否需要开票，是否含税,未识别,,"缺少租赁条款
在房屋租赁合同中应写明租金以及押金的计算标准及支付方式，租金支付期限，分期支付的应该写明每期租金具体金额及支付方式，并写明是否需要开票，是否含税",高,租金|年租金|月租金,
押金,识别,,如约定租赁保证金（押金）的，还需写明押金计算标准、返还方式、返还时间。,未识别，不作审核,,,,,
支付方式,识别,,采用银行转账的，指定收款信息应核实准确，确保信息有效。若采用微信或支付宝转账的形式支付租金的，应在转账时进行备注。现金支付的，应开具收据，签字后留存。,未识别,,"支付方式条款缺失
应在合同中写明租金及押金的支付方式",,,
