文档名,文本内容,schema,审核意见,,,
ld1,双方约定的试用期限至2022年7月4日止，期限为6个月。,试用期,约定的试用期过长，建议核实或修改,,,
ld1,双方协商一致，乙方同意从事内勤工作，工作地点在全国。,工作地点,工作地点条款缺失或约定不明确，建议补充完整。对于工作地点约定为“全国”，如单位经营模式、员工岗位无特殊情况，一般视为地点约定不明确。,,,
ld1,乙方在合同期内根据国家规定以及本企业安排时间进行工作，并享有国家规定并结合本企业具体情况安排的各项休息、休假的权利。,工作时间,工作时间条款缺失或约定不明确，建议补充完整。,,,
ld1,乙方每月工资为4000元。（试用期内每月3000元）,试用期工资,劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的80%，并不得低于用人单位所在地的最低工资标准。,,,
ld1,甲乙双方都必须依法参加社会保险，乙方同意在转正六个月后购买、缴纳社会保险费。,社会保险,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,,,
ld1,乙方同意乙方患病、非因工负伤，在规定的医疗期满后或女职工产假期满后，甲方可在甲方经营场所所在地内调整乙方工作地点和工作岗位（工种）。,合同变更,用人单位变更劳动者工作岗位的需与劳动者协商一致。,,,
ld2,试用期3月，自2022年1月5日起至2022年4月4日止。,试用期,约定的试用期过长，建议核实或修改。劳动合同期限三个月以上不满一年的，试用期不得超过一个月；劳动合同期限一年以上不满三年的，试用期不得超过二个月；三年以上固定期限和无固定期限的劳动合同，试用期不得超过六个月。同一用人单位与同一劳动者只能约定一次试用期。,,,
ld2,乙方自愿放弃社保，由此导致的损失由乙方自行承担。,社会保险,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,,,
ld2,乙方如发生工伤，停工留薪期工资自愿按照最低工资标准发放。,工资,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,,,
ld2,乙方如发生工伤，停工留薪期自愿按照十级工伤两个月，9级工伤4个月，以此类推，最多不超过12个月，如到期未来上班，超过约定部分同意甲方无需支付停工留薪期工资。,工资,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,,,
ld2,在本条事项未完全处理完毕之前，乙方不得擅自单方终止与甲方的劳动关系。原劳动合同期届满的，则相应顺延到本条事项处理完毕。,劳动者解除,劳动者有权按照法律规定或与用人单位协商一致解除劳动合同。,,,
ld2,乙方自双方劳动关系以任何形式结束之后，在五年内不得与甲方形成竞争关系，此条包括乙方本人或者帮助他人从事与甲方有竞争性的工作。,竞业限制期限,竞业限制期限，不得超过二年，自解除或者终止劳动合同起算。,,,
ld2,如乙方违反此条规定，则须向甲方赔偿10万元违约金。,竞业限制违约,约定的违约金过高，建议核实或修改。,,,
ld2,乙方在职期间承诺不怀孕，如怀孕用人单位免除自己的法定责任、排除劳动者权利的条款无效。用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。或者生产，自愿与甲方解除劳动关系，并放弃甲方支付任何经济补偿的权利。,禁止解除,,,,
ld3,在试用期内解除合同，乙方不享受基本工资。,工资,【《中华人民共和国劳动法》第五十条】工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。,,,
ld3,甲方实行不定时工时制，乙方需在每周星期六上午将本人在本周的工作情况和下周的详细工作安排发电子邮件到公司销售部邮箱,工作时间,实行不定时工时制需要有劳动行政部门批准。【《中华人民共和国劳动法》第三十六条】国家实行劳动者每日工作时间不超过八小时、平均每周工作时间不超过四十四小时的工时制度。 |【《中华人民共和国劳动法》第三十八条】用人单位应当保证劳动者每周至少休息一日。 |【《中华人民共和国劳动法》第三十九条】企业因生产特点不能实行本法第三十六条、第三十八条规定的，经劳动行政部门批准，可以实行其他工作和休息办法。,,,
ld3,本人工作任务以内加班加点的，不计加班工资。,加班,用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费或安排调休。,,,
ld3,甲方为乙方办理从乙方在甲方试用期满后连续工作满6个月的下一个月起至离职之日的上一个月止期间的养老、医疗、工伤、失业、生育五项社会保险，五险费用的个人缴纳部分，甲方依照国家规定从乙方工资中代扣代缴。,社会保险,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,,,
ld3,乙方不论何种原因离开甲方，乙方自离开甲方之日起三年内不得到与甲方经营有同种项目的企业从业;,竞业限制期限,竞业限制期限，不得超过二年，自解除或者终止劳动合同起算。,,,
ld3,乙方经办的甲方货品在20天内未回款到甲方或收货方未与甲方签订相关合同，乙方按经办该货品时的市场价付款给甲方。,工资,违法法律强制性规定，约定无效，建议删除。【《中华人民共和国劳动合同法》第九条】【用人单位不得扣押劳动者证件和要求提供担保】用人单位招用劳动者，不得扣押劳动者的居民身份证和其他证件，不得要求劳动者提供担保或者以其他名义向劳动者收取财物。,,,
