schema,neg sentence,neg legal advice,risk level,legal basis,risk statement,,
试用期,劳动合同期限为2年，试用期期限为6个月,约定的试用期过长，建议核实或修改,高,【《中华人民共和国劳动合同法》第十九条】劳动合同由用人单位与劳动者协商一致，并经用人单位与劳动者在劳动合同文本上签字或者盖章生效。劳动合同文本由用人单位和劳动者各执一份。同一用人单位与同一劳动者只能约定一次试用期。以完成一定工作任务为期限的劳动合同或者劳动合同期限不满三个月的，不得约定试用期。试用期包含在劳动合同期限内。劳动合同仅约定试用期的，试用期不成立，该期限为劳动合同期限。,试用期期限受制于劳动合同期限的约定，同一用人单位与同一劳动者只能约定一次试用期。,,
工作地点,工作地点为全国,工作地点条款缺失或约定不明确，建议补充完整。对于工作地点约定为“全国”，如单位经营模式、员工岗位无特殊情况，一般视为地点约定不明确。,,,用人单位变更劳动者工作地点的需与劳动者协商一致。公司在订立劳动合同时，对法律明确规定必备条款的工作地点，在其提供的劳动合同格式文本中不够具体明确，有导致约定不明的风险。,,
工资,（浙江省）乙方月工资为1500元。,约定的正式工资过低，建议核实。正式工资不得少于用人单位所在地最低工资标准。,高,【《中华人民共和国劳动合同法》第三十条】用人单位应当按照劳动合同约定和国家规定，向劳动者及时足额支付劳动报酬。用人单位拖欠或者未足额支付劳动报酬的，劳动者可以依法向当地人民法院申请支付令，人民法院应当依法发出支付令。,用人单位不得约定低于用人单位所在地的最低工资标准。,,
工资,员工请假一个月不得超过3天，请假一天，甲方有权扣除乙方三天工资。,违法法律规定，用人单位不得克扣或者无故拖欠劳动者的工资。,高,【《中华人民共和国劳动法》第五十条】工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。,用人单位不得克扣或者无故拖欠劳动者的工资。,,
工资,乙方负责的业务无法回款，自愿按照未回款金额的10%支付公司赔偿款，该款乙方同意甲方在应发工资中直接扣除,违法法律规定，用人单位不得克扣或者无故拖欠劳动者的工资。,高,【《中华人民共和国劳动法》第五十条】工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。,【《中华人民共和国劳动法》第五十条】工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。,,
社会保险,社保自试用期通过后次月缴纳,违法法律规定，用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。,高,【《中华人民共和国劳动法》第七十二条】社会保险基金按照保险类型确定资金来源，逐步实行社会统筹。用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。,,,
社会保险,乙方自承担合同期限内甲方为乙方缴纳的所有社保费用,违法法律规定，用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。,高,【《中华人民共和国劳动法》第七十二条】社会保险基金按照保险类型确定资金来源，逐步实行社会统筹。用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。,,,
社会保险,乙方自愿放弃社保，由此导致的损失由乙方自行承担,"社会保险条款缺失或约定不明确，建议补充完整。
用人单位应当依法为劳动者缴纳社会保险，同时，对于未缴社保的用人单位，劳动者可以解除劳动合同并主张补缴社保和赔偿金。需要注意的是，一旦发生劳动争议，即使双方签订了《自愿放弃社保承诺书》也会被认定为无效，不免除用人单位缴纳社保的义务。",高,【《中华人民共和国劳动法》第七十二条】社会保险基金按照保险类型确定资金来源，逐步实行社会统筹。用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。,,,
工作时间,工作时间为每周工作六天，每天9小时。,劳动时间不符合法律规定，建议在合法时间范围内约定，或经劳动行政部门批准，实行其他工作和休息办法。,高,【《中华人民共和国劳动法》第三十六条】国家实行劳动者每日工作时间不超过八小时、平均每周工作时间不超过四十四小时的工时制度。 |【《中华人民共和国劳动法》第三十八条】用人单位应当保证劳动者每周至少休息一日。 |【《中华人民共和国劳动法》第三十九条】企业因生产特点不能实行本法第三十六条、第三十八条规定的，经劳动行政部门批准，可以实行其他工作和休息办法。 |【《中华人民共和国劳动法》第四十一条】用人单位由于生产经营需要，经与工会和劳动者协商后可以延长工作时间，一般每日不得超过一小时；因特殊原因需要延长工作时间的，在保障劳动者身体健康的条件下延长工作时间每日不得超过三小时，但是每月不得超过三十六小时。,,,
休息休假,乙方享受年休假，年休假按照乙方在甲方的连续工作年限计算。,违法法律规定，年休假计算方式错误，应按照甲方连续工作年限计算年休假天数，而非甲方在本单位工作年休计算。,高, 【《职工带薪年休假条例》第三条】 职工累计工作已满1年不满10年的，年休假5天；已满10年不满20年的，年休假10天；已满20年的，年休假15天。,,,
劳动者解除,如未征得甲方书面同意擅自离职的，视为乙方严重违约，乙方须向甲方支付违约金5000元,违法法律规定，劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动者劳动的，或者用人单位违章指挥、强令冒险作业危及劳动者人身安全的，劳动者可以立即解除劳动合同，不需事先告知用人单位。,高,【《中华人民共和国劳动合同法》第三十六条】用人单位与劳动者协商一致，可以解除劳动合同。|【《中华人民共和国劳动合同法》第三十七条】劳动者提前三十日以书面形式通知用人单位，可以解除劳动合同。劳动者在试用期内提前三日通知用人单位，可以解除劳动合同。|【《中华人民共和国劳动合同法》第三十八条】用人单位有下列情形之一的，劳动者可以解除劳动合同：(一)未按照劳动合同约定提供劳动保护或者劳动条件的；(二)未及时足额支付劳动报酬的；(三)未依法为劳动者缴纳社会保险费的；(四)用人单位的规章制度违反法律、法规的规定，损害劳动者权益的；(五)因本法第二十六条第一款规定的情形致使劳动合同无效的；(六)法律、行政法规规定劳动者可以解除劳动合同的其他情形。用人单位以暴力、威胁或者非法限制人身自由的手段强迫劳动者劳动的，或者用人单位违章指挥、强令冒险作业危及劳动者人身安全的，劳动者可以立即解除劳动合同，不需事先告知用人单位。,劳动者有权按照法律规定或与用人单位协商一致解除劳动合同。,,
劳动保护,乙方如发生工伤，停工留薪期自愿按照十级工伤两个月，9级工伤4个月，以此类推，最多不超过12个月，如到期未来上班，超过约定部分同意甲方无需支付停工留薪期工资,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,高,【《工伤保险条例》第三十三条】职工因工作遭受事故伤害或者患职业病需要暂停工作接受工伤医疗的，在停工留薪期内，原工资福利待遇不变，由所在单位按月支付。停工留薪期一般不超过12个月。伤情严重或者情况特殊，经设区的市级劳动能力鉴定委员会确认，可以适当延长，但延长不得超过12个月。工伤职工评定伤残等级后，停发原待遇，按照本章的有关规定享受伤残待遇。工伤职工在停工留薪期满后仍需治疗的，继续享受工伤医疗待遇。,,,
劳动保护,乙方如发生工伤，停工留薪期工资自愿按照最低工资标准发放。,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,高,,,,
劳动保护,乙方患病或非因工负伤，与公司无关，甲方无需支付任何费用。,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,高,,,,
劳动保护,乙方患病或非因工负伤医疗期满后不能从事原工作的，甲方可以解除合同，不负违约责任。,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,高,,,,
劳动保护,乙方在工作中应注意安全，如因乙方原因导致工伤，除社保审核拨付部分款项，乙方自愿放弃向甲方追究工伤责任的权利。,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,高,"《劳动合同法》　第二十六条下列劳动合同无效或者部分无效：(一)以欺诈、胁迫的手段或者乘人之危，使对方在违背真实意思的情况下订立或者变更劳动合同的；
(二)用人单位免除自己的法定责任、排除劳动者权利的；(三)违反法律、行政法规强制性规定的。对劳动合同的无效或者部分无效有争议的，由劳动争议仲裁机构或者人民法院确认。

",,,
禁止解除,乙方在职期间承诺不怀孕，如怀孕或者生产，自愿与甲方解除劳动关系,用人单位免除自己的法定责任、排除劳动者权利的条款无效。用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。,中,【《中华人民共和国劳动合同法》第四十二条】劳动者有下列情形之一的，用人单位不得依照本法第四十条、第四十一条的规定解除劳动合同：(一)从事接触职业病危害作业的劳动者未进行离岗前职业健康检查，或者疑似职业病病人在诊断或者医学观察期间的；(二)在本单位患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的；(三)患病或者非因工负伤，在规定的医疗期内的；(四)女职工在孕期、产期、哺乳期的；(五)在本单位连续工作满十五年，且距法定退休年龄不足五年的；(六)法律、行政法规规定的其他情形。,用人单位不得约定在法律规定的禁止解除或终止劳动合同的期间内单方解除劳动合同。,,
用人单位解除,甲方实行末尾淘汰制，如乙方考核位次为末尾，甲方有权解除劳动合同，并无需支付经济补偿金,用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。,中,"【《中华人民共和国劳动合同法》第三十九条】劳动者有下列情形之一的，用人单位可以解除劳动合同：(一)在试用期间被证明不符合录用条件的；(二)严重违反用人单位的规章制度的；(三)严重失职，营私舞弊，给用人单位造成重大损害的；
(四)劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；(五)因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；(六)被依法追究刑事责任的。

",用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。,,
用人单位解除,如因公司与外部项目合同终止等不可控因素导致劳动合同无法继续履行的，不视为公司违约，此种情况下解除或终止劳动合同的，公司无需支付经济补偿,用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。,高,"【《中华人民共和国劳动合同法》第三十九条】劳动者有下列情形之一的，用人单位可以解除劳动合同：(一)在试用期间被证明不符合录用条件的；(二)严重违反用人单位的规章制度的；(三)严重失职，营私舞弊，给用人单位造成重大损害的；
(四)劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；(五)因本法第二十六条第一款第一项规定的情形致使劳动合同无效的；(六)被依法追究刑事责任的。

",用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。,,
竞业限制,竞业限制期限为永久。|敬业限制期5年。,竞业限制期限过长，建议核实。竞业限制期限不得超过两年。,高,【《中华人民共和国劳动合同法》第二十四条】竞业限制的人员限于用人单位的高级管理人员、高级技术人员和其他负有保密义务的人员。竞业限制的范围、地域、期限由用人单位与劳动者约定，竞业限制的约定不得违反法律、法规的规定。在解除或者终止劳动合同后，前款规定的人员到与本单位生产或者经营同类产品、从事同类业务的有竞争关系的其他用人单位，或者自己开业生产或者经营同类产品、从事同类业务的竞业限制期限，不得超过二年。,竞业限制期限，不得超过二年，自解除或者终止劳动合同起算。,,
