文档名,文本内容,schema,审核意见,审核结果,,
ld1,双方约定的试用期限至2022年7月4日止，期限为6个月。,试用期,约定的试用期过长，建议核实或修改,,,
ld1,双方协商一致，乙方同意从事内勤工作，工作地点在全国。,工作地点,工作地点条款缺失或约定不明确，建议补充完整。对于工作地点约定为“全国”，如单位经营模式、员工岗位无特殊情况，一般视为地点约定不明确。,,,
ld1,乙方在合同期内根据国家规定以及本企业安排时间进行工作，并享有国家规定并结合本企业具体情况安排的各项休息、休假的权利。,工作时间,工作时间条款缺失或约定不明确，建议补充完整。,,,
ld1,试用期内每月3000元,试用期工资,劳动者在试用期的工资不得低于本单位相同岗位最低档工资或者劳动合同约定工资的80%，并不得低于用人单位所在地的最低工资标准。,通过,
ld1,甲乙双方都必须依法参加社会保险，乙方同意在转正六个月后购买、缴纳社会保险费。,社会保险,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,,,
ld1,乙方同意乙方患病、非因工负伤，在规定的医疗期满后或女职工产假期满后，甲方可在甲方经营场所所在地内调整乙方工作地点和工作岗位（工种）。,合同变更,用人单位变更劳动者工作岗位的需与劳动者协商一致。,,,
ld2,试用期3月，自2022年1月5日起至2022年4月4日止。,试用期,约定的试用期过长，建议核实或修改。劳动合同期限三个月以上不满一年的，试用期不得超过一个月；劳动合同期限一年以上不满三年的，试用期不得超过二个月；三年以上固定期限和无固定期限的劳动合同，试用期不得超过六个月。同一用人单位与同一劳动者只能约定一次试用期。,,,
ld2,乙方自愿放弃社保，由此导致的损失由乙方自行承担。,社会保险,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,,,
ld2,乙方如发生工伤，停工留薪期工资自愿按照最低工资标准发放。,工资,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,,,
ld2,乙方如发生工伤，停工留薪期自愿按照十级工伤两个月，9级工伤4个月，以此类推，最多不超过12个月，如到期未来上班，超过约定部分同意甲方无需支付停工留薪期工资。,工资,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。,,,
ld2,在本条事项未完全处理完毕之前，乙方不得擅自单方终止与甲方的劳动关系。原劳动合同期届满的，则相应顺延到本条事项处理完毕。,劳动者解除,劳动者有权按照法律规定或与用人单位协商一致解除劳动合同。,,,
ld2,乙方自双方劳动关系以任何形式结束之后，在五年内不得与甲方形成竞争关系，此条包括乙方本人或者帮助他人从事与甲方有竞争性的工作。,竞业限制期限,竞业限制期限，不得超过二年，自解除或者终止劳动合同起算。,,,
ld2,如乙方违反此条规定，则须向甲方赔偿10万元违约金。,竞业限制违约,约定的违约金过高，建议核实或修改。,,,
ld2,乙方在职期间承诺不怀孕，如怀孕或者生产，自愿与甲方解除劳动关系，并放弃甲方支付任何经济补偿的权利。,禁止解除,用人单位免除自己的法定责任、排除劳动者权利的条款无效。用人单位违反法律规定解除或者终止劳动合同，劳动者要求继续履行劳动合同的，用人单位应当继续履行；劳动者不要求继续履行劳动合同或者劳动合同已经不能继续履行的，用人单位应当向劳动者支付赔偿金。,不通过,,
ld3,在试用期内解除合同，乙方不享受基本工资。,工资,【《中华人民共和国劳动法》第五十条】工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。,,,
ld3,甲方实行不定时工时制，乙方需在每周星期六上午将本人在本周的工作情况和下周的详细工作安排发电子邮件到公司销售部邮箱,工作时间,实行不定时工时制需要有劳动行政部门批准。【《中华人民共和国劳动法》第三十六条】国家实行劳动者每日工作时间不超过八小时、平均每周工作时间不超过四十四小时的工时制度。 |【《中华人民共和国劳动法》第三十八条】用人单位应当保证劳动者每周至少休息一日。 |【《中华人民共和国劳动法》第三十九条】企业因生产特点不能实行本法第三十六条、第三十八条规定的，经劳动行政部门批准，可以实行其他工作和休息办法。,,,
ld3,本人工作任务以内加班加点的，不计加班工资。,加班,用人单位安排加班的，应当按照国家有关规定向劳动者支付加班费或安排调休。,,,
ld3,甲方为乙方办理从乙方在甲方试用期满后连续工作满6个月的下一个月起至离职之日的上一个月止期间的养老、医疗、工伤、失业、生育五项社会保险，五险费用的个人缴纳部分，甲方依照国家规定从乙方工资中代扣代缴。,社会保险,用人单位应当自用工之日起三十日内为其职工向单位所在地社会保险经办机构申请办理社会保险登记，并应当缴纳社会保险金。,,,
ld3,乙方不论何种原因离开甲方，乙方自离开甲方之日起三年内不得到与甲方经营有同种项目的企业从业;,竞业限制期限,竞业限制期限，不得超过二年，自解除或者终止劳动合同起算。,,,
ld3,乙方经办的甲方货品在20天内未回款到甲方或收货方未与甲方签订相关合同，乙方按经办该货品时的市场价付款给甲方。,工资,违法法律强制性规定，约定无效，建议删除。【《中华人民共和国劳动合同法》第九条】【用人单位不得扣押劳动者证件和要求提供担保】用人单位招用劳动者，不得扣押劳动者的居民身份证和其他证件，不得要求劳动者提供担保或者以其他名义向劳动者收取财物。,,,
ld4,试⽤期(⻅习期)⼯资待遇为3000元每月。,试用期工资,约定的试用期工资过低，建议核实。试用期工资不得少于正式工资的80%,,,
ld4,"甲⼄双⽅任何⼀⽅违反合同条款，均应向对⽅⽀付违约⾦，违约⾦数额的确定办法为损失的20%;给对⽅造成损失的，应根据后果和责任向对⽅⽀付赔偿⾦，赔偿⾦数额的确定
办法为损失的20%;合同⼀⽅因不可抗⼒未能履⾏合同并给对⽅带来损害的，不承担相应责任。",竞业限制违约,"除了员工违反服务期约定或违反竞业限制义务两种情形之外，企业不得与员工约定由员工承担违约金。【《中华人民共和国劳动合同法》第二十二条】用人单位为劳动者提供专项培训费用，对其进行专业技术培训的，可以与该劳动者订立协议，约定服务期。
劳动者违反服务期约定的，应当按照约定向用人单位支付违约金。违约金的数额不得超过用人单位提供的培训费用。用人单位要求劳动者支付的违约金不得超过服务期尚未履行部分所应分摊的培训费用。
用人单位与劳动者约定服务期的，不影响按照正常的工资调整机制提高劳动者在服务期期间的劳动报酬。
|【《中华人民共和国劳动合同法》第二十三条】用人单位与劳动者可以在劳动合同中约定保守用人单位的商业秘密和与知识产权相关的保密事项。
对负有保密义务的劳动者，用人单位可以在劳动合同或者保密协议中与劳动者约定竞业限制条款，并约定在解除或者终止劳动合同后，在竞业限制期限内按月给予劳动者经济补偿。劳动者违反竞业限制约定的，应当按照约定向用人单位支付违约金。
【《中华人民共和国劳动合同法》第二十五条】除本法第二十二条和第二十三条规定的情形外，用人单位不得与劳动者约定由劳动者承担违约金。",,,
ld4,发⽣劳动争议后，甲⼄双⽅应积极协商解决，不愿协商或协商不成的，任何⼀⽅均可向甲方所在地⼈⺠法院提起诉讼。,争议解决,如发生争议，双方应友好协商解决，必须先经过劳动争议仲裁委员会仲裁程序，对仲裁不服的，再向法院起诉。,,,
ld4,如乙方销售回款未在销售合同约定时间里到位，乙方自愿承担未收回销售款10%的赔偿责任。,工资,违法法律强制性规定，约定无效，建议删除。【《中华人民共和国劳动合同法》第九条】【用人单位不得扣押劳动者证件和要求提供担保】用人单位招用劳动者，不得扣押劳动者的居民身份证和其他证件，不得要求劳动者提供担保或者以其他名义向劳动者收取财物。,,,
ld5,住房公积金一律不缴纳,社会保险,住房公积金缴纳义务缺失，建议核实或修改。【《住房公积金管理条例》第十五条】单位录用职工的，应当自录用之日起30日内向住房公积金管理中心办理缴存登记，并办理职工住房公积金账户的设立或者转移手续。,,,
ld5,当事人需服从工作安排(如两次调动岗位不服从领导安排自动离职)；,合同变更,违法法律规定，用人单位免除自己的法定责任、排除劳动者权利的，该约定为无效条款。【《中华人民共和国劳动合同法》第三十五条】用人单位与劳动者协商一致，可以变更劳动合同约定的内容。变更劳动合同，应当采用书面形式。变更后的劳动合同文本由用人单位和劳动者各执一份。,,,
ld1,"乙方有下列情形之一，甲方可立即解除合同，辞退乙方：
1、如无特别约定的，合同签约后15天内员工未能上岗位的；
2、乙方被查实在应聘时向甲方提供的其个人资料是虚假的，包括但不限于：离职证明、身份证明、户籍证明、学历证明、体检证明等是虚假或伪造的；应聘前患有精神病、传染性疾病及其它严重影响工作的疾病而在应聘时未声明的；应聘前曾受到其它单位记过、留厂察看、开除或除名等严重处分、或者有吸毒等劣迹而在应聘时未声明的；应聘前曾被劳动教养、拘役或者依法追究刑事责任而在应聘时未声明的等。
3、严重失职、营私舞弊给甲方利益造成2000元（含）以上重大损害的。
4、连续旷工3日以上或累计旷工达10日以上或事假达20日以上的。
5、乙方被依法追究刑事责任的。
乙方患病或非因公负伤，医疗期满后不能从事原工作，也不能从事甲方安排的其他工作的。
7、乙方不能胜任本职工作，经过培训或者调整工作岗位后，仍不能胜任工作并拒不服从甲方工作安排和劳动管理的。",用人单位解除,,通过
ld2,本合同期限为2年，自2022年1月5日起至2024年1月4日止。,合同期限,,通过
ld2,转正后工资为5000元/月。,工资,,通过
ld2,"具有下列情形之一的，乙方可以随时通知甲方解除本合同：
（1）在试用期内的；
（2）甲方以暴力、威胁或者非法限制人身自由的手段强迫劳动的；
（3）甲方未按照劳动合同约定支付劳动报酬或者提供劳动条件的；",劳动者解除,,通过
ld3,本合同自2022年1月5日至2024年1月4日止，期限2年。,合同期限,,通过
ld3,试用期满后基本工资每月6000元,工资,,通过
ld3,试用期基本工资每月5000元,试用期工资,,通过
ld3,"1、订立本合同所依据的法律、行政法规、规章制度发生变化，本合同应变更相关内容。
2、订立本合同所依据的客观情况发生重大变化，致使本合同无法履行的，经甲、乙双方协商同意，可以变更本合同相关内容。",合同变更,,通过
ld3,"乙方有下列情形之一，在合同期内，甲方不得解除合同：
①因工负伤并被确认丧失劳动能力的；
②患病或者负伤，在规定医疗期内的；
③女职工在孕期、产期、哺乳期内的；
④法律、法规规定的其它情形。",禁止解除,,通过
ld4,合同期限为3年，从2022年1⽉5⽇起至2025年1⽉4⽇⽌。,合同期限,,通过
ld4,试⽤期(⻅习期)满后的⼯资待遇为5000元每月。,工资,,通过
ld5,本合同于2022年1月5日生效，其中试用期至2022年2月4日止。本合同于2024年1月4日终止。,合同期限,,通过
ld5,于2022年1月5日生效，其中试用期至2022年2月4日止。,试用期,,通过
ld5,工作地点为甲方地址。,工作地点,,通过
ld5,甲乙双方按国家和北京市的规定参加社会保险。甲方为乙方办理有关社会保险手续，并承担相应社会保险义务。,社会保险,,通过
ld5,"双方因履行本合同发生争议，当事人可以向甲方劳动争议调解委员会申请调解；调解不成的，可以向劳动争议仲裁委员会申请仲裁。
当事人一方也可以直接向劳动争议仲裁委员会申请仲裁。",争议解决,,通过
ld5,"本合同的附件如下
 《员工手册》",附件,,通过
ld5,签订日期：2022年1月5日,签订日期,,通过
ld2,"
2022年1月5日",签订日期,,通过
ld1,2022年1月5日2022年1月5日,签订日期,,通过
ld3,2022年1月5日2022年1月5日,签订日期,,通过
ld4,2022年1⽉5⽇2022年1⽉5⽇,签订日期,,通过
ld3,"①甲方以暴力威胁或非法限制人身自由的手段强迫劳动的；
②甲方未按合同规定支付劳动报酬或提供劳动条件的。",劳动者解除,,通过
ld3,"(1)乙方有下列情形之一，甲方可以解除本合同：
①在试用期间，被证明不符合录用条件的；
②严重违反劳动纪律或甲方规章制度的；
③严重失职、营私舞弊，对甲方利益造成重大损害的；
④本合同未解除前受雇于其它单位或者个人的；
⑤将开展的本公司业务转移给其它单位或者个人的；
⑥将开展的本公司业务据为己有的；
⑦被依法追究刑事责任的。
(2)乙方有下列情形之一的，甲方可解除本合同，但应提前30日以书面形式通知乙方：
①乙方患病或非因工负伤，医疗期满后，不能从事原工作也不能从事甲方另行安排的工作的；
②乙方不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的。
(3)甲方有下列情形之一，乙方可以随时通知甲方解除合同：
①甲方以暴力威胁或非法限制人身自由的手段强迫劳动的；
②甲方未按合同规定支付劳动报酬或提供劳动条件的。",用人单位解除,,通过
ld4,每⽇⼯作8⼩时、每周⼯作40⼩时标准⼯时制。,工作时间,,通过
ld5,戴硕电子信息有限公司,用人单位统一社会信用代码,,通过
ld5,"甲乙双方解除、终止、续订劳动合同应当依照《中华人民共和国劳动合同法》和国家及北京市有关规定执行。
第十九条甲方应当在解除或者终止本合同时，为乙方出具解除或者终止劳动合同的证明，并在十五日内为乙方办理档案和社会保险关系转移手续。",用人单位解除,,通过
ld5,"甲乙双方解除、终止、续订劳动合同应当依照《中华人民共和国劳动合同法》和国家及北京市有关规定执行。
第十九条甲方应当在解除或者终止本合同时，为乙方出具解除或者终止劳动合同的证明，并在十五日内为乙方办理档案和社会保险关系转移手续。",劳动者解除,,通过
