schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
标题,违法,劳动合同,,,未识别,,标题条款缺失，建议核实。若用工单位通过订立所谓的劳务合同、雇佣合同等方式，意图规避劳动关系的建立，可能仍会被认定为劳动关系。,低,,合同双方应当厘清劳动合同与劳务合同的区别，以合同标题反映合同性质和法律关系。劳务合同是提供劳务一方与接受劳务一方依照法律规定签订协议，劳务提供人向接受人提供劳务活动，接受人向提供人支付劳务报酬的合同。,建议将合同标题由劳动合同修改为劳务合同，合同双方应当厘清劳动合同与劳务合同的区别，以合同标题反映合同性质和法律关系。,合同标题条款审核,合同标题审核
甲方（雇主）,公司名称校验,雇主|用工单位,,,未识别,,雇主姓名或名称缺失，建议补充完整。,中,,雇主姓名或名称应当准确无误，同时要确保与签章内容相一致。,雇主名称校验错误，建议核实。,合同主体名称审核,合同主体审核
雇主法定代表人/授权代表,识别,,,,未识别，不作审核,,,低,,,,合同主体代表审核,合同主体审核
雇主身份证号码/统一社会信用代码,身份证号校验|统一社会信用代码校验,,,,未识别,,雇主雇主身份证号码/统一社会信用代码缺失，建议补充完整。,中,,,雇主身份证号校验错误，建议核实。|统一社会信用代码校验错误，建议核实。,合同主体规范性审核,合同主体审核
雇主联系方式,联系方式校验,,,,未识别,,雇主联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,合同主体联系方式审核,合同主体审核
雇主地址,识别,,,,未识别,,雇主地址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核
乙方（雇员）,,雇员|劳动者,,,未识别,,雇员姓名缺失，建议补充完整。,中,,雇员姓名应当准确无误，同时要确保与签章内容相一致。,,合同主体名称审核,合同主体审核
雇员身份证号,身份证号校验,,,,未识别,,雇员身份证号缺失，建议补充完整。,中,,,雇员身份证号校验错误，建议核实。,合同主体规范性审核,合同主体审核
雇员联系方式,联系方式校验,,,,未识别,,雇员联系方式缺失，建议补充完整。,中,,,联系方式校验错误，建议核实。,合同主体联系方式审核,合同主体审核
雇员地址,识别,,,,未识别,,雇员地址缺失，建议补充完整。,中,,,,合同主体联系地址审核,合同主体审核
鉴于条款,失效法律规定审核,,,,未识别，不作审核,,,低,,,法条引用错误，该法条已失效。,合同背景条款审核,合同背景审核
合同期限,日期内部关联,,,,未识别,,合同期限条款缺失或约定不明确，建议补充完整。,高,,合同期限应与合同起止日期相一致。,合同期限与合同起止日期不一致，建议核实。,合同期限审核,合同期限审核
工作内容,识别,,,,未识别,,工作内容条款缺失或约定不明确，建议补充完整。,高,,工作内容反映了工作性质，应明确约定。,,工作内容审核,工作内容
工作时间,识别,,,,未识别,,工作时间条款缺失或约定不明确，建议补充完整。,高,,,,工作时间审核,工作时间和休息
工作地点,识别,,,,未识别,,工作地点条款缺失或约定不明确，建议补充完整。,中,,,,工作地点明确性审核,工作内容和工作地点
劳务报酬,金额内部相等,劳动报酬|劳务费,,,未识别,,"劳务报酬条款缺失或约定不明确，建议补充完整。
劳务报酬金额应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。",高,【《中华人民共和国民法典》第五百一十条】合同生效后，当事人就质量、价款或者报酬、履行地点等内容没有约定或者约定不明确的，可以协议补充；不能达成补充协议的，按照合同相关条款或者交易习惯确定。,劳务报酬属于劳务合同中的必备条款应当予以明确。,劳务报酬金额大小写不一致，建议核实。,劳务报酬金额审核,劳务报酬
劳务报酬支付方式,识别,,,,未识别,,劳务报酬发放时间条款缺失或约定不明确，建议补充完整。建议明确约定报酬月结、日结，以及结算具体时间，支付具体方式等。,高,,劳务报酬发放方式是劳务合同的必备条款。,,劳务报酬支付方式审核,劳务报酬
加班,识别,,,,未识别,,加班条款缺失或约定不明确，建议补充完整。为较少争议，建议在劳动合同中明确具体加班制度以及加班费的计算标准。,中,,雇主安排加班的，双方应协商加班劳务报酬金额，按照约定向劳动者支付加班费。,,加班约定审核,工作时间和休息
保险,识别,为了避免劳务提供者受伤给雇主带来损失，接受劳务方可以额外购买商业保险进行补充    。,,,未识别，不作审核,,,中,,工伤保险制度不适用于劳务关系，仅适用于用人单位与劳动者之间的劳动关系，为了避免劳务提供者受伤给自身带来损失，接受劳务方可以购买商业保险进行补充。,,提供意外保险审核,劳务保护
保密条款,识别,,,,未识别，不作审核,,,低,,,,保密条款约定审核,保密条款
雇主合同解除,权利对等审核,,,,未识别,,雇主合同解除条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十六条】合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。
合同因违约解除的，解除权人可以请求违约方承担违约责任，但是当事人另有约定的除外。",双方有权按照相关法律规定或合同约定解除劳务合同。,合同解除权利不对等，建议核实或修改,合同解除条款审核,合同解除条款审核
雇员合同解除,权利对等审核,,,,未识别,,雇员合同解除条款缺失或约定不明确，建议补充完整。,高,"【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十六条】合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。
合同因违约解除的，解除权人可以请求违约方承担违约责任，但是当事人另有约定的除外。",双方有权按照相关法律规定或合同约定解除劳务合同。,合同解除权利不对等，建议核实或修改,合同解除条款审核,合同解除条款审核
雇主违约责任,违约金审核|违约责任对等审核,,,,未识别,,"雇主违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】 当事人一方不履行合同义务或者履行合同义务不符合约定的,应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百九十二条】 当事人都违反合同的,应当各自承担相应的责任。
当事人一方违约造成对方损失,对方对损失的发生有过错的,可以减少相应的损失赔偿额。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定违约金的，违约金不得超过损失的30%。|违约责任约定不对等，建议核实或修改。,违约责任合理性、对等性审核,合同违约条款审核
雇员违约责任,违约金审核|违约责任对等审核,,,,未识别,,"雇员违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】 当事人一方不履行合同义务或者履行合同义务不符合约定的,应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百九十二条】 当事人都违反合同的,应当各自承担相应的责任。
当事人一方违约造成对方损失,对方对损失的发生有过错的,可以减少相应的损失赔偿额。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定违约金的，违约金不得超过损失的30%。|违约责任约定不对等，建议核实或修改。,违约责任合理性、对等性审核,合同违约条款审核
