一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
生产管理问题,出具失实报告,安全评价检验机构出具失实报告,《中华人民共和国安全生产法》第九十二条第一款,"【承担安全评价、认证、检测、检验职责的机构出具失实报告的】，责令停业整顿，并处三万元以上十万元以下的罚款；给他人造成损害的，依法承担赔偿责任。
承担安全评价、认证、检测、检验职责的机构租借资质、挂靠、出具虚假报告的， 没收违法所得；违法所得在十万元以上的，并处违法所得二倍以上五倍以下的罚款；没有违法所得或者违法所得不足十万元的，单处或者并处十万元以上二十万元以下的罚款；对其直接负责的主管人员和其他直接责任人员处五万元以上十万元以下的罚款；给他人造成损害的，与生产经营单位承担连带赔偿责任；构成犯罪的，依照刑法有关规定追究刑事责任。
对有前款违法行为的机构及其直接责任人员，吊销其相应资质和资格，五年内不得从事安全评价、认证、检测、检验等工作，情节严重的，实行终身行业和职业禁入。","违法事实：甲安全科技有限公司出具失实报告。
处罚依据：依据《中华人民共和国安全生产法》第九十二条第一款的规定。
处罚决定：决定对其作出责令停业整顿一个月（停业整顿期限为2021年12月15日至2022年1月14日），处人民币40000元整罚款的行政处罚。",承担安全评价、认证、检测、检验职责的机构出具失实报告,责令停业整顿|罚款|赔偿损失,并处三万元以上十万元以下的罚款,暂无,,
生产管理问题,出具虚假报告,安全评价检验机构租借资质/挂靠/出具虚假报告,《中华人民共和国安全生产法》第九十二条第二款,"承担安全评价、认证、检测、检验职责的机构出具失实报告的，责令停业整顿，并处三万元以上十万元以下的罚款；给他人造成损害的，依法承担赔偿责任。
【承担安全评价、认证、检测、检验职责的机构租借资质、挂靠、出具虚假报告的】， 没收违法所得；违法所得在十万元以上的，并处违法所得二倍以上五倍以下的罚款；没有违法所得或者违法所得不足十万元的，单处或者并处十万元以上二十万元以下的罚款；对其直接负责的主管人员和其他直接责任人员处五万元以上十万元以下的罚款；给他人造成损害的，与生产经营单位承担连带赔偿责任；构成犯罪的，依照刑法有关规定追究刑事责任。
对有前款违法行为的机构及其直接责任人员，吊销其相应资质和资格，五年内不得从事安全评价、认证、检测、检验等工作，情节严重的，实行终身行业和职业禁入。",暂无,承担安全评价、认证、检测、检验职责的机构租借资质、挂靠、出具虚假报告,没收违法所得|罚款|赔偿损失|追究刑事责任,违法所得在十万元以上的，并处违法所得二倍以上五倍以下的罚款；没有违法所得或者违法所得不足十万元的，单处或者并处十万元以上二十万元以下的罚款；对其直接负责的主管人员和其他直接责任人员处五万元以上十万元以下的罚款,【提供虚假证明文件罪】,《中华人民共和国刑法》第二百二十九条,"【承担资产评估、验资、验证、会计、审计、法律服务、保荐、安全评价、环境影响评价、环境监测等职责的中介组织的人员故意提供虚假证明文件，情节严重的】，处五年以下有期徒刑或者拘役，并处罚金；有下列情形之一的，处五年以上十年以下有期徒刑，并处罚金：
（一）提供与证券发行相关的虚假的资产评估、会计、审计、法律服务、保荐等证明文件，情节特别严重的；
（二）提供与重大资产交易相关的虚假的资产评估、会计、审计等证明文件，情节特别严重的；
（三）在涉及公共安全的重大工程、项目中提供虚假的安全评价、环境影响评价等证明文件，致使公共财产、国家和人民利益遭受特别重大损失的。
有前款行为，同时索取他人财物或者非法收受他人财物构成犯罪的，依照处罚较重的规定定罪处罚。
第一款规定的人员，严重不负责任，出具的证明文件有重大失实，造成严重后果的，处三年以下有期徒刑或者拘役，并处或者单处罚金。"
生产管理问题,负责人未履职,生产经营单位的主要负责人未履行安全生产管理职责,《中华人民共和国安全生产法》第九十四条第一款,"【生产经营单位的主要负责人未履行本法规定的安全生产管理职责的】，责令限期改正，处二万元以上五万元以下的罚款；逾期未改正的，处五万元以上十万元以下的罚款，责令生产经营单位停产停业整顿。
生产经营单位的主要负责人有前款违法行为，导致发生生产安全事故的，给予撤职处分；构成犯罪的，依照刑法有关规定追究刑事责任。
生产经营单位的主要负责人依照前款规定受刑事处罚或者撤职处分的，自刑罚执行完毕或者受处分之日起，五年内不得担任任何生产经营单位的主要负责人；对重大、特别重大生产安全事故负有责任的，终身不得担任本行业生产经营单位的主要负责人。 ","违法事实：2021年11月14日9时53分左右，甲纺织后整理产业园区厂房改建项目5#车间发生一起火灾，事故调查组发现当事人黄某在该项目中涉嫌存在未履行安全生产管理职责的行为。
经调查，甲纺织后整理产业园区厂房改建项目5#车间建设单位为乙氨纶纤维有限公司，施工总承包单位为丙建设工程有限公司。黄某是丙建设工程有限公司分管安全生产副总。该项目于2021年3月18日取得建筑工程施工许可证，于2021年11月14日发生火灾，在这施工期间，黄某作为公司安全生产副总未严格按照管理人员职责，组织或者参与本单位安全生产教育和培训；未及时检查该项目的安全生产状况，及时排查施工过程中发生安全事故隐患等安全生产管理职责。黄某未履行安全生产管理职责的行为，违反了《中华人民共和国安全生产法》第二十五条之规定，鉴于当事人未严格履行安全生产管理职责，是导致发生火灾事故的原因之一，但该火灾被认定为一般事故，且火灾后当事人能积极配合事故调查组和区建设局的调查，且认识态度较好。
处罚依据：依据《中华人民共和国安全生产法》第九十六条之规定。
处罚决定：2021年度黄某的收入为12000元整，对黄某处罚款收入的35%，即罚款人民币4200元整。
|违法事实：2021年11月14日9时53分左右，甲纺织后整理产业园区厂房改建项目5#车间发生一起火灾，事故调查组发现当事人柳某在该项目中涉嫌存在未履行安全生产管理职责的行为。
经调查，柳某是丙建设工程有限公司该项目的安全员。施工期间，柳某作为该项目的安全员未严格按照管理人员职责，组织开展该项目危险源辨识和评估，督促落实本项目重大危险源的安全管理措施；未及时检查该项目的安全生产状况，及时排查施工过程中发生安全事故隐患等安全生产管理职责。柳某未履行安全生产管理职责的行为，违反了《中华人民共和国安全生产法》第二十五条之规定。鉴于当事人未严格履行安全生产管理职责，是导致发生火灾事故的原因之一，但该火灾被认定为一般事故，且火灾后当事人能积极配合事故调查组和区建设局的调查，且认识态度较好。
处罚依据：依据《中华人民共和国安全生产法》第九十六条之规定
处罚决定：2021年度柳某的收入为9000元整，对柳某处罚款收入的35%，即罚款人民币3150元。",生产经营单位的主要负责人未履行规定的安全生产管理职责,责令改正|罚款|责令停业整顿,处二万元以上五万元以下的罚款；逾期未改正的，处五万元以上十万元以下的罚款,【重大责任事故罪】,《中华人民共和国刑法》第一百三十四条,【在生产、作业中违反有关安全管理的规定，因而发生重大伤亡事故或者造成其他严重后果的】，处三年以下有期徒刑或者拘役；情节特别恶劣的，处三年以上七年以下有期徒刑。
生产管理问题,负责人未履职,生产经营单位的其他负责人和安全生产管理人员未履行安全生产管理职责,《中华人民共和国安全生产法》第九十六条,【生产经营单位的其他负责人和安全生产管理人员未履行本法规定的安全生产管理职责的】，责令限期改正，处一万元以上三万元以下的罚款；导致发生生产安全事故的，暂停或者吊销其与安全生产有关的资格，并处上一年年收入百分之二十以上百分之五十以下的罚款；构成犯罪的，依照刑法有关规定追究刑事责任。,"违法事实：2021年11月某铁路项目经理部在某隧道处组织钻孔爆破施工时，发生了一起坍塌事故，造成3人死亡。金某，作为你单位项目经理，未认真履行工作职责，未严格督促项目经理部落实安全生产主体责任，对教育培训、安全交底、施工作业等安全管理工作中存在的问题失察失管，对该事故的发生负有责任。
处罚依据：《中华人民共和国安全生产法》第九十六条之规定
处罚决定：对你单位处罚款72845.02元。",生产经营单位的其他负责人和安全生产管理人员未履行安全生产管理职责,责令改正|罚款|吊销资格证|追究刑事责任,处一万元以上三万元以下的罚款；导致发生生产安全事故的，暂停或者吊销其与安全生产有关的资格，并处上一年年收入百分之二十以上百分之五十以下的罚款,【重大责任事故罪】,《中华人民共和国刑法》第一百三十四条,【在生产、作业中违反有关安全管理的规定，因而发生重大伤亡事故或者造成其他严重后果的】，处三年以下有期徒刑或者拘役；情节特别恶劣的，处三年以上七年以下有期徒刑。
生产管理问题,无安管人员,生产经营单位未按规定配备安全生产管理人员,《中华人民共和国安全生产法》第九十七条第（一）项,"生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：
（一）【未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师的】；
（二）危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格的；
（三）未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项的；
（四）未如实记录安全生产教育和培训情况的；
（五）未将事故隐患排查治理情况如实记录或者未向从业人员通报的；
（六）未按照规定制定生产安全事故应急救援预案或者未定期组织演练的；
（七）特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的。 ","违法事实：甲建设有限公司未按照规定配备安全生产管理人员。
处罚依据：根据《中华人民共和国安全生产法》第九十四条第一项之规定。
处罚决定：处以8000元罚款。",未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师,责令改正|罚款|责令停业整顿,处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款,暂无,,
生产管理问题,人员未经考核,生产经营单位的相关主要负责人和安全生产管理人员未经考核合格,《中华人民共和国安全生产法》第九十七条第（二）项,"生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：
（一）未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师的；
（二）【危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格的】；
（三）未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项的；
（四）未如实记录安全生产教育和培训情况的；
（五）未将事故隐患排查治理情况如实记录或者未向从业人员通报的；
（六）未按照规定制定生产安全事故应急救援预案或者未定期组织演练的；
（七）特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的。 ",暂无,危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格,责令改正|罚款|责令停业整顿,处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款,暂无,,
生产管理问题,人员未经培训,生产经营单位未按规定对相关从业人员进行安全生产教育和培训,《中华人民共和国安全生产法》第九十七条第（三）项,"生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：
（一）未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师的；
（二）危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格的；
（三）【未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项的】；
（四）未如实记录安全生产教育和培训情况的；
（五）未将事故隐患排查治理情况如实记录或者未向从业人员通报的；
（六）未按照规定制定生产安全事故应急救援预案或者未定期组织演练的；
（七）特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的。 ","违法事实: 2022年6月17日9时27分，执法人员在某工程现场检查时，发现甲建设工程有限公司的工作人员王某在操作挖掘机正在进行路基的挖填，经询问王某虽有建设机械施工作业操作证，但未接受过岗前安全教育培训，后经查阅相关台账，发现该企业未对王某进行安全生产教育和培训。依据《中华人民共和国安全生产法》第二十八条第一款，其行为涉嫌违反交通建设工程从业单位未按照规定对从业人员进行安全生产教育和培训。当事人已于2022年6月18日对王某进行了岗前安全教育培训，考试成合格。
处罚依据: 依据《中华人民共和国安全生产法》第九十七条第三项的规定。
处罚决定：罚款人民币1500元整。
|违法事实: 当事人未按照乙油品有限责任公司2021年度安全生产教育培训计划要求对从业人员进行安全生产教育培训。被查后，当事人积极配合调查，并于2022年6月12日按照公司2021年度安全生产教育培训计划要求补办了安全操作规程、防疫、职业卫生、防台防讯等安全教育培训，纠正了违法行为未发生生产安全事故。
处罚依据: 依据《中华人民共和国安全生产法》第九十七条第（三）项的规定。
处罚决定：责令限期改正并罚款人民币3000元整。",未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项,责令改正|罚款|责令停业整顿,处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款,暂无,,
生产管理问题,培训情况未记录,生产经营单位未如实记录安全生产教育和培训情况,《中华人民共和国安全生产法》第九十七条第（四）项,"生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：
（一）未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师的；
（二）危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格的；
（三）未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项的；
（四）【未如实记录安全生产教育和培训情况的】；
（五）未将事故隐患排查治理情况如实记录或者未向从业人员通报的；
（六）未按照规定制定生产安全事故应急救援预案或者未定期组织演练的；
（七）特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的。 ",暂无,未如实记录安全生产教育和培训情况,责令改正|罚款|责令停业整顿,处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款,暂无,,
生产管理问题,隐患排查未通报,生产经营单位未将事故隐患排查治理情况如实记录/未通报,《中华人民共和国安全生产法》第九十七条第（五）项,"生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：
（一）未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师的；
（二）危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格的；
（三）未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项的；
（四）未如实记录安全生产教育和培训情况的；
（五）【未将事故隐患排查治理情况如实记录或者未向从业人员通报的】；
（六）未按照规定制定生产安全事故应急救援预案或者未定期组织演练的；
（七）特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的。 ",暂无,未将事故隐患排查治理情况如实记录或者未向从业人员通报,责令改正|罚款|责令停业整顿,处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款,暂无,,
生产管理问题,无预案演练,生产经营单位未制定事故应急救援预案/未定期组织演练,《中华人民共和国安全生产法》第九十七条第（六）项,"生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：
（一）未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师的；
（二）危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格的；
（三）未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项的；
（四）未如实记录安全生产教育和培训情况的；
（五）未将事故隐患排查治理情况如实记录或者未向从业人员通报的；
（六）【未按照规定制定生产安全事故应急救援预案或者未定期组织演练的】；
（七）特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的。 ",暂无,未按照规定制定生产安全事故应急救援预案或者未定期组织演练,责令改正|罚款|责令停业整顿,处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款,暂无,,
