problem,suqiu,law_name,clause,content
婚姻家庭,离婚,《中华人民共和国婚姻法（2001修正）》,第三十一条,男女双方自愿离婚的，准予离婚。双方必须到婚姻登记机关申请离婚。婚姻登记机关查明双方确实是自愿并对子女和财产问题已有适当处理时，发给离婚证。
婚姻家庭,离婚,《中华人民共和国婚姻法（2001修正）》,第三十二条,男女一方要求离婚的，可由有关部门进行调解或直接向人民法院提出离婚诉讼。人民法院审理离婚案件，应当进行调解；如感情确已破裂，调解无效，应准予离婚。有下列情形之一，调解无效的，应准予离婚：（一）重婚或有配偶者与他人同居的；（二）实施家庭暴力或虐待、遗弃家庭成员的；（三）有赌博、吸毒等恶习屡教不改的；（四）因感情不和分居满二年的；（五）其他导致夫妻感情破裂的情形。一方被宣告失踪，另一方提出离婚诉讼的，应准予离婚。
婚姻家庭,离婚,《中华人民共和国婚姻法（2001修正）》,第三十三条,现役军人的配偶要求离婚，须得军人同意，但军人一方有重大过错的除外。
婚姻家庭,离婚,《中华人民共和国婚姻法（2001修正）》,第三十四条,女方在怀孕期间、分娩后一年内或中止妊娠后六个月内，男方不得提出离婚。女方提出离婚的，或人民法院认为确有必要受理男方离婚请求的，不在此限。
婚姻家庭,离婚,《中华人民共和国婚姻法（2001修正）》,第四十六条,有下列情形之一，导致离婚的，无过错方有权请求损害赔偿：（一）重婚的；（二）有配偶者与他人同居的；（三）实施家庭暴力的；（四）虐待、遗弃家庭成员的。
婚姻家庭,离婚,《最高人民法院关于适用《中华人民共和国婚姻法》若干问题的解释(一)》,第二十九条,承担婚姻法第四十六条规定的损害赔偿责任的主体，为离婚诉讼当事人中无过错方的配偶。人民法院判决不准离婚的案件，对于当事人基于婚姻法第四十六条提出的损害赔偿请求，不予支持。在婚姻关系存续期间，当事人不起诉离婚而单独依据该条规定提起损害赔偿请求的，人民法院不予受理。
婚姻家庭,离婚,《最高人民法院关于适用《中华人民共和国婚姻法》若干问题的解释(一)》,第三十条,人民法院受理离婚案件时，应当将婚姻法第四十六条等规定中当事人的有关权利义务，书面告知当事人。在适用婚姻法第四十六条时，应当区分以下不同情况：（一）符合婚姻法第四十六条规定的无过错方作为原告基于该条规定向人民法院提起损害赔偿请求的，必须在离婚诉讼的同时提出。（二）符合婚姻法第四十六条规定的无过错方作为被告的离婚诉讼案件，如果被告不同意离婚也不基于该条规定提起损害赔偿请求的，可以在离婚后一年内就此单独提起诉讼。（三）无过错方作为被告的离婚诉讼案件，一审时被告未基于婚姻法第四十六条规定提出损害赔偿请求，二审期间提出的，人民法院应当进行调解，调解不成的，告知当事人在离婚后一年内另行起诉
婚姻家庭,离婚,《最高人民法院关于适用《中华人民共和国婚姻法》若干问题的解释(二)》,第二十七条,当事人在婚姻登记机关办理离婚登记手续后，以婚姻法第四十六条规定为由向人民法院提出损害赔偿请求的，人民法院应当受理。但当事人在协议离婚时已经明确表示放弃该项请求，或者在办理离婚登记手续一年后提出的，不予支持。
婚姻家庭,离婚,《最高人民法院关于人民法院审理离婚案件如何认定夫妻感情确已破裂的若干具体意见》,,凡属下列情形之一的，视为夫妻感情确已破裂。一方坚决要求离婚，经调解无效，可依法判决准予离婚。1．一方患有法定禁止结婚疾病的，或一方有生理缺陷，或其它原因不能发生性行为，且难以治愈的。2．婚前缺乏了解，草率结婚，婚后未建立起夫妻感情，难以共同生活的。3．婚前隐瞒了精神病，婚后经治不愈，或者婚前知道对方患有精神病而与其结婚，或一方在夫妻共同生活期间患精神病，久治不愈的。4．一方欺骗对方，或者在结婚登记时弄虚作假，骗取《结婚证》的。5．双方办理结婚登记后，未同居生活，无和好可能的。6．包办、买卖婚姻、婚后一方随即提出离婚，或者虽共同生活多年，但确未建立起夫妻感情的。7．因感情不和分居已满3年，确无和好可能的，或者经人民法院判决不准离婚后又分居满1年，互不履行夫妻义务的。8．一方与他人通奸、非法同居，经教育仍无悔改表现，无过错一方起诉离婚，或者过错方起诉离婚，对方不同意离婚，经批评教育，处分，或在人民法院判决不准离婚后，过错方又起诉离婚，确无和好可能的。9．一方重婚，对方提出离婚的。10．一方好逸恶劳、有赌博等恶习，不履行家庭义务、屡教不改，夫妻难以共同生活的。11．一方被依法判处长期徒刑，或其违法、犯罪行为严重伤害夫妻感情的。12．一方下落不明满二年，对方起诉离婚，经公告查找确无下落的。13．受对方的虐待、遗弃，或者受对方亲属虐待，或虐待对方亲属，经教育不改，另一方不谅解的。14．因其他原因导致夫妻感情确已破裂的。
婚姻家庭,财产分割,《中华人民共和国婚姻法（2001修正）》,第十七条,夫妻在婚姻关系存续期间所得的下列财产，归夫妻共同所有：（一）工资、奖金；（二）生产、经营的收益；（三）知识产权的收益；（四）继承或赠与所得的财产，但本法第十八条第三项规定的除外；（五）其他应当归共同所有的财产。夫妻对共同所有的财产，有平等的处理权。
婚姻家庭,财产分割,《中华人民共和国婚姻法（2001修正）》,第十八条,"有下列情形之一的，为夫妻一方的财产：
（一）一方的婚前财产；
（二）一方因身体受到伤害获得的医疗费、残疾人生活补助费等费用；
（三）遗嘱或赠与合同中确定只归夫或妻一方的财产；
（四）一方专用的生活用品；
（五）其他应当归一方的财产。"
婚姻家庭,财产分割,《最高人民法院关于适用<中华人民共和国婚姻法>若干问题的解释(三)》,第十四条,当事人达成的以登记离婚或者到人民法院协议离婚为条件的财产分割协议，如果双方协议离婚未成，一方在离婚诉讼中反悔的，人民法院应当认定该财产分割协议没有生效，并根据实际情况依法对夫妻共同财产进行分割。
婚姻家庭,返还彩礼,《最高人民法院关于适用《中华人民共和国婚姻法》若干问题的解释(二)》,第十条,当事人请求返还按照习俗给付的彩礼的，如果查明属于以下情形，人民法院应当予以支持：（一）双方未办理结婚登记手续的；（二）双方办理结婚登记手续但确未共同生活的；（三）婚前给付并导致给付人生活困难的。适用前款第（二）、（三）项的规定，应当以双方离婚为条件。
婚姻家庭,房产分割,《最高人民法院关于适用<中华人民共和国婚姻法>若干问题的解释(三)》,第七条,婚后由一方父母出资为子女购买的不动产，产权登记在出资人子女名下的，可按照婚姻法第十八条第（三）项的规定，视为只对自己子女一方的赠与，该不动产应认定为夫妻一方的个人财产。由双方父母出资购买的不动产，产权登记在一方子女名下的，该不动产可认定为双方按照各自父母的出资份额按份共有，但当事人另有约定的除外。
婚姻家庭,房产分割,《最高人民法院关于适用<中华人民共和国婚姻法>若干问题的解释(三)》,第十一条,一方未经另一方同意出售夫妻共同共有的房屋，第三人善意购买、支付合理对价并办理产权登记手续，另一方主张追回该房屋的，人民法院不予支持。夫妻一方擅自处分共同共有的房屋造成另一方损失，离婚时另一方请求赔偿损失的，人民法院应予支持。
婚姻家庭,确认抚养权,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第一条,两周岁以下的子女，一般随母方生活。母方有下列情形之一的，可随父方生活：（１）患有久治不愈的传染性疾病或其他严重疾病，子女不宜与其共同生活的；（２）有抚养条件不尽抚养义务，而父方要求子女随其生活的；（３）因其他原因，子女确无法随母方生活的。
婚姻家庭,确认抚养权,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第三条,"对两周岁以上未成年的子女，父方和母方均要求随其生活，一方有下列情形之一的，可予优先考虑：
（１）已做绝育手术或因其他原因丧失生育能力的；
（２）子女随其生活时间较长，改变生活环境对子女健康成长明显不利的；
（３）无其他子女，而另一方有其他子女的；
（４）子女随其生活，对子女成长有利，而另一方患有久治不愈的传染性疾病或其他严重疾病，或者有其他不利于子女身心健康的情形，不宜与子女共同生活的。"
婚姻家庭,确认抚养权,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第四条,父方与母方抚养子女的条件基本相同，双方均要求子女与其共同生活，但子女单独随祖父母或外祖父母共同生活多年，且祖父母或外祖父母要求并且有能力帮助子女照顾孙子女或外孙子女的，可作为子女随父或母生活的优先条件予以考虑。
婚姻家庭,确认抚养权,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第五条,父母双方对十周岁以上的未成年子女随父或随母生活发生争执的，应考虑该子女的意见。
婚姻家庭,确认抚养权,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第六条,在有利于保护子女利益的前提下，父母双方协议轮流抚养子女的，可予准许。
婚姻家庭,确认抚养权,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第三十八条,"一方要求变更子女抚养关系有下列情形之一的，应予支持。
（１）与子女共同生活的一方因患严重疾病或因伤残无力继续抚养子女的；
（２）与子女共同生活的一方不尽抚养义务或有虐待子女行为，或其与子女共同生活对子女身心健康确有不利影响的；
（３）十周岁以上未成年子女，愿随另一方生活，该方又有抚养能力的；
（４）有其他正当理由需要变更的。"
婚姻家庭,行使探望权,《中华人民共和国婚姻法（2001修正）》,第十六条,离婚后，不直接抚养子女的父或母，有探望子女的权利，另一方有协助的义务。行使探望权利的方式、时间由当事人协议；协议不成时，由人民法院判决。父或母探望子女，不利于子女身心健康的，由人民法院依法中止探望的权利；中止的事由消失后，应当恢复探望的权利。
婚姻家庭,支付抚养费,《中华人民共和国婚姻法（2001修正）》,第三十七条,离婚后，一方抚养的子女，另一方应负担必要的生活费和教育费的一部或全部，负担费用的多少和期限的长短，由双方协议；协议不成时，由人民法院判决。关于子女生活费和教育费的协议或判决，不妨碍子女在必要时向父母任何一方提出超过协议或判决原定数额的合理要求。
婚姻家庭,支付抚养费,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第十一条,抚育费的给付期限，一般至子女十八周岁为止。十六周岁以上不满十八周岁，以其劳动收入为主要生活来源，并能维持当地一般生活水平的，父母可停止给付抚育费。
婚姻家庭,支付抚养费,《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干具体意见》,第十二条,尚未独立生活的成年子女有下列情形之一，父母又有给付能力的，仍应负担必要的抚育费：（１）丧失劳动能力或虽未完全丧失劳动能力，但其收入不足以维持生活的；（２）尚在校就读的；（３）确无独立生活能力和条件的。
