热门标签,问题,回答
婚姻家庭,婚姻家庭,"【离婚方式】
1.协议离婚。双方达成离婚协议后，可以向婚姻登记机关申请离婚登记，满三十日后，双方应当亲自到婚姻登记机关申请发给离婚证。
2.诉讼离婚。双方达不成离婚协议的，可以进行诉讼离婚。法定的离婚情形包括：重婚或者与他人同居，实施家庭暴力或者虐待、遗弃家庭成员，有赌博、吸毒等恶习屡教不改的，因感情不和分居满两年，以及其他导致夫妻感情破裂的情形。
【财产分割方式】
1.存在双方协商一致的财产分割协议，且协议不违背公序良俗，不违反法律、行政法规的强制性规定，按照约定分割财产。
2.双方没有财产分割协议，原则上平均分割夫妻共同财产，但是夫妻一方隐藏、转移、变卖、毁损、挥霍夫妻共同财产，或者伪造夫妻共同债务企图侵占另一方财产的，在离婚分割财产时可以少分或者不分；夫妻一方的个人财产，不作为共同财产分割，仍归个人所有。"
遗嘱继承,遗嘱继承,"【有遗嘱继承】
存在有效遗嘱的，按照遗嘱继承；但是，被继承人与他人签订了遗赠扶养协议的，优先按照遗赠扶养协议继承。
【无遗嘱继承】
1.没有遗嘱或者遗嘱无效的，由法定继承人继承按照下列顺序继承：（1）第一顺序：配偶、子女、父母；（2）第二顺序:兄弟姐妹、祖父母、外祖父母。继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。
2.遗嘱无效的情形：无民事行为能力人或限制民事行为能力人所立遗嘱无效，受欺诈、胁迫所立遗嘱无效，伪造遗嘱无效，遗嘱被篡改的内容无效。
【遗嘱形式】
1.自书遗嘱。自书遗嘱是遗嘱人亲笔书写的书面遗嘱，其中必须包含本人签名与注明年、月、日。
2.代书遗嘱。代书遗嘱应当有两个以上合格的见证人在场见证，由其中一个见证人代书，并由遗嘱人、代书人和其他见证人签名，注明年、月、日。
3.打印遗嘱。打印遗嘱应当有两个以上见证人在场见证。遗嘱人和见证人应当在遗嘱每一页签名，注明年、月、日。
4.录音、录像遗嘱。以录音录像形式立的遗嘱，应当有两个以上见证人在场见证。遗嘱人和见证人应当在录音录像中记录其姓名或者肖像，以及年、月、日。
5.口头遗嘱。遗嘱人在危急情况下，可以立口头遗嘱。口头遗嘱应当有两个以上见证人在场见证。危急情况消除后，遗嘱人能够以书面或者录音录像形式立遗嘱的，所立的口头遗嘱无效。
6.公证遗嘱。以上五种遗嘱，经遗嘱人亲自申请，经公证机构办理公证之后，即为公证遗嘱。"
银行借贷,银行借贷,"【银行借贷逾期后果】
1.借款人未按期偿还借款的，除按合同约定偿还借期内利息外，还应当按约定偿还逾期利息。
2.如果贷款机构或银行起诉到法院胜诉之后，在履行期未履行法院判决，贷款机构或银行可以申请法院强制执行；法院在受理强制执行时，会依法查询借款人名下的房产、车辆、证券和存款等；借款人名下没有可供执行的财产而又拒绝履行法院的生效判决，则有逾期还款等负面信息记录在个人的信用报告中并被限制高消费及出入境，甚至有可能会被司法拘留；借款人有能力偿还而拒不执行的情况下，可能涉嫌拒不执行判决、裁定罪。
【民间借贷利息规定】
1.借贷双方对借期内利息有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。未约定逾期利率或者约定不明的，可以区分不同情况处理：
（1）借贷双方没有约定利息，出借人主张支付利息的，人民法院不予支持。
（2）自然人之间借贷对利息约定不明，出借人主张支付利息的，人民法院不予支持。除自然人之间借贷的外，借贷双方对借贷利息约定不明，出借人主张利息的，人民法院会结合民间借贷合同的内容，并根据当地或者当事人的交易方式、交易习惯、市场报价利率等因素确定利息。
2.借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。未约定逾期利率或者约定不明的，可以区分不同情况处理：
（1）既未约定借期内利率，也未约定逾期利率，出借人可以主张借款人自逾期还款之日起参照当时一年期贷款市场报价利率标准计算的利息承担逾期还款违约责任；
（2）约定了借期内利率但是未约定逾期利率，出借人可以主张借款人自逾期还款之日起按照借期内利率支付逾期利息；
（3）既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。"
交通事故,交通事故,"【交通事故的处理】
在道路上发生交通事故，车辆驾驶人应当立即停车：
1.发生人身伤亡的，应立即抢救伤员并报警；
2.未发生人身伤亡的，且双方对事实及成因无争议的，可以撤离现场，恢复交通，自行协商处理损害赔偿事宜；
3.未发生人身伤亡的，但双方对事实及成因存在争议的，应迅速拨打122，报告交警处理。
【事故赔偿】
1.双方当事人可以协商解决，关于交通事故的损害赔偿可以协商确定。
2.若存在承运合同，如乘客在搭乘出租车、公交车、大巴等过程中受到事故伤害，由承运人（如出租车公司等）承担赔偿责任。需要注意的是，即便乘客免票、持优待票或者经许可无票搭乘，承运人亦需要承担赔偿责任。
3.对于日常生活中出于情谊的免费搭乘私家车等，由被搭乘人承担赔偿责任，但是应当减轻被搭乘人赔偿责任，若被搭乘人有故意或者重大过失的除外。
4.可按交通事故责任比例要求事故责任方承担损害赔偿责任。"
劳动劳务,劳动劳务,"【劳动劳务报酬】
1.用人单位和劳动者成立劳动关系，用人单位拖欠或者未足额支付劳动报酬的，劳动者可以通过以下方式要求用人单位支付劳动报酬：（1）向当地劳动行政部门举报；（2）依法向当地人民法院申请支付令；（3）向劳动合同履行地或者用人单位所在地的劳动争议仲裁委员会申请仲裁，对仲裁结果不服的，可以向人民法院起诉。
2.用工方与劳动者成立劳务关系，用工方未按约及时足额支付劳务报酬，劳动者可以直接向人民法院起诉。
【经济补偿金或赔偿金】
1.用人单位没有及时足额支付劳动报酬或者没有依法为劳动者缴纳社保，劳动者提出解除合同的，或者用人单位以发生经济性原因（企业重整、转产等）为由裁员的，应当支付经济补偿金。用人单位支付经济补偿金应当按劳动者在本单位工作的年限，按每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。
2.用人单位违法解除或者终止劳动合同的，应当按照经济补偿标准的二倍向劳动者支付赔偿金。"
房产物业,房产物业,"【物业费】
1.业主应当按照约定向物业服务人支付物业费。物业服务人已经按照约定和有关规定提供服务的，业主不得以未接受或者无需接受相关物业服务为由拒绝支付物业费。
2.业主违反约定逾期不支付物业费的，物业服务人可以催告其在合理期限内支付；合理期限届满仍不支付的，物业服务企业可以提起诉讼或者申请仲裁。 
3.物业服务企业不得采取停止供电、供水、供热、供燃气等方式催交物业费。追讨物业费应注意的几个问题： (1)要重视物业管理服务合同，明确双方的权利和义务。（2）要加强基础管理工作，引入风险意识。（3）要遵循人性化服务，物业费催缴工作要循序渐进。 
【物业管理服务】
1.物业公司的主要职责包括：
（1）对小区范围内的环境卫生、公共设施进行清理和维护；
（2）维护小区内的供水、供电、供气、供热、通信、有线电视等；
（3）对出入小区的车辆与人员进行管理；
（4）协助做好物业管理区域内的安全防范工作。
物业服务企业应当按照物业服务合同的约定，提供相应的服务。物业服务企业未能履行物业服务合同的约定，导致业主人身、财产安全受到损害的，应当依法承担相应的法律责任。物业服务企业应当协助做好物业管理区域内的安全防范工作。发生安全事故时，物业服务企业在采取应急措施的同时，应当及时向有关行政管理部门报告，协助做好救助工作。物业服务企业雇请保安人员的，应当遵守国家有关规定。保安人员在维护物业管理区域内的公共秩序时，应当履行职责，不得侵害公民的合法权益。
2.物业服务企业不履行职责时，业主有权：
（1）请求其履行职责；
（2）给业主造成损失的，业主有权要求其承担损害赔偿责任；
（3）经业主大会决议，可以更换物业服务企业，决议更换物业服务企业应当由专有部分面积占比三分之二以上的业主且人数占比三分之二以上的业主参与表决，并经专有部分面积过半数的业主且参与表决人数过半数的业主同意；
（4）业主可以向县级以上地方人民政府房地产行政主管部门投诉，县级以上地方人民政府房地产行政主管部门应当及时处理业主、业主委员会、物业使用人和物业服务企业在物业管理活动中的投诉，仍不能解决，可以向法院起诉。"
合同纠纷,合同纠纷,"【违约责任】
是否构成违约与合同约定有关。合同一方不履行或者不按要求履行合同的，需要承担违约责任，包括继续履行、采取补救措施或者赔偿损失等。
需要承担违约责任的情形有：拒绝履行、未支付价款或报酬、不履行合同或者不按照合同的要求履行。如对方有违约情形，您可以委托律师提起诉讼来主张自己的权利。有根本违约、拒绝履行主要债务、迟延履行主要债务等情形的，没有违约的一方也可以单方解除合同。
【合同解除】
1.遇到合同纠纷，当事人可以积极协商，协商一致可以解除合同。
2.当事人可以约定一方解除合同的事由，该事由发生时，解除权人可以解除合同。
3.合同的法定解除，有以下情况发生，可以根据法律规定单方解除合同。
（1）根本违约：因不可抗力导致合同目的不能实现；在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的。
（2）以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。
（3）任意解除权：承揽合同的定作人、货运合同的托运人、保管合同的寄存人、物业服务合同的业主方享有任意解除权，当然如果一方决意行使任意解除合同，给对方造成损失的，可能需要承担赔偿责任。"
侵权损害,侵权损害,"【确认侵权关系】
1.行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。
2.依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。
3.行为人造成他人民事权益损害，不论行为人有无过错，法律规定应当承担侵权责任的，也应当承担侵权责任。
民事权益包括人身权益与财产权益：财产权益包括所有权、物权、知识产权、股权和其他投资性权利、网络虚拟财产等具有财产性质的权益；人身权益包括生命权、健康权、身体权、名誉权、荣誉权、姓名权、肖像权和隐私权等。
【侵权责任】
1.侵权行为危及他人人身、财产安全的，被侵权人有权请求侵权人承担停止侵害、排除妨碍、消除危险等侵权责任。一般根据实际造成的损害进行赔偿。如果您是被侵权人，可以先和侵权人协商解决，协商不成，可以向侵权行为地或者被告住所地法院起诉，同时举证证明有侵权事实和结果，民事侵权承担民事赔偿责任，严重的侵权构成犯罪的，应该承担刑事责任。一般建议委托律师介入处理，维护您的权益。
2.如果您是侵权人，在被起诉或者收到投诉时，建议您先和对方协商，协商不成的委托律师积极应诉。"
刑事辩护,刑事辩护,"【辩护人】
1.辩护人范围
犯罪嫌疑人、被告人除自己行使辩护权以外，还可以委托一至二人作为辩护人。下列的人可以被委托为辩护人：(1)律师；(2)人民团体或者犯罪嫌疑人、被告人所在单位推荐的人；(3)犯罪嫌疑人、被告人的监护人、亲友。正在被执行刑罚或者依法被剥夺、限制人身自由的人，不得担任辩护人。被开除公职和被吊销律师、公证员执业证书的人，不得担任辩护人，但系犯罪嫌疑人、被告人的监护人、近亲属的除外。
2.辩护人的职责
（1）从实体上为犯罪嫌疑人、被告人进行辩护。即根据事实和法律，提出证明犯罪嫌疑人、被告人无罪、罪轻或者减轻、免除其刑事责任的材料和意见，反驳对犯罪嫌疑人、被告人不正确的指控，帮助司法机关全面了解案情，正确适用法律，依法公正处理案件。这是辩护人的首要任务。
（2）从程序上为犯罪嫌疑人、被告人进行辩护。帮助犯罪嫌疑人、被告人依法正确行使自己的诉讼权利，并在发现犯罪嫌疑人、被告人的诉讼权利受到侵犯或剥夺时，向公安司法机关提出意见，要求依法制止，或者向有关单位提出控告。
（3）为犯罪嫌疑人、被告人提供其他法律帮助。辩护人应当解答犯罪嫌疑人、被告人提出的有关法律问题，为犯罪嫌疑人、被告人代写有关文书，案件宣判后，应当了解被告人的态度，征求其对判决的意见以及是否提起上诉等。"
执行,执行,"【如何申请执行】
1.填写申请执行书，递交至第一审人民法院或者与第一审人民法院同级的被执行的财产所在地人民法院。
2.法院可以依法查封、扣押、冻结、处分被执行人的财产，如被执行人有能力履行而拒不履行，法院可对被执行人进行拘留、罚款，还可以将被执行人列入失信被执行人名单。情节严重的，可能构成拒不执行法院判决、裁定罪。被执行人或案外人等有利害关系的人，对执行有异议，填写执行异议书递交至法院。
3.由本人或委托代理人准备好申请执行的一套书面材料，然后递交到法院立案庭，就可以启动强制执行程序。书面材料包括：执行申请、生效的法律文书、生效证明、主体身份、财产线索等。"
