热门标签,问题,回答
婚姻家庭,家庭暴力，如果想离婚的话怎么办呢？,"1.遭遇家庭暴力，可以求助当地警察，或者到当地村居委会求助，也可以到法院申请人身安全保护令。
2.如果受害方想离婚，可以与对方协议离婚，但在对方又不同意的情况下，可由有关部门进行调解或直接向人民法院提出离婚诉讼。
3.在提出离婚的同时，您还可以就家庭暴力的侵权行为向对方主张离婚损害赔偿。在家庭暴力发生时，您应该及时报警，进行验伤，以收集对方过错的证据，这是因家庭暴力离婚官司输赢的关键部分。"
遗嘱继承,遗嘱必须公证才有效吗?,遗嘱不以公证作为生效前提。自然人可以依照本法规定立遗嘱处分个人财产，并可以指定遗嘱执行人。遗嘱的类型有自书遗嘱、代书遗嘱、打印遗嘱、以录音录像形式立的遗嘱、口头遗嘱、口头遗嘱、公证遗嘱。
银行借贷,借款人可以提前还款吗？,除当事人另有约定外，借款人可以提前还款，但是应支付按照实际借款期间计算的利息。
交通事故,发生交通事故了该怎么办？,"在发生交通事故的时候，要冷静对待。
首先，发生交通事故后，要拨打“122”交通事故报警电话，报警时，应当告知发生交通事故的地点、车辆类型、有无危险物品、人员伤亡状况、当事人姓名及联系电话等。如果有车辆逃逸的，应当告知逃逸车辆的颜色、特征及其逃逸方向等有关情况，以便交警堵截和追击车辆。
其次，需要保护现场，以便查明造成交通事故的原因和分清双方的责任。在实践中，保护现场最重要的方式就是不移动发生交通事故的车辆以及相关物品。除了抢救伤员不得已移动肇事车辆以外，应当尽量保持交通事故现场以及与交通事故有关物品的原貌。"
劳动劳务,没有劳动合同怎么证明存在劳动关系?,"如果用人单位没有与劳动者签订合同，就需要证明存在事实劳动关系。证明劳动事实存在的证据一般有：
1.工资卡、工资存折、工资条或其它工资发放记录(最好有单位盖章)、职工花名册；
2.用人单位向劳动者发放的“工作证”、“服务证”等能够证明身份的证件；
3.如用人单位有为劳动者购买社保，劳动者可以到社保局网站上，或到社保局打印自己的各项社会保险费的记录；
4.劳动者填写的用人单位招工招聘“登记表”、“报名表”等招用记录；
5.考勤记录；
6.同事的证人证言等。"
房产物业,租房日期还未到期，土地被征收，租客该怎么办？,租赁的房屋被征收，如双方《房屋租赁合同》对该情形做了约定，可按照约定处理。如未约定，双方可进行协商，无法协商一致，可通过法律途径解决。根据《国有土地上房屋征收与补偿条例》第十七条规定作出房屋征收决定的市、县级人民政府对被征收人给予的补偿包括：（一）被征收房屋价值的补偿；（二）因征收房屋造成的搬迁、临时安置的补偿；（三）因征收房屋造成的停产停业损失的补偿。
合同纠纷,什么样的行为会导致合同无效？,"导致合同无效的情形主要有：
1、行为人与相对人以虚假的意思表示实施的民事法律行为无效。以虚假的意思表示隐藏的民事法律行为的效力，依照有关法律规定处理。
2、和别人恶意串通，损害他人合法权益而签订的合同。
3、内容违反法律、行政法规的强制性规定或公序良俗的合同。
如果在这些情形下签订了合同，不需要过分担心，可以去法院确认这样的合同无效。
4、无民事行为能力人实施的民事法律行为无效。
一般来说合同成立就生效了，但是也可能因为附期限、附条件或者法律规定需要经过一些程序才能生效，此时合同成立但不生效。
如果合同无效，双方应该各自返还因合同而得到的物品、钱财等，无法返还的可以折价返还。"
侵权损害,14周岁未成年人拿砖块砸坏我方小型轿车，损失500元，责任有谁承担?,八周岁以上的未成年人为限制民事行为能力人，限制民事行为能力人造成他人损害的，由监护人承担侵权责任。监护人尽到监护职责的，可以减轻其侵权责任。有财产的限制民事行为能力人造成他人损害的，从本人财产中支付赔偿费用；不足部分，由监护人赔偿。
刑事辩护,偷了我爸爸3000块钱，我爸发现后要报警，怎么办?,偷拿家庭成员或者近亲属的财物，获得谅解的，一般可以不认为是犯罪;追究刑事责任的，应当酌情从宽。
执行,如何申请执行？,由本人或委托代理人准备好申请执行的一套书面材料，然后递交到法院立案庭，就可以启动强制执行程序。书面材料包括：执行申请、生效的法律文书、生效证明、主体身份、财产线索等。
子女抚养,离婚后，孩子判给了一方，另一方还要支付抚养费吗？,不论夫妻离婚与否，对子女都有抚养义务，任何一方都不得拒绝履行抚养义务。离婚时，双方可以对子女抚养进行协商，由一方直接抚养未成年子女，另一方给付抚养费。
工伤赔偿,劳务派遣中的工伤应该怎么处理？,被派遣劳动者在用工单位因工作遭受事故伤害的或患伤职业病的，劳务派遣单位应当依法申请工伤认定，用工单位应当协助工伤认定的调查核实工作。劳务派遣单位承担工伤保险责任，但可以与用工单位约定补偿办法。
社保纠纷,用人单位不给我缴纳社会保险怎么办？,用人单位和劳动者必须依法参加社会保险，缴纳社会保险费。用人单位应当依法为劳动者缴纳社会保险，同时，对于未缴社保的用人单位，劳动者可以解除劳动合同并主张补缴社保和补偿金。
建设工程,建设工程施工合同无效，但是建设工程经验收合格，应该怎么办？,建设工程施工合同无效，但是建设工程经验收合格的，可以参照合同关于工程价款的约定折价补偿承包人。
公司合伙,成立合伙企业的人数要求？,"1.普通合伙企业由普通合伙人组成，其中普通合伙人人数在2人以上（包括2人）。
2.有限合伙企业由至少一个普通合伙人和至少一个有限合伙人组成，总人数在50人以下（包括50人）。"
个税问题,出租房屋是否需要缴税？,财产租赁所得应当缴纳个人所得税。
行政案件,行政处罚措施包括哪些？,警告，罚款，行政拘留，没收违法所得、没收非法财物，责令停产停业，暂扣或者吊销许可证、执照等。
知识产权,知识产权被侵权怎么办？,"1.发警告函；对于侵权行为和后果不是很严重，权利人可以以发警告函的形式提醒对方，要求其停止侵权。
2.提起诉讼。提起诉讼可以促进和谈，请求获得赔偿。"
争议解决,合同有争议了应该怎么解决？,双方可以先进行协商，解决争议。若协商不成的，若合同约定了争议解决条款，可以根据合同约定进行仲裁或诉讼；若合同没有约定争议解决条款，可以向合同履行地、被告人住所地人民法院起诉。
