热门标签,问题,回答
劳动争议,劳动争议,"【辞退员工】
1.有下列情形之一的，用人单位应当支付经济补偿金：
（1）劳动者患病或者非因工负伤，在规定的医疗期满后不能从事原工作也不能从事由用人单位另行安排的工作的，用人单位提出解除劳动合同；
（2）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的，用人单位提出解除劳动合同；
（3）用人单位以发生经济性原因（企业重整、转产等）为由裁员；
（4）法律规定的其他情形。
2.用人单位违法解除或者终止劳动合同的，应当按照经济补偿标准的二倍向劳动者支付赔偿金。用人单位支付经济补偿金应当按劳动者在本单位工作的年限，每满一年支付一个月工资的标准向劳动者支付。六个月以上不满一年的，按一年计算；不满六个月的，向劳动者支付半个月工资的经济补偿。
3.用人单位因下列原因解除劳动合同的，不需要支付经济补偿金或赔偿金：
（1）劳动者在试用期间被证明不符合录用条件；
（2）劳动者严重违反用人单位的规章制度；
（3）劳动者严重失职，营私舞弊，给用人单位造成重大损害；
（4）劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出仍拒不改正的；
（5）劳动者欺诈、胁迫或乘人之危，使用人单位在违背真实意思的情况下订立或者变更劳动合同；
（6）劳动者被依法追究刑事责任。"
办公租赁,办公租赁,"【租用住宅类房屋】
若企业租用住宅类房屋用于办公，将导致无法申办营业执照等问题，建议注意查看房产证上的房屋用途，避免争议。"
合同业务,合同业务,"【合同效力】
1.无权代理
（1）行为人没有代理权、超越代理权或者代理权终止后，仍然实施代理行为，未经被代理人追认的，对被代理人不发生效力，但是相对人有理由相信行为人有代理权的，代理行为有效。
（2）无权代理人以被代理人的名义订立合同，被代理人已经开始履行合同义务或者接受相对人履行的，视为对合同的追认。
2.法定代表人超越权限
（1）执行法人或者非法人组织工作任务的人员，就其职权范围内的事项，以法人或者非法人组织的名义实施的民事法律行为，对法人或者非法人组织发生效力，法人或者非法人组织对执行其工作任务的人员职权范围的限制，不得对抗善意相对人。
（2）法人的法定代表人或者非法人组织的负责人超越权限订立的合同，除相对人知道或者应当知道其超越权限外，该代表行为有效，订立的合同对法人或者非法人组织发生效力。
【违约责任】
1.是否构成违约与合同约定有关。合同一方不履行或者不按要求履行合同的，需要承担违约责任，包括继续履行、采取补救措施或者赔偿损失等。
2.需要承担违约责任的情形有：拒绝履行、未支付价款或报酬、不履行合同或者不按照合同的要求履行。如对方有违约情形，您可以委托律师提起诉讼来主张自己的权利。有根本违约、拒绝履行主要债务、迟延履行主要债务等情形的，没有违约的一方也可以单方解除合同。"
侵权损害,侵权损害,"【确认侵权关系】
1.行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。
2.依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。
3.行为人造成他人民事权益损害，不论行为人有无过错，法律规定应当承担侵权责任的，也应当承担侵权责任。
民事权益包括人身权益与财产权益：财产权益包括所有权、物权、知识产权、股权和其他投资性权利、网络虚拟财产等具有财产性质的权益；人身权益包括生命权、健康权、身体权、名誉权、荣誉权、姓名权、肖像权和隐私权等。
【侵权责任】
1.侵权行为危及他人人身、财产安全的，被侵权人有权请求侵权人承担停止侵害、排除妨碍、消除危险等侵权责任。一般根据实际造成的损害进行赔偿。如果您是被侵权人，可以先和侵权人协商解决，协商不成，可以向侵权行为地或者被告住所地法院起诉，同时举证证明有侵权事实和结果，民事侵权承担民事赔偿责任，严重的侵权构成犯罪的，应该承担刑事责任。一般建议委托律师介入处理，维护您的权益。
2.如果您是侵权人，在被起诉或者收到投诉时，建议您先和对方协商，协商不成的委托律师积极应诉。"
建设工程,建设工程,"【资质问题】
1.发包方与承包方均应按照资质标准规定要求申请相应资质，经审查合格并取得资质证书后，方可在其资质许可的范围内从事相应的建设工程勘察、设计、施工、监理活动。若因一方无资质会导致建设工程合同无效。
2.建设工程施工合同无效，但是建设工程经验收合格的，可以参照合同关于工程价款的约定折价补偿承包人。
3.建设工程施工合同无效，且建设工程经验收不合格的，按照以下情形处理：
（1）修复后的建设工程经验收合格的，发包人可以请求承包人承担修复费用；
（2）修复后的建设工程经验收不合格的，承包人无权请求参照合同关于工程价款的约定折价补偿。
发包人对因建设工程不合格造成的损失有过错的，应当承担相应的责任。
【分包转包】
发包人可以与总承包人订立建设工程合同，也可以分别与勘察人、设计人、施工人订立勘察、设计、施工承包合同。
1.发包人不得将应当由一个承包人完成的建设工程支解成若干部分发包给数个承包人。
2.总承包人或者勘察、设计、施工承包人经发包人同意，可以将自己承包的部分工作交由第三人完成。第三人就其完成的工作成果与总承包人或者勘察、设计、施工承包人向发包人承担连带责任。
3.承包人不得将其承包的全部建设工程转包给第三人或者将其承包的全部建设工程支解以后以分包的名义分别转包给第三人。
4.禁止承包人分包给不具备相应资质条件的单位，禁止分包单位再分包。
5.建设工程主体结构的施工必须由承包人自行完成。"
工商登记,工商登记,"【公司注册登记准备材料】
公司注册登记前需准备的材料有公司名称及经营范围，公司注册资金、股东出资比例，全体股东身份证原件及复印件、法定代表人身份证复印件、电话、邮箱，经营场所产权证明、租赁协议和房租发票等。"
股权设计,股权设计,"【有限责任公司股权设计方式】
根据《中华人民共和国公司法》第四十二条规定，股东会会议由股东按照出资比例行使表决权，但是公司章程另有规定除外。公司章程对有限公司股权与表决权相关细节进行约定，可以不按照持股比例进行表决权比例分配。"
融资并购,融资并购,"【融资并购注意点】
建议注意企业的经营前景、财务、债务、法律等方面的风险。例如对该公司的生产经营情况，真实财务、债务、诉讼争议情况做详细背调。"
企业合规,企业合规,"【企业合规意义】
合规管理对于企业来说具有促进企业稳健经营运行、防范违规风险、规范员工行为、防止决策失误、减少生产安全方面出现的问题等重要意义。具体体现为：
1.合规管理是企业稳健经营运行的内在要求，也是防范违规风险的基本前提，是每一个公司都必须要管理的一部分，也是保障自身利益的有力武器，内控制度的完善离不开合规化的管理及操作，这样方能让企业内控制度效用最大化。
2.合规管理是规范员工行为的有效手段，通过建构科学的企业合规文化以及合规体系，有利于让员工养成合规化的习惯，避免违规风险。同时在在制度层次向广大员工普及合规管理的相关条例，有利于让员工自觉自律的避免违规化操作。
3.合规管理可以防止决策失误，领导者的权限较大，再小的决策都有可能弓|发公司的多米诺骨牌效应，合规化管理通过约束高层领导人员的相关行为能够最大限度的减少决策失误而带来的经营风险。"
税务问题,税务问题,"【税务减免】
1.对小型微利企业年应纳税所得额不超过100万元的部分，减按25%计入应纳税所得额，按20%的税率缴纳企业所得税；对年应纳税所得额超过100万元但不超过300万元的部分，减按50%计入应纳税所得额，按20%的税率缴纳企业所得税。
（1）自2018年1月1日至2020年12月31日，符合条件的小型微利企业，无论采取查账征收方式还是核定征收方式，其年应纳税所得额低于100万元的，均可以享受所得减按50%计入应纳税所得额，按20%的税率计算缴纳企业所得税的政策。
（2）符合条件的小型微利企业，在预缴和年度汇算清缴企业所得税时，通过填写纳税申报表的相关内容，即可享受减半征税政策。
（3）符合条件的小型微利企业，统一实行按季度预缴企业所得税。
（4）企业预缴企业所得税时，按照规定享受减半征税政策。
（5）企业预缴时享受了减半征税政策，年度汇算清缴时不符合小型微利企业条件的，应当按照规定补缴税款。"
