label,index
本金偿还期限有约定的,0
逾期未偿还借款,1
既未约定借期内利息，也未约定逾期利息,2
约定借期利息，但未约定逾期利息,3
对本金偿还期限未做出约定或者约定不明确,4
既约定借期利息，也约定逾期利息,5
借款后借款人离婚,6
未约定借期内利息，但约定了逾期利息,7
借款后借款人死亡,8
冒用他人名义借款,9
借款人逾期未返还借款,10
盗用他人名义借款,11
提前还款,12
约定借期内利息，但未约定逾期利息,13
既约定借期内利息，也约定逾期利息,14
感情不和,15
婚前缺乏了解，草率结婚，婚后未建立起夫妻感情，难以共同生活,16
有配偶者与他人同居,17
经人民法院判决不准离婚后又分居满半年，互不履行夫妻义务的。,18
实施家庭暴力，虐待家庭成员、遗弃家庭成员,19
经人民法院判决不准离婚后又分居满1年，互不履行夫妻义务的。,20
法院已判决不予离婚或撤回起诉后，没有新情况、新理由，原告在6个月内再次起诉,21
感情不和分居满两年,22
具有严重恶习屡教不改,23
办理结婚登记后，未同居生活，无和好可能,24
结婚登记,25
一方患精神病，婚后久治不愈,26
一方被依法判处长期徒刑，或其违法、犯罪行为严重伤害夫妻感情的,27
协议离婚,28
包办、买卖婚姻，共同生活时间短,29
一方患有法定禁止结婚疾病，或一方有生理缺陷，或其它原因不能发生性行为，且难以治愈,30
男方在女方怀孕期间、分娩后一年内或中止妊娠后六个月内提出离婚,31
一方下落不明满两年，另一方提出离婚诉讼,32
重婚,33
一方欺骗对方，或者在结婚登记时弄虚作假，骗取结婚证,34
被赡养人缺乏劳动能力或生活困难要求子女支付赡养费,35
被赡养人缺乏劳动能力或生活困难要求儿媳或女婿支付赡养费,36
被赡养人缺乏劳动能力或生活困难要求其他人支付赡养费,37
被赡养人缺乏劳动能力或生活困难要求（外）孙子女支付赡养费,38
丧失劳动能力,39
给付方长期患病或丧失劳动能力，又无经济来源,40
借款人未按约定用途使用借款,41
无固定经济收入,42
虽未完全丧失劳动能力，但其收入不足以维持生活的成年子女,43
尚在校就读的成年子女,44
原定抚育费数额不足以维持当地实际生活水平的,45
