一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
卫生问题,乱丢垃圾,乱丢生活垃圾,《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（二）项,"禁止下列影响公共场所环境卫生的行为：
（一）随地吐痰、便溺；
（二）【乱扔果皮、纸屑、烟蒂、饮料罐、口香糖等废弃物】；
（三）乱丢废电池等实行单独收集的特殊废弃物；
（四）乱倒垃圾、污水、粪便，乱扔动物尸体等废弃物；
（五）在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物；
（六）占用道路、广场从事车辆清洗活动。
违反前款规定的，由行政执法机关责令改正，并处罚款。其中，违反第（一）项、第（二）项、第（三）项规定的，处以二十元以上五十元以下罚款；违反第（四）项、第（五）项规定的，对个人处以五十元以上二百元以下罚款，对单位处以二百元以上二千元以下罚款，对利用运输工具乱倒垃圾的，可以暂扣运输工具，要求违法行为人到指定地点接受处理，在其接受罚款并承担已倒垃圾清运至垃圾消纳场所的费用后，发还运输工具；违反第（六）项规定的，处以二百元以上二千元以下罚款。","违法事实：2022年7月17日14时35分，我局执法人员在监督检查中发现，当事人在某地乱扔废弃物，执法人员出示证件、表明身份、告知公务后，对现场进行检查，经查，当事人将包装纸扔在商铺门口，现场情况已拍照取证，当事人行为违反了《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（二）项之规定。
处罚依据：《杭州市城市市容和环境卫生管理条例》第四十五条第二款及《杭州市城市管理行政处罚自由裁量权实施办法》第八条第二项的规定。
处罚决定：罚款人民币35元整
|违法事实：2022年8月8日08时30分，当事人金某在某路段交叉口乱扔饮料罐，在队员的指正下，当事人改正了违法行为。当事人行为违反《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（二）项的规定；
处罚依据：根据《杭州市城市市容和环境卫生管理条例》第四十五条第二款的规定。
处罚决定：对当事人罚款人民币35元整",乱扔果皮、纸屑、烟蒂、饮料罐、口香糖等废弃物,责令改正|罚款,处以二十元以上五十元以下罚款,暂无,,
卫生问题,乱丢垃圾,乱丢废电池等特殊废弃物,《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（三）项,"禁止下列影响公共场所环境卫生的行为：
（一）随地吐痰、便溺；
（二）乱扔果皮、纸屑、烟蒂、饮料罐、口香糖等废弃物；
（三）【乱丢废电池等实行单独收集的特殊废弃物】；
（四）乱倒垃圾、污水、粪便，乱扔动物尸体等废弃物；
（五）在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物；
（六）占用道路、广场从事车辆清洗活动。
违反前款规定的，由行政执法机关责令改正，并处罚款。其中，违反第（一）项、第（二）项、第（三）项规定的，处以二十元以上五十元以下罚款；违反第（四）项、第（五）项规定的，对个人处以五十元以上二百元以下罚款，对单位处以二百元以上二千元以下罚款，对利用运输工具乱倒垃圾的，可以暂扣运输工具，要求违法行为人到指定地点接受处理，在其接受罚款并承担已倒垃圾清运至垃圾消纳场所的费用后，发还运输工具；违反第（六）项规定的，处以二百元以上二千元以下罚款。","违法事实：2022年1月28日15时15分，我局执法人员在监督检查中发现，当事人在某中学东侧涉嫌乱扔废电池。执法人员出示证件、表明身份、告知公务后，对现场进行检查，经查，当事人将壹节废弃的“南孚”牌电池乱扔在中学东侧的食堂门口空地上，现场情况已拍照取证。当事人行为违反了《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（三）项之规定。
处罚依据：依据《杭州市城市市容和环境卫生管理条例》第四十五条第二款之规定。
处罚决定：罚款人民币50元整。",乱丢废电池等实行单独收集的特殊废弃物,责令改正|罚款,处以二十元以上五十元以下罚款,暂无,,
卫生问题,乱丢垃圾,乱倒污水、粪便，或乱扔动物尸体等废弃物,《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（四）项,"禁止下列影响公共场所环境卫生的行为：
（一）随地吐痰、便溺；
（二）乱扔果皮、纸屑、烟蒂、饮料罐、口香糖等废弃物；
（三）乱丢废电池等实行单独收集的特殊废弃物；
（四）【乱倒垃圾、污水、粪便，乱扔动物尸体等废弃物】；
（五）在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物；
（六）占用道路、广场从事车辆清洗活动。
违反前款规定的，由行政执法机关责令改正，并处罚款。其中，违反第（一）项、第（二）项、第（三）项规定的，处以二十元以上五十元以下罚款；违反第（四）项、第（五）项规定的，对个人处以五十元以上二百元以下罚款，对单位处以二百元以上二千元以下罚款，对利用运输工具乱倒垃圾的，可以暂扣运输工具，要求违法行为人到指定地点接受处理，在其接受罚款并承担已倒垃圾清运至垃圾消纳场所的费用后，发还运输工具；违反第（六）项规定的，处以二百元以上二千元以下罚款。","违法事实：2022年5月17日9时07分，我局执法人员发现当事人姚某（花店经营者），在店铺门口乱倒垃圾，乱倒的垃圾主要为树叶和树枝。经测量，长约2.3米，宽约2米，共计面积约为4.6平方米。执法人员开具《责令立即（限期）改正违法行为通知书》，责令当事人立即停止改正违法行为，于2022年5月17日9时37分前改正上述违法行为，并接受复查。2022年5月17日9时37分经执法人员复查当事人已改正违法行为，现场垃圾已清理干净。当事人行为违反《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（四）项之规定。
处罚依据：根据《杭州市城市市容和环境卫生管理条例》第四十五条第二款及《杭州市城市管理行政处罚自由裁量权实施办法》之规定。
处罚决定：罚款人民币200元整。
|违法事实：经查明，2022年07月23日19时15分，当事人在其经营的店铺前人行道上倾倒垃圾（具体种类为石膏板两块，塑料泡沫六块，包装袋三只），经队员现场测量，共计占用人行道面积为1.45平方米（长2.9米，宽0.5米）。当事人的上述违法行为属于乱倒垃圾，违反了《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（四）项之规定。
处罚依据：根据《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（四）项之规定。
处罚决定：决定对当事人何某罚款人民币100元整。",乱倒垃圾、污水、粪便，乱扔动物尸体等废弃物,责令改正|罚款|暂扣运输工具,对个人处以五十元以上二百元以下罚款，对单位处以二百元以上二千元以下罚款,暂无,,
卫生问题,焚烧垃圾,露天焚烧垃圾,《杭州市城市市容和环境卫生管理条例》第四十五条第一款第（五）项,"禁止下列影响公共场所环境卫生的行为：
（一）随地吐痰、便溺；
（二）乱扔果皮、纸屑、烟蒂、饮料罐、口香糖等废弃物；
（三）乱丢废电池等实行单独收集的特殊废弃物；
（四）乱倒垃圾、污水、粪便，乱扔动物尸体等废弃物；
（五）【在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物】；
（六）占用道路、广场从事车辆清洗活动。
违反前款规定的，由行政执法机关责令改正，并处罚款。其中，违反第（一）项、第（二）项、第（三）项规定的，处以二十元以上五十元以下罚款；违反第（四）项、第（五）项规定的，对个人处以五十元以上二百元以下罚款，对单位处以二百元以上二千元以下罚款，对利用运输工具乱倒垃圾的，可以暂扣运输工具，要求违法行为人到指定地点接受处理，在其接受罚款并承担已倒垃圾清运至垃圾消纳场所的费用后，发还运输工具；违反第（六）项规定的，处以二百元以上二千元以下罚款。","违法事实：当事人姜某系某筛网厂门卫。因贪图方便，当事人姜某便自行于2022年5月24日8时起将空厂房内清理出来的废棉花等废弃物直接放置在厂内东南方的空地上进行焚烧。2022年5月24日8时42分，当事人的该违法行为被本机关巡查发现。经执法队员现场测量，当事人焚烧的废弃物占地长2米，宽1米，面积2平方米。执法队员当场向当事人发放《责令立即（限期）改正违法行为通知书》，要求其于2022年5月24日9时前将火势熄灭。执法队员于2022年5月24日9时02分复查时，发现当事人已将大火熄灭。本机关认为，当事人2022年5月24日在筛网厂内露天焚烧废棉花的行为，违反了《浙江省城市市容和环境卫生管理条例》第三十三条第一款“公民应当维护城市环境卫生，禁止下列行为：……（四）在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物；……”的规定，已构成在露天场所焚烧其他废弃物行为。鉴于当事人的行为《浙江省城市市容和环境卫生管理条例》中未有配套裁量基准，故对当事人的违法行为无法按照裁量公式进行计算。因本机关未检索到当事人发生过相同的违法行为，根据《杭州市规范行政处罚自由裁量权的规定》第九条“有下列情形之一的，行政处罚实施机关应当依法从轻处罚：……（三）未曾发生过相同违法行为的；……”之规定，对当事人的违法行为应当依法从轻处罚。
触发条件：《浙江省城市市容和环境卫生管理条例》第三十三条第二款的规定。
处罚决定：罚款人民币50元整。
|违法事实：2022年07月06日，当事人甲家纺厂将纸盒、塑料袋等生活垃圾堆在仓库外面空地进行焚烧。当日09时19分,甲家纺厂在露天场所焚烧纸盒、塑料袋等生活垃圾的行为，被执法队员现场查获。执法队员向其送达《责令立即（限期）改正违法行为通知书》，要求其配合调查并改正违法行为。2022年7月19日，执法队员对现场进行复查，发现甲家纺厂在露天场所焚烧纸盒、塑料袋等生活垃圾或者其他废弃物的行为已整改。当事人的行为违反了《浙江省城市市容和环境卫生管理条例》第三十二条第一款第（四）项 ：“公民应当维护城市环境卫生，禁止下列行为： （四）在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物；”的规定，已构成在露天场所焚烧树叶、垃圾的行为。结合《杭州市城市管理行政处罚自由裁量权实施办法》：“八、未列入《自由裁量基准表》的违法行为，除法律、法规、规章另有规定外，罚款处罚的数额按照以下标准确定：（二）罚款为一定幅度的数额的，从重处罚不得低于最高罚款数额与最低罚款数额的平均值；从轻处罚应当低于平均值；一般处罚按平均金额处罚；”的规定，依法予以行政处罚。
处罚依据：根据《浙江省城市市容和环境卫生管理条例》第三十二条第二款的规定。
处罚决定：罚款300元。",在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物,责令改正|罚款|暂扣运输工具,对个人处以五十元以上二百元以下罚款，对单位处以二百元以上二千元以下罚款,暂无,,
卫生问题,未清理落叶,未及时清理绿化修剪的树枝树叶,《浙江省城市市容和环境卫生管理条例》第三十条第一款,"【因栽培或者修剪树木、花草等作业产生树枝、树叶等废弃物的，作业单位应当及时清除】。
清理窨井淤泥产生的废弃物，作业单位应当及时清运、处理，并清洗作业场地，不得随意堆放。
违反本条第一款或者第二款规定的，责令即时清除，可以处五百元以上二千元以下罚款。","违法事实：你单位自2022年4月开始承包某市市政工程集团有限公司地铁三号线沿线地铁恢复工程绿化苗木及其种植、养护工作，因疫情影响有所延迟，2022年5月开始，对某路段包括绿地开始养护工作，并对绿化带内杂木进行清理，2022年5月左右将修剪下的树木、花草等绿化作业废弃物堆放在旁未及时清理。该行为于2022年6月8日10时00分被我执法人员查获，绿化作业产生的废弃物堆放在一起，2米长，3米宽，面积约6平方米。当事人未及时清除绿化作业废弃物的行为，已违反《浙江省城市市容和环境卫生管理条例》第三十条第一款“因栽培或者修剪树木、花草等作业产生树枝、树叶等废弃物的，作业单位应当及时清除。”之规定，属于作业单位未及时清除绿化作业废弃物的违法行为。
处罚依据：《浙江省城市市容和环境卫生管理条例》第三十条第三款之规定。
处罚决定：对你单位处罚款人民币1200元
|违法事实：你单位自2022年06月下午起进行绿化作业，将修剪树木、花草等绿化作业产生树枝、树叶以及从绿化带清理出的废砖等物堆放在一起，于2022年06月13日15时45分被我执法人员查获，现场发现将绿化修剪树木、花草等作业产生树枝、树叶以及从绿化带清理出的废砖等物堆放在一起共2堆，靠近牌坊的一堆长3.50米，宽约1.00米，面积3.50平方米，另外一堆长4.00米，宽1.00米，面积4.00平方米，合计面积7.50平方米。当事人在未及时清除绿化作业废弃物的行为，已违反《浙江省城市市容和环境卫生管理条例》第三十条第一款“因栽培或者修剪树木、花草等作业产生树枝、树叶等废弃物的，作业单位应当及时清除。”之规定，属于未及时清除绿化作业废弃物的违法行为。
处罚依据：《浙江省城市市容和环境卫生管理条例》第三十条第三款之规定。
处罚决定：对你单位处罚款人民币1200元整",作业单位未及时清理因栽培或者修剪树木、花草等产生的树枝、树叶等废弃物,责令改正|罚款,可以处五百元以上二千元以下罚款,暂无,,
卫生问题,未清理淤泥,未及时清运处理窨井淤泥产生的废弃物,《浙江省城市市容和环境卫生管理条例》第三十条第二款,"因栽培或者修剪树木、花草等作业产生树枝、树叶等废弃物的，作业单位应当及时清除。
【清理窨井淤泥产生的废弃物，作业单位应当及时清运、处理，并清洗作业场地，不得随意堆放】。
违反本条第一款或者第二款规定的，责令即时清除，可以处五百元以上二千元以下罚款。","违法事实：2021年10月27日，本机关执法人员经执法巡查发现当事人在某道路空地实施了未及时清运、处理清理窨井淤泥产生的废弃物并随意堆放的行为,其行为涉嫌违反《浙江省城市市容和环境卫生管理条例》第三十条第二款的规定,于2021年11月04日立案调查。经查明, 2021年10月27日12时37分，甲公司在该空地未及时清运、处理清理窨井淤泥产生的废弃物并随意堆放，方量1立方米。2022年1月4日，本机关依法向当事人送达了《行政处罚告知书》，告知当事人拟作出行政处罚决定的事实、理由、依据及内容，并告知当事人依法享有的权利，当事人3个工作日内未提出陈述、申辩的意见。本机关认为，当事人2021年10月27日在该空地对作业单位未及时清运、处理清理窨井淤泥产生的废弃物并随意堆放的行为，违反了《浙江省城市市容和环境卫生管理条例》第三十条第二款的规定，已构成作业单位未及时清运、处理清理窨井淤泥产生的废弃物并随意堆放的行为。鉴于当事人2021年10月24日已整改完毕。2019年1月1日起就该案由未被我局处罚过。根据《温州市自然资源和规划局关于公布温州市区主要街道和重点区域范围的通知》的规定，空港新区金海大道空地不属于龙湾区的主要街道和重点区域。
处罚依据：《浙江省城市市容和环境卫生管理条例》第三十条第三款和参照《温州市综台行政执法行政处罚自由裁量权行使规定》附件之规定。
处罚决定：罚款人民币500元整。
|违法事实：2021年8月24日16时40分，当事人周某在某路口南侧100米处随意堆放检测南江路市政管道时清理窨井淤泥产生的废弃物，将废弃物堆放在路中花坛内。本机关认为，当事人的上述行为违反了《浙江省城市市容和环境卫生管理条例》第三十条第二款的规定，已构成随意堆放清理窨井淤泥产生的废弃物的违法行为，具体有现场勘查笔录、现场勘验图、《责令改正通知书》、《询问通知书》、现场照片、询问（调查）笔录、当事人身份证复印件证据为凭。鉴于当事人未及时清理随意堆放清理窨井淤泥产生的废弃物，，作出如下行政处罚：
处罚依据：《浙江省城市市容和环境卫生管理条例》第三十条第三款和《南湖区综合行政执法局行政处罚裁量基准制度》的规定。
处罚决定：罚款人民币1500元整。",清理窨井淤泥产生的废弃物，作业单位应当及时清运、处理，并清洗作业场地，不得随意堆放,责令改正|罚款,可以处五百元以上二千元以下罚款,暂无,,
卫生问题,随地吐痰,随地吐痰、大小便,《浙江省城市市容和环境卫生管理条例》第三十二条,"公民应当维护城市环境卫生，禁止下列行为：
（一）【随地吐痰、便溺】；
（二）乱扔果皮、纸屑、烟蒂、饮料罐、口香糖、塑料袋等废弃物；
（三）乱倒生活垃圾、污水、粪便；
（四）在露天场所和垃圾收集容器内焚烧树叶、垃圾或者其他废弃物；
（五）法律、法规规定的其他影响城市环境卫生的行为。
违反前款第一项或者第二项规定的，可以处二十元以上五十元以下罚款；违反前款第三项或者第四项规定的，责令改正，处一百元以上五百元以下罚款。","违法事实：当事人随地吐痰的行为违反了《浙江省城市市容和环境卫生管理条例》第三十二条第一款第（一）项之规定，已构成违法，依法予以行政处罚。
处罚依据：《浙江省城市市容和环境卫生管理条例》第三十二条第二款之规定。
处罚决定：处以罚款人民币20元整。
|违法事实：2022年6月1日18时许，马某在某村西南角空地围墙边随地便溺。马某随地便溺的行为，违反了《浙江省城市市容和环境卫生管理条例》第三十二条第一款第一项之规定，已构成违法。
处罚依据：现依据《浙江省城市市容和环境卫生管理条例》第三十二条第二款、《宁波市综合行政执法机关行政处罚自由裁量权实施办法》的规定。
处罚决定：罚款人民币30元。",随地吐痰、便溺,罚款,可以处二十元以上五十元以下罚款,暂无,,
卫生问题,未清运建筑垃圾,未及时清运建筑土方/工程渣土/建筑垃圾等,《中华人民共和国大气污染防治法》第一百一十五条第一款第（二）项,"违反本法规定，施工单位有下列行为之一的，由县级以上人民政府住房城乡建设等主管部门按照职责责令改正，处一万元以上十万元以下的罚款；拒不改正的，责令停工整治：
（一）施工工地未设置硬质围挡，或者未采取覆盖、分段作业、择时施工、洒水抑尘、冲洗地面和车辆等有效防尘降尘措施的；
（二）【建筑土方、工程渣土、建筑垃圾未及时清运】，或者未采用密闭式防尘网遮盖的。
违反本法规定，建设单位未对暂时不能开工的建设用地的裸露地面进行覆盖，或者未对超过三个月不能开工的建设用地的裸露地面进行绿化、铺装或者遮盖的，由县级以上人民政府住房城乡建设等主管部门依照前款规定予以处罚。","违法事实：你单位国贸智慧网谷创新产业园项目，建设单位是甲公司，施工单位即乙公司，总建筑面积216758.16平方米，地上建筑面积132135.50平方米，地下建筑面积84622.66平方米，合同工期是2022年06月20日至2025年02月15日。施工单位承包范围包括基础工程、主体工程、土方工程、水电安装以及后期装修、绿化工程等所有项目，实际是从2022年03月18日开始施工，现在该工程正处于桩基施工阶段，土方工程还未开始，工地中的工程渣土属于泥浆水固化产物。当事人解释，那块工程渣土属于打桩清障物，挖出来之后堆在那边用于回填的，堆积大概有三四天时间。由于工地现在正在进行打桩，一方面将泥浆固化再运走，另一方面一些渣土留着要进行回填。每天有大量出土，那块工程渣土刚好在出入口，每天都有人员在旁边冲洗渣土车辆，加上有泥浆水流入，导致工人由于疏忽而没有覆盖。发现该行为后，执法队员出示执法证件表明身份，告知公务后依职权检查，并现场拍照摄像取证。执法人员和工地负责人员对该处工程渣土进行了确认和面积核实，长15米，宽8米，面积120平方米。执法队员开具《接受调查处理通知书》及《责令限期改正违法行为通知书》各1份，责令限期进行整改，并制作《现场笔录》一份，当事人代表予以签收。2022年06月22日，我执法人员到该工地复查整改情况，当事人已按要求完成整改，情况良好。因此当事人违反《中华人民共和国大气污染防治法》第六十九条第三款之规定，属于未采用密闭式防尘网遮盖的违法行为。
处罚依据：《中华人民共和国大气污染防治法》第一百一十五条第一款第（二）项之规定
处罚决定：对你单位处罚款人民币1000元整。
|违法事实：你单位2022年03月被执法人员依据职权检查至某公司改扩建项目（一期）工地，发现当事人丙公司在该工地内东侧有工程渣土堆积未实施覆盖，并且该处工程渣土不在施工作业范围内，涉嫌未采用密闭式防尘网遮盖。经查，2022年03月01日执法人员检查的时候工地正处于土方工程阶段，正在进行全面出土。当事人解释，工地刚开始出土的时候由于渣土处置证和车辆准运证没有办好，因此一边将挖掘出来的工程渣土堆积在工地，另一边在积极联系相关部门办理渣土处置证和车辆准运证，但由于办证有点拖拉导致这些工程渣土没有及时清运，堆积时间过长，加上当时该工地正处于年后工程开始阶段，事情比较多，所以这几处工程渣土没有进行覆盖。发现该行为后，执法队员出示执法证件表明身份，告知公务后依职权检查，并现场拍照摄像取证。执法人员和工地负责人员对堆放超过三天以上的工程渣土进行了确认和面积核实，分别为6米×10米=60平方米、6米×12米=72平方米、5米×10米=50平方米，共计182平方米。执法队员开具《接受调查处理通知书》及《责令限期改正违法行为通知书》各1份，责令限期进行整改，并制作《现场笔录》一份，当事人代表予以签收。2022年03月02日当事人已按要求完成整改，情况良好。本案于2022年03月02日经批准立案，经调查取证，现案件调查终结。因此当事人违反《中华人民共和国大气污染防治法》第六十九条第三款规定，属于对工程渣土未采用密闭式防尘网遮盖的违法行为。
处罚依据：《中华人民共和国大气污染防治法》第一百一十五条第一款第（二）项之规定
处罚决定：对你单位处罚款人民币18000元。",建筑土方、工程渣土、建筑垃圾未及时清运，或者未采用密闭式防尘网遮,责令改正|罚款|责令停工整顿,处一万元以上十万元以下的罚款,暂无,,
卫生问题,餐厨垃圾处理违规,未将收运的餐厨垃圾交由专人处置,《浙江省餐厨垃圾管理办法》第二十八条第二款,"违反本办法第十条第一款的规定，收运企业未按与餐厨垃圾产生单位约定的时间和频次收集餐厨垃圾，或者未按规定运输至处置场所交由处置企业进行处置的，由市容环卫行政主管部门责令限期改正；逾期不改正的，处以2000元以上5000元以下罚款；情节严重的，处以5000元以上30000元以下罚款。
违反本办法第十三条第二项规定，【收运企业将收运的餐厨垃圾交由本办法第八条规定以外的单位、个人处置的】，由市容环卫行政主管部门责令限期改正，处以5000元以上20000元以下罚款；情节严重的，处以20000元以上50000元以下罚款。
违反本办法第十条第二款规定，未实行密闭化运输餐厨垃圾的，处以5000元以上30000元以下罚款，由市容环卫行政主管部门责令限期改正。","违法事实：你单位自2021年9月份开始用一辆中型载货专项作业车，每天运输1-2车次，约4-5吨左右餐厨垃圾，以每吨2600元左右的价格卖给某公司。该行为于2021年11月被我执法人员联合另一县综合行政执法人员在该公司，查获一辆对应牌号中型载货专项作业车，车上装有餐厨垃圾3吨左右。车上装的餐厨垃圾是从某村运输过来的。执法人员开具了《责令限期改正违法行为通知书》，要求当事人予以整改。在执法人员责令下，当事人改正了违法行为，2021年12月复查时，发现当事人已停止储存餐厨垃圾，并停止运输餐厨垃圾到该公司去处置。当事人的行为违反《浙江省餐厨垃圾管理办法》第十三条第（二）项“在餐厨垃圾投放、收运、处置中禁止下列行为：（二）将餐厨垃圾交由本办法第八条规定以外的单位、个人收运或者处置”之规定，属于将收运的餐厨垃圾交由规定以外的单位处置的违法行为。
处罚依据：《浙江省餐厨垃圾管理办法》第二十八条第二款之规定
处罚决定：对你单位处罚款人民币12500元整",收运企业将收运的餐厨垃圾交由规定以外的单位、个人处置,责令改正|罚款,处以5000元以上20000元以下罚款；情节严重的，处以20000元以上50000元以下罚款,暂无,,
卫生问题,生活垃圾处理违规,随意倾倒/抛洒/堆放城市生活垃圾,《城市生活垃圾管理办法》第四十二条,违反本办法第十六条规定，【随意倾倒、抛洒、堆放城市生活垃圾的】，由直辖市、市、县人民政府建设（环境卫生）主管部门责令停止违法行为，限期改正，对单位处以5000元以上5万元以下的罚款。个人有以上行为的，处以200元以下的罚款。,"违法事实：你单位于2021年11月15日为图方便，顺便将单位宿舍安装空调后产生的垃圾，倾倒在公寓旁停车场，现场有黑色塑料袋六袋，里面装有泡沬、塑料袋、废纸等生活垃圾。该行为于2021年11月执法人员查获，并开具了《责令限期改正违法行为通知书》，要求当事人予以整改，在执法人员责令下，当事人立即改正了违法行为，并对现场的生活垃圾进行清理。当事人违反《城市生活垃圾管理办法》第十六条第四款的规定，属于随意倾倒城市生活垃圾的行为。
处罚依据：《城市生活垃圾管理办法》第四十二条之规定
处罚决定：对你单位处罚款人民币13700元整
|违法事实：你为图方便，利用借来的手推翻斗车去拉东西的时候，顺便将宿命里的生活垃圾带出去，倾倒在道路上，现场有四袋黑色塑料袋，里面装有矿泉水瓶、牛奶盒、废纸等生活垃圾。执法人员于2021年11月到现场检查，并开具了《责令立即改正违法行为通知书》，要求当事人予以整改，在执法人员责令下，当事人立即改正了违法行为，并对现场的生活垃圾进行清理。当事人违反《城市生活垃圾管理办法》第十六条第四款的规定，属于随意倾倒城市生活垃圾的行为。
处罚依据：《城市生活垃圾管理办法》第四十二条之规定
处罚决定：对你处罚款人民币100元整",随意倾倒、抛洒、堆放城市生活垃圾,责令改正|罚款,对单位处以5000元以上5万元以下的罚款。个人有以上行为的，处以200元以下的罚款。,暂无,,
