一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
渔业管理问题,违规捕捞,使用炸鱼、毒鱼、电鱼等方法捕捞,《中华人民共和国渔业法》第三十八条第一款,"【使用炸鱼、毒鱼、电鱼等破坏渔业资源方法进行捕捞】的，违反关于禁渔区、禁渔期的规定进行捕捞的，或者使用禁用的渔具、捕捞方法和小于最小网目尺寸的网具进行捕捞或者渔获物中幼鱼超过规定比例的，没收渔获物和违法所得，处五万元以下的罚款；情节严重的，没收渔具，吊销捕捞许可证；情节特别严重的，可以没收渔船；构成犯罪的，依法追究刑事责任。
在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。
制造、销售禁用的渔具的，没收非法制造、销售的渔具和违法所得，并处一万元以下的罚款。","违法事实：现查明，2022年4月19日早上4时至5时，当事人高某在某河水域使用电鱼的方法进行捕捞作业时被派出所执法人员当场查获，查获时现场有小船一艘、电鱼工具一套（包括12V电瓶一只、逆变器一只、一个带线电鱼兜和一个带有金属探针的探竿），渔获物杂鱼3.315千克。（已做无害化填埋处理）。当事人使用电鱼的方法进行捕捞的违法行为，事实清楚，证据充分。当事人高某在禁渔期期间使用电鱼的方法进行捕捞作业，依据《浙江省海洋与渔业行政处罚裁量基准》渔业资源保护（打击非法捕捞）序号4中裁量判断事项“处罚裁量时综合考虑船舶长度、主机功率、渔具渔法的危害性、作业场所和时间、渔具数量、渔获物数量价值以及资源损与环境的破坏程度、社会秩序危害程度、配合或抗拒检查等因素。”的规定，经综合考量，本机关对当事人以上违法行为认定为情节严重。本机关认为当事人高某在禁渔期使用电鱼的方法进行捕捞的行为已违反《中华人民共和国渔业法》第三十条第一款关于“禁止使用炸鱼、毒鱼、电鱼等破坏渔业资源的方法进行捕捞。禁止制造、销售、使用禁用的渔具。禁止在禁渔区、禁渔期进行捕捞”的规定，已构成违法。
处罚依据：依照《中华人民共和国渔业法》第三十八条第一款之规定。
处罚决定：责令当事人改正违法行为，并罚款人民币伍仟元整。",使用炸鱼、毒鱼、电鱼等破坏渔业资源方法进行捕捞,没收违法所得|没收设备|罚款|吊销许可证|追究刑事责任,处五万元以下的罚款,【非法捕捞水产品罪】,《中华人民共和国刑法》第三百四十条,【违反保护水产资源法规，在禁渔区、禁渔期或者使用禁用的工具、方法捕捞水产品，情节严重】的，处三年以下有期徒刑、拘役、管制或者罚金。
渔业管理问题,违规捕捞,违反禁渔区、禁渔期规定进行捕捞,《中华人民共和国渔业法》第三十八条第一款,"使用炸鱼、毒鱼、电鱼等破坏渔业资源方法进行捕捞的，【违反关于禁渔区、禁渔期的规定进行捕捞的】，或者使用禁用的渔具、捕捞方法和小于最小网目尺寸的网具进行捕捞或者渔获物中幼鱼超过规定比例的，没收渔获物和违法所得，处五万元以下的罚款；情节严重的，没收渔具，吊销捕捞许可证；情节特别严重的，可以没收渔船；构成犯罪的，依法追究刑事责任。
在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。
制造、销售禁用的渔具的，没收非法制造、销售的渔具和违法所得，并处一万元以下的罚款。","违法事实：当事人于2022年4月在禁渔区违反关于禁渔区的规定且未按捕捞许可证载明的作业内容进行双拖网作业，违法所得2000元。当事人在禁渔区且未按捕捞许可证载明的内容进行双拖网作业的行为，已违反《中华人民共和国渔业法》第三十条第一款和《浙江省渔业管理条例》第十九条第一款的规定。
处罚依据：《中华人民共和国渔业法》第三十八条第一款之规定
处罚决定：对你处没收违法所得2000元，罚款37500元。
|违法事实：当事人于2022年4月7日在禁渔区（东经122度37分、北纬29度48分）违反关于禁渔区的规定进行双拖网作业，违法所得2700元。本机关认为：当事人在禁渔区进行双船拖网作业的行为，已违反《中华人民共和国渔业法》第三十条第一款的规定，
处罚依据：《中华人民共和国渔业法》第三十八条第一款之规定
处罚决定：对你处没收违法所得2700元，罚款30000元。",违反关于禁渔区、禁渔期的规定进行捕捞,没收违法所得|没收设备|罚款|吊销许可证|追究刑事责任,处五万元以下的罚款,【非法捕捞水产品罪】,《中华人民共和国刑法》第三百四十条,【违反保护水产资源法规，在禁渔区、禁渔期或者使用禁用的工具、方法捕捞水产品，情节严重】的，处三年以下有期徒刑、拘役、管制或者罚金。
渔业管理问题,违规捕捞,使用小于最小网目尺寸的网具进行捕捞,《中华人民共和国渔业法》第三十八条第一款,"使用炸鱼、毒鱼、电鱼等破坏渔业资源方法进行捕捞的，违反关于禁渔区、禁渔期的规定进行捕捞的，【或者使用禁用的渔具、捕捞方法和小于最小网目尺寸的网具进行捕捞或者渔获物中幼鱼超过规定比例的】，没收渔获物和违法所得，处五万元以下的罚款；情节严重的，没收渔具，吊销捕捞许可证；情节特别严重的，可以没收渔船；构成犯罪的，依法追究刑事责任。
在禁渔区或者禁渔期内销售非法捕捞的渔获物的，县级以上地方人民政府渔业行政主管部门应当及时进行调查处理。
制造、销售禁用的渔具的，没收非法制造、销售的渔具和违法所得，并处一万元以下的罚款。","违法事实：使用小于最小网目尺寸的网具进行捕捞作业的行为，已违反《中华人民共和国渔业法》第三十条第一款“禁止使用小于最小网目尺寸的网具进行捕捞”的规定。
处罚依据：《中华人民共和国渔业法》第三十八条第一款之规定
处罚决定：对你处罚款人民币35000元整。
|违法事实：当事人使用小于最小网目尺寸的网具进行捕捞作业的行为，已违反《中华人民共和国渔业法》第三十条第一款“禁止使用小于最小网目尺寸的网具进行捕捞”的规定。
处罚依据：《中华人民共和国渔业法》第三十八条第一款之规定
处罚决定：对你处没收违法所得300元整；罚款人民币35000元整。",用禁用的渔具、捕捞方法和小于最小网目尺寸的网具进行捕捞或者渔获物中幼鱼超过规定比例,没收违法所得|没收设备|罚款|吊销许可证|追究刑事责任,处五万元以下的罚款,【非法捕捞水产品罪】,《中华人民共和国刑法》第三百四十条,【违反保护水产资源法规，在禁渔区、禁渔期或者使用禁用的工具、方法捕捞水产品，情节严重】的，处三年以下有期徒刑、拘役、管制或者罚金。
渔业管理问题,破坏经营,偷捕、抢夺他人养殖的水产品,《中华人民共和国渔业法》第三十九条,【偷捕、抢夺他人养殖的水产品的】，或者破坏他人养殖水体、养殖设施的，责令改正，可以处二万元以下的罚款；造成他人损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。,"违法事实：2019年5月30日，当事人方某在千岛湖金鸡岭水域使用木质汽油机船进行偷捕他人养殖的水产品作业，捕起渔获物58千克，其行为违反了《中华人民共和国渔业法》第三十九条之规定。
处罚依据：依据《中华人民共和国渔业法》第三十九条之规定。
处罚决定：对当事人作出罚款6960元的行政处罚。",偷捕、抢夺他人养殖的水产品的，或者破坏他人养殖水体、养殖设施,责令改正|罚款|赔偿损失|追究刑事责任,可以处二万元以下的罚款,【盗窃罪】|【抢夺罪】,《中华人民共和国刑法》第二百六十四条|《中华人民共和国刑法》第二百六十七条,"【盗窃公私财物，数额较大的】，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。
|【抢夺公私财物，数额较大的】，或者多次抢夺的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。"
渔业管理问题,破坏经营,破坏他人养殖水体、养殖设施,《中华人民共和国渔业法》第三十九条,偷捕、抢夺他人养殖的水产品的，或者【破坏他人养殖水体、养殖设施的】，责令改正，可以处二万元以下的罚款；造成他人损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。,暂无,偷捕、抢夺他人养殖的水产品的，或者破坏他人养殖水体、养殖设施,责令改正|罚款|赔偿损失|追究刑事责任,可以处二万元以下的罚款,【破坏生产经营罪】,《中华人民共和国刑法》第二百七十六条　,【由于泄愤报复或者其他个人目的，毁坏机器设备、残害耕畜或者以其他方法破坏生产经营的】，处三年以下有期徒刑、拘役或者管制；情节严重的，处三年以上七年以下有期徒刑。
渔业管理问题,占用水域养殖,占用水域/滩涂从事养殖生产,《中华人民共和国渔业法》第四十条第一款,"【使用全民所有的水域、滩涂从事养殖生产，无正当理由使水域、滩涂荒芜满一年的】，由发放养殖证的机关责令限期开发利用；逾期未开发利用的，吊销养殖证，可以并处一万元以下的罚款。
未依法取得养殖证擅自在全民所有的水域从事养殖生产的，责令改正，补办养殖证或者限期拆除养殖设施。
未依法取得养殖证或者超越养殖证许可范围在全民所有的水域从事养殖生产，妨碍航运、行洪的，责令限期拆除养殖设施，可以并处一万元以下的罚款。",暂无,使用全民所有的水域、滩涂从事养殖生产，无正当理由使水域、滩涂荒芜满一年,责令限期开发利用|吊销养殖证|罚款,可以并处一万元以下的罚款,暂无,,
渔业管理问题,擅自捕捞,未取得捕捞许可证擅自捕捞,《中华人民共和国渔业法》第四十一条,【未依法取得捕捞许可证擅自进行捕捞的】，没收渔获物和违法所得，并处十万元以下的罚款；情节严重的，并可以没收渔具和渔船。,"违法事实：当事人于2021年10月，在某某九堡大桥下游100米靠北一侧水域，驾驶无船名号等标识的蓝色塑料非机动船舶一艘从事丝网捕捞，现场渔获物有鲫鱼等约1公斤。当事人当天存在未核定船名号、未取得渔业船舶检验证书擅自下水航行、作业和未依法取得捕捞许可证擅自进行捕捞两个违法行为。驾驶未核定船名号、未取得渔业船舶检验证书擅自下水航行、作业的行为，违反了《浙江省渔港渔业船舶管理条例》第三十三条的规定;未依法取得捕捞许可证擅自进行捕捞的行为，违反了《中华人民共和国渔业法》第二十三条“国家对捕捞业实行捕捞许可证制度。”的规定，均已构成违法。
处罚依据：《中华人民共和国渔业法》第四十一条之规定
处罚决定：对你处没收塑料非机动船舶壹艘；罚款人民币700元整。
|违法事实：当事人于2021年10月，在某某复兴大桥下游1公里靠南侧水域，使用木质非机动无船名号等标识的船舶一艘从事虾笼捕捞，现场未发现渔获物。当事人当天存在未核定船名号、未取得渔业船舶检验证书擅自下水航行、作业和未依法取得捕捞许可证擅自进行捕捞两个违法行为。驾驶未核定船名号、未取得渔业船舶检验证书擅自下水航行、作业的行为，违反了《浙江省渔港渔业船舶管理条例》第三十三条的规定;未依法取得捕捞许可证擅自进行捕捞的行为，违反了《中华人民共和国渔业法》第二十三条“国家对捕捞业实行捕捞许可证制度。”的规定，均已构成违法。
处罚依据：《中华人民共和国渔业法》第四十一条之规定
处罚决定：对你处没收木质非机动船舶壹艘；罚款人民币600元。",未依法取得捕捞许可证擅自进行捕捞,没收违法所得|罚款|没收设备,并处十万元以下的罚款,暂无,,
渔业管理问题,违规捕捞,违反作业类型/场所/时限/渔具数量规定进行捕捞,《中华人民共和国渔业法》第四十二条,【违反捕捞许可证关于作业类型、场所、时限和渔具数量的规定进行捕捞的】，没收渔获物和违法所得，可以并处五万元以下的罚款；情节严重的，并可以没收渔具，吊销捕捞许可证。,"违法事实：当事人违反捕捞许可证关于作业类型的规定进行捕捞的行为，已违反《中华人民共和国渔业法》第二十五条“从事捕捞作业的单位和个人，必须按照捕捞许可证关于作业类型、场所、时限、渔具数量和捕捞限额的规定进行作业”的规定。
处罚依据：《中华人民共和国渔业法》第四十二条之规定
处罚决定：对你处没收违法所得2000元，罚款35000元。
|违法事实：当事人违反捕捞许可证关于作业类型的规定进行捕捞的行为，已违反《中华人民共和国渔业法》第二十五条“从事捕捞作业的单位和个人，必须按照捕捞许可证关于作业类型、场所、时限、渔具数量和捕捞限额的规定进行作业”的规定。
处罚依据：《中华人民共和国渔业法》第四十二条之规定
处罚决定：对你处没收违法所得2000元，罚款35000元。",违反捕捞许可证关于作业类型、场所、时限和渔具数量的规定进行捕捞,没收违法所得|罚款|没收设备|吊销许可证,可以并处五万元以下的罚款,暂无,,
渔业管理问题,转让许可证,涂改/买卖/出租或者转让捕捞许可证,《中华人民共和国渔业法》第四十三条,【涂改、买卖、出租或者以其他形式转让捕捞许可证的】，没收违法所得，吊销捕捞许可证，可以并处一万元以下的罚款；伪造、变造、买卖捕捞许可证，构成犯罪的，依法追究刑事责任。,暂无,涂改、买卖、出租或者以其他形式转让捕捞许可证,没收违法所得|罚款|吊销许可证,可以并处一万元以下的罚款,【伪造、变造、买卖国家机关公文、证件、印章罪】,《中华人民共和国刑法》第二百八十条第一款,"【伪造、变造、买卖或者盗窃、抢夺、毁灭国家机关的公文、证件、印章的】，处三年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金；情节严重的，处三年以上十年以下有期徒刑，并处罚金。
伪造公司、企业、事业单位、人民团体的印章的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金。
伪造、变造、买卖居民身份证、护照、社会保障卡、驾驶证等依法可以用于证明身份的证件的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金；情节严重的，处三年以上七年以下有期徒刑，并处罚金。"
渔业管理问题,非法生产水产苗种,非法生产/进口/出口水产苗种,《中华人民共和国渔业法》第四十四条第一款,"【非法生产、进口、出口水产苗种的】，没收苗种和违法所得，并处五万元以下的罚款。
经营未经审定的水产苗种的，责令立即停止经营，没收违法所得，可以并处五万元以下的罚款。",暂无,非法生产、进口、出口水产苗种,没收违法所得|罚款,并处五万元以下的罚款,暂无,,
