一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
公路安全问题,爆破作业,从事危及公路安全的作业,《中华人民共和国公路法》第七十六条第（三）项,"有下列违法行为之一的，由交通主管部门责令停止违法行为，可以处三万元以下的罚款：
（一）违反本法第四十四条第一款规定，擅自占用、挖掘公路的；
（二）违反本法第四十五条规定，未经同意或者未按照公路工程技术标准的要求修建桥梁、渡槽或者架设、埋设管线、电缆等设施的；
（三）违反本法第四十七条规定，【从事危及公路安全的作业的】；
（四）违反本法第四十八条规定，铁轮车、履带车和其他可能损害路面的机具擅自在公路上行驶的；
（五）违反本法第五十条规定，车辆超限使用汽车渡船或者在公路上擅自超限行驶的；
（六）违反本法第五十二条、第五十六条规定，损坏、移动、涂改公路附属设施或者损坏、挪动建筑控制区的标桩、界桩，可能危及公路安全的。","违法事实: 你单位在2022年7月被本机关行政执法人员巡查时，发现曹某在G56（***高速）K46+550处用钻孔机械设备挖砂采石。
处罚依据：《中华人民共和国公路法》第七十六条第（三）项之规定
处罚决定：对你单位处责令停止违法行为并罚款人民币500元整。",进行爆破作业及其他危及公路、公路桥梁、公路隧道、公路渡口安全的活动。,责令改正｜罚款,可以处三万元以下的罚款,暂无,,
公路安全问题,超限行驶,超限运输车辆擅自行驶公路（长/宽/高）,《中华人民共和国公路法》第七十六条第（五）项,"有下列违法行为之一的，由交通主管部门责令停止违法行为，可以处三万元以下的罚款：
（一）违反本法第四十四条第一款规定，擅自占用、挖掘公路的；
（二）违反本法第四十五条规定，未经同意或者未按照公路工程技术标准的要求修建桥梁、渡槽或者架设、埋设管线、电缆等设施的；
（三）违反本法第四十七条规定，从事危及公路安全的作业的；
（四）违反本法第四十八条规定，铁轮车、履带车和其他可能损害路面的机具擅自在公路上行驶的；
（五）【违反本法第五十条规定，车辆超限使用汽车渡船或者在公路上擅自超限行驶的；】
（六）违反本法第五十二条、第五十六条规定，损坏、移动、涂改公路附属设施或者损坏、挪动建筑控制区的标桩、界桩，可能危及公路安全的。","违法事实：你单位未经公路管理机构批准，违反了《中华人民共和国公路法》第五十条第一款关于“超过公路、公路桥梁、公路隧道或者汽车渡船的限载、限高、限宽、限长标准的车辆，不得在有限定标准的公路、公路桥梁上或者公路隧道内行驶，不得使用汽车渡船。”的规定和交通运输部《超限运输车辆行驶公路管理规定》的限定标准，涉嫌超限运输车辆擅自行驶公路。有检测单、询问笔录、现场照片等证据为凭。
处罚依据：《中华人民共和国公路法》第七十六条第（五）项、《浙江省公路路政管理条例》第四十九条的规定，并按照交通运输部《超限运输车辆行驶公路管理规定》的限定标准
处罚决定：对你单位处罚款20000元。
｜违法事实：你单位未经公路管理机构批准，违反了《中华人民共和国公路法》第五十条第一款关于“超过公路、公路桥梁、公路隧道或者汽车渡船的限载、限高、限宽、限长标准的车辆，不得在有限定标准的公路、公路桥梁上或者公路隧道内行驶，不得使用汽车渡船。”的规定和交通运输部《超限运输车辆行驶公路管理规定》的限定标准，涉嫌超限运输车辆擅自行驶公路。有检测单、询问笔录、现场照片等证据为凭。
处罚依据：《中华人民共和国公路法》第七十六条第（五）项、《浙江省公路路政管理条例》第四十九条的规定，并按照交通运输部《超限运输车辆行驶公路管理规定》的限定标准
处罚决定：对你单位处罚款16500元。",车辆在有限长、限宽、限高标准的公路上行驶，该车辆超过公路、公路桥梁、公路隧道或者汽车渡船的限载、限高、限宽、限长标准。,责令停止｜罚款,可以处三万元以下的罚款,暂无,,
公路安全问题,损坏公路附属设施,损坏公路附属设施,《中华人民共和国公路法》第七十六条第（六）项｜《公路安全保护条例》第六十条第一项,"有下列违法行为之一的，由交通主管部门责令停止违法行为，可以处三万元以下的罚款：
（一）违反本法第四十四条第一款规定，擅自占用、挖掘公路的；
（二）违反本法第四十五条规定，未经同意或者未按照公路工程技术标准的要求修建桥梁、渡槽或者架设、埋设管线、电缆等设施的；
（三）违反本法第四十七条规定，从事危及公路安全的作业的；
（四）违反本法第四十八条规定，铁轮车、履带车和其他可能损害路面的机具擅自在公路上行驶的；
（五）违反本法第五十条规定，车辆超限使用汽车渡船或者在公路上擅自超限行驶的；
（六）违反本法第五十二条、第五十六条规定，【损坏、移动、涂改公路附属设施】或者损坏、挪动建筑控制区的标桩、界桩，可能危及公路安全的。
｜　违反本条例的规定，有下列行为之一的，由公路管理机构责令改正，可以处3万元以下的罚款：
（一）【损坏、擅自移动、涂改、遮挡公路附属设施或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全的；】
（二）涉路工程设施影响公路完好、安全和畅通的。","违法事实：你单位在2020年7月21日被发现有一辆车辆撞坏公路附属设施后驾离现场，执法人员赶至现场后发现限高栏严重损坏，无法正常使用。
处罚依据：《公路安全保护条例》第二十五条，《公路安全保护条例》第六十条第一项。
处罚决定：对你单位责令立即改正，罚款2000元整。",损坏、擅自移动、涂改、遮挡公路附属设施，或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全。,责令停止｜罚款,可以处三万元以下的罚款,暂无,,
公路安全问题,擅自埋设管线,未经许可在公路建筑控制区内埋设管道/电缆,《中华人民共和国公路法》第八十一条|《公路安全保护条例》第五十六条第（一）项,"违反本法第五十六条规定，在公路建筑控制区内修建建筑物、地面构筑物或者【擅自埋设管线、电缆等设施的】，由交通主管部门责令限期拆除，并可以处五万元以下的罚款。逾期不拆除的，由交通主管部门拆除，有关费用由建筑者、构筑者承担。
|违反本条例的规定，有下列情形之一的，由公路管理机构责令限期拆除，可以处5万元以下的罚款。逾期不拆除的，由公路管理机构拆除，有关费用由违法行为人承担：
　　（一）【在公路建筑控制区内修建、扩建建筑物、地面构筑物或者未经许可埋设管道、电缆等设施】的；
　　（二）在公路建筑控制区外修建的建筑物、地面构筑物以及其他设施遮挡公路标志或者妨碍安全视距的。","违法事实: 你单位在2022年6月被市交通运输局执法人员在S4机场公路杭向K6建控区巡查时，发现建控区内有施工作业，经现场调查测量，该作业内容系顶管施工，用于埋设管线，埋设方向平行机场公路，长度约为190米。
处罚依据：《中华人民共和国公路法》第八十一条、《公路安全保护条例》第五十六条第（一）项之规定
处罚决定：对你单位处罚款人民币10000元整。",在公路建筑控制区内修建建筑物、地面构筑物，或者擅自埋设管线、电缆等设施。,责令限期拆除｜罚款|强制拆除,并可以处五万元以下的罚款；逾期不拆除由交通主管部门拆除，有关费用由建筑者、构筑者承担,暂无,,
公路安全问题,未如实记录,未如实记录安全教育和培训情况,《中华人民共和国安全生产法》第九十七条第（四）项,"生产经营单位有下列行为之一的，责令限期改正，处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款：
（一）未按照规定设置安全生产管理机构或者配备安全生产管理人员、注册安全工程师的；
（二）危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员未按照规定经考核合格的；
（三）未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事项的；
（四）【未如实记录安全生产教育和培训情况的】；
（五）未将事故隐患排查治理情况如实记录或者未向从业人员通报的；
（六）未按照规定制定生产安全事故应急救援预案或者未定期组织演练的；
（七）特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的。 ","违法事实: 你单位在2022年6月被某市交通运输局执法人员在你单位安全检查时，发现该公司《安全宣传教育培训活动记录》中，2022年6月8日的”安全月组织参加观看事故警示教育活动“记录内容”参加人数共14人“，而”参加活动的人员名单“仅有4人签字。2022年6月，该公司已及时改正，未发生生产安全事故。
处罚依据：《中华人民共和国安全生产法》第九十七条第（四）项之规定
处罚决定：对你单位处罚款人民币1000元整。
｜违法事实: 你单位在2022年6月被某市交通运输局执法人员在你单位进行安全检查时，发现该公司的《安全宣传教育培训活动记录》内未记载员工彭某转岗记录，涉嫌违反《中华人民共和国安全生产法》第二十八条第四款，其行为涉嫌未如实记录安全生产教育和培训情况。
处罚依据：《中华人民共和国安全生产法》第九十七条第（四）项之规定
处罚决定：对你单位处罚款人民币1000元整。",生产经营单位未如实记录安全生产教育和培训情况。,责令改正｜罚款|责令停业整顿,处十万元以下的罚款；逾期未改正的，责令停产停业整顿，并处十万元以上二十万元以下的罚款， 对其直接负责的主管人员和其他直接责任人员处二万元以上五万元以下的罚款,暂无,,
公路安全问题,超限运输,超限运输车辆擅自行驶公路（总重超限）,《超限运输车辆行驶公路管理规定》第三十六条第一款|《浙江省公路条例》第五十三条第一款,"【经检测认定违法超限运输的，公路管理机构应当责令当事人自行采取卸载等措施，消除违法状态；当事人自行消除违法状态确有困难的，可以委托第三人或者公路管理机构协助消除违法状态。】属于载运不可解体物品，在接受调查处理完毕后，需要继续行驶公路的，应当依法申请公路超限运输许可。
|【货运车辆违反本条例第三十四条第一款规定超限运输的】，由设区的市、县（市、区）交通运输主管部门按照下列规定处理：
（一） 车货总质量未超过最高限值百分之二十的，给予批评教育，可以不予处罚；
（二） 车货总质量超过最高限值百分之二十以上百分之五十以下的，对百分之二十以上百分之五十以下的部分，处每吨三百元罚款；
（三） 车货总质量超过最高限值百分之五十的，对百分之二十以上百分之五十以下的部分，处每吨三百元罚款；对超过百分之五十的部分，处每吨五百元罚款。最高不得超过三万元。
对卸载在固定超限运输检测站点的超限货物，当事人应当自卸载之日起十日内领取。逾期不领取的，经再次通知限期领取后仍不领取的，设区的市、县（市、区）交通运输主管部门可以采取依法拍卖、变卖、清理等方式予以处置。拍卖、变卖所得扣除合理支出后上缴国库。","违法事实: 你单位在2022年5月被发现一普通货车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员制作现场笔录后发现：该车驾驶员驾驶普通货车涉嫌违反《浙江省公路条例》第三十四条第一款、《超限运输车辆行驶公路管理规定》第三条第一款，其行为涉嫌违法超限运输。
处罚依据: 《超限运输车辆行驶公路管理规定》第三十六条第一款、《浙江省公路条例》第五十三条第一款第（二）项之规定
处罚决定：对你单位处罚款人民币贰2520元整。
｜违法事实: 你单位在2022年3月被测试巡查时，发现有违法嫌疑，涉嫌违反《浙江省公路条例》第三十四条第一款，其行为涉嫌违法超限运输。
处罚依据: 《浙江省公路条例》第五十三条第一款第（三）项之规定
处罚决定：对你单位处罚款人民币5400元整。",车辆在有限重标准的公路上行驶，该车辆载人载物重量超过该限重标准。,责令消除违法状态|罚款,"车货总质量未超过最高限值百分之二十的，给予批评教育，可以不予处罚；
车货总质量超过最高限值百分之二十以上百分之五十以下的，对百分之二十以上百分之五十以下的部分，处每吨三百元罚款； 
车货总质量超过最高限值百分之五十的，对百分之二十以上百分之五十以下的部分，处每吨三百元罚款；对超过百分之五十的部分，处每吨五百元罚款。最高不得超过三万元。",暂无,,
公路安全问题,超限运输,未按许可时间/路线/速度行驶,《超限运输车辆行驶公路管理规定》第四十七条第（三）项｜《超限运输车辆行驶公路管理规定》第四十三条第一款第（一）项,"大件运输车辆有下列情形之一的，视为违法超限运输：
（一）未经许可擅自行驶公路的；
（二）车辆及装载物品的有关情况与《超限运输车辆通行证》记载的内容不一致的；
（三）【未按许可的时间、路线、速度行驶公路的】；
（四）未按许可的护送方案采取护送措施的。
｜【车辆违法超限运输的】，由公路管理机构根据违法行为的性质、情节和危害程度，按下列规定给予处罚：
（一）车货总高度从地面算起未超过4.2米、总宽度未超过3米且总长度未超过20米的，可以处200元以下罚款；车货总高度从地面算起未超过4.5米、总宽度未超过3.75米且总长度未超过28米的，处200元以上1000元以下罚款；车货总高度从地面算起超过4.5米、总宽度超过3.75米或者总长度超过28米的，处1000元以上3000元以下的罚款；
（二）车货总质量超过本规定第三条第一款第四项至第八项规定的限定标准，但未超过1000千克的，予以警告；超过1000千克的，每超1000千克罚款500元，最高不得超过30000元。
有前款所列多项违法行为的，相应违法行为的罚款数额应当累计，但累计罚款数额最高不得超过30000元。","违法事实: 你单位在2022年7月被某市交通运输局执法人员接到高速交警三大队移交的案件：发现了2022年7月，张某驾驶冀ET****/冀E****挂载运打桩机从杭州运往衢州，在G****建德停车区涉嫌违反《超限运输车辆行驶公路管理规定》第二十条第（二）项，其行为涉嫌未按许可的时间、路线、速度行驶公路。
处罚依据：《超限运输车辆行驶公路管理规定》第三十六条第二款、第四十七条第（三）项、第四十三条第一款第（一）项之规定
处罚决定：对你单位处责令依法申请公路超限运输许可并罚款人民币500元整。
｜违法事实: 你单位2022年7月，王某驾驶冀FW****/豫Q****超车运载钻机从杭州市前往衢州市，行经G****高速建德服务区时，经高速交警检查发现“该车车货总宽度为3.45米，载运的货物为不可解体，该车已办理《超限运输车辆通行证》，但未按许可的路线行驶”。依据《超限运输车辆行驶公路管理规定》第三条和第四十七条，认定该车车货总宽度超限0.9米。
处罚依据：《超限运输车辆行驶公路管理规定》第三十六条第二款、第四十七条第（三）项、第四十三条第一款第（一）项之规定
处罚决定：对你单位处责令依法申请公路超限运输许可，抄告许可部门并罚款人民币500元整。",大件运输车辆未按许可的时间、路线、速度行驶公路。,罚款,"车货总高度从地面算起未超过4.2米、总宽度未超过3米且总长度未超过20米的，可以处200元以下罚款；
车货总高度从地面算起未超过4.5米、总宽度未超过3.75米且总长度未超过28米的，处200元以上1000元以下罚款；
车货总高度从地面算起超过4.5米、总宽度超过3.75米或者总长度超过28米的，处1000元以上3000元以下的罚款；",暂无,,
公路安全问题,未采取护送措施,未按许可的护送方案采取护送措施,《超限运输车辆行驶公路管理规定》第四十七条第（四）项｜《超限运输车辆行驶公路管理规定》第四十三条第一款第（一）项,"大件运输车辆有下列情形之一的，视为违法超限运输：
（一）未经许可擅自行驶公路的；
（二）车辆及装载物品的有关情况与《超限运输车辆通行证》记载的内容不一致的；
（三）未按许可的时间、路线、速度行驶公路的；
（四）【未按许可的护送方案采取护送措施的】。
｜【车辆违法超限运输的】，由公路管理机构根据违法行为的性质、情节和危害程度，按下列规定给予处罚：
（一）车货总高度从地面算起未超过4.2米、总宽度未超过3米且总长度未超过20米的，可以处200元以下罚款；车货总高度从地面算起未超过4.5米、总宽度未超过3.75米且总长度未超过28米的，处200元以上1000元以下罚款；车货总高度从地面算起超过4.5米、总宽度超过3.75米或者总长度超过28米的，处1000元以上3000元以下的罚款；
（二）车货总质量超过本规定第三条第一款第四项至第八项规定的限定标准，但未超过1000千克的，予以警告；超过1000千克的，每超1000千克罚款500元，最高不得超过30000元。
有前款所列多项违法行为的，相应违法行为的罚款数额应当累计，但累计罚款数额最高不得超过30000元。","违法事实:你单位在 2022年6月当事人驾驶的皖SD****/苏B****超装载气化炉从上海驶往福建。在S43（绕城西复线）温向K68+300，经本机关行政执法人员现场检查发现，该大件运输车长29米，宽4.9米，高4.88米，经本机关行政执法人员现场检查发现，该大件运输车依照许可的护送方案采取的护送措施应当配备护送车，实际现场无护送车。实际的护送过程与许可的护送方案采取的护送措施不一致。依据《超限运输车辆行驶公路管理规定》第三条第一款第（一）（二）（三）项之规定，该车车货总高度超限0.88米，总宽度超限2.35米，总长度超限10.9米。
处罚依据：《超限运输车辆行驶公路管理规定》第三十六条第二款、第四十七条第（四）项、第四十三条第一款第（一）项之规定
处罚决定：对你单位处抄告许可部门并罚款人民币1500元整。
｜违法事实: 你单位在2022年6月，寇某驾驶陕C7****/陕C****超车载运机械设备从四川省前往浙江省，行经G6021高速建德服务区时，经高速交警检查发现“该车车货总宽度为4.25米，载运的货物为不可解体，该车已办理《超限运输证》，但未按许可的护送方案采取护送措施”。依据《超限运输车辆行驶公路管理规定》第三条和第四十七条，认定该车车货总宽度超限1.7米。
处罚依据：《超限运输车辆行驶公路管理规定》第三十六条第二款、第四十七条第（四）项、第四十三条第一款第（一）项之规定
处罚决定：对你单位处责令依法申请公路超限运输许可，抄告许可部门并罚款人民币1500元整。",大件运输车辆未按许可的护送方案采取护送措施。,罚款,"车货总高度从地面算起未超过4.2米、总宽度未超过3米且总长度未超过20米的，可以处200元以下罚款；
车货总高度从地面算起未超过4.5米、总宽度未超过3.75米且总长度未超过28米的，处200元以上1000元以下罚款；
车货总高度从地面算起超过4.5米、总宽度超过3.75米或者总长度超过28米的，处1000元以上3000元以下的罚款；",暂无,,
公路安全问题,逃避检测,故意逃避检测,《浙江省公路条例》第五十六条,违反本条例第三十九条规定，【故意采取超低速行驶、急刹车、多车辆并排、首尾紧随等方式逃避检测的】，由设区的市、县（市、区）交通运输主管部门责令改正，可以处五千元以下罚款。,"违法事实: 你单位在2022年7月被某市交通运输局执法人员在S2高速公路杭州收费站检查监控视频时发现：2022年7月，浙A6****在行径至S2高速公路杭州收费站称重车道时，采取走S型的方式逃避检测。经核查，该车属于你单位，驾驶员为高某，对该行为确认无误。
处罚依据：《浙江省公路条例》第五十六条之规定
处罚决定：对你单位处责令改正并罚款人民币2000元整。
｜违法事实: 你单位在2022年6月被某市交通运输局执法人员通过**新创建高速公路有限公司监控探头取证：发现2021年12月，***PB5745/***SS150挂在G2504绕城高速公路下沙收费站通过超限运输检测技术监控区域时，故意采取超低速、走S型路线等方式涉嫌故意逃避检测，涉嫌违反《浙江省公路条例》第三十九条规定，其行为涉嫌故意逃避检测，今年第一次被处罚。
处罚依据：《浙江省公路条例》第五十六条之规定
处罚决定：对你单位处责令改正并罚款人民币2000元整。",故意采取超低速行驶、急刹车、多车辆并排、首尾紧随等方式逃避检测。,责令改正｜罚款,可以处五千元以下罚款,暂无,,
公路安全问题,安全生产管理不到位,单位未能提供安全台账/未与员工签订安全责任书/未建立安全生产应急预案,《浙江省道路运输条例》第七十五条第（八）项,"违反本条例规定， 有下列情形之一的， 由县级以上道路运输管理机构责令改正， 处三百元以上三千元以下罚款， 可以并处暂扣三十日以下车辆营运证、 从业资格证; 情节严重的， 由原许可机关吊销车辆营运证、从业资格证、经营许可证或者取消相应客运班线营运权：
　　(一) 包车客运经营者招揽包车合同以外的旅客乘车的;
　　(二) 班车客运经营者途中甩客、站外揽客的;
　　(三) 公共汽车客运经营者有违反本条例第十四条规定行为的;
　　(四) 出租汽车客运经营者有违反本条例第二十一条规定行为的;
　　(五) 客运出租汽车驾驶人员有违反本条例第二十三条规定行为的;
　　(六) 包车客运车辆、 三类以上客运班线车辆、 客运出租汽车和危险货物运输车辆的经营者和驾驶人员 ， 未按规定安装和使用具有行驶记录功能的卫星定位终端设备的;
　　(七) 机动车驾驶员培训教练员有违反本条例第五十三条规定行为的;
　　(八) 【道路运输和道路运输相关业务经营者未按规定实施安全生产管理制度】， 或者未按规定期限报告道路运输安全情况或者隐瞒、拖延不报、谎报道路运输安全事故的。","违法事实：你单位在2019年10月执法人员在某镇汽车用品商行检查时，发现你单位现场未能提供安全会议记录，安全培训记录，安全监督检查记录等安全台账。该单位由占某个人经营，占某的行为涉嫌违反《浙江省道路运输条例》第七十五条第（八）项，未按规定实施安全生产管理制度的。
处罚依据：《浙江省道路运输条例》第七十五条第（八）项之规定
处罚决定：对你单位 处以罚款人民币三佰元整。｜违法事实：你单位在2019年10月本局执法人员在某汽车维修有限公司检查时发现，你单位未与员工签订安全责任书，也未建立安全生产应急预案。该汽车维修有限公司涉嫌违反《浙江省道路运输条例》第七十五条第（八）项，未按规定实施安全生产管理制度。执法人员随即对上述情况进行了取证。
处罚依据：《浙江省道路运输条例》第七十五条第（八）项之规定
处罚决定：对你单位 处以罚款人民币三佰元整。",道路运输经营者未按规定实施安全生产管理制度。,责令改正|罚款｜暂扣、吊销证照,处三百元以上三千元以下罚款,暂无,,
