一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
治安,侵害人身,诽谤,《中华人民共和国治安管理处罚法》第四十二条第(二)项,"有下列行为之一的，处五日以下拘留或者五百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款：
　　（一）写恐吓信或者以其他方法威胁他人人身安全的；
　　（二）【公然侮辱他人或者捏造事实诽谤他人的】；
　　（三）捏造事实诬告陷害他人，企图使他人受到刑事追究或者受到治安管理处罚的；
　　（四）对证人及其近亲属进行威胁、侮辱、殴打或者打击报复的；
　　（五）多次发送淫秽、侮辱、恐吓或者其他信息，干扰他人正常生活的；
　　（六）偷窥、偷拍、窃听、散布他人隐私的。","主要违法事实：2021年8月27日9时20分许，徐某在未经核实的情况下将袁某某（女）捏造为“钱江路站裸照事件”的当事人，并将该捏造的内容发送至微信群，造成他人转发和传播。徐某的行为已构成诽谤的违法行为，且其通过信息网络诽谤他人，属情节较重。经查证，徐某属主动消除或者减轻违法后果，并取得被侵害人谅解，对其减轻处罚。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十二条第(二)项、第十九条第（二）项之规定，决定给予徐某罚款五百元的行政处罚。|主要违法事实：2021年8月28日11时许，张某在未经核实的情况下将许某某捏造为“钱江路站裸照事件”的当事人，并将该捏造的内容发送至微信群，造成他人转发和传播。张某的行为已构成诽谤的违法行为，且其通过信息网络诽谤他人，属情节较重。经查证，张某属主动消除或者减轻违法后果，并取得被侵害人谅解，对其减轻处罚。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十二条第(二)项、第十九条第（二）项之规定，决定给予张某罚款五百元的行政处罚。",未经核实，在网络上故意捏造或散布虚构的事实，贬损他人人格，破坏他人名誉的。,拘留|罚款,处五日以下拘留或者五百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款,【诽谤罪】,《中华人民共和国刑法》第二百四十六条,"【以暴力或者其他方法公然侮辱他人或者捏造事实诽谤他人，情节严重的】，处三年以下有期徒刑、拘役、管制或者剥夺政治权利。
　　前款罪，告诉的才处理，但是严重危害社会秩序和国家利益的除外。
　　通过信息网络实施第一款规定的行为，被害人向人民法院告诉，但提供证据确有困难的，人民法院可以要求公安机关提供协助。"
治安,侵害人身,侮辱,《中华人民共和国治安管理处罚法》第四十二条第(二)项,"有下列行为之一的，处五日以下拘留或者五百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款：
　　（一）写恐吓信或者以其他方法威胁他人人身安全的；
　　（二）【公然侮辱他人或者捏造事实诽谤他人的】；
　　（三）捏造事实诬告陷害他人，企图使他人受到刑事追究或者受到治安管理处罚的；
　　（四）对证人及其近亲属进行威胁、侮辱、殴打或者打击报复的；
　　（五）多次发送淫秽、侮辱、恐吓或者其他信息，干扰他人正常生活的；
　　（六）偷窥、偷拍、窃听、散布他人隐私的。","主要违法事实： 2021年10月1日14时30分许，机场秩序巡查中队4名队员在巡逻过程中发现在萧山国际机场内维纳酒店后面的小树林有人聚集打牌，4名队员在驱赶过程中，何某和城管队员发生口角，这期间何某向城管队员朱某面部吐口水，事后逃离现场。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十二条第(二)项之规定，决定给予何某罚款三百元的行政处罚。|",故意以言行侮弄羞辱别人，使对方人格或名誉受到损害的。,拘留|罚款,处五日以下拘留或者五百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款,【侮辱罪】,《中华人民共和国刑法》第二百四十六条,"【以暴力或者其他方法公然侮辱他人或者捏造事实诽谤他人，情节严重的】，处三年以下有期徒刑、拘役、管制或者剥夺政治权利。
　　前款罪，告诉的才处理，但是严重危害社会秩序和国家利益的除外。
　　通过信息网络实施第一款规定的行为，被害人向人民法院告诉，但提供证据确有困难的，人民法院可以要求公安机关提供协助。"
治安,侵害人身,侵犯隐私,《中华人民共和国治安管理处罚法》第四十二条第六项,"有下列行为之一的，处五日以下拘留或者五百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款：
　　（一）写恐吓信或者以其他方法威胁他人人身安全的；
　　（二）公然侮辱他人或者捏造事实诽谤他人的；
　　（三）捏造事实诬告陷害他人，企图使他人受到刑事追究或者受到治安管理处罚的；
　　（四）对证人及其近亲属进行威胁、侮辱、殴打或者打击报复的；
　　（五）多次发送淫秽、侮辱、恐吓或者其他信息，干扰他人正常生活的；
　　（六）【偷窥、偷拍、窃听、散布他人隐私的】。","主要违法事实：2022年6月16日19时50分许，贺某在杭州地铁二号线上行电扶梯处，趁女乘客王某不备，用随身携带的手机伸入王某裙底偷拍其隐私部位，被王某当场发现。贺某的行为已构成侵犯他人隐私的违法行为。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十二条第(六)项之规定，决定给予贺某罚款四百元的行政处罚。|主要违法事实：2019年1月7日下午15时50分许，孙某在杭州萧山国际机场综合保障大楼5楼女厕所厕位内用手机偷拍隔壁厕位正在如厕的女性隐私部位。
行政处罚的种类和依据：《中华人民共和国治安管理处罚法》第四十二条第(六)项之规定，决定给予孙某行政拘留五日的行政处罚。",偷窥、偷拍、窃听、散布他人裙底、如厕、洗澡等隐私部位信息的。,拘留|罚款,处五日以下拘留或者五百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款,暂无,,
治安,侵害人身,殴打他人,《中华人民共和国治安管理处罚法》第四十三条第一款,"【殴打他人的，或者故意伤害他人身体的】，处五日以上十日以下拘留，并处二百元以上五百元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。
　　有下列情形之一的，处十日以上十五日以下拘留，并处五百元以上一千元以下罚款：
　　（一）结伙殴打、伤害他人的；
　　（二）殴打、伤害残疾人、孕妇、不满十四周岁的人或者六十周岁以上的人的；
　　（三）多次殴打、伤害他人或者一次殴打、伤害多人的。","主要违法事实：2022年1月7日17时10分许，赫某在杭州地铁一号线某站C口处，因与李某某工程款纠纷对李某某进行殴打，造成李某某多处软组织伤。赫某的行为已构成殴打他人的违法行为，因伤害后果显著轻微，属情节较轻。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十三条第一款之规定，决定给予赫某罚款四百元的行政处罚。|主要违法事实：2017年10月03日00时40分接报案称：2017年10月02日14时40分在浙瑞渔船上，船员何某与船上薛某因何某将衣服晾在机舱与薛某发生口角后，双方扭打在一起后，造成何某脖子有抓痕的一定伤势。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十三条第一款之规定，决定给予薛某行政拘留五日的行政处罚。",殴打他人的，或者故意伤害他人身体的。,拘留|罚款,处五日以上十日以下拘留，并处二百元以上五百元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。,【故意伤害罪】,《中华人民共和国刑法》第二百三十四条,"【故意伤害他人身体的】，处三年以下有期徒刑、拘役或者管制。
　　犯前款罪，致人重伤的，处三年以上十年以下有期徒刑；致人死亡或者以特别残忍手段致人重伤造成严重残疾的，处十年以上有期徒刑、无期徒刑或者死刑。本法另有规定的，依照规定。"
治安,侵害人身,猥亵,《中华人民共和国治安管理处罚法》第四十四条,【猥亵他人的】，或者在公共场所故意裸露身体，情节恶劣的，处五日以上十日以下拘留；猥亵智力残疾人、精神病人、不满十四周岁的人或者有其他严重情节的，处十日以上十五日以下拘留。,"2022年5月23日18时05分许，王某在杭州地铁学院路站的地铁列车上，以身体故意触碰女乘客吴某某的方式对其进行猥亵。王某的行为已构成猥亵他人的违法行为，且在公共场所猥亵他人，本属情节严重。但因王某手段行为轻微，触碰时间极短，属情节特别轻微，对其减轻处罚。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十四条、第十九条第（一）项之规定，决定给予王某行政拘留六日的行政处罚。|主要违法事实：2022年7月12日10时43分许，赵某在杭州地铁2号线，趁被侵害人华某不备，以手摸胸部的方式对华某进行猥亵。另查明，赵某于当日在相同地点以手摸胸部的方式对被侵害人张某某进行猥亵（因张某某躲避，猥亵行为未得逞）。后赵某于2022年7月15日被公安机关查获。经调查，赵某在公共场所猥亵他人，属于情节严重。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十四条之规定，决定给予赵某行政拘留十三日的行政处罚。","以刺激或满足性欲为目的,用故意触碰等方式实施的淫秽行为。",拘留,处五日以上十日以下拘留|有其他严重情节的，处十日以上十五日以下拘留。,【强制猥亵、侮辱罪】,《中华人民共和国刑法》第二百三十七条第一款,"【以暴力、胁迫或者其他方法强制猥亵他人或者侮辱妇女的】，处五年以下有期徒刑或者拘役。
　　聚众或者在公共场所当众犯前款罪的，或者有其他恶劣情节的，处五年以上有期徒刑。"
治安,扰乱秩序,在公共场所故意裸露身体,《中华人民共和国治安管理处罚法》第四十四条,猥亵他人的，或者【在公共场所故意裸露身体，情节恶劣的】，处五日以上十日以下拘留；猥亵智力残疾人、精神病人、不满十四周岁的人或者有其他严重情节的，处十日以上十五日以下拘留。,"主要违法事实：现查明，2021年6月4日19时05分左右至2021年6月4日19时30分左右，徐某在杭州萧山国际机场T3到达大厅员工通道前的休息座椅区故意裸露其生殖器，且其有向异性裸露生殖器的行为，属情节恶劣。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十四条之规定，决定给予徐某行政拘留九日的行政处罚。|主要违法事实：2021年5月11日04时23分许，一身穿黑色衣服的女孩在杭州萧山国际机场T1航站楼国内到达厅永和豆浆旁边的凳子处休息，晁某在其斜对面的凳子上就坐时，将双脚放在凳子上，两腿分开，裸露出生殖器，并保持裸露生殖器的姿势一分钟左右，在此期间，晁某注意到斜对面的黑衣服女孩一会仰头休息，一会低头玩手机，旁边的两个人一人在休息一人在玩手机。04时40分许，晁某走到T1到达厅员工通道附近的按摩椅处就坐。正常入座后，晁某给手机充电并有左顾右盼的行为，晁某注意到自己的对面坐着一个漂亮的女孩，左边也坐了一个女人。05时01分许，晁某与对面的女孩有交流并从座位起来离开；05时05分许，晁某返回座位正常入座并查看手机，而后把右脚左脚先后放到椅子上，随后有将右手伸入放置于腿上包下的动作；05时10分许，晁某将身体向右侧稍转，并将左脚抬起踩在按摩椅右侧扶手上，露出生殖器，正对着对面的女孩，这一姿势持续40余秒，而后将脚放回至椅子上，直至5时15分许黑衣女孩过来让晁某放下双脚。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十四条之规定，决定给予晁某行政拘留八日的行政处罚。",在公共场所故意裸露生殖器的。,拘留,处五日以上十日以下拘留|有其他严重情节的，处十日以上十五日以下拘留。,暂无,,
治安,侵害财产,诈骗,《中华人民共和国治安管理处罚法》第四十九条,盗窃、【诈骗】、哄抢、抢夺、敲诈勒索或者故意损毁公私财物的，处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。,"主要违法事实：2019年4月2日上午8时15分许，熊某使用其拾得的他人中国邮政储蓄银行卡，在杭州地铁二号线丰潭路站自动售票机处，利用该卡的银联云闪付免密支付功能（未输入密码），分11次购买单程票92张，每张面值8元，共计消费736元，后为获得退票收益，向客服中心进行退票，在退票时被民警查获。其行为已构成诈骗的违法行为。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十九条之规定，决定给予熊某行政拘留七日的行政处罚。|主要违法事实：2020年4月至2021年3月期间，程某在杭州萧山国际机场多次以没有现金需要兑换却因支付宝微信冻结无法当下支付并承诺日后归还、没钱托运想要借钱等虚构的事实为由，向过往的旅客骗取现金，总计诈骗的违法行为共6次，总计骗取现金共880元人民币。因程某多次实施诈骗，属情节较重。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十九条之规定，决定给予程某行政拘留十五日并处罚款一千元的行政处罚。",以非法占有为目的，用虚构事实或者隐瞒真相的方法，骗取公私财物的。,拘留|罚款,处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。,【诈骗罪】,《中华人民共和国刑法》第二百六十六条,【诈骗公私财物，数额较大的】，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。本法另有规定的，依照规定。
治安,侵害财产,盗窃,《中华人民共和国治安管理处罚法》第四十九条|《中华人民共和国治安管理处罚法》第十一条第二款,"【盗窃】、诈骗、哄抢、抢夺、敲诈勒索或者故意损毁公私财物的，处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。|办理治安案件所查获的毒品、淫秽物品等违禁品，赌具、赌资，吸食、注射毒品的用具以及直接用于实施违反治安管理行为的本人所有的工具，应当收缴，按照规定处理。
　　【违反治安管理所得的财物，追缴退还被侵害人】；没有被侵害人的，登记造册，公开拍卖或者按照国家有关规定处理，所得款项上缴国库。","主要违法事实：2021年9月27日18时40分许，孟某在杭州萧山国际机场国内出发B08登机口对面的沁新零售自助体验店以试戴的方式将店内的一副黑色镜框、金属镜腿、黑色镜片、镜片有点偏方的眼镜拿走，该眼镜价值199元人民币。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第四十九条之规定，决定给予孟某行政拘留七日的行政处罚。|主要违法事实：2018年12月31日07时41分许周某在杭州萧山国际机场T2航站楼国际出发厅中免集团杭州香化综合店和雅诗兰黛店内以顺手牵羊的形式偷走化妆品两瓶，价值1530元。
行政处罚的种类和依据：《中华人民共和国治安管理处罚法》第四十九条之规定，决定给予周某行政拘留八日的行政处罚，根据《中华人民共和国治安管理处罚法》第十一条第二款规定，追缴“LAMER”面霜1瓶、追缴“SK-II”精华液1瓶。",以非法占有为目的，秘密窃取公私财物的。,追缴退还|拘留|罚款,处五日以上十日以下拘留，可以并处五百元以下罚款；情节较重的，处十日以上十五日以下拘留，可以并处一千元以下罚款。,【盗窃罪】,《中华人民共和国刑法》第二百六十四条,【盗窃公私财物，数额较大的，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的】，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。
治安,扰乱秩序,传播淫秽信息,《中华人民共和国治安管理处罚法》第六十八条,制作、运输、复制、出售、出租淫秽的书刊、图片、影片、音像制品等淫秽物品或者【利用计算机信息网络、电话以及其他通讯工具传播淫秽信息的】，处十日以上十五日以下拘留，可以并处三千元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。,"主要违法事实：2022年6月16日18时58分，尹某在杭州地铁3号线行驶的地铁车厢内，使用其本人的苹果11手机的蓝牙的隔空投送功能向他人发送淫秽图片。尹某的行为已经构成传播淫秽信息的违法行为。经调查，尹某向他人发送淫秽图片共两张，传播的数量较少，且尹某在地铁车厢内传播淫秽信息，传播的范围较小，故属于情节较轻。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第六十八条之规定，决定给予尹某罚款五百元的行政处罚。|主要违法事实：2021年8月15日18时20分许，李某在杭州地铁二号线地铁列车上，使用其随身携带的金色苹果7PLUS手机的隔空投送功能，将一张男性生殖器的裸露图片投送给周围陌生人，后由被侵害人邓某某某接收。经鉴定，李某隔空投送的图片为淫秽物品。李某的行为已构成传播淫秽信息的违法行为。因李某传播一张淫秽图片，属情节较轻。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第六十八条之规定，决定给予李某罚款五百元的行政处罚。",向他人发送淫秽信息，干扰他人正常生活的。,拘留|罚款,处十日以上十五日以下拘留，可以并处三千元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。,【传播淫秽物品罪】,《中华人民共和国刑法》第三百六十四条第一款,"【传播淫秽的书刊、影片、音像、图片或者其他淫秽物品，情节严重的】，处二年以下有期徒刑、拘役或者管制。
组织播放淫秽的电影、录像等音像制品的，处三年以下有期徒刑、拘役或者管制，并处罚金；情节严重的，处三年以上十年以下有期徒刑，并处罚金。
　　制作、复制淫秽的电影、录像等音像制品组织播放的，依照第二款的规定从重处罚。
　　向不满十八周岁的未成年人传播淫秽物品的，从重处罚。"
治安,扰乱秩序,扰乱单位秩序,《中华人民共和国治安管理处罚法》第二十三条第一款第(一)项,"有下列行为之一的，处警告或者二百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款：
　　（一）【扰乱机关、团体、企业、事业单位秩序，致使工作、生产、营业、医疗、教学、科研不能正常进行，尚未造成严重损失的】；
　　（二）扰乱车站、港口、码头、机场、商场、公园、展览馆或者其他公共场所秩序的；
　　（三）扰乱公共汽车、电车、火车、船舶、航空器或者其他公共交通工具上的秩序的；
　　（四）非法拦截或者强登、扒乘机动车、船舶、航空器以及其他交通工具，影响交通工具正常行驶的；
　　（五）破坏依法进行的选举秩序的。
　　聚众实施前款行为的，对首要分子处十日以上十五日以下拘留，可以并处一千元以下罚款。","主要违法事实：2021年7月16日至2021年11月1日，裴某多次以无理纠缠、恶意骚扰的方式拨打杭州市公安局地铁公安分局指挥中心接警电话，且在电话中多次辱骂民警和接警员，致使指挥中心的工作不能正常进行，其行为已构成扰乱单位秩序的违法行为。裴某一年内多次扰乱单位秩序，属情节较重。经查证，2021年 12月7日，裴某检举、揭发一起他人的违法犯罪行为，经查证属实，属有立功表现。后查明，2021年12月9日，裴某因扰乱公共交通工具上的秩序被地铁公安分局处罚款200元，属六个月内曾受过治安管理处罚的，对其从重处罚。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第二十三条第一款第(一)项、第十九条第（五）项、第二十条第（四）项之规定，决定给予裴伦斌罚款二百元的行政处罚。|主要违法事实：2017年9月4日06时30分，孙某在杭州萧山国际机场欲乘坐航班前往深圳，在T1航站楼头等舱通道接受安检过程中不配合工作人员检查，以辱骂、推搡、踢打工作人员等方式干扰正常安全检查，并将随身携带手提包砸在X光机开箱台上，将鞋子扔到安检员身上，不听安检员劝阻强行进入隔离区，导致安检通道检查工作无法正常进行，属情节较重。
行政处罚的种类和依据：根据《中华人民共和国治安管理处罚法》第二十三条第一款第(一)项之规定，决定给予孙某行政拘留七日的行政处罚。",以辱骂、推搡、殴打等方式不配合工作人员，扰乱秩序导致单位工作不能正常进行的。,警告|罚款|拘留,处警告或者二百元以下罚款；情节较重的，处五日以上十日以下拘留，可以并处五百元以下罚款。|聚众实施前款行为的，对首要分子处十日以上十五日以下拘留，可以并处一千元以下罚款,【聚众扰乱公共场所秩序、交通秩序罪】,《中华人民共和国刑法》第二百九十一条,【聚众扰乱车站、码头、民用航空站、商场、公园、影剧院、展览会、运动场或者其他公共场所秩序，聚众堵塞交通或者破坏交通秩序，抗拒、阻碍国家治安管理工作人员依法执行职务，情节严重的】，对首要分子，处五年以下有期徒刑、拘役或者管制。
