一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
驾驶问题,酒驾/醉驾机动车,饮酒后驾驶机动车,《中华人民共和国道路交通安全法》第九十一条,"【饮酒后驾驶机动车的】，处暂扣六个月机动车驾驶证，并处一千元以上二千元以下罚款。因饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车的，处十日以下拘留，并处一千元以上二千元以下罚款，吊销机动车驾驶证。
【醉酒驾驶机动车的】，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。
【饮酒后驾驶营运机动车的】，处十五日拘留，并处五千元罚款，吊销机动车驾驶证，五年内不得重新取得机动车驾驶证。
【醉酒驾驶营运机动车的】，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；十年内不得重新取得机动车驾驶证，重新取得机动车驾驶证后，不得驾驶营运机动车。
【饮酒后或者醉酒驾驶机动车发生重大交通事故】，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证，终生不得重新取得机动车驾驶证。",暂无,饮酒后驾驶机动车；醉酒后驾驶机动车。,暂扣、吊销机动车驾驶证|罚款|拘留|追究刑事责任,并处一千元以上二千元以下罚款,【危险驾驶罪】,《中华人民共和国刑法》第一百三十三条之一,
驾驶问题,酒驾/醉驾营运车,饮酒后驾驶营运机动车,《中华人民共和国道路交通安全法》第二十二条第二款|《中华人民共和国道路交通安全法》第九十一条,"机动车驾驶人应当遵守道路交通安全法律、法规的规定，按照操作规范安全驾驶、文明驾驶。
　　【饮酒、服用国家管制的精神药品或者麻醉药品，或者患有妨碍安全驾驶机动车的疾病，或者过度疲劳影响安全驾驶的，不得驾驶机动车。】
　　任何人不得强迫、指使、纵容驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车。|饮酒后驾驶机动车的，处暂扣六个月机动车驾驶证，并处一千元以上二千元以下罚款。因饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车的，处十日以下拘留，并处一千元以上二千元以下罚款，吊销机动车驾驶证。
　　醉酒驾驶机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。
　　【饮酒后驾驶营运机动车的，处十五日拘留，并处五千元罚款，吊销机动车驾驶证，五年内不得重新取得机动车驾驶证。
　　醉酒驾驶营运机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；十年内不得重新取得机动车驾驶证，重新取得机动车驾驶证后，不得驾驶营运机动车。】
　　饮酒后或者醉酒驾驶机动车发生重大交通事故，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证，终生不得重新取得机动车驾驶证。","违法事实：2021年10月，王某驾驶小型新能源汽车行至14号大街以南200米南向北处，实施饮酒后驾驶营运机动车的（酒精呼气测试值：68mg/100ml）违法行为，被民警当场查获。其行为，违反了《中华人民共和国道路交通安全法》第二十二条第二款之规定。
处罚依据：《中华人民共和国道路交通安全法》第九十一条第三款之规定。
处罚决定：决定给予王某行政拘留十五日的行政处罚。
|违法事实：2021年11月,杨某驾驶的轻型厢式货车行至某路口以东200米附近,实施饮酒后驾驶营运机动车的(呼吸式酒精检测结果：74MG/100ML)违法行为，被民警当场查获。
处罚依据：《中华人民共和国道路交通安全法》第九十一条第三款之规定。
处罚决定：决定给予杨某行政拘留十五日的行政处罚。|
违法事实：2022年07月，雷某饮酒后（血液中乙醇含量：44.7mg/100ml）驾驶一辆重型半挂牵引货车行驶至某处，被执勤民警查获。
处罚依据：《中华人民共和国道路交通安全法》第九十一条第四款之规定。
处罚决定：决定给予雷某行政拘留十五日的行政处罚。",驾驶从事以赢利为目的的道路运输经营活动的机动车，饮酒驾驶被查处。,拘留|罚款|暂扣、吊销驾驶证|追究刑事责任|职业禁止,处十五日拘留|并处五千元罚款,【危险驾驶罪】|【交通肇事罪】,《中华人民共和国刑法》第一百三十三条之一|《中华人民共和国刑法》第一百三十三条,"在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：
　　（一）追逐竞驶，情节恶劣的；
　　（二）【醉酒驾驶机动车的】；
　　（三）从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的；
　　（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。
　　机动车所有人、管理人对前款第三项、第四项行为负有直接责任的，依照前款的规定处罚。
　　有前两款行为，同时构成其他犯罪的，依照处罚较重的规定定罪处罚。|【违反交通运输管理法规，因而发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的】，处三年以下有期徒刑或者拘役；交通运输肇事后逃逸或者有其他特别恶劣情节的，处三年以上七年以下有期徒刑；因逃逸致人死亡的，处七年以上有期徒刑。"
驾驶问题,多次酒驾,曾因酒驾被查处，又因酒驾被查,《中华人民共和国道路交通安全法》第二十二条第二款|《中华人民共和国道路交通安全法》第九十一条第一款,"机动车驾驶人应当遵守道路交通安全法律、法规的规定，按照操作规范安全驾驶、文明驾驶。
　　饮酒、服用国家管制的精神药品或者麻醉药品，或者患有妨碍安全驾驶机动车的疾病，或者过度疲劳影响安全驾驶的，不得驾驶机动车。
　　任何人不得强迫、指使、纵容驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车。|饮酒后驾驶机动车的，处暂扣六个月机动车驾驶证，并处一千元以上二千元以下罚款。【因饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车的，处十日以下拘留，并处一千元以上二千元以下罚款，吊销机动车驾驶证。】
　　醉酒驾驶机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；五年内不得重新取得机动车驾驶证。
　　饮酒后驾驶营运机动车的，处十五日拘留，并处五千元罚款，吊销机动车驾驶证，五年内不得重新取得机动车驾驶证。
　　醉酒驾驶营运机动车的，由公安机关交通管理部门约束至酒醒，吊销机动车驾驶证，依法追究刑事责任；十年内不得重新取得机动车驾驶证，重新取得机动车驾驶证后，不得驾驶营运机动车。
　　饮酒后或者醉酒驾驶机动车发生重大交通事故，构成犯罪的，依法追究刑事责任，并由公安机关交通管理部门吊销机动车驾驶证，终生不得重新取得机动车驾驶证。","违法事实：2021年10月，黄某驾驶小型轿车在本市某路口附近时，因饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车的违法行为，被民警查获（呼气式酒精含量为55mg/100ml）。你实施饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车的违法行为，违反了《中华人民共和国道路交通安全法》第二十二条第二款的规定。
处罚依据：《中华人民共和国道路交通安全法》第九十一条第一款之规定。
处罚决定：决定给予黄某行政拘留七日的行政处罚。
|违法事实：2021年09月，行为人刘某驾驶小型普通客车行至某大道口以北50米处,因饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车的(酒精呼气测试含量:44MG/100ML)违法行为，被民警现场查获。该行为违反了《中华人民共和国道路交通安全法》第二十二条第二款之规定。
处罚依据：《中华人民共和国道路交通安全法》第九十一条第一款之规定。
处罚决定：决定给予刘某行政拘留七日并处罚款1500元的行政处罚。",因饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车。,拘留|罚款|吊销驾驶证,处十日以下拘留|并处一千元以上二千元以下罚款,【危险驾驶罪】|【交通肇事罪】,《中华人民共和国刑法》第一百三十三条之一|《中华人民共和国刑法》第一百三十三条,"在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：
　　（一）追逐竞驶，情节恶劣的；
　　（二）【醉酒驾驶机动车的】；
　　（三）从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的；
　　（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。
　　机动车所有人、管理人对前款第三项、第四项行为负有直接责任的，依照前款的规定处罚。
　　有前两款行为，同时构成其他犯罪的，依照处罚较重的规定定罪处罚。|【违反交通运输管理法规，因而发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的】，处三年以下有期徒刑或者拘役；交通运输肇事后逃逸或者有其他特别恶劣情节的，处三年以上七年以下有期徒刑；因逃逸致人死亡的，处七年以上有期徒刑。"
驾驶问题,违章停车,不按规定停车,《中华人民共和国道路交通安全法》第九十三条,"对【违反道路交通安全法律、法规关于机动车停放、临时停车规定】的，可以指出违法行为，并予以口头警告，令其立即驶离。
　　机动车驾驶人不在现场或者虽在现场但拒绝立即驶离，妨碍其他车辆、行人通行的，处二十元以上二百元以下罚款，并可以将该机动车拖移至不妨碍交通的地点或者公安机关交通管理部门指定的地点停放。公安机关交通管理部门拖车不得向当事人收取费用，并应当及时告知当事人停放地点。
　　因采取不正确的方法拖车造成机动车损坏的，应当依法承担补偿责任。",暂无,违反道路交通安全法律法规停放机动车、临时停车。,警告|罚款|拖离,处二十元以上二百元以下罚款,暂无,,
驾驶问题,肇事逃逸,发生交通事故后逃离现场（肇事逃逸）,《中华人民共和国道路交通安全法》第九十九条第（三）项,"有下列行为之一的，由公安机关交通管理部门处二百元以上二千元以下罚款：
　　（一）未取得机动车驾驶证、机动车驾驶证被吊销或者机动车驾驶证被暂扣期间驾驶机动车的；
　　（二）将机动车交由未取得机动车驾驶证或者机动车驾驶证被吊销、暂扣的人驾驶的；
　　（三）【造成交通事故后逃逸，尚不构成犯罪的】；
　　（四）机动车行驶超过规定时速百分之五十的；
　　（五）强迫机动车驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车，造成交通事故，尚不构成犯罪的；
　　（六）违反交通管制的规定强行通行，不听劝阻的；
　　（七）故意损毁、移动、涂改交通设施，造成危害后果，尚不构成犯罪的；
　　（八）非法拦截、扣留机动车辆，不听劝阻，造成交通严重阻塞或者较大财产损失的。
　　行为人有前款第二项、第四项情形之一的，可以并处吊销机动车驾驶证；有第一项、第三项、第五项至第八项情形之一的，可以并处十五日以下拘留。","违法事实：2021年02月，周某驾驶小型轿车沿某区头十一线由东向西行驶到某街道东侧50米地段时，与由西向东行驶的高某驾驶的电动自行车相撞，造成高某受伤及两车车损，发生碰撞事故后周某驾车逃离现场。2021年05月经司法鉴定中心鉴定，被鉴定人高某左手损伤，鉴定为轻微伤。
以上事实有周某的询问笔录、网上查询信息、驾驶证复印件、行驶证复印件、车辆强制保险复印件、道路交通事故现场图，现场勘查笔录、道路交通事故责任认定书、证人证言、司法鉴定意见书等证据证实。你实施造成交通事故后逃逸，尚不构成犯罪的违法行为，《中华人民共和国道路交通安全法》第九十九条第一款第(三)项：“有下列行为之一的，由公安机关交通管理部门处二百元以上二千元以下罚款：（三）造成交通事故后逃逸，尚不构成犯罪的；”及第九十九条第二款：“行为人有前款第二项、第四项情形之一的，可以并处吊销机动车驾驶证；有第一项、第三项、第五项至第八项情形之一的，可以并处十五日以下拘留。”之规定。
处罚依据：《中华人民共和国道路交通安全法》第九十九条第一款第(三)项、第九十九条第二款之规定。
处罚决定：决定给予周某行政拘留十日的行政处罚。
|违法事实：2021年06月，周某驾驶小型普通客车沿某村道由北向南行驶至3组地段时，与路边坐着的行人陈某碰撞，造成陈某受伤，车辆损坏。事故发生后，周某驾车逃离现场。2021年7月经司法鉴定中心鉴定，陈某人体损伤已构成轻伤一级。
处罚依据：《中华人民共和国道路交通安全法》第九十九条第一款第(三)项、第九十九条第二款之规定。
处罚决定：决定给予周某行政拘留十日的行政处罚。",造成交通事故后逃逸，但尚未构成犯罪。,拘留|罚款,并处十五日以下拘留|处二百元以上二千元以下罚款,【交通肇事罪】,《中华人民共和国刑法》第一百三十三条,违反交通运输管理法规，因而发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的，处三年以下有期徒刑或者拘役；【交通运输肇事后逃逸或者有其他特别恶劣情节的】，处三年以上七年以下有期徒刑；因逃逸致人死亡的，处七年以上有期徒刑。
驾驶问题,超速,超速驾驶,《中华人民共和国道路交通安全法》第九十九条第（四）项,"有下列行为之一的，由公安机关交通管理部门处二百元以上二千元以下罚款：
　　（一）未取得机动车驾驶证、机动车驾驶证被吊销或者机动车驾驶证被暂扣期间驾驶机动车的；
　　（二）将机动车交由未取得机动车驾驶证或者机动车驾驶证被吊销、暂扣的人驾驶的；
　　（三）造成交通事故后逃逸，尚不构成犯罪的；
　　（四）【机动车行驶超过规定时速百分之五十的】；
　　（五）强迫机动车驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车，造成交通事故，尚不构成犯罪的；
　　（六）违反交通管制的规定强行通行，不听劝阻的；
　　（七）故意损毁、移动、涂改交通设施，造成危害后果，尚不构成犯罪的；
　　（八）非法拦截、扣留机动车辆，不听劝阻，造成交通严重阻塞或者较大财产损失的。
　　行为人有前款第二项、第四项情形之一的，可以并处吊销机动车驾驶证；有第一项、第三项、第五项至第八项情形之一的，可以并处十五日以下拘留。","违法事实：2016年10月当事人蒋某在甬金高速金华方向10KM700M违反驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车行驶超过规定时速50%以上的行为。
处罚依据：《中华人民共和国道路交通安全法》第九十九条之规定。
处罚决定：罚款500元。
|违法事实：2020年02月当事人戴某在常台高速0273KM600M(江苏方向)违反驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车行驶超过规定时速50%以上的行为。
处罚依据：《中华人民共和国道路交通安全法》第九十九条之规定。
处罚决定：罚款500元。",超速驾驶，并且机动车行驶超过规定时速百分之五十。,罚款|吊销驾驶证,处二百元以上二千元以下罚款,【危险驾驶罪】,《中华人民共和国刑法》第一百三十三条之一,"在道路上驾驶机动车，有下列情形之一的，处拘役，并处罚金：
　　（一）追逐竞驶，情节恶劣的；
　　（二）醉酒驾驶机动车的；
　　（三）【从事校车业务或者旅客运输，严重超过额定乘员载客，或者严重超过规定时速行驶的】；
　　（四）违反危险化学品安全管理规定运输危险化学品，危及公共安全的。
　　机动车所有人、管理人对前款第三项、第四项行为负有直接责任的，依照前款的规定处罚。
　　有前两款行为，同时构成其他犯罪的，依照处罚较重的规定定罪处罚。"
驾驶问题,强迫驾驶,强迫他人违章驾驶，造成交通事故,《中华人民共和国道路交通安全法》第九十九条第（五）项,"有下列行为之一的，由公安机关交通管理部门处二百元以上二千元以下罚款：
（一）未取得机动车驾驶证、机动车驾驶证被吊销或者机动车驾驶证被暂扣期间驾驶机动车的；
（二）将机动车交由未取得机动车驾驶证或者机动车驾驶证被吊销、暂扣的人驾驶的；
（三）造成交通事故后逃逸，尚不构成犯罪的；
（四）机动车行驶超过规定时速百分之五十的；
（五）【强迫机动车驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车，造成交通事故，尚不构成犯罪的】；
（六）违反交通管制的规定强行通行，不听劝阻的；
（七）故意损毁、移动、涂改交通设施，造成危害后果，尚不构成犯罪的；
（八）非法拦截、扣留机动车辆，不听劝阻，造成交通严重阻塞或者较大财产损失的。
行为人有前款第二项、第四项情形之一的，可以并处吊销机动车驾驶证；有第一项、第三项、第五项至第八项情形之一的，可以并处十五日以下拘留。",暂无,强迫机动车驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车，造成交通事故，尚未构成犯罪。,拘留|罚款,并处十五日以下拘留|处二百元以上二千元以下罚款,暂无,,
驾驶问题,强行通行,违反交通管制强行通行,《中华人民共和国道路交通安全法》第九十九条第（六）项,"有下列行为之一的，由公安机关交通管理部门处二百元以上二千元以下罚款：
（一）未取得机动车驾驶证、机动车驾驶证被吊销或者机动车驾驶证被暂扣期间驾驶机动车的；
（二）将机动车交由未取得机动车驾驶证或者机动车驾驶证被吊销、暂扣的人驾驶的；
（三）造成交通事故后逃逸，尚不构成犯罪的；
（四）机动车行驶超过规定时速百分之五十的；
（五）强迫机动车驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车，造成交通事故，尚不构成犯罪的；
（六）【违反交通管制的规定强行通行，不听劝阻的】；
（七）故意损毁、移动、涂改交通设施，造成危害后果，尚不构成犯罪的；
（八）非法拦截、扣留机动车辆，不听劝阻，造成交通严重阻塞或者较大财产损失的。
行为人有前款第二项、第四项情形之一的，可以并处吊销机动车驾驶证；有第一项、第三项、第五项至第八项情形之一的，可以并处十五日以下拘留。","违法事实：2017年10月,李某在某路段违反非机动车违反交通管制的规定强行通行，不听劝阻的行为。
处罚依据：《中华人民共和国道路交通安全法》第九十九条第（六）项之规定。
处罚决定：罚款200元。",违反交通管制的规定强行通行，不听劝阻。,拘留|罚款,并处十五日以下拘留|处二百元以上二千元以下罚款,暂无,,
驾驶问题,驾驶报废车,驾驶报废机动车上路,《中华人民共和国道路交通安全法》第一百条,"【驾驶拼装的机动车或者已达到报废标准的机动车上道路行驶的】，公安机关交通管理部门应当予以收缴，强制报废。
对驾驶前款所列机动车上道路行驶的驾驶人，处二百元以上二千元以下罚款，并吊销机动车驾驶证。
出售已达到报废标准的机动车的，没收违法所得，处销售金额等额的罚款，对该机动车依照本条第一款的规定处理。","违法事实：本机关认为，当事人未取得驾驶证驾驶达到国家报废条件拖拉机案违法事实成立，并于2021年11月向当事人发出行政处罚事先告知书、责令改正通知书，当事人在法定期限内未向本机关提出陈述申辩申请。当事人的行为已违反《宁波市农业机械管理条例》第二十五条第一款“驾驶拖拉机、联合收割机，驾驶人应当依法取得驾驶证”，第二十六条第一款“禁止驾驶拼装的或者已达到国家报废条件的拖拉机、联合收割机”之规定。鉴于当事人的违法行为尚属首次被查获，且主动终止违法行为将涉案拖拉机交由回收解体，已经完成报废处理，尚不构成严重违法后果，符合《宁波市行政处罚自由裁量权行使规则》第十一条第一款第三项“未曾发生过相同违法行为的”、第四项“主动中止违法行为的”应当依法从轻处罚之规定。根据《宁波市农业机械管理条例》第三十条“违反本条例第二十五条规定，未取得驾驶证驾驶拖拉机、联合收割机的，责令改正，处一百元以上五百元以下罚款”，第三十一条“违反本条例第二十六条规定，使用拼装的或者已达到国家报废条件的拖拉机、联合收割机的，予以回收，依法报废，对驾驶人处一百元以上五百元以下罚款；情节严重的，依法吊销拖拉机、联合收割机驾驶证”之规定。
处罚依据：《中华人民共和国道路交通安全法》第一百条之规定。
处罚决定：按照惩罚与教育相结合的原则，决定对当事人作出从轻行政处罚决定，罚款人民币250元整。",驾驶已达到报废标准的机动车上道路行驶,收缴机动车，强制报废|吊销驾驶证|罚款,处二百元以上二千元以下罚款,暂无,,
驾驶问题,驾驶拼装车,驾驶拼装机动车上路,《中华人民共和国道路交通安全法》第一百条,"【驾驶拼装的机动车或者已达到报废标准的机动车上道路行驶的】，公安机关交通管理部门应当予以收缴，强制报废。
对驾驶前款所列机动车上道路行驶的驾驶人，处二百元以上二千元以下罚款，并吊销机动车驾驶证。
出售已达到报废标准的机动车的，没收违法所得，处销售金额等额的罚款，对该机动车依照本条第一款的规定处理。","违法事实：2019年06月，当事人张某在某地段违反驾驶拼装的机动车上道路行驶的行为。
处罚依据：《中华人民共和国道路交通安全法》第一百条之规定。
处罚决定：罚款200元。",驾驶拼装的机动车上道路行驶,收缴机动车|罚款|吊销机动车驾驶证,处二百元以上二千元以下罚款,暂无,,
