一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
客运车辆,资质问题,无证经营,《道路旅客运输及客运站管理规定》第九十三条第（二）项,"违反本规定，有下列行为之一的，由县级以上道路运输管理机构责令停止经营；有违法所得的，没收违法所得，处违法所得2倍以上10倍以下的罚款；没有违法所得或者违法所得不足2万元的，处3万元以上10万元以下的罚款；构成犯罪的，依法追究刑事责任：
（一）未取得道路客运经营许可，擅自从事道路客运经营的；
（二）【未取得道路客运班线经营许可，擅自从事班车客运经营的】；
（三）使用失效、伪造、变造、被注销等无效的道路客运许可证件从事道路客运经营的；
（四）超越许可事项，从事道路客运经营的。",暂无,未取得道路客运班线经营许可，擅自从事班车客运经营。,责令停止经营|没收违法所得|罚款|追究刑事责任,有违法所得的，没收违法所得，处违法所得2倍以上10倍以下的罚款；没有违法所得或者违法所得不足2万元的，处3万元以上10万元以下的罚款,【非法经营罪】,《中华人民共和国刑法》第二百二十五条,"违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：
　　（一）未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的；
　　（二）买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的；
　　（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；
　　（四）【其他严重扰乱市场秩序的非法经营行为】。"
客运车辆,营运问题,班车不按批准的客运站点停靠,《中华人民共和国道路运输条例》第六十九条第（一）项|《道路旅客运输及客运站管理规定》第一百条第（一）项,"违反本条例之规定。处罚决定：客运经营者、货运经营者有下列情形之一的，由县级以上地方人民政府交通运输主管部门责令改正，处1000元以上3000元以下的罚款；情节严重的，由原许可机关吊销道路运输经营许可证：
　　（一）【不按批准的客运站点停靠或者不按规定的线路、公布的班次行驶的】；
　　（二）强行招揽旅客、货物的；
　　（三）在旅客运输途中擅自变更运输车辆或者将旅客移交他人运输的；
　　（四）未报告原许可机关，擅自终止客运经营的；
　　（五）没有采取必要措施防止货物脱落、扬撒等的。
|违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）【客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的】；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。","违法事实：你单位在2018年驾驶员何某驾驶车辆在某道路因违反《中华人民共和国道路运输条例》第六十九条第（一）项、《道路旅客运输及客运站管理规定》第三十六条第一款， 被我执法人员查获。
处罚依据：《中华人民共和国道路运输条例》第六十九条第（一）项、《道路旅客运输及客运站管理规定》第八十六条第（一）项之规定。
处罚决定：对你单位处责令改正，并处以罚款人民币1000元整。
|违法事实：你单位在2018年某市道路运输管理局执法人员巡查时发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员范某制作现场笔录后发现：该车驾驶员范某驾驶普通客车在火车站旅游集散中心下客10人，车上还有7名成人和小孩，被现场运管人员查获，故该车所在公司乙公司构成客运经营者不按批准的客运站点停靠的行为。
处罚依据：《中华人民共和国道路运输条例》第六十九条第（一）项、《道路旅客运输及客运站管理规定》第三十六条第一款之规定。
处罚决定：处以罚款人民币1000元整，责令改正。",客运经营者不按批准的配客站点停靠。,责令改正|罚款|吊销许可证,处1000元以上3000元以下的罚款,暂无,,
客运车辆,营运问题,班车不按照规定的路线、班次行驶,《中华人民共和国道路运输条例》第六十九条第（一）项|《道路旅客运输及客运站管理规定》第一百条第（一）项,"违反本条例之规定。处罚决定：客运经营者、货运经营者有下列情形之一的，由县级以上地方人民政府交通运输主管部门责令改正，处1000元以上3000元以下的罚款；情节严重的，由原许可机关吊销道路运输经营许可证：
　　（一）【不按批准的客运站点停靠或者不按规定的线路、公布的班次行驶的】；
　　（二）强行招揽旅客、货物的；
　　（三）在旅客运输途中擅自变更运输车辆或者将旅客移交他人运输的；
　　（四）未报告原许可机关，擅自终止客运经营的；
　　（五）没有采取必要措施防止货物脱落、扬撒等的。
|违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）【客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的】；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。",暂无,客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶。,责令改正|罚款|吊销许可证,处1000元以上3000元以下的罚款,暂无,,
客运车辆,营运问题,以欺骗、胁迫等手段强行招揽旅客、货物,《中华人民共和国道路运输条例》第六十九条第（二）项|《道路旅客运输及客运站管理规定》第一百条第（三）项,"违反本条例之规定。处罚决定：客运经营者、货运经营者有下列情形之一的，由县级以上地方人民政府交通运输主管部门责令改正，处1000元以上3000元以下的罚款；情节严重的，由原许可机关吊销道路运输经营许可证：
　　（一）不按批准的客运站点停靠或者不按规定的线路、公布的班次行驶的；
　　（二）【强行招揽旅客、货物的】；
　　（三）在旅客运输途中擅自变更运输车辆或者将旅客移交他人运输的；
　　（四）未报告原许可机关，擅自终止客运经营的；
　　（五）没有采取必要措施防止货物脱落、扬撒等的。
|违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）【以欺骗、暴力等手段招揽旅客的】；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。",暂无,客运经营者强行招揽旅客、货物。,责令改正|罚款|吊销许可证,处1000元以上3000元以下的罚款,暂无,,
客运车辆,营运问题,擅自将旅客移交他人运输,《中华人民共和国道路运输条例》第六十九条第（三）项|《道路旅客运输及客运站管理规定》第一百条第（四）项,"违反本条例之规定。处罚决定：客运经营者、货运经营者有下列情形之一的，由县级以上地方人民政府交通运输主管部门责令改正，处1000元以上3000元以下的罚款；情节严重的，由原许可机关吊销道路运输经营许可证：
　　（一）不按批准的客运站点停靠或者不按规定的线路、公布的班次行驶的；
　　（二）强行招揽旅客、货物的；
　　（三）【在旅客运输途中擅自变更运输车辆或者将旅客移交他人运输的】；
　　（四）未报告原许可机关，擅自终止客运经营的；
　　（五）没有采取必要措施防止货物脱落、扬撒等的。
|违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）【擅自将旅客移交他人运输的】；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。","违法事实: 2022年1月，区交通运输局执法人员对一辆普通客车进行检查，经查：该大型普通客车驾驶员是白某，车辆所有人是甲公司，为省际班车。据驾驶员自述：在某路交叉口将乘客10人转驳至其他车辆。
处罚依据: 《中华人民共和国道路运输条例》第六十九条第（三）项、《道路旅客运输及客运站管理规定》第一百条第一款第（四）项、第二款之规定。
处罚决定：罚款人民币1250元整。
|违法事实：2017年08月，某站运管所工作人员接投诉件，车上乘客投诉一辆客运班车早上9：05左右从汽车南站出发，在火车站附近将其移交其他车辆运输，于是我所要求该车车主前来接受核实调查。经核实调查，并对该车驾驶员梁某制作现场笔录后发现：该车驾驶员梁某驾驶车辆违反《中华人民共和国道路运输条例》第六十九条第（三）项、《道路旅客运输及客运站管理规定》第三十九条，客运经营者在旅客运输途中擅自将旅客移交他人运输。
处罚依据：《中华人民共和国道路运输条例》第六十九条第（三）项、《道路旅客运输及客运站管理规定》第八十六条第（五）项之规定。
处罚决定：处以罚款人民币1000元整。",客运经营者在旅客运输途中擅自将旅客移交他人运输。,责令改正|罚款|吊销许可证,处1000元以上3000元以下的罚款,暂无,,
客运车辆,营运问题,运输途中擅自变更运输车辆,《中华人民共和国道路运输条例》第六十九条第（三）项|《道路旅客运输及客运站管理规定》第一百条第（五）项,"违反本条例之规定。处罚决定：客运经营者、货运经营者有下列情形之一的，由县级以上地方人民政府交通运输主管部门责令改正，处1000元以上3000元以下的罚款；情节严重的，由原许可机关吊销道路运输经营许可证：
　　（一）不按批准的客运站点停靠或者不按规定的线路、公布的班次行驶的；
　　（二）强行招揽旅客、货物的；
　　（三）【在旅客运输途中擅自变更运输车辆或者将旅客移交他人运输的】；
　　（四）未报告原许可机关，擅自终止客运经营的；
　　（五）没有采取必要措施防止货物脱落、扬撒等的。
|违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）【在旅客运输途中擅自变更运输车辆的】；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。","违法事实: 2020年10月，区交通运输局执法人员接到核查举报投诉，反映其在汽车北站乘坐当日发车前往河南南阳的班车，车辆离开车站30分钟左右，让车上的乘客下车乘坐其他的车辆。一辆普通客车有违法嫌疑，涉嫌违反《中华人民共和国道路运输条例》第二十条、《道路旅客运输及客运站管理规定》第三十九条，其行为涉嫌客运经营者在旅客运输途中擅自变更运输车辆。
处罚依据: 《中华人民共和国道路运输条例》第六十九条第（三）项、《道路旅客运输及客运站管理规定》第一百条第一款第（五）项、第二款之规定。
处罚决定：责令你单位立即改正，并罚款人民币1300元整。",客运经营者在旅客运输途中擅自变更运输车辆。,责令改正|罚款|吊销许可证,处1000元以上3000元以下的罚款,暂无,,
客运车辆,资质问题,包车合同已过期但仍在营运或不按规定使用道路运输业专用票证,《道路旅客运输及客运站管理规定》第九十八条,违反本规定，【客运经营者或者其委托的售票单位、客运站经营者不按规定使用道路运输业专用票证】或者转让、倒卖、伪造道路运输业专用票证的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款。,"违法事实：你单位在2018年，某市道路运输管理局执法人员在水厂附近巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员陈某制作现场笔录后发现：该车驾驶员陈某驾驶的普通客车，该车包车合同已过期仍在营运，甲公司违反《道路旅客运输及客运站管理规定》第四十一条，客运经营者（含国际道路客运经营者）不按规定使用道路运输业专用票证。
处罚依据：《道路旅客运输及客运站管理规定》第八十四条之规定。
处罚决定：处以罚款人民币1000元整。",客运经营者或者其委托的售票单位、客运站经营者不按规定使用道路运输业专用票证。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
客运车辆,资质问题,未持有效的包车客运标志牌经营,《道路旅客运输及客运站管理规定》第一百条第（七）项,"违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）【客运包车未持有效的包车客运标志牌进行经营的】，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。","违法事实：你单位在2018年某市道路运输管理局执法人员在街道巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员朱某制作现场笔录后发现：该车驾驶员朱某驾驶的普通客车违反《道路旅客运输及客运站管理规定》第五十六条第一款，客运包车未持有效的包车客运标志牌进行经营。
处罚依据：《道路旅客运输及客运站管理规定》第八十六条第（三）项之规定。
处罚决定：对你单位处处以罚款人民币1000元整、责令改正。|违法事实：你单位在2018年，监管处置系统发现一辆普通客车存在省外有轨迹，但无申报线路情况。该车因违反《道路旅客运输及客运站管理规定》第五十六条第一款被我执法人员查获。
处罚依据：《道路旅客运输及客运站管理规定》第八十六条第（三）项之规定。
处罚决定：对你单位处处以罚款人民币1000元整，责令改正。",客运包车未持有效的包车客运标志牌进行经营。,责令改正|罚款,处1000元以上3000元以下的罚款,【非法经营罪】,《中华人民共和国刑法》第二百二十五条,"违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：
　　（一）未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的；
　　（二）买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的；
　　（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；
　　（四）【其他严重扰乱市场秩序的非法经营行为】。"
客运车辆,营运问题,超载运行,《道路旅客运输及客运站管理规定》第一百条第（七）项,"违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，【不按照包车客运标志牌载明的事项运行的】，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。","违法事实: 你单位在2022年某服务区有一辆大客车由阮某驾驶，车上实载乘客37人，通过“互联网道路运输便民政务服务系统”核查，省际包车牌信息显示本运次人数30人，车辆所属公司为甲公司，因涉嫌违反《道路旅客运输及客运站管理规定》第五十七条第一款，客运包车不按照包车客运标志牌载明的事项运行被我执法人员查获。
处罚依据:《道路旅客运输及客运站管理规定》第一百条第一款第（七）项之规定。
处罚决定：对你单位处责令改正并罚款人民币1000元整。
|违法事实: 你单位在2022年某市交通运输局执法人员对一辆普通客车进行检查时后发现：该车驾驶员李某驾驶的普通客车带了30名学生往返某地体检，而该车的电子包车牌和包车客运合同显示该车实际经营与包车牌载明事项不符。涉嫌违反《道路旅客运输及客运站管理规定》第五十七条第一款，其行为涉嫌客运包车不按照包车客运标志牌载明的事项运行。
处罚依据:《道路旅客运输及客运站管理规定》第一百条第一款第（七）项之规定。
处罚决定：对你单位责令改正并罚款人民币1000元整。",客运经营者不按照包车客运标志牌载明的事项运行。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
客运车辆,营运问题,在未申报路线行驶或未按标志牌载明的路线运营,《道路旅客运输及客运站管理规定》第一百条第（七）项,"违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，【线路两端均不在车籍所在地的】，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。","违法事实：你单位在2018年某市道路运输管理局执法人员在巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员靳某制作现场笔录后发现：该车驾驶员靳某驾驶的普通客车违反《道路旅客运输及客运站管理规定》第五十六条第二款，客运包车线路两端均不在车籍所在地。
处罚依据：《道路旅客运输及客运站管理规定》第八十六条第（三）项之规定。 
处罚决定：对你单位处以罚款人民币1000元整。
|违法事实：你单位在2018年驾驶员赵某驾驶的普通客车在火车站旅游集散中心接受检查，经查，车上乘客为过来当地周边旅游的，共35名乘客，其还要去其他地方游玩。经检查相关证件，并对该车驾驶员赵某制作现场笔录后发现：该车驾驶员赵某驾驶的普通客车违反《道路旅客运输及客运站管理规定》第五十六条第二款，客运包车线路两端均不在车籍所在地。
处罚依据：《道路旅客运输及客运站管理规定》第八十六条第（三）项之规定。
处罚决定：对你单位处以罚款人民币1000元整。",客运包车线路两端均不在车籍所在地，存在超范围经营/异地经营等违法行为。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
