一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
班车客运,运营问题,客运经营者不按批准的客运站点停靠,《中华人民共和国道路运输条例》第六十九条第（一）项|《道路旅客运输及客运站管理规定》第一百条第一项,"违反本条例的规定，客运经营者、货运经营者有下列情形之一的，由县级以上地方人民政府交通运输主管部门责令改正，处1000元以上3000元以下的罚款；情节严重的，由原许可机关吊销道路运输经营许可证：
　　（一）【不按批准的客运站点停靠或者不按规定的线路、公布的班次行驶的】；
　　（二）强行招揽旅客、货物的；
　　（三）在旅客运输途中擅自变更运输车辆或者将旅客移交他人运输的；
　　（四）未报告原许可机关，擅自终止客运经营的；
　　（五）没有采取必要措施防止货物脱落、扬撒等的。|违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）【客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的】；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。",2018年，甲公司驾驶员何某驾驶车辆在某道路因违反《中华人民共和国道路运输条例》第六十九条第（一）项、《道路旅客运输及客运站管理规定》第三十六条第一款， 被我执法人员查获。根据《中华人民共和国道路运输条例》第六十九条第（一）项、《道路旅客运输及客运站管理规定》第八十六条第（一）项 处以罚款人民币壹仟元整，责令改正。|2018年，某市道路运输管理局执法人员巡查时发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员范某制作现场笔录后发现：该车驾驶员范某驾驶普通客车在火车站旅游集散中心下客10人，车上还有7名成人和小孩，被现场运管人员查获，故该车所在公司乙公司违反《中华人民共和国道路运输条例》第六十九条第（一）项、《道路旅客运输及客运站管理规定》第三十六条第一款，客运经营者不按批准的客运站点停靠。根据《中华人民共和国道路运输条例》第六十九条第（一）项、《道路旅客运输及客运站管理规定》第八十六条第（一）项 处以罚款人民币壹仟元整，责令改正。,不按规定临时停车、在禁停区停车或停车后离开、违规停靠造成交通拥堵的。,责令改正|罚款|吊销许可证,处1000元以上3000元以下的罚款,暂无,,
包车客运,资质问题,客运经营者不按规定使用道路运输业专用票证,《道路旅客运输及客运站管理规定》第九十八条,违反本规定，【客运经营者或者其委托的售票单位、客运站经营者不按规定使用道路运输业专用票证】或者转让、倒卖、伪造道路运输业专用票证的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款。,2018年，某市道路运输管理局执法人员在水厂附近巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员陈某制作现场笔录后发现：该车驾驶员陈某驾驶的普通客车，该车包车合同已过期仍在营运，甲公司违反《道路旅客运输及客运站管理规定》第四十一条，客运经营者（含国际道路客运经营者）不按规定使用道路运输业专用票证。根据《道路旅客运输及客运站管理规定》第八十四条 处以罚款人民币壹仟元整。|2018年，某市道路运输管理局执法人员在高速路口巡查时，发现车辆有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员孙某制作现场笔录后发现：该车驾驶员孙某驾驶客运车辆违反《道路旅客运输及客运站管理规定》第四十一条，客运经营者（含国际道路客运经营者）不按规定使用道路运输业专用票证。根据《道路旅客运输及客运站管理规定》第八十四条 处以罚款人民币壹仟元整。,不按规定使用经营许可证、道路运输证、从业资格证、发票等行业专用票证的。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
包车客运,资质问题,客运包车未持有效的包车客运标志牌进行经营,《道路旅客运输及客运站管理规定》第一百条第七项,"违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）【客运包车未持有效的包车客运标志牌进行经营的】，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。",2018年，某市道路运输管理局执法人员在街道巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员朱某制作现场笔录后发现：该车驾驶员朱某驾驶的普通客车违反《道路旅客运输及客运站管理规定》第五十六条第一款，客运包车未持有效的包车客运标志牌进行经营。根据《道路旅客运输及客运站管理规定》第八十六条第（三）项 处以罚款人民币壹仟元整，责令改正。|2018年，在监管处置系统发现一辆普通客车存在省外有轨迹，但无申报线路情况。该车因违反《道路旅客运输及客运站管理规定》第五十六条第一款被我执法人员查获。根据《道路旅客运输及客运站管理规定》第八十六条第（三）项 处以罚款人民币壹仟元整，责令改正。,客运包车没有申请取得有效的包车客运标志牌即进行经营的。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
包车客运,运营问题,客运包车不按照包车客运标志牌载明的事项运行,《道路旅客运输及客运站管理规定》第一百条第七项,"违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，【不按照包车客运标志牌载明的事项运行的】，线路两端均不在车籍所在地的，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。","主要违法事实: 2022年，某市交通执法人员在某服务区发现一辆大客车由阮某驾驶，车上实载乘客37人，通过“互联网道路运输便民政务服务系统”核查，省际包车牌信息显示本运次人数30人，车辆所属公司为甲公司，因涉嫌违反《道路旅客运输及客运站管理规定》第五十七条第一款，客运包车不按照包车客运标志牌载明的事项运行被我执法人员查获。
行政处罚的种类和依据: 依据《道路旅客运输及客运站管理规定》第一百条第一款第（七）项的规定,责令改正并罚款人民币壹仟元整。|主要违法事实: 2022年，某市交通运输局执法人员对一辆普通客车进行检查。经检查后发现：该车驾驶员李某驾驶的普通客车带了30名学生往返某地体检，而该车的电子包车牌和包车客运合同显示该车
实际经营与包车牌载明事项不符。涉嫌违反《道路旅客运输及客运站管理规定》第五十七条第一款，其行为涉嫌客运包车不按照包车客运标志牌载明的事项运行。
行政处罚的种类和依据: 依据《道路旅客运输及客运站管理规定》第一百条第一款第（七）项的规定,责令改正并罚款人民币壹仟元整。",客运包车没有按照约定的时间、起始地、目的地和线路运行的。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
包车客运,运营问题,客运包车线路两端均不在车籍所在地,《道路旅客运输及客运站管理规定》第一百条第七项,"违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3000元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，【线路两端均不在车籍所在地的】，招揽包车合同以外的旅客乘车的；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。",2018年，某市道路运输管理局执法人员在巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员靳某制作现场笔录后发现：该车驾驶员靳某驾驶的普通客车违反《道路旅客运输及客运站管理规定》第五十六条第二款，客运包车线路两端均不在车籍所在地。根据《道路旅客运输及客运站管理规定》第八十六条第（三）项 处以罚款人民币壹仟元整。|2018年，驾驶员赵某驾驶的普通客车在火车站旅游集散中心接受检查，经查，车上乘客为过来当地周边旅游的，共35名乘客，其还要去其他地方游玩。经检查相关证件，并对该车驾驶员赵某制作现场笔录后发现：该车驾驶员赵某驾驶的普通客车违反《道路旅客运输及客运站管理规定》第五十六条第二款，客运包车线路两端均不在车籍所在地。根据《道路旅客运输及客运站管理规定》第八十六条第（三）项 处以罚款人民币壹仟元整。,客运包车未按包车牌载明事项超范围经营、异地经营的。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
包车客运,运营问题,包车客运经营者招揽包车合同以外的旅客乘车,《道路旅客运输及客运站管理规定》第一百条第七项,"违反本规定，客运经营者有下列情形之一的，由县级以上道路运输管理机构责令改正，处1000元以上3001元以下的罚款：
　　（一）客运班车不按照批准的配客站点停靠或者不按照规定的线路、日发班次下限行驶的；
　　（二）加班车、顶班车、接驳车无正当理由不按照规定的线路、站点运行的；
　　（三）以欺骗、暴力等手段招揽旅客的；
　　（四）擅自将旅客移交他人运输的；
　　（五）在旅客运输途中擅自变更运输车辆的；
　　（六）未报告原许可机关，擅自终止道路客运经营的；
　　（七）客运包车未持有效的包车客运标志牌进行经营的，不按照包车客运标志牌载明的事项运行的，线路两端均不在车籍所在地的，【招揽包车合同以外的旅客乘车的】；
　　（八）开展定制客运未按照规定备案的；
　　（九）未按照规定在发车前对旅客进行安全事项告知的。
　　违反前款第（一）至（六）项规定，情节严重的，由原许可机关吊销相应许可。",2019年，某市道路运输管理局执法人员在巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员金某制作现场笔录后发现：该车驾驶员金某驾驶的普通客车违反《浙江省道路运输条例》第九条，包车客运经营者招揽包车合同以外的旅客乘车。以上事实有书证和视听资料等予以证明。根据《浙江省道路运输条例》第七十五条第（一）项 处以罚款人民币壹仟伍佰元整，责令改正。|2018年，某市道路运输管理局执法人员在巡查时，发现一辆普通客车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经查该车为省际包车，在该路段违章上客6人，计划前往其他地区。调查核实后发现：该车驾驶员石某驾驶的普通客车违反《浙江省道路运输条例》第九条，包车客运经营者招揽包车合同以外的旅客乘车。根据《浙江省道路运输条例》第七十五条第（一）项 处以罚款人民币伍佰元整，责令改正。,客运包车在运营过程中招揽包车合同以外的旅客违章上车的。,责令改正|罚款,处1000元以上3000元以下的罚款,暂无,,
出租车,收费问题,巡游出租汽车驾驶员议价,《巡游出租汽车经营服务管理规定》第二十三条第（八）项|《巡游出租汽车经营服务管理规定》第四十七条第（一）项 ," 巡游出租汽车驾驶员应当按照国家出租汽车服务标准提供服务，并遵守下列规定：
（一）做好运营前例行检查，保持车辆设施、设备完好，车容整洁，备齐发票、备足零钱；
（二）衣着整洁，语言文明，主动问候，提醒乘客系好安全带；
（三）根据乘客意愿升降车窗玻璃及使用空调、音响、视频等服务设备；
（四）乘客携带行李时，主动帮助乘客取放行李；
（五）主动协助老、幼、病、残、孕等乘客上下车；
（六）不得在车内吸烟，忌食有异味的食物；
（七）随车携带道路运输证、从业资格证，并按规定摆放、粘贴有关证件和标志；
（八）【按照乘客指定的目的地选择合理路线行驶，不得拒载、议价、途中甩客、故意绕道行驶】；
（九）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地载客时应当文明排队，服从调度，不得违反规定在非指定区域揽客；
（十）未经乘客同意不得搭载其他乘客；
（十一）按规定使用计程计价设备，执行收费标准并主动出具有效车费票据；
（十二）遵守道路交通安全法规，文明礼让行车。| 巡游出租汽车经营者违反本规定，有下列行为之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以5000元以上1万元以下罚款。构成犯罪的，依法追究刑事责任：
（一）【擅自暂停、终止全部或者部分巡游出租汽车经营的】；
（二）出租或者擅自转让巡游出租汽车车辆经营权的；
（三）巡游出租汽车驾驶员转包经营未及时纠正的；
（四）不按照规定保证车辆技术状况良好的；
（五）不按照规定配置巡游出租汽车相关设备的；
（六）不按照规定建立并落实投诉举报制度的。",2019年，当事人随某驾驶出租车搭载一名乘客去某收费站后，要求乘客多付车费，被乘客投诉，经调查：该车驾驶员随某驾驶轿车违反《巡游出租汽车经营服务管理规定》第二十三条第（八）项，巡游出租汽车驾驶员议价。根据《巡游出租汽车经营服务管理规定》第四十七条第（一）项 处以罚款人民币贰佰元整，责令改正。|2019年，某市道路运输管理局执法人员接到乘客投诉，发现一辆轿车有违法嫌疑，经调查：该车驾驶员楼某驾驶轿车违反《巡游出租汽车经营服务管理规定》第二十三条第（八）项，巡游出租汽车驾驶员议价。根据《巡游出租汽车经营服务管理规定》第四十七条第（一）项 处以罚款人民币贰佰元整，责令改正。,出租车议价不打表，侵犯消费者知情权和公平交易权的行为。,责令改正|罚款,并处以5000元以上1万元以下罚款,暂无,,
出租车,服务问题,巡游出租汽车驾驶员在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客,《巡游出租汽车经营服务管理规定》第二十三条第（九）项|《巡游出租汽车经营服务管理规定》第四十八条第（一）项,"巡游出租汽车驾驶员应当按照国家出租汽车服务标准提供服务，并遵守下列规定：
（一）做好运营前例行检查，保持车辆设施、设备完好，车容整洁，备齐发票、备足零钱；
（二）衣着整洁，语言文明，主动问候，提醒乘客系好安全带；
（三）根据乘客意愿升降车窗玻璃及使用空调、音响、视频等服务设备；
（四）乘客携带行李时，主动帮助乘客取放行李；
（五）主动协助老、幼、病、残、孕等乘客上下车；
（六）不得在车内吸烟，忌食有异味的食物；
（七）随车携带道路运输证、从业资格证，并按规定摆放、粘贴有关证件和标志；
（八）按照乘客指定的目的地选择合理路线行驶，不得拒载、议价、途中甩客、故意绕道行驶；
（九）【在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地载客时应当文明排队，服从调度，不得违反规定在非指定区域揽客】；
（十）未经乘客同意不得搭载其他乘客；
（十一）按规定使用计程计价设备，执行收费标准并主动出具有效车费票据；
（十二）遵守道路交通安全法规，文明礼让行车。|第四十八条 巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
（一）【拒载、议价、途中甩客或者故意绕道行驶的】；
（二）未经乘客同意搭载其他乘客的；
（三）不按照规定使用计程计价设备、违规收费的；
（四）不按照规定出具相应车费票据的；
（五）不按照规定使用巡游出租汽车相关设备的；
（六）接受巡游出租汽车电召任务后未履行约定的；
（七）不按照规定使用文明用语，车容车貌不符合要求的；
（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
（九）转让、倒卖、伪造巡游出租汽车相关票据的。",2019年，该车驾驶员孙某驾驶出租车在火车站禁止上客区域违章揽客，先后招徕了三名客人，后被一乘客投诉至12328，经过核实，故该车驾驶员孙某驾驶出租车违反《巡游出租汽车经营服务管理规定》第二十三条第（九）项，巡游出租汽车驾驶员在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客。根据《巡游出租汽车经营服务管理规定》第四十八条第（一）项 处以罚款人民币伍佰元整，责令改正。|2018年，驾驶员汪某驾驶出租车在火车站二层平台禁止上客区域违章上客，被现场视频拍摄到，故该车驾驶员汪某因违反《巡游出租汽车经营服务管理规定》第二十三条第（九）项，巡游出租汽车驾驶员在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客被我执法人员查获。根据《巡游出租汽车经营服务管理规定》第四十八条第（一）项 处以罚款人民币伍佰元整。,出租车不服从调度，在客流集散地的禁止上客区域违章私自揽客的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
出租车,资质问题,未取得经营许可证从事出租汽车客运经营,《巡游出租汽车经营服务管理规定》第四十五条,违反本规定，【未取得巡游出租汽车经营许可，擅自从事巡游出租汽车经营活动的】，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以5000元以上2万元以下罚款。构成犯罪的，依法追究刑事责任。,2019年，某市道路运输管理局执法人员在巡查时，发现一辆轿车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员胡某制作现场笔录后发现：该车驾驶员胡某驾驶轿车违反《浙江省道路运输条例》第二十条，未取得经营许可证从事出租汽车客运经营。根据《浙江省道路运输条例》第七十一条第（一）项 处以罚款人民币壹万元整，责令停止经营。|2018年，姜某驾驶轿车，在某市火车站搭载两名乘客，商议车费40元。途中因为司机的导航错误耽搁了时间导致没赶上车，所以又要求司机送回。因车费问题起纠纷后，乘客现场报警并通过12328举报。执法人员到达现场后，检查相关证件，并对该车驾驶员姜某制作现场笔录，对乘客制作询问笔录。经负责人立案审批后，调查人员对当事人姜某进行了询问，制作了询问笔录，姜某承认自己未取得经营许可证从事出租汽车客运经营的整个事实。根据《浙江省道路运输条例》第七十一条第（一）项 处以罚款人民币壹万元整。,出租车未取得许可无证经营的。,责令改正|罚款|追究刑事责任,并处以5000元以上2万元以下罚款,【非法经营罪】,《中华人民共和国刑法》第二百二十五条,"违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：
　　（一）未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的；
　　（二）买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的；
　　（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；
　　（四）【其他严重扰乱市场秩序的非法经营行为】。"
出租车,服务问题,客运出租汽车驾驶人员显示空车时拒绝载客,《巡游出租汽车经营服务管理规定》第四十八条第（二）项,"巡游出租汽车驾驶员违反本规定，有下列情形之一的，由县级以上地方人民政府出租汽车行政主管部门责令改正，并处以200元以上500元以下罚款：
　　（一）拒载、议价、途中甩客或者故意绕道行驶的；
　　（二）【未经乘客同意搭载其他乘客的】；
　　（三）不按照规定使用计程计价设备、违规收费的；
　　（四）不按照规定出具相应车费票据的；
　　（五）不按照规定使用巡游出租汽车相关设备的；
　　（六）接受巡游出租汽车电召任务后未履行约定的；
　　（七）不按照规定使用文明用语，车容车貌不符合要求的；
　　（八）在机场、火车站、汽车客运站、港口、公共交通枢纽等客流集散地不服从调度私自揽客的；
　　（九）转让、倒卖、伪造巡游出租汽车相关票据的。",2018年，某市道路运输管理局执法人员在巡查时，发现一辆出租汽车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员颜某制作现场笔录后发现：该车驾驶员颜某驾驶出租汽车在医院空车待租搭载一名乘客，驾驶员以要交班为由拒绝搭载，该车没有交接班制度，违反《浙江省道路运输条例》第二十三条第（五）项，客运出租汽车驾驶人员显示空车时拒绝载客。根据《浙江省道路运输条例》第七十五条第（五）项 处以罚款人民币三佰元整。|2018年，某市道路运输管理局执法人员在巡查时，发现一辆出租车有违法嫌疑，于是指挥该车驾驶员靠边停车接受检查。经检查相关证件，并对该车驾驶员曹某询问调查后发现：该车驾驶员曹某驾驶出租车违反《浙江省道路运输条例》第二十三条第（五）项，客运出租汽车驾驶人员显示空车时拒绝载客。根据《浙江省道路运输条例》第七十五条第（五）项 处以罚款人民币三佰元整。,出租车在空车状态拒绝载客被投诉的。,责令改正|罚款,并处以200元以上500元以下罚款,暂无,,
