一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
消防设计施工问题,擅自施工,未经消防审查或审查不合格，擅自施工,《中华人民共和国消防法》第五十八条第一款第（一）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门、消防救援机构按照各自职权责令停止施工、停止使用或者停产停业，并处三万元以上三十万元以下罚款：
（一）【依法应当进行消防设计审查的建设工程，未经依法审查或者审查不合格，擅自施工的】；
（二）依法应当进行消防验收的建设工程，未经消防验收或者消防验收不合格，擅自投入使用的；
（三）本法第十三条规定的其他建设工程验收后经依法抽查不合格，不停止使用的；
（四）公众聚集场所未经消防救援机构许可，擅自投入使用、营业的，或者经核查发现场所使用、营业情况与承诺内容不符的。
核查发现公众聚集场所使用、营业情况与承诺内容不符，经责令限期改正，逾期不整改或者整改后仍达不到要求的，依法撤销相应许可。
建设单位未依照本法规定在验收后报住房和城乡建设主管部门备案的，由住房和城乡建设主管部门责令改正，处五千元以下罚款。","违法事实：2021年7月29日，本机关执法人员经随机抽查发现当事人在甲酒店管理有限公司三楼实施了未经消防设计审查的装修的行为,其行为涉嫌违反《中华人民共和国消防法》第九条第一款“建设工程的消防设计、施工必须符合国家工程建设消防技术标准”的规定,于2021年9月7日立案调查。经查明,乙保健按摩服务部对甲酒店管理有限公司三楼进行装修，从2021年6月22号开工装修，装修建筑面积825平方米，现基本装修完毕，该项目属于特殊建设工程，需要办理消防设计审查，而你单位至今尚办理消防设计审查。本机关认为，当事人实施的未经消防设计审查的装修的行为，违反了《中华人民共和国消防法》第九条第一款的规定，已构成未经消防设计审擅自施工的行为。鉴于当事人已主动向我局申报建设工程消防设计审核并停止施工，积极配合调查，未对社会造成不良影响。
处罚依据：依据《中华人民共和国消防法》第五十八条第一款第一项“违反本法规定，有下列行为之一的，由住房和城乡建设主管部门、消防救援机构按照各自职权责令停止施工、停止使用或者停产停业，并处三万元以上三十万元以下罚款：（一）依法应当进行消防设计审查的建设工程，未经依法审查或者审查不合格，擅自施工的”规定。
处罚决定：1、责令当事人办理消防设计审查；2、处以30000元罚款。",依法应当进行消防设计审查的建设工程，未经依法审查或者审查不合格，擅自施工,责令停止|罚款|撤销许可,并处三万元以上三十万元以下罚款,暂无,,
消防设计施工问题,擅自投入使用,未经消防验收或者消防验收不合格，擅自投入使用,《中华人民共和国消防法》第五十八条第一款第（二）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门、消防救援机构按照各自职权责令停止施工、停止使用或者停产停业，并处三万元以上三十万元以下罚款：
（一）依法应当进行消防设计审查的建设工程，未经依法审查或者审查不合格，擅自施工的；
（二）【依法应当进行消防验收的建设工程，未经消防验收或者消防验收不合格，擅自投入使用的】；
（三）本法第十三条规定的其他建设工程验收后经依法抽查不合格，不停止使用的；
（四）公众聚集场所未经消防救援机构许可，擅自投入使用、营业的，或者经核查发现场所使用、营业情况与承诺内容不符的。
核查发现公众聚集场所使用、营业情况与承诺内容不符，经责令限期改正，逾期不整改或者整改后仍达不到要求的，依法撤销相应许可。
建设单位未依照本法规定在验收后报住房和城乡建设主管部门备案的，由住房和城乡建设主管部门责令改正，处五千元以下罚款。","违法事实：2022年04月01日，当事人甲数字科技有限公司在未通过消防验收的情况下，将某地三层楼作为办公场所投入使用。该行为于2022年06月14日11时检查发现，当事人投入使用的楼层为4楼、5楼、7楼，每层面积1200平方米，合计面积为3600平方米。执法人员现场向当事人送达了《责令立即（限期）改正违法行为通知书》，责令当事人立即停止违法行为，并采取补救措施，补办相关手续。2022年06月27日执法人员复查时，当事人已停止使用该地作为办公场所。当事人行为违反《中华人民共和国消防法》第十三条第三款。
处罚依据：根据《中华人民共和国消防法》第五十八条第一款二-三项的规定。
处罚决定：罚款人民币65000元整（￥65000）
|违法事实：经查明,乙餐饮有限公司（乙酒店）存在未经消防验收，擅自投入使用的行为。2022年5月13日，本机关依法向当事人送达了《行政处罚事先告知书》，告知当事人拟作出行政处罚决定的事实、理由、依据及内容，并告知当事人依法享有的权利。当事人无陈述、申辩或申请听证的要求，并同意整改处罚。本机关认为，当事人将属于特殊工程的酒店项目，未经消防验收擅自投入使用，违反了《中华人民共和国消防法》第十三条第三款的规定，已构成依法应当进行消防验收的建设工程未经消防验收擅自投入使用的行为。鉴于当事人积极配合调查且已在我局发放责令改正违法行为通知书后停止使用，未造成严重社会影响。
处罚依据：依据《中华人民共和国消防法》第五十八条第一款第二项“违反本法规定，有下列行为之一的，由住房和城乡建设主管部门、消防救援机构按照各自职权责令停止施工、停止使用或者停产停业，并处三万元以上三十万元以下罚款：（二）依法应当进行消防验收的建设工程，未经消防验收或者消防验收不合格，擅自投入使用的。”的规定。
处罚决定：1.责令停止使用；2.处50000元整（¥50000.00）的罚款。",依法应当进行消防验收的建设工程，未经消防验收或者消防验收不合格，擅自投入使用,责令停止|罚款|撤销许可,并处三万元以上三十万元以下罚款,暂无,,
消防设计施工问题,不停止使用,建设工程经抽查不合格，仍不停止使用,《中华人民共和国消防法》第五十八条第一款第（三）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门、消防救援机构按照各自职权责令停止施工、停止使用或者停产停业，并处三万元以上三十万元以下罚款：
（一）依法应当进行消防设计审查的建设工程，未经依法审查或者审查不合格，擅自施工的；
（二）依法应当进行消防验收的建设工程，未经消防验收或者消防验收不合格，擅自投入使用的；
（三）【本法第十三条规定的其他建设工程验收后经依法抽查不合格，不停止使用的】；
（四）公众聚集场所未经消防救援机构许可，擅自投入使用、营业的，或者经核查发现场所使用、营业情况与承诺内容不符的。
核查发现公众聚集场所使用、营业情况与承诺内容不符，经责令限期改正，逾期不整改或者整改后仍达不到要求的，依法撤销相应许可。
建设单位未依照本法规定在验收后报住房和城乡建设主管部门备案的，由住房和城乡建设主管部门责令改正，处五千元以下罚款。","违法事实：经查，甲项目管理有限公司建设的某保时捷4S店室内装修工程，装饰面积为4124平方米，于2020年6月30日与乙建设工程有限公司签订施工合同，合同价款1600万元，现已完成建设。本局于2021年1月25日到该工程现场抽查，发现该工程存在设置的隐蔽式喷头测试后溅水盘无法下落、一层维修车间和三层部分区域超1.2米宽风管下方未设喷头等不符合建设工程消防验收有关规定的情形，并下发了不合格的抽查结果通知书，责令停止使用，组织整改。2021年12月21日，本局再次到该工程检查，发现该工程未停止使用。
处罚依据：根据《中华人民共和国消防法》第五十八条第一项第三款之规定“违反本法规定，有下列行为之一的，由住房和城乡建设主管部门、消防救援机构按照各自职权责令停止施工、停止使用或者停产停业，并处三万元以上三十万元以下罚款：…（三）本法第十三条规定的其他建设工程验收后经依法抽查不合格，不停止使用的；…”。
处罚决定：责令停止使用，并处人民币50000元整的罚款。
|违法事实：现查明,当事人建设的某工业生产基地某地块项目。2021年6月16日向我局申请建设工程消防验收，根据《建设工程消防设计审查验收管理暂行规定》第三十三条的规定，该建设项目属于其他建设工程，实行备案抽查制度，其竣工验收消防备案抽签结果为中签。经过现场踏勘与验收，我局于2021年8月10日向当事人反馈了该建设项目消防存在需整改问题，2021年11月10日进行消防验收复查，发现该建设项目消防问题未整改完毕的情况下使用厂房。本机关认为，当事人对该地块建设的项目经抽查不合格，仍不停止使用的行为，违反了《中华人民共和国消防法》第十三条第三款的规定，已构成“其他建设工程抽查不合格不停止使用”的违法行为。鉴于当事人认错态度良好、违法行为轻微，并在事发后立即停止使用，未造成不良后果，镇人民政府也证实该项目工期延误有施工方的原因。
处罚依据：依据《中华人民共和国消防法》第五十八条第一款第三项和《平阳县住房和城乡建设局行政处罚裁量基准》第十项的规定。
处罚决定：1、责令停止使用；2、处以35000元人民币罚款。",其他建设工程验收后经依法抽查不合格，不停止使用,责令停止|罚款|撤销许可,并处三万元以上三十万元以下罚款,暂无,,
消防设计施工问题,擅自投入使用,公众聚集场所未经消防救援机构许可，擅自投入使用、营业,《中华人民共和国消防法》第五十八条第一款第（四）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门、消防救援机构按照各自职权责令停止施工、停止使用或者停产停业，并处三万元以上三十万元以下罚款：
（一）依法应当进行消防设计审查的建设工程，未经依法审查或者审查不合格，擅自施工的；
（二）依法应当进行消防验收的建设工程，未经消防验收或者消防验收不合格，擅自投入使用的；
（三）本法第十三条规定的其他建设工程验收后经依法抽查不合格，不停止使用的；
（四）【公众聚集场所未经消防救援机构许可，擅自投入使用、营业的，或者经核查发现场所使用、营业情况与承诺内容不符的】。
核查发现公众聚集场所使用、营业情况与承诺内容不符，经责令限期改正，逾期不整改或者整改后仍达不到要求的，依法撤销相应许可。
建设单位未依照本法规定在验收后报住房和城乡建设主管部门备案的，由住房和城乡建设主管部门责令改正，处五千元以下罚款。","违法事实：现查明甲美容美发店公众聚集场所未经消防救援机构许可，擅自投入使用、营业，违反了《中华人民共和国消防法》第十五条第四款之规定，依据《浙江省消防行政处罚裁量标准》第一条之规定，属较轻违法行为。
处罚依据：根据《中华人民共和国消防法》第五十八条第一款第四项。
处罚决定：决定给予甲美容美发店责令停产停业，并处罚款人民币37400元整的处罚。
|违法事实：现查明乙餐厅公众聚集场所未经消防救援机构许可，擅自投入使用、营业，违反了《中华人民共和国消防法》第十五条第四款之规定，依据《浙江省消防行政处罚裁量标准》第一条之规定，该行为属于较轻违法情形。
处罚依据：根据《中华人民共和国消防法》第五十八条第一款第四项之规定。
处罚决定：决定给予乙餐厅罚款人民币36000元整的处罚。",公众聚集场所未经消防救援机构许可，擅自投入使用、营业的，或者经核查发现场所使用、营业情况与承诺内容不符,责令停止|罚款|撤销许可,并处三万元以上三十万元以下罚款,暂无,,
消防设计施工问题,降低标准设计,要求降低消防技术标准设计、施工,《中华人民共和国消防法》第五十九条第（一）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门责令改正或者停止施工，并处一万元以上十万元以下罚款：
（一）【建设单位要求建筑设计单位或者建筑施工企业降低消防技术标准设计、施工的】；
（二）建筑设计单位不按照消防技术标准强制性要求进行消防设计的；
（三）建筑施工企业不按照消防设计文件和消防技术标准施工，降低消防施工质量的；
（四）工程监理单位与建设单位或者建筑施工企业串通，弄虚作假，降低消防施工质量的。","违法事实：现查明甲培训学校有限公司某分公司室内装饰工程的设计、施工过程中，民用建筑内有生产车间，违法要求降低消防技术标准设计、施工，违反了《中华人民共和国消防法》第九条之规定。
处罚依据：根据《中华人民共和国消防法》第五十九条第一项。
处罚决定：决定给予甲培训学校有限公司责令改正，并处罚款人民币10000元整的处罚。",建设单位要求建筑设计单位或者建筑施工企业降低消防技术标准设计、施工,责令改正|责令停止施工|罚款,并处一万元以上十万元以下罚款,暂无,,
消防设计施工问题,设计违反要求,不按照消防技术标准强制性要求进行消防设计,《中华人民共和国消防法》第五十九条第（二）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门责令改正或者停止施工，并处一万元以上十万元以下罚款：
（一）建设单位要求建筑设计单位或者建筑施工企业降低消防技术标准设计、施工的；
（二）【建筑设计单位不按照消防技术标准强制性要求进行消防设计的】；
（三）建筑施工企业不按照消防设计文件和消防技术标准施工，降低消防施工质量的；
（四）工程监理单位与建设单位或者建筑施工企业串通，弄虚作假，降低消防施工质量的。","违法事实：当事人甲工程设计咨询有限公司于2019年4月承接了某街道社区卫生服务中心二期工程设计项目。当事人在该项医疗建筑装修设计出图中，二层西南角采集室储藏间未使用防火门设计。当事人的工程设计不符合《建筑设计防火规范》GB50016-2014（2018版）第6.2.2条关于医疗建筑储藏室应采用乙级防火门的要求，该条为消防技术标准强制性要求。当事人的行为违反了《中华人民共和国消防法》第五十九条第二项的规定，构成了建筑设计单位不按照消防技术标准强制性要求进行消防设计的违法行为。
处罚依据：依据《中华人民共和国消防法》第五十九条第二项、《浙江省住房城乡建设系统行政处罚裁量基准（2018版）》的规定。
处罚决定：决定对当事人作出处罚款10000元的行政处罚。
|违法事实：现查明乙建筑装饰工程有限公司负责设计的丙餐饮管理有限公司的项目图纸中存在二层安全出口数量不足，不符合《建筑设计防火规范》（GB50016-2014）第5.5.8条规定。乙建筑装饰工程有限公司不按照消防技术标准强制性要求进行消防设计，其行为违反了《中华人民共和国消防法》第九条的规定。
处罚依据：根据《中华人民共和国消防法》第五十九条第(二)项。
处罚决定：决定给予乙建筑装饰工程有限公司责令改正设计图纸，并处罚款人民币10000元整的处罚。",建筑设计单位不按照消防技术标准强制性要求进行消防设计,责令改正|责令停止施工|罚款,并处一万元以上十万元以下罚款,暂无,,
消防设计施工问题,降低施工质量,不按照消防技术标准施工，降低消防施工质量,《中华人民共和国消防法》第五十九条第（三）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门责令改正或者停止施工，并处一万元以上十万元以下罚款：
（一）建设单位要求建筑设计单位或者建筑施工企业降低消防技术标准设计、施工的；
（二）建筑设计单位不按照消防技术标准强制性要求进行消防设计的；
（三）【建筑施工企业不按照消防设计文件和消防技术标准施工，降低消防施工质量的】；
（四）工程监理单位与建设单位或者建筑施工企业串通，弄虚作假，降低消防施工质量的。","违法事实：当事人涉嫌不按照消防技术标准施工，降低消防施工质量，本局于2021年7月30日立案调查。经查明，当事人承接新东方培训中心学校有限公司某教学点装修工程的消防施工，该工程装修面积2434㎡，使用性质为教育培训（12周岁以下不含托育）。当事人与新东方培训中心学校有限公司于2021年3月14日签订建设工程施工合同，合同价人民币贰拾肆万圆整。当事人在消防工程施工过程中，不按照消防技术标准施工，降低消防施工质量，在三楼前室内火灾自动喷水灭火系统喷淋头安装时未连接消防供水管网，喷淋头仅黏贴于吊顶表面。
处罚依据：根据《中华人民共和国消防法》第五十九条第一款第三项：“违反本法规定，有下列行为之一的，由住房和城乡建设主管部门责令改正或者停止施工，并处一万元以上十万元以下罚款：（三）建筑施工企业不按照消防设计文件和消防技术标准施工，降低消防施工质量的”规定。同时根据《浙江省住房城乡建设系统行政处罚裁量基准（2018版）新增事项》第12条之规定。
处罚决定：对当事人处以人民币20000元整（¥20000.00元）的罚款。
|违法事实：现查明某酒店装修工程封闭楼梯间墙面上开设其他门、窗、洞口，违反了《建筑设计防火规范》（GB50016-2014）第6.4.2条之规定。施工单位甲建设工程有限公司违法施工降低消防施工质量，违反了《中华人民共和国消防法》第九条之规定。
处罚依据：根据《中华人民共和国消防法》第五十九条第三项。
处罚决定：决定给予甲建设工程有限公司责令改正并处罚款人民币10000元整的处罚。",建筑施工企业不按照消防设计文件和消防技术标准施工，降低消防施工质量,责令改正|责令停止施工|罚款,并处一万元以上十万元以下罚款,暂无,,
消防设计施工问题,降低施工质量,串通作假，降低消防施工质量,《中华人民共和国消防法》第五十九条第（四）项,"违反本法规定，有下列行为之一的，由住房和城乡建设主管部门责令改正或者停止施工，并处一万元以上十万元以下罚款：
（一）建设单位要求建筑设计单位或者建筑施工企业降低消防技术标准设计、施工的；
（二）建筑设计单位不按照消防技术标准强制性要求进行消防设计的；
（三）建筑施工企业不按照消防设计文件和消防技术标准施工，降低消防施工质量的；
（四）【工程监理单位与建设单位或者建筑施工企业串通，弄虚作假，降低消防施工质量的】。",暂无,工程监理单位与建设单位或者建筑施工企业串通，弄虚作假，降低消防施工质量,责令改正|责令停止施工|罚款,并处一万元以上十万元以下罚款,暂无,,
消防隐患问题,设施未保持完好,消防设施/器材/消防安全标志未保持完好有效,《中华人民共和国消防法》第六十条第一款第（一）项,"单位违反本法规定，有下列行为之一的，责令改正，处五千元以上五万元以下罚款：
（一）【消防设施、器材或者消防安全标志的配置、设置不符合国家标准、行业标准，或者未保持完好有效的】；
（二）损坏、挪用或者擅自拆除、停用消防设施、器材的；
（三）占用、堵塞、封闭疏散通道、安全出口或者有其他妨碍安全疏散行为的；
（四）埋压、圈占、遮挡消火栓或者占用防火间距的；
（五）占用、堵塞、封闭消防车通道，妨碍消防车通行的；
（六）人员密集场所在门窗上设置影响逃生和灭火救援的障碍物的；
（七）对火灾隐患经消防救援机构通知后不及时采取措施消除的。
个人有前款第二项、第三项、第四项、第五项行为之一的，处警告或者五百元以下罚款。
有本条第一款第三项、第四项、第五项、第六项行为，经责令改正拒不改正的，强制执行，所需费用由违法行为人承担。","违法事实：现查明甲酒店管理有限公司消防设施、器材、消防安全标志未保持完好有效，违反了《中华人民共和国消防法》第十六条第一款第二项之规定，依据《浙江省消防行政处罚裁量标准》第二条之规定，该行为属于较轻违法情形。
处罚依据：根据《中华人民共和国消防法》第六十条第一款第一项。
处罚决定：决定给予甲酒店管理有限公司罚款人民币5000元整的处罚。
|违法事实：现查明乙物业管理有限公司管理的丙生物科技股份有限公司部分防火门闭门器损坏，消防设施、器材、消防安全标志未保持完好有效，违反了《中华人民共和国消防法》第十六条第一款第二项，该单位使用性质为办公楼，不属于具有一定规模的公众聚集场所，未保持完好有效数量占此类总数量10%以下，依据《浙江省消防行政处罚裁量标准》第二条之规定，该行为属较轻违法情形。
处罚依据：根据《中华人民共和国消防法》第六十条第一款第一项。
城关街道：决定给予乙物业管理有限公司罚款人民币5000元整的处罚。",消防设施、器材或者消防安全标志的配置、设置不符合国家标准、行业标准，或者未保持完好有效,责令改正|罚款,对单位处五千元以上五万元以下罚款,【消防责任事故罪】,《中华人民共和国刑法》第一百三十九条,【违反消防管理法规，经消防监督机构通知采取改正措施而拒绝执行，造成严重后果的】，对直接责任人员，处三年以下有期徒刑或者拘役；后果特别严重的，处三年以上七年以下有期徒刑。
消防隐患问题,设置不合规,消防设施/安全标志设置不符合标准,《中华人民共和国消防法》第六十条第一款第（一）项,"单位违反本法规定，有下列行为之一的，责令改正，处五千元以上五万元以下罚款：
（一）【消防设施、器材或者消防安全标志的配置、设置不符合国家标准、行业标准，或者未保持完好有效的】；
（二）损坏、挪用或者擅自拆除、停用消防设施、器材的；
（三）占用、堵塞、封闭疏散通道、安全出口或者有其他妨碍安全疏散行为的；
（四）埋压、圈占、遮挡消火栓或者占用防火间距的；
（五）占用、堵塞、封闭消防车通道，妨碍消防车通行的；
（六）人员密集场所在门窗上设置影响逃生和灭火救援的障碍物的；
（七）对火灾隐患经消防救援机构通知后不及时采取措施消除的。
个人有前款第二项、第三项、第四项、第五项行为之一的，处警告或者五百元以下罚款。
有本条第一款第三项、第四项、第五项、第六项行为，经责令改正拒不改正的，强制执行，所需费用由违法行为人承担。","违法事实：现查明甲酒店管理有限公司一层办公室未设置喷淋，消防设施、器材、消防安全标志配置、设置不符合标准，违反了《中华人民共和国消防法》第十六条第一款第二项之规定，依据《浙江省消防行政处罚裁量标准》第二条之规定，该行为属于较轻违法情形。
处罚依据：根据《中华人民共和国消防法》第六十条第一款第一项。
处罚决定：决定给予甲酒店管理有限公司罚款人民币5000元整的处罚。
|违法事实：现查明乙托育有限公司消防设施、器材、消防安全标志配置、设置不符合标准，该单位的行为违反了《中华人民共和国消防法》第十六条第一款第二项之规定，依据《浙江省消防行政处罚裁量标准》第二条的规定，该单位属于严重违法行为。
处罚依据：根据《中华人民共和国消防法》第六十条第一款第一项。
处罚决定：决定给予乙托育有限公司罚款人民币35000元整的处罚。",消防设施、器材或者消防安全标志的配置、设置不符合国家标准、行业标准，或者未保持完好有效,责令改正|罚款,对单位处五千元以上五万元以下罚款,【消防责任事故罪】,《中华人民共和国刑法》第一百三十九条,【违反消防管理法规，经消防监督机构通知采取改正措施而拒绝执行，造成严重后果的】，对直接责任人员，处三年以下有期徒刑或者拘役；后果特别严重的，处三年以上七年以下有期徒刑。
