一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
资质问题,无证经营,未取得《卫生许可证》擅自营业,《公共场所卫生管理条例实施细则》第三十五条第一款|《公共场所卫生管理条例》第十四条第一款第（四）项,"【对未依法取得公共场所卫生许可证擅自营业的】，由县级以上地方人民政府卫生计生行政部门责令限期改正，给予警告，并处以五百元以上五千元以下罚款；有下列情形之一的，处以五千元以上三万元以下罚款:
(一)擅自营业曾受过卫生计生行政部门处罚的；
(二)擅自营业时间在三个月以上的；
(三)以涂改、转让、倒卖、伪造的卫生许可证擅自营业的。
对涂改、转让、倒卖有效卫生许可证的，由原发证的卫生计生行政部门予以注销。
|凡有下列行为之一的单位或者个人，卫生防疫机构可以根据情节轻重，给予警告、罚款、停业整顿、吊销“卫生许可证”的行政处罚：
（一）卫生质量不符合国家卫生标准和要求，而继续营业的；
（二）未获得“健康合格证”，而从事直接为顾客服务的；
（三）拒绝卫生监督的；
（四）【未取得“卫生许可证”，擅自营业的】。
罚款一律上交国库。","违法事实：现已查明，2022年3月期间，,某美容院未依法取得公共场所卫生许可证擅自营业。当事人的行为违反了《公共场所卫生管理条例实施细则》第二十二条第二款、《公共场所卫生管理条例》第八条，已构成违法。你单位未依法取得公共场所卫生许可证擅自营业的行为违反了《公共场所卫生管理条例实施细则》第二十二条第二款、《公共场所卫生管理条例》第八条
处罚依据：《公共场所卫生管理条例实施细则》第三十五条第一款、《公共场所卫生管理条例》第十四条第一款第(四)项之规定
处罚决定：对你单位处警告；罚款人民币600元。
|违法事实：现已查明，你单位在2022年2月至2022年3月期间未取得有效公共场所卫生许可证从事住宿经营活动，为顾客提供住宿服务的事实。你单位未依法取得公共场所卫生许可证从事住宿经营活动，为顾客提供住宿服务的行为违反了《公共场所卫生管理条例实施细则》第二十二条第二款、《公共场所卫生管理条例》第八条、《公共场所卫生管理条例实施细则》第二十五条第二款
处罚依据：《公共场所卫生管理条例实施细则》第三十五条第一款、《公共场所卫生管理条例》第十四条第一款第(四)项之规定
处罚决定：对你单位处警告；罚款人民币600元。",未依法取得公共场所卫生许可证擅自营业,责令改正|警告|罚款|停业整顿|吊销许可证,"并处以五百元以上五千元以下罚款；有下列情形之一的，处以五千元以上三万元以下罚款:
(一)擅自营业曾受过卫生计生行政部门处罚的；
(二)擅自营业时间在三个月以上的；
(三)以涂改、转让、倒卖、伪造的卫生许可证擅自营业的。",暂无,,
资质问题,无证经营,未取得《医疗机构执业许可证》擅自执业,《中华人民共和国基本医疗卫生与健康促进法》第九十九条第一款,"违反本法规定，【未取得医疗机构执业许可证擅自执业的】，由县级以上人民政府卫生健康主管部门责令停止执业活动，没收违法所得和药品、医疗器械，并处违法所得五倍以上二十倍以下的罚款，违法所得不足一万元的，按一万元计算。
违反本法规定，伪造、变造、买卖、出租、出借医疗机构执业许可证的，由县级以上人民政府卫生健康主管部门责令改正，没收违法所得，并处违法所得五倍以上十五倍以下的罚款，违法所得不足一万元的，按一万元计算；情节严重的，吊销医疗机构执业许可证。","违法事实：你单位经营者陈某某于2021年8月在某小区未取得《医疗机构执业许可证》擅自开展医疗美容服务，为顾客开展激光脱发际线、唇毛活动并收取费用980元，且违法行为首次发现。你单位未取得《医疗机构执业许可证》擅自开展激光脱毛等医疗美容服务且为首次发生的行为，违反了《中华人民共和国基本医疗卫生与健康促进法》第三十八条第一款的规定
处罚依据：《中华人民共和国基本医疗卫生与健康促进法》第九十九条第一款、《规范行政处罚自由裁量权的规定》第九条第（三）项和第十三条第（一）项之规定
处罚决定：对你单位处罚款人民币60000元，没收违法所得人民币980元；没收激光脱毛仪1台、点痣笔1支、针灸针100支、一次性无菌注射器10支。",未取得医疗机构执业许可证擅自执业,责令停止|没收违法所得|罚款,并处违法所得五倍以上二十倍以下的罚款，违法所得不足一万元的，按一万元计算,暂无,,
资质问题,无证经营,未取得许可擅自开展产前筛查与诊断服务,《产前诊断技术管理办法》第三十条,"对违反本办法，【医疗保健机构未取得产前诊断执业许可或超越许可范围，擅自从事产前诊断的】，按照《中华人民共和国母婴保健法实施办法》有关规定处罚，由卫生健康主管部门给予警告，责令停止违法行为，没收违法所得；违法所得5000元以上的，并处违法所得3倍以上5倍以下的罚款；违法所得不足5000元的，并处5000元以上2万元以下的罚款。情节严重的, 依据《医疗机构管理条例》依法吊销医疗机构执业许可证。","违法事实：现已查明2022年04月开始,某第一人民医院未取得产前筛查或产前诊断许可开展孕妇外周血胎儿游离DNA产前筛查与诊断采血服务，采血服务未收取费用。该行为违反了《产前诊断技术管理办法》第四条的规定
处罚依据：《产前诊断技术管理办法》第三十条之规定
处罚决定：对你单位处警告；罚款人民币18000元。",医疗保健机构未取得产前诊断执业许可或超越许可范围，擅自从事产前诊断,警告|责令停止|没收违法所得|罚款|吊销许可证,违法所得5000元以上的，并处违法所得3倍以上5倍以下的罚款；违法所得不足5000元的，并处5000元以上2万元以下的罚款,暂无,,
资质问题,无证经营,未经许可擅自开展计划生育技术服务,《计划生育技术服务管理条例实施细则》第四十八条第一款|《计划生育技术服务管理条例》第三十四条,"【未取得执业许可，擅自从事计划生育技术服务的】，按照条例第三十一条的规定处罚。
计划生育技术服务机构违反本细则规定，使用没有依法取得《合格证》的人员从事计划生育技术服务的，由县级以上地方人民政府计划生育行政部门责令改正，没收违法所得；违法所得1000元以上的，并处违法所得1倍以上3倍以下的罚款；没有违法所得或者违法所得不足1000元的，并处1000元以上3000元以下的罚款。
|计划生育技术服务机构或者医疗、保健机构以外的机构或者人员违反本条例的规定，【擅自从事计划生育技术服务的】，由县级以上地方人民政府计划生育行政部门依据职权，责令改正，给予警告，没收违法所得和有关药品、医疗器械；违法所得5000元以上的，并处违法所得2倍以上5倍以下的罚款；没有违法所得或者违法所得不足5000元的，并处5000元以上2万元以下的罚款；造成严重后果，构成犯罪的，依法追究刑事责任。","违法事实：你单位从2021年1月至2021年6月未经许可擅自从事计划生育技术服务项目中的放、取宫内节育器17例，违法所得10860元的行为，违反了《计划生育技术服务管理条例》第二十二条、《计划生育技术服务管理条例实施细则》第二十三条的规定，应依据《计划生育技术服务管理条例实施细则》第四十八条第一款、《计划生育技术服务管理条例》第三十四条的规定进行处罚；鉴于你单位违法期间放、取宫内节育器用到的药品、节育器等均已使用，取出的节育器常规作为医疗废物处理，且立案前已获准开展计划生育技术服务，放、取宫内节育器的药品、医疗器械已合法，依法不予没收；且你单位2021年6月已主动停止开展放、取宫内节育器的计划生育技术服务项目，在本案立案前的2021年7月2日已获准开展计划生育技术服务，符合《浙江省卫生行政自由裁量基准办法》第七条第（一）项规定，依法应当从轻或者减轻行政处罚。，
处罚依据：《计划生育技术服务管理条例实施细则》第四十八条第一款、《计划生育技术服务管理条例》第三十四条之规定
处罚决定：对你单位处警告；没收违法所得人民币10860元，罚款人民币31494元
|违法事实：你单位从2019年3月至2021年3月未经许可擅自从事计划生育技术服务项目中的放、取宫内节育器46例，获违法所得24108.6元的行为，违反了《计划生育技术服务管理条例》第二十二条、《计划生育技术服务管理条例实施细则》第二十三条的规定，应依据《计划生育技术服务管理条例实施细则》第四十八条第一款、《计划生育技术服务管理条例》第三十四条（原第三十一条）的规定进行处罚；鉴于你单位违法期间放、取宫内节育器用到的药品、节育器、通用的手术室无菌包、一次性阴道扩张器等均已使用，取出的节育器常规作为医疗废物处理，且案发前已获准开展计划生育技术服务，放、取宫内节育器的药品、医疗器械已合法，依法不予没收；考虑你单位在案发前已主动纠正违法行为，符合《浙江省卫生行政自由裁量基准办法》第七条规定，依法应当从轻或者减轻行政处罚。
处罚依据：《计划生育技术服务管理条例实施细则》第四十八条第一款、《计划生育技术服务管理条例》第三十四条之规定
处罚决定：对你单位处警告；没收违法所得人民币24108.6元，罚款人民69914.94元",未取得执业许可，擅自从事计划生育技术服务,责令改正|警告|没收违法所得|罚款|追究刑事责任,违法所得5000元以上的，并处违法所得2倍以上5倍以下的罚款；没有违法所得或者违法所得不足5000元的，并处5000元以上2万元以下的罚款,【非法经营罪】,《中华人民共和国刑法》第二百二十五条,"违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：
　　（一）未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的；
　　（二）买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的；
　　（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；
　　（四）【其他严重扰乱市场秩序的非法经营行为】。"
资质问题,无证经营,未经核准擅自开展静脉输注活动,《抗菌药物临床应用管理办法》第五十四条,【未经县级卫生行政部门核准，村卫生室、诊所、社区卫生服务站擅自使用抗菌药物开展静脉输注活动的】，由县级以上地方卫生行政部门责令限期改正，给予警告；逾期不改的，可根据情节轻重处以一万元以下罚款。,"违法事实：你单位未经县级卫生行政部门核准，2020年1月为患者静脉输注“注射用氨曲南”，2021年2月复查时，你单位已整改。你单位未经卫生行政部门核准擅自使用抗菌药物开展静脉输注活动的行为，违反了《抗菌药物临床应用管理办法》第二十九条第二款的规定
处罚依据：《抗菌药物临床应用管理办法》第五十四条之规定
处罚决定：对你单位处警告的行政处罚。
|违法事实：你单位未经卫生行政部门核准擅自使用抗菌药物开展静脉输注活动的行为，违反了《抗菌药物临床应用管理办法》第二十九条第二款的规定
处罚依据：《抗菌药物临床应用管理办法》第五十四条之规定
处罚决定：对你单位处罚款5500元。",未经县级卫生行政部门核准，村卫生室、诊所、社区卫生服务站擅自使用抗菌药物开展静脉输注活动,责令改正|警告|罚款,可根据情节轻重处以一万元以下罚款,暂无,,
资质问题,超范围经营,普通诊所擅自开展儿科/妇科等诊疗活动,《医疗机构管理条例实施细则》第八十条,"【除急诊和急救外，医疗机构诊疗活动超出登记的诊疗科目范围】，情节轻微的，处以警告；有下列情形之一的，责令其限期改正，并可处以三千元以下罚款；
（一）超出登记的诊疗科目范围的诊疗活动累计收入在三千元以下；
（二）给患者造成伤害。
有下列情形之一的，处以三千元罚款，并吊销《医疗机构执业许可证》：
（一）超出登记的诊疗科目范围的诊疗活动累计收入在三千元以上；
（二）给患者造成伤害；
（三）省、自治区、直辖市卫生计生行政部门规定的其他情形。","违法事实：经调查核实查明：某普通诊所《医疗机构执业许可证》上的医疗机构名称为“东阳张某某普通诊所”，与诊所的执业医师张某某、执业助理医师吕某某的《医师执业证书》上的执业地址“张某某诊所”为同一家医疗机构；某普通诊所核准登记的诊疗科目为内科，但是2017年6月至7月期间对来诊所看病的“刘某某”、”吴某某”等8名患者进行“滴虫性阴道炎”、“盆腔炎”、“慢性盆腔炎”等妇科疾病的诊断与治疗，违反了《医疗机构管理条例》第二十七条的规定“医疗机构必须按照核准登记的诊疗科目开展诊疗活动”的规定，其开展妇科诊疗的行为已构成了诊疗活动超出登记的诊疗科目范围的违法行为。
处罚依据：《医疗机构管理条例》第四十七条、《医疗机构管理条例实施细则》第八十条之规定
处罚决定：对你单位处警告，并罚款1000元。
|违法事实：该诊所存在从2017年6月未经卫生计生行政部门许可擅自开展儿科诊疗的行为属于诊疗活动超出登记范围的行为，违法所得共计519元。依据《医疗机构管理条例》第四十七条“违反本条例第二十七条规定，诊疗活动超出登记范围的，由县级以上人民政府卫生行政部门予以警告、责令其改正，并可以根据情节处以3000元以下的罚款；情节严重的，吊销其《医疗机构执业许可证》。”、依据《医疗机构管理条例实施细则》第八十条“除急诊和急救外，医疗机构诊疗活动超出登记的诊疗科目范围，情节轻微的，处以警告；有下列情形之一的，责令其限期改正，并可处以三千元以下罚款：（一）超出登记的诊疗科目范围的诊疗活动累计收入在三千元以下；”规定，并参照《浙江省卫生计生系统行政处罚自由裁量指导意见》关于“超出登记的诊疗科目范围的诊疗活动累计收入不足1000元，或违法收入无法认定的罚款2000元以内”的裁量标准的规定
处罚依据：《医疗机构管理条例》第四十七条、《医疗机构管理条例实施细则》第八十条之规定
处罚决定：对你单位处警告；处罚款1000元人民币。",除急诊和急救外，医疗机构诊疗活动超出登记的诊疗科目范围,警告|责令改正|罚款,并可处以三千元以下罚款,暂无,,
资质问题,超范围经营,未经批准擅自变更放射诊疗项目,《放射诊疗管理规定》第三十八条第（三）项,"医疗机构有下列情形之一的，由县级以上卫生行政部门给予警告、责令限期改正，并可以根据情节处以3000元以下的罚款；情节严重的，吊销其《医疗机构执业许可证》。
（一）未取得放射诊疗许可从事放射诊疗工作的；
（二）未办理诊疗科目登记或者未按照规定进行校验的；
（三）【 未经批准擅自变更放射诊疗项目或者超出批准范围从事放射诊疗工作的】。","违法事实：现已查明，你单位持有《放射诊疗许可证》，设有X射线影像诊断项目。你单位存在未经批准擅自变更放射诊疗项目、未按照规定对车载DR及其工作场所进行检测、发现职业禁忌未及时告知劳动者岑某的违法行为，违反了《放射诊疗管理规定》第十七条第二款、第三款、《放射诊疗管理规定》第二十条第一款第（一）项、《放射诊疗管理规定》第二十一条第一款、《职业健康检查管理办法》第十八条，已构成违法。
你单位未经批准擅自变更放射诊疗项目的行为违反了《放射诊疗管理规定》第十七条第二款、第三款的规定
处罚依据：《放射诊疗管理规定》第三十八条第(三)项之规定
处罚决定：对你单位处警告；罚款人民币1200元。",未经批准擅自变更放射诊疗项目或者超出批准范围从事放射诊疗工作,警告|责令改正|罚款|吊销许可证,并可以根据情节处以3000元以下的罚款,暂无,,
资质问题,从业人员无证,从业人员未取得健康合格证明,《公共场所卫生管理条例实施细则》第三十八条|《公共场所卫生管理条例》第十四条第一款第（二）项之规定,"【公共场所经营者安排未获得有效健康合格证明的从业人员从事直接为顾客服务工作的】，由县级以上地方人民政府卫生计生行政部门责令限期改正，给予警告，并处以五百元以上五千元以下罚款；逾期不改正的，处以五千元以上一万五千元以下罚款。
|凡有下列行为之一的单位或者个人，卫生防疫机构可以根据情节轻重，给予警告、罚款、停业整顿、吊销“卫生许可证”的行政处罚：
（一）卫生质量不符合国家卫生标准和要求，而继续营业的；
（二）【未获得“健康合格证”，而从事直接为顾客服务的】；
（三）拒绝卫生监督的；
（四）未取得“卫生许可证”，擅自营业的。
罚款一律上交国库。","违法事实：你单位安排未取得有效健康合格证明的游泳场所从业人员王某晶从事直接为顾客服务的行为，违反了《公共场所卫生管理条例实施细则》第十条第一款“公共场所经营者应当组织从业人员每年进行健康检查，从业人员在取得有效健康合格证明后方可上岗。”的规定，已构成安排未获得有效健康合格证明的从业人员从事直接为顾客服务的违法行为。鉴于你单位在案发后能积极配合调查，及时改正违法行为，且未造成不良后果，依法予以从轻处罚。根据《公共场所卫生管理条例实施细则》第三十八条“公共场所经营者安排未获得有效健康合格证明的从业人员从事直接为顾客服务工作的，由县级以上地方人民政府卫生计生行政部门责令限期改正，给予警告，并处以五百元以上五千元以下罚款；逾期不改正的，处以五千元以上一万五千元以下罚款。”的规定，并参照《浙江省卫生行政处罚自由裁量标准》“公共场所经营者安排未获得有效健康合格证明的从业人员从事直接为顾客服务工作的”的违法行为裁量标准“公共场所经营者安排6名以下未获得有效健康合格证明的从业人员从事直接为顾客服务工作的，及时改正的，警告，罚款500元以上1850元以下”
处罚依据：《公共场所卫生管理条例实施细则》第三十八条之规定
处罚决定：对你单位处警告，罚款人民币1000元。
|违法事实：你单位2021年8月安排未获得有效健康合格证明的前台从业人员张某某和足浴技师邱某某从事直接为顾客服务工作。你单位现已整改，已安排邱某某和张某某开展健康体检，并分别于2021年9月和2021年9月取得健康合格证明。你单位2021年8月31日安排未获得有效健康合格证明的前台从业人员张某某和足浴技师邱某某从事直接为顾客服务工作。该行为违反了《公共场所卫生管理条例》第七条、《公共场所卫生管理条例实施细则》第十条第一款的规定
处罚依据：《公共场所卫生管理条例》第十四条第一款第（二）项、《公共场所卫生管理条例实施细则》第三十八条之规定
处罚决定：对你单位处警告；罚款人民币800整。",公共场所经营者安排未获得有效健康合格证明的从业人员从事直接为顾客服务工作,责令改正|警告|罚款,并处以五百元以上五千元以下罚款；逾期不改正的，处以五千元以上一万五千元以下罚款,暂无,,
资质问题,从业人员无证,未取得医师资格行医,《中华人民共和国医师法》第五十九条,违反本法规定，【非医师行医】的，由县级以上人民政府卫生健康主管部门责令停止非法执业活动，没收违法所得和药品、医疗器械，并处违法所得二倍以上十倍以下的罚款，违法所得不足一万元的，按一万元计算。,"违法事实：现已查明，当事人未取得医师资格，通过微信沟通，诊断章某某患有混合痔；2021年9月当事人应章某某的邀约，在章某某住处使用“局麻”止痛、“安心牌皮肤抑菌液”外敷为章某某治疗痔疮；当事人本次非医师行医为首次被查获，未取得违法所得，执法人员没有查获药品、医疗器械。当事人的行为违反了《中华人民共和国执业医师法》第十四条、《中华人民共和国执业医师法》第八条，已构成违法。当事人非医师行医的行为违反了《中华人民共和国执业医师法》第八条、《中华人民共和国执业医师法》第十四条
处罚依据：《中华人民共和国执业医师法》第三十九条之规定
处罚决定：对你单位处罚款人民币20000元。
|违法事实：现已查明，徐某在未取得卫生技术人员资格的情况下于2021年8月6日、7日、8日为五名顾客开展医疗美容项目，未取得违法所得，徐某在2021年8月前未因非医师行医受过行政处罚。徐某的行为违反了《中华人民共和国执业医师法》第十四条第二款的规定
处罚依据：《中华人民共和国执业医师法》第三十九条之规定
处罚决定：对你单位处罚款人民币4500元。",非医师行医,责令停止|没收违法所得|罚款,并处违法所得二倍以上十倍以下的罚款，违法所得不足一万元的，按一万元计算,【非法行医罪】,《中华人民共和国刑法》第三百三十六条,【未取得医生执业资格的人非法行医】，情节严重的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；严重损害就诊人身体健康的，处三年以上十年以下有期徒刑，并处罚金；造成就诊人死亡的，处十年以上有期徒刑，并处罚金。
资质问题,从业人员无证,任用未取得医师资格人员独立从事诊疗活动,《医疗机构管理条例》第四十七条|《医疗机构管理条例实施细则》第八十一条第一款,"违反本条例第二十七条规定，【使用非卫生技术人员从事医疗卫生技术工作的】，由县级以上人民政府卫生行政部门责令其限期改正，并可以处以1万元以上10万元以下的罚款；情节严重的，吊销其《医疗机构执业许可证》或者责令其停止执业活动。
|【任用非卫生技术人员从事医疗卫生技术工作的】，责令其立即改正，并可处以三千元以下罚款；有下列情形之一的，处以三千元以上五千元以下罚款，并可以吊销其《医疗机构执业许可证》：
（一）任用两名以上非卫生技术人员从事诊疗活动；
（二）任用的非卫生技术人员给患者造成伤害。
医疗机构使用卫生技术人员从事本专业以外的诊疗活动的，按使用非卫生技术人员处理。","违法事实：你单位2021年8月，使用未取得医师资格的医学专业毕业生吴某某，为病人独立开展电针、推拿的医疗操作。你单位2021年8月9日，使用未取得医师资格的医学专业毕业生吴某某，为病人独立开展电针、推拿的医疗操作。该行为适用《卫生部关于医学毕业生毕业后暂未取得医师资格从事诊疗活动有关问题的批复》（卫政法发〔2005〕357号）：“医疗机构违反规定安排未取得医师资格的医学专业毕业生独立从事临床工作的，按照《医疗机构管理条例》第四十八条的规定处理；造成患者人身损害的，按照《医疗事故处理条例处理》”
处罚依据：《医疗机构管理条例》第四十八条之规定
处罚决定：对你单位处罚款2000元
|违法事实：你单位2021年2月使用执业范围为内科专业的徐某某开具中药饮片处方。你单位使用卫生技术人员从事本专业以外的诊疗活动的行为，根据《医疗机构管理条例实施细则》第八十一条第二款的要求按使用非卫生技术人员处理
处罚依据：《医疗机构管理条例实施细则》第八十一条第一款
处罚决定：对你单位处罚款人民币2000元。",任用非卫生技术人员从事医疗卫生技术工作,责令改正|罚款|吊销许可证,"并可处以三千元以下罚款；有下列情形之一的，处以三千元以上五千元以下罚款，并可以吊销其《医疗机构执业许可证》：
（一）任用两名以上非卫生技术人员从事诊疗活动；
（二）任用的非卫生技术人员给患者造成伤害。",暂无,,
