一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
化妆品监管问题,无证经营,上市销售未经备案/委托未取得相应许可的企业生产化妆品,《化妆品监督管理条例》第五十九条第（一）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处5万元以上15万元以下罚款；货值金额1万元以上的，并处货值金额15倍以上30倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，10年内不予办理其提出的化妆品备案或者受理其提出的化妆品行政许可申请，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的3倍以上5倍以下罚款，终身禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）【未经许可从事化妆品生产活动，或者化妆品注册人、备案人委托未取得相应化妆品生产许可的企业生产化妆品】；
（二）生产经营或者进口未经注册的特殊化妆品；
（三）使用禁止用于化妆品生产的原料、应当注册但未经注册的新原料生产化妆品，在化妆品中非法添加可能危害人体健康的物质，或者使用超过使用期限、废弃、回收的化妆品或者原料生产化妆品。","违法事实：你单位于2020年9月至12月期间委托未取得《化妆品生产许可证》的甲公司生产了3个批次涉案产品共980瓶，其中批号为20200902的下单生产了300瓶、批号为20201101的下单生产了480瓶、批号为20201201的下单生产了200瓶。上述产品当事人从甲公司购进的单价为2.5元/瓶，购进金额合计为2450元，截止目前未开具相关发票。当事人共销售上述产品980瓶（包含赠送的180瓶和活动核销的23瓶），销售金额总计6903.8元，截止目前未开具相关发票。则当事人上市销售未经备案、委托未取得相应化妆品生产许可的企业生产的化妆品的违法所得为4453.8元，货值金额为6903.8元。；
处罚根据：《化妆品监督管理条例》第五十九条第（一）项之规定
处罚决定：对你单位处没收违法所得4453.8元；并处罚款60000元。
|违法事实：你单位委托生产的规格为净含量100g的妙抚植萃防护乳（葡萄柚型）和妙抚植萃防护乳（甜橙型）共8064盒。上述产品的包装盒标注了“使用方法：取适量本品涂抹于身体所需部位，轻轻按摩即可。”上述产品符合化妆品定义，应认定为化妆品。当事人委托生产的净含量为60ml的妙抚植萃防护喷雾有两种包装。第二种包装标注的使用部位和使用目的不符合《化妆品监督管理条例》第三条关于化妆品的定义，使用该包装的产品不属于化妆品。上述化妆品宣称的功效不属于染发、烫发、祛斑美白、防晒、防脱发范畴，也不属于新功效，应认定为普通化妆品。上述普通化妆品在上市销售前均未向浙江省药品监督管理局备案。经核实，妙抚植萃防护乳和妙抚植萃防护喷雾的原料在《已使用化妆品原料名称目录（2015版）》中均有收载。在委托生产过程中，当事人委托浙江方圆检测集团股份有限公司对批号为M1B0301G的妙抚植萃防护乳和批号为M1B0301G的妙抚植萃防护喷雾进行了毒理学实验项目(多次皮肤刺激实验)检验,结果均为无刺激性；委托广东省珠海市质量计量监督检测所对批号为M1B0201G的妙抚植萃防护乳和批号为M1A2501C的妙抚植萃防护喷雾进行了重金属、微生物等项目的检验，结果均符合规定。我局委托浙江方圆检测集团股份有限公司对批号为M1C1901G、M1B2401G的妙抚植萃防护乳和批号为M1C1801C的妙抚植萃防护喷雾进行了检验，结果均符合规定。实际销售163盒。当事人上市销售未经备案、委托未取得相应化妆品生产许可的企业生产的化妆品的违法所得合计4247.78元（不含税），货值金额为42621.24元（不含税）。
处罚根据：《化妆品监督管理条例》第五十九条第（一）项之规定
处罚决定：对你单位处没收违法所得4247.78元；并处罚款319659.3元。",未经许可从事化妆品生产活动，或者化妆品注册人、备案人委托未取得相应化妆品生产许可的企业生产化妆品,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处5万元以上15万元以下罚款；货值金额1万元以上的，并处货值金额15倍以上30倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的3倍以上5倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,特殊化妆品未注册,生产/经营/进口未经注册的特殊化妆品,《化妆品监督管理条例》第五十九条第（二）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处5万元以上15万元以下罚款；货值金额1万元以上的，并处货值金额15倍以上30倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，10年内不予办理其提出的化妆品备案或者受理其提出的化妆品行政许可申请，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的3倍以上5倍以下罚款，终身禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）未经许可从事化妆品生产活动，或者化妆品注册人、备案人委托未取得相应化妆品生产许可的企业生产化妆品；
（二）【生产经营或者进口未经注册的特殊化妆品】；
（三）使用禁止用于化妆品生产的原料、应当注册但未经注册的新原料生产化妆品，在化妆品中非法添加可能危害人体健康的物质，或者使用超过使用期限、废弃、回收的化妆品或者原料生产化妆品。",暂无,生产经营或者进口未经注册的特殊化妆品,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处5万元以上15万元以下罚款；货值金额1万元以上的，并处货值金额15倍以上30倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的3倍以上5倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,原料不合格,使用不合格原料生产化妆品/在化妆品中添加有害物质,《化妆品监督管理条例》第五十九条第（三）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处5万元以上15万元以下罚款；货值金额1万元以上的，并处货值金额15倍以上30倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，10年内不予办理其提出的化妆品备案或者受理其提出的化妆品行政许可申请，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的3倍以上5倍以下罚款，终身禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）未经许可从事化妆品生产活动，或者化妆品注册人、备案人委托未取得相应化妆品生产许可的企业生产化妆品；
（二）生产经营或者进口未经注册的特殊化妆品；
（三）【使用禁止用于化妆品生产的原料、应当注册但未经注册的新原料生产化妆品，在化妆品中非法添加可能危害人体健康的物质，或者使用超过使用期限、废弃、回收的化妆品或者原料生产化妆品】。",暂无,使用禁止用于化妆品生产的原料、应当注册但未经注册的新原料生产化妆品，在化妆品中非法添加可能危害人体健康的物质，或者使用超过使用期限、废弃、回收的化妆品或者原料生产化妆品,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处5万元以上15万元以下罚款；货值金额1万元以上的，并处货值金额15倍以上30倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的3倍以上5倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,原料不达标,用于生产化妆品的原料不符合规定,《化妆品监督管理条例》第六十条第（一）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款，10年内禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）【使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料】；
（二）生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品；
（三）未按照化妆品生产质量管理规范的要求组织生产；
（四）更改化妆品使用期限；
（五）化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品；
（六）在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营。","违法事实：当事人2021年1月生产某璀璨晶钻指甲油27气泡桔子水76瓶，已销售12瓶，其余库存60瓶，送检损耗3瓶，留样1瓶；2021年3月生产的某璀璨晶钻指甲油28香芋果冻76瓶，已销售12瓶，其余库存60瓶，送检损耗3瓶，留样1瓶；2021年3月生产某璀璨晶钻指甲油05冰透葡萄汁240瓶，已销售238瓶，留样2瓶。涉案化妆品货值金额为862.4元人民币，违法所得为576.4元人民币。以上产品依据《化妆品安全技术规范》（2015年版）进行检验，检出1，2-二氯乙烷含量均超出标准规定的0.61μｇ/ｇ，结果均不符合规定。该公司上述行为违反了《化妆品监督管理条例》第六条第二款规定。
处罚依据：《化妆品监督管理条例》第六十条第（一）项之规定。
处罚决定：对你单位处责令当事人改正、没收璀璨晶钻指甲油27气泡桔子水61瓶、28香芋果冻61瓶、05冰透葡萄汁2瓶；没收违法所得576.4元人民币；并处罚款23000元人民币。",使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,违反技术规范,生产经营不符合国家标准/技术规范/技术要求的化妆品,《化妆品监督管理条例》第六十条第（二）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款，10年内禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料；
（二）【生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品】；
（三）未按照化妆品生产质量管理规范的要求组织生产；
（四）更改化妆品使用期限；
（五）化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品；
（六）在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营。","违法事实：当事人生产的批号为04917325-K、规格为120ml/盒的章华护染焗油（4号）（栗子棕），检出批件及标签未标识的染发剂成份，生产、销售数量为432盒，销售单价为每盒3.8元人民币，货值金额为1641.6元人民币。涉嫌生产不符合化妆品注册、备案资料载明的技术要求的化妆品；
处罚依据：《化妆品监督管理条例》第六十条第（二）项之规定。
处罚决定：1.没收违法所得1641.6元人民币；2.罚款10820.8元人民币。
|违法事实：经查明，当事人甲美容馆于2020年4月从以88元/盒的价格从乙公司购进三多九如如一玉兰泥膜（生产企业：丙公司；生产许可证号；批号：2020/03/06；限期使用日期：2023/03/05）12盒，并于2020年8月以340元/盒的价格将上述三多九如如一玉兰泥膜销售给丁美容院。上述三多九如如一玉兰泥膜经食品药品检验研究院检验，上述批次三多九如如一玉兰泥膜检验项目菌落总数项目检出5000FU/g,不符合《化妆品安全技术规范》（2015版）规定的菌落总数≤1000CFU/g的要求，检验结论判定为不符合规定。于2022年7月被本局查获，至查获时止，当事人已售出上述三多九如如一玉兰泥膜12盒，其中8盒被当事人召回并退回给乙公司，无库存，货值金额4080元，违法所得1360元。另查明：当事人提供了乙公司和丙公司市场主体登记证明，以及上述三多九如如一玉兰泥膜的备案信息和检验报告。当事人的上述行为，违反了《化妆品监督管理条例》第六条第二款之规定，属于经营不符合强制性国家标准、技术规范的化妆品的行为，责令改正。
处罚依据：《化妆品监督管理条例》第六十条第二项及《化妆品监督管理条例》第六十八条“化妆品经营者履行了本条例规定的进货查验记录等义务，有证据证明其不知道所采购的化妆品是不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的，收缴其经营的不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品，可以免除行政处罚。”之规定。
处罚决定：决定免予处罚。",生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,生产不规范,生产化妆品不符合生产质量管理规范要求,《化妆品监督管理条例》第六十条第（三）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款，10年内禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料；
（二）生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品；
（三）【未按照化妆品生产质量管理规范的要求组织生产】；
（四）更改化妆品使用期限；
（五）化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品；
（六）在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营。",暂无,未按照化妆品生产质量管理规范的要求组织生产,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,更改保质期,更改化妆品生产日期/使用期限/保质期等,《化妆品监督管理条例》第六十条第（四）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款，10年内禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料；
（二）生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品；
（三）未按照化妆品生产质量管理规范的要求组织生产；
（四）【更改化妆品使用期限】；
（五）化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品；
（六）在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营。",暂无,更改化妆品使用期限,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,擅自配制化妆品,化妆品经营者擅自配制化妆品,《化妆品监督管理条例》第六十条第（五）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款，10年内禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料；
（二）生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品；
（三）未按照化妆品生产质量管理规范的要求组织生产；
（四）更改化妆品使用期限；
（五）【化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品】；
（六）在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营。",暂无,化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,卖变质过期化妆品,销售变质、超过使用期限的化妆品,《化妆品监督管理条例》第六十条第（五）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款，10年内禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料；
（二）生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品；
（三）未按照化妆品生产质量管理规范的要求组织生产；
（四）更改化妆品使用期限；
（五）【化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品】；
（六）在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营。","违法事实：经查明，当事人经营的超过使用期限化妆品具体信息如下：
1.萡素晶莹水光打蜡膏，2019年5月从甲店购入15盒，剩余14盒，失效日期：20210801，购进价：5元/盒，用于染发补色；
2.章华冷烫液，2020年3月从甲店购入数量1盒，剩余1盒，失效日期：20210117，购进价：18元/盒，用于烫发，产品已开封；
3.卡丝蓝烫发液，2020年3月从甲店购入数量1盒，剩余1盒，失效日期：20210904，购进价：15元/盒，用于烫发，产品已开封；
4.舒霖屑净发用洗剂，2020年7月，从乙店购入数量10盒，剩余7盒，中有1盒处于使用期限内。扣押的6盒超过使用期限，1盒失效日期：20220625，其余5盒失效日期：20220118，购进价：79元/盒，中有一盒贴有价格标签199元，用于洗发，处于待售状态；以上4种超过使用期限化妆品根据当事人提供的购进单据，货值金额合计577元。
5.梦佩丝烫发液，数量2支，其中一支失效日期：20170821，另外一支失效日期：20181229，用于烫发，当事人无法提供购进单据。
当事人经营场所内超过使用期限的化妆品与其他未超过使用期限产品混放，放置位置未与其他功能相似的洗、烫、染化妆品进行区分。由于当事人未建立销售和使用台账，违法所得无法计算；涉嫌擅自配制化妆品，经营变质、超过使用期限的化妆品；
处罚依据：《化妆品监督管理条例》第六十条第（五）项之规定。
处罚决定：责令当事人改正，并做如下处罚:1、没收5种超过使用期限的化妆品；2、罚款人民币10000元。
|违法事实：当事人丙会所于2019年8月以进5盒送5盒的方式，从丁公司购进简肤妍®修护喷雾（EXP：；批号：委托方：丁公司；受托方：戊公司；化妆品生产许可证：；含量80mg+10ml）10盒，在为顾客提供美容服务时向顾客销售。至上述化妆品超过使用期限后，当事人仍放置于一楼营业场所的货架上予以销售。至被查获时，库存上述简肤妍®修护喷雾7盒。因采购票据上未详细标注货款金额，无法查清上述化妆品在超过限期使用日期后的销售情况，货值金额和违法所得无法计算。2022年5月，被本局查获；涉嫌擅自配制化妆品，经营变质、超过使用期限的化妆品；
处罚依据：《化妆品监督管理条例》第六十条第（五）项之规定。
处罚决定：（一）没收超过使用期限的简肤妍®修护喷雾7盒；（二）罚款10000元。",化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
化妆品监管问题,拒不召回或停产,拒不召回或者拒不停止/暂停生产经营活动,《化妆品监督管理条例》第六十条第（六）项,"有下列情形之一的，由负责药品监督管理的部门没收违法所得、违法生产经营的化妆品和专门用于违法生产经营的原料、包装材料、工具、设备等物品；违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，责令停产停业、由备案部门取消备案或者由原发证部门吊销化妆品许可证件，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款，10年内禁止其从事化妆品生产经营活动；构成犯罪的，依法追究刑事责任：
（一）使用不符合强制性国家标准、技术规范的原料、直接接触化妆品的包装材料，应当备案但未备案的新原料生产化妆品，或者不按照强制性国家标准或者技术规范使用原料；
（二）生产经营不符合强制性国家标准、技术规范或者不符合化妆品注册、备案资料载明的技术要求的化妆品；
（三）未按照化妆品生产质量管理规范的要求组织生产；
（四）更改化妆品使用期限；
（五）化妆品经营者擅自配制化妆品，或者经营变质、超过使用期限的化妆品；
（六）【在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营】。",暂无,在负责药品监督管理的部门责令其实施召回后拒不召回，或者在负责药品监督管理的部门责令停止或者暂停生产、经营后拒不停止或者暂停生产、经营,没收违法产品|没收违法所得|罚款|责令停业|吊销许可证|职业禁止|追究刑事责任,违法生产经营的化妆品货值金额不足1万元的，并处1万元以上5万元以下罚款；货值金额1万元以上的，并处货值金额5倍以上20倍以下罚款；情节严重的，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上3倍以下罚款,【生产、销售不符合卫生标准的化妆品罪】,《中华人民共和国刑法》第一百四十八条,【生产不符合卫生标准的化妆品，或者销售明知是不符合卫生标准的化妆品，造成严重后果的】，处三年以下有期徒刑或者拘役，并处或者单处销售金额百分之五十以上二倍以下罚金。
