一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
公证问题,不正当争揽业务,以不正当手段争揽公证业务,《中华人民共和国公证法》第四十一条第（一）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门给予警告；情节严重的，对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款，并可以给予三个月以上六个月以下停止执业的处罚；有违法所得的，没收违法所得：
（一）【以诋毁其他公证机构、公证员或者支付回扣、佣金等不正当手段争揽公证业务的】；
（二）违反规定的收费标准收取公证费的；
（三）同时在二个以上公证机构执业的；
（四）从事有报酬的其他职业的；
（五）为本人及近亲属办理公证或者办理与本人及近亲属有利害关系的公证的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。",暂无,以诋毁其他公证机构、公证员或者支付回扣、佣金等不正当手段争揽公证业务,警告|罚款|没收违法所得|停止执业,对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款,暂无,,
公证问题,违规收费,违反收费标准收取公证费,《中华人民共和国公证法》第四十一条第（二）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门给予警告；情节严重的，对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款，并可以给予三个月以上六个月以下停止执业的处罚；有违法所得的，没收违法所得：
（一）以诋毁其他公证机构、公证员或者支付回扣、佣金等不正当手段争揽公证业务的；
（二）【违反规定的收费标准收取公证费的】；
（三）同时在二个以上公证机构执业的；
（四）从事有报酬的其他职业的；
（五）为本人及近亲属办理公证或者办理与本人及近亲属有利害关系的公证的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。",暂无,违反规定的收费标准收取公证费,警告|罚款|没收违法所得|停止执业,对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款,暂无,,
公证问题,同时在两个机构执业,公证员同时在二个以上公证机构执业,《中华人民共和国公证法》第四十一条第（三）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门给予警告；情节严重的，对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款，并可以给予三个月以上六个月以下停止执业的处罚；有违法所得的，没收违法所得：
（一）以诋毁其他公证机构、公证员或者支付回扣、佣金等不正当手段争揽公证业务的；
（二）违反规定的收费标准收取公证费的；
（三）【同时在二个以上公证机构执业的】；
（四）从事有报酬的其他职业的；
（五）为本人及近亲属办理公证或者办理与本人及近亲属有利害关系的公证的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。",暂无,同时在二个以上公证机构执业,警告|罚款|没收违法所得|停止执业,对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款,暂无,,
公证问题,从事有报酬的其他职业,公证员从事有报酬的其他职业,《中华人民共和国公证法》第四十一条第（四）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门给予警告；情节严重的，对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款，并可以给予三个月以上六个月以下停止执业的处罚；有违法所得的，没收违法所得：
（一）以诋毁其他公证机构、公证员或者支付回扣、佣金等不正当手段争揽公证业务的；
（二）违反规定的收费标准收取公证费的；
（三）同时在二个以上公证机构执业的；
（四）【从事有报酬的其他职业的】；
（五）为本人及近亲属办理公证或者办理与本人及近亲属有利害关系的公证的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。",暂无,从事有报酬的其他职业,警告|罚款|没收违法所得|停止执业,对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款,暂无,,
公证问题,办理公证未回避,为本人及近亲属办理公证/办理有利害关系的公证,《中华人民共和国公证法》第四十一条第（五）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门给予警告；情节严重的，对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款，并可以给予三个月以上六个月以下停止执业的处罚；有违法所得的，没收违法所得：
（一）以诋毁其他公证机构、公证员或者支付回扣、佣金等不正当手段争揽公证业务的；
（二）违反规定的收费标准收取公证费的；
（三）同时在二个以上公证机构执业的；
（四）从事有报酬的其他职业的；
（五）【为本人及近亲属办理公证或者办理与本人及近亲属有利害关系的公证的】；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。",暂无,为本人及近亲属办理公证或者办理与本人及近亲属有利害关系的公证,警告|罚款|没收违法所得|停止执业,对公证机构处一万元以上五万元以下罚款，对公证员处一千元以上五千元以下罚款,暂无,,
公证问题,私自出具公证书,私自出具公证书,《中华人民共和国公证法》第四十二条第一款第（一）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门对公证机构给予警告，并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款，并可以给予三个月以上十二个月以下停止执业的处罚；有违法所得的，没收违法所得；情节严重的，由省、自治区、直辖市人民政府司法行政部门吊销公证员执业证书；构成犯罪的，依法追究刑事责任：
（一）【私自出具公证书的】；
（二）为不真实、不合法的事项出具公证书的；
（三）侵占、挪用公证费或者侵占、盗窃公证专用物品的；
（四）毁损、篡改公证文书或者公证档案的；
（五）泄露在执业活动中知悉的国家秘密、商业秘密或者个人隐私的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。
因故意犯罪或者职务过失犯罪受刑事处罚的，应当吊销公证员执业证书。
被吊销公证员执业证书的，不得担任辩护人、诉讼代理人，但系刑事诉讼、民事诉讼、行政诉讼当事人的监护人、近亲属的除外",暂无,私自出具公证书,警告|罚款|停业整顿|停止执业|没收违法所得|吊销执业证书|追究刑事责任,并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款,【滥用职权罪；玩忽职守罪】,《中华人民共和国刑法》第三百九十七条,"【国家机关工作人员滥用职权或者玩忽职守，致使公共财产、国家和人民利益遭受重大损失的】，处三年以下有期徒刑或者拘役；情节特别严重的，处三年以上七年以下有期徒刑。本法另有规定的，依照规定。
国家机关工作人员徇私舞弊，犯前款罪的，处五年以下有期徒刑或者拘役；情节特别严重的，处五年以上十年以下有期徒刑。本法另有规定的，依照规定。"
公证问题,为不合法事项公证,为不真实/不合法的事项出具公证书,《中华人民共和国公证法》第四十二条第一款第（二）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门对公证机构给予警告，并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款，并可以给予三个月以上十二个月以下停止执业的处罚；有违法所得的，没收违法所得；情节严重的，由省、自治区、直辖市人民政府司法行政部门吊销公证员执业证书；构成犯罪的，依法追究刑事责任：
（一）私自出具公证书的；
（二）【为不真实、不合法的事项出具公证书的】；
（三）侵占、挪用公证费或者侵占、盗窃公证专用物品的；
（四）毁损、篡改公证文书或者公证档案的；
（五）泄露在执业活动中知悉的国家秘密、商业秘密或者个人隐私的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。
因故意犯罪或者职务过失犯罪受刑事处罚的，应当吊销公证员执业证书。
被吊销公证员执业证书的，不得担任辩护人、诉讼代理人，但系刑事诉讼、民事诉讼、行政诉讼当事人的监护人、近亲属的除外","违法事实：现已查明缪某在2014年6月1日至2015年5月31日期间办理的涉及财产的委托书公证，有11件存在人证不符、委托人系假冒的问题。现浙江省杭州市西湖公证处已对其中的5件作出了撤销决定。本机关认为，缪某在办理公证过程中，未能严格按照《中华人民共和国公证法》和《公证程序规则》的规定，对当事人的身份和材料进行审查核实，在履职过程中严重不负责任，为不真实、不合法事项出具公证书，且数量达11份之多，情节严重，依法应当予以行政处罚。
处罚依据：根据《中华人民共和国公证法》第四十二条第二项关于“公证机构及其公证员有下列行为之一，……情节严重的，由省、自治区、直辖市人民政府司法行政部门吊销公证员执业证书：（二）为不真实、不合法的事项出具公证书”的规定。
处罚决定：吊销缪某的公证员执业证书。",为不真实、不合法的事项出具公证书,警告|罚款|停业整顿|停止执业|没收违法所得|吊销执业证书|追究刑事责任,并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款,【滥用职权罪；玩忽职守罪】,《中华人民共和国刑法》第三百九十七条,"【国家机关工作人员滥用职权或者玩忽职守，致使公共财产、国家和人民利益遭受重大损失的】，处三年以下有期徒刑或者拘役；情节特别严重的，处三年以上七年以下有期徒刑。本法另有规定的，依照规定。
国家机关工作人员徇私舞弊，犯前款罪的，处五年以下有期徒刑或者拘役；情节特别严重的，处五年以上十年以下有期徒刑。本法另有规定的，依照规定。"
公证问题,侵占挪用公证费,侵占/挪用公证费或者侵占/盗窃公证专用物品,《中华人民共和国公证法》第四十二条第一款第（三）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门对公证机构给予警告，并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款，并可以给予三个月以上十二个月以下停止执业的处罚；有违法所得的，没收违法所得；情节严重的，由省、自治区、直辖市人民政府司法行政部门吊销公证员执业证书；构成犯罪的，依法追究刑事责任：
（一）私自出具公证书的；
（二）为不真实、不合法的事项出具公证书的；
（三）【侵占、挪用公证费或者侵占、盗窃公证专用物品的】；
（四）毁损、篡改公证文书或者公证档案的；
（五）泄露在执业活动中知悉的国家秘密、商业秘密或者个人隐私的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。
因故意犯罪或者职务过失犯罪受刑事处罚的，应当吊销公证员执业证书。
被吊销公证员执业证书的，不得担任辩护人、诉讼代理人，但系刑事诉讼、民事诉讼、行政诉讼当事人的监护人、近亲属的除外",暂无,侵占、挪用公证费或者侵占、盗窃公证专用物品,警告|罚款|停业整顿|停止执业|没收违法所得|吊销执业证书|追究刑事责任,并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款,【贪污罪】|【挪用公款罪】,《中华人民共和国刑法》第三百八十二条|《中华人民共和国刑法》第三百八十四条,"【国家工作人员利用职务上的便利，侵吞、窃取、骗取或者以其他手段非法占有公共财物的】，是贪污罪。
受国家机关、国有公司、企业、事业单位、人民团体委托管理、经营国有财产的人员，利用职务上的便利，侵吞、窃取、骗取或者以其他手段非法占有国有财物的，以贪污论。
与前两款所列人员勾结，伙同贪污的，以共犯论处。
|【国家工作人员利用职务上的便利，挪用公款归个人使用，进行非法活动的，或者挪用公款数额较大、进行营利活动的，或者挪用公款数额较大、超过三个月未还的】，是挪用公款罪，处五年以下有期徒刑或者拘役；情节严重的，处五年以上有期徒刑。挪用公款数额巨大不退还的，处十年以上有期徒刑或者无期徒刑。
挪用用于救灾、抢险、防汛、优抚、扶贫、移民、救济款物归个人使用的，从重处罚。"
公证问题,毁损篡改公证文书,毁损/篡改公证文书或者公证档案,《中华人民共和国公证法》第四十二条第一款第（四）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门对公证机构给予警告，并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款，并可以给予三个月以上十二个月以下停止执业的处罚；有违法所得的，没收违法所得；情节严重的，由省、自治区、直辖市人民政府司法行政部门吊销公证员执业证书；构成犯罪的，依法追究刑事责任：
（一）私自出具公证书的；
（二）为不真实、不合法的事项出具公证书的；
（三）侵占、挪用公证费或者侵占、盗窃公证专用物品的；
（四）【毁损、篡改公证文书或者公证档案的】；
（五）泄露在执业活动中知悉的国家秘密、商业秘密或者个人隐私的；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。
因故意犯罪或者职务过失犯罪受刑事处罚的，应当吊销公证员执业证书。
被吊销公证员执业证书的，不得担任辩护人、诉讼代理人，但系刑事诉讼、民事诉讼、行政诉讼当事人的监护人、近亲属的除外",暂无,毁损、篡改公证文书或者公证档案,警告|罚款|停业整顿|停止执业|没收违法所得|吊销执业证书|追究刑事责任,并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款,【盗窃、抢夺、毁灭国家机关公文、证件、印章罪】,《中华人民共和国刑法》第二百八十条,"【伪造、变造、买卖或者盗窃、抢夺、毁灭国家机关的公文、证件、印章的】，处三年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金；情节严重的，处三年以上十年以下有期徒刑，并处罚金。 
　　伪造公司、企业、事业单位、人民团体的印章的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金。 
　　伪造、变造、买卖居民身份证、护照、社会保障卡、驾驶证等依法可以用于证明身份的证件的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利，并处罚金；情节严重的，处三年以上七年以下有期徒刑，并处罚金。"
公证问题,泄漏秘密或隐私,泄露在执业活动中知悉的国家秘密/商业秘密/个人隐私,《中华人民共和国公证法》第四十二条第一款第（五）项,"公证机构及其公证员有下列行为之一的，由省、自治区、直辖市或者设区的市人民政府司法行政部门对公证机构给予警告，并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款，并可以给予三个月以上十二个月以下停止执业的处罚；有违法所得的，没收违法所得；情节严重的，由省、自治区、直辖市人民政府司法行政部门吊销公证员执业证书；构成犯罪的，依法追究刑事责任：
（一）私自出具公证书的；
（二）为不真实、不合法的事项出具公证书的；
（三）侵占、挪用公证费或者侵占、盗窃公证专用物品的；
（四）毁损、篡改公证文书或者公证档案的；
（五）【泄露在执业活动中知悉的国家秘密、商业秘密或者个人隐私的】；
（六）依照法律、行政法规的规定，应当给予处罚的其他行为。
因故意犯罪或者职务过失犯罪受刑事处罚的，应当吊销公证员执业证书。
被吊销公证员执业证书的，不得担任辩护人、诉讼代理人，但系刑事诉讼、民事诉讼、行政诉讼当事人的监护人、近亲属的除外",暂无,泄露在执业活动中知悉的国家秘密、商业秘密或者个人隐私,警告|罚款|停业整顿|停止执业|没收违法所得|吊销执业证书|追究刑事责任,并处二万元以上十万元以下罚款，并可以给予一个月以上三个月以下停业整顿的处罚；对公证员给予警告，并处二千元以上一万元以下罚款,【故意泄漏国家秘密罪；过失泄漏国家秘密罪】,《中华人民共和国刑法》第三百九十八条,"【国家机关工作人员违反保守国家秘密法的规定，故意或者过失泄露国家秘密，情节严重的】，处三年以下有期徒刑或者拘役；情节特别严重的，处三年以上七年以下有期徒刑。
非国家机关工作人员犯前款罪的，依照前款的规定酌情处罚。"
