一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
劳动报酬问题,不付报酬,未及时足额支付劳动报酬,《中华人民共和国劳动合同法》第八十五条,"用人单位有下列情形之一的，由劳动行政部门责令限期支付劳动报酬、加班费或者经济补偿；劳动报酬低于当地最低工资标准的，应当支付其差额部分；逾期不支付的，责令用人单位按应付金额百分之五十以上百分之一百以下的标准向劳动者加付赔偿金：
（一）【未按照劳动合同的约定或者国家规定及时足额支付劳动者劳动报酬的】；
（二）低于当地最低工资标准支付劳动者工资的；
（三）安排加班不支付加班费的；
（四）解除或者终止劳动合同，未依照本法规定向劳动者支付经济补偿的。","违法事实：你单位拖欠其工资的行为涉嫌违反了《中华人民共和国劳动法》第五十条和《中华人民共和国劳动合同法》第三十条之规定之规定。依据《关于实施〈劳动保障监察条例〉若干规定》第十八条的规定，本机关于2019年10月18日予以立案。经查明，被行政处理人存在以下劳动保障违法行为：拖欠李某工资9400元；拖欠钟某工资7400元的违法行为。
处罚依据：《中华人民共和国劳动合同法》第八十五条之规定。
处罚决定：对你单位处责令支付李某2018年11月至2019年3月工资，共计9400元，并按应付金额的50%的标准向李某加付4700元的赔偿金，共支付李某14100元；支付钟某2018年11月至2018年12月工资，共计7400元，并按应付金额的50%的标准向钟某加付3700元的赔偿金，共支付钟某11100元。",未按照劳动合同的约定或者国家规定及时足额支付劳动者劳动报酬,责令支付|加付赔偿金,逾期不支付的，责令用人单位按应付金额百分之五十以上百分之一百以下的标准向劳动者加付赔偿金,【拒不支付劳动报酬罪】,《中华人民共和国刑法》第二百七十六条之一,"【以转移财产、逃匿等方法逃避支付劳动者的劳动报酬或者有能力支付而不支付劳动者的劳动报酬，数额较大，经政府有关部门责令支付仍不支付的】，处三年以下有期徒刑或者拘役，并处或者单处罚金；造成严重后果的，处三年以上七年以下有期徒刑，并处罚金。
　　单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照前款的规定处罚。
　　有前两款行为，尚未造成严重后果，在提起公诉前支付劳动者的劳动报酬，并依法承担相应赔偿责任的，可以减轻或者免除处罚。"
劳动报酬问题,不付加班费,不支付加班费,《中华人民共和国劳动合同法》第八十五条,"用人单位有下列情形之一的，由劳动行政部门责令限期支付劳动报酬、加班费或者经济补偿；劳动报酬低于当地最低工资标准的，应当支付其差额部分；逾期不支付的，责令用人单位按应付金额百分之五十以上百分之一百以下的标准向劳动者加付赔偿金：
（一）未按照劳动合同的约定或者国家规定及时足额支付劳动者劳动报酬的；
（二）低于当地最低工资标准支付劳动者工资的；
（三）【安排加班不支付加班费的】；
（四）解除或者终止劳动合同，未依照本法规定向劳动者支付经济补偿的。",暂无,安排加班不支付加班费,责令支付,逾期不支付的，责令用人单位按应付金额百分之五十以上百分之一百以下的标准向劳动者加付赔偿金,【拒不支付劳动报酬罪】,《中华人民共和国刑法》第二百七十六条之一,"【以转移财产、逃匿等方法逃避支付劳动者的劳动报酬或者有能力支付而不支付劳动者的劳动报酬，数额较大，经政府有关部门责令支付仍不支付的】，处三年以下有期徒刑或者拘役，并处或者单处罚金；造成严重后果的，处三年以上七年以下有期徒刑，并处罚金。
　　单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照前款的规定处罚。
　　有前两款行为，尚未造成严重后果，在提起公诉前支付劳动者的劳动报酬，并依法承担相应赔偿责任的，可以减轻或者免除处罚。"
劳动报酬问题,工资低于最低标准,工资低于当地最低标准,《劳动保障监察条例》第二十六条,"用人单位有下列行为之一的，由劳动保障行政部门分别责令限期支付劳动者的工资报酬、劳动者工资低于当地最低工资标准的差额或者解除劳动合同的经济补偿；逾期不支付的，责令用人单位按照应付金额50%以上1倍以下的标准计算，向劳动者加付赔偿金：
（一）克扣或者无故拖欠劳动者工资报酬的；
（二）【支付劳动者的工资低于当地最低工资标准的】；
（三）解除劳动合同未依法给予劳动者经济补偿的。",暂无,支付劳动者的工资低于当地最低工资标准,责令支付|加付赔偿金,逾期不支付的，责令用人单位按照应付金额50%以上1倍以下的标准计算，向劳动者加付赔偿金,暂无,,
劳动时间问题,延长工作时间,违法延长劳动者工作时间,《中华人民共和国劳动法》第九十条|《劳动保障监察条例》第二十五条,"用人单位违反本法规定，【延长劳动者工作时间的】，由劳动行政部门给予警告，责令改正，并可以处以罚款。
|【用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的】，由劳动保障行政部门给予警告，责令限期改正，并可以按照受侵害的劳动者每人100元以上500元以下的标准计算，处以罚款。","违法事实：依据《中华人民共和国劳动法》第九十条：“用人单位违反本法规定，延长劳动者工作时间的，由劳动行政部门给予警告，责令改正，并可以处以罚款”、《劳动保障监察条例》第二十五条：“用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的，由劳动保障行政部门给予警告，责令限期改正，并可以按照受侵害的劳动者每人100元以上500元以下的标准计算，处以罚款”之规定。参照《杭州市人力资源和社会保障行政处罚裁量适用办法》行政处罚裁量标准表第25项第2类“违法延长劳动者人数占职工总数比例低于10%且不符合第一档情形的，给予警告，按照每人100元以上且低于200元标准罚款”之规定。
处罚依据：《中华人民共和国劳动法》第九十条、《劳动保障监察条例》第二十五条之规定
处罚决定：对你单位处警告、罚款3000元。
|违法事实：鉴于当事人的违法事实以及事后积极主动整改的情况，依据《中华人民共和国劳动法》第九十条：“用人单位违反本法规定，延长劳动者工作时间的，由劳动行政部门给予警告，责令改正，并可以处以罚款。”和《劳动保障监察条例》（中华人民共和国国务院令第423号）第二十五条：“用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的，由劳动保障行政部门给予警告，责令限期改正，并可以按照受侵害的劳动者每人100元以上500元以下的标准计算，处以罚款。”参照《杭州市人力资源和社会保障行政处罚裁量适用办法》杭人社发【2017】16号第十三条“同时具有两个或两个以上从重情节、且不具有从轻情节的，应当按最高处罚幅度实施处罚；同时具有两个或两个以上从轻情节、且不具有从重情节的，应当按最低处罚幅度实施处罚；同时具有从重、从轻情节的，应当综合考虑，根据主要情节实施处罚。”
处罚依据：《中华人民共和国劳动法》第九十条、《劳动保障监察条例》第二十五条之规定
处罚决定：对你单位处警告，并按照受侵害劳动者每人100元的标准处以罚款3400元。",用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间,警告|责令改正|罚款,按照受侵害的劳动者每人100元以上500元以下,暂无,,
劳动时间问题,试用期违法,试用期超过法定期限,《中华人民共和国劳动合同法》第八十三条,【用人单位违反本法规定与劳动者约定试用期的】，由劳动行政部门责令改正；违法约定的试用期已经履行的，由用人单位以劳动者试用期满月工资为标准，按已经履行的超过法定试用期的期间向劳动者支付赔偿金。,暂无,用人单位违反法律规定与劳动者约定试用期,责令改正|支付赔偿金,按已经履行的超过法定试用期的期间向劳动者支付赔偿金,暂无,,
制度问题,违法扣押收取,扣押劳动者证件、收取财物,《中华人民共和国劳动合同法》第八十四条,"【用人单位违反本法规定，扣押劳动者居民身份证等证件的】，由劳动行政部门责令限期退还劳动者本人，并依照有关法律规定给予处罚。
用人单位违反本法规定，以担保或者其他名义向劳动者收取财物的，由劳动行政部门责令限期退还劳动者本人，并以每人五百元以上二千元以下的标准处以罚款；给劳动者造成损害的，应当承担赔偿责任。
劳动者依法解除或者终止劳动合同，用人单位扣押劳动者档案或者其他物品的，依照前款规定处罚。",暂无,用人单位违反法律规定，扣押劳动者居民身份证等证件、以担保或者其他名义向劳动者收取财物,责令退还|罚款|赔偿劳动者损失,并以每人五百元以上二千元以下的标准处以罚款；给劳动者造成损害的，应当承担赔偿责任,暂无,,
制度问题,规章制度违法,规章制度违法,《中华人民共和国劳动合同法》第八十条,【用人单位直接涉及劳动者切身利益的规章制度违反法律、法规规定的】，由劳动行政部门责令改正，给予警告；给劳动者造成损害的，应当承担赔偿责任。,"违法事实：本机关依法查处的你单位直接涉及劳动者切身利益的规章制度违反法律、法规规定一案，已调查终结。根据国务院《劳动保障监察条例》第十九条之规定，现将本机关作出的行政处罚决定的事实、理由、依据告知如下：你单位制定的《高青饿了么规章制度（新）》第一项第一条、第一项第五条、第六项第八条违反了《中华人民共和国劳动法》第五十条之规定，第七项第一条违反了《中华人民共和国劳动合同法》第三十七条之规定。以上事实有《高青饿了么规章制度（新）》为证。如不服本决定，可自接到决定之日起60日内向高青县人民政府申请行政复议，或在6个月内向高青县人民法院提起行政诉讼。但不得自行停止执行本处罚决定。
处罚依据：《中华人民共和国劳动合同法》第八十条之规定。
处罚决定：对你单位给予警告的行政处罚。",用人单位直接涉及劳动者切身利益的规章制度违反法律、法规规定,警告|责令改正|赔偿劳动者损失,给劳动者造成损害的，应当承担赔偿责任,暂无,,
制度问题,劳动合同无效/部分无效,用人单位免除自己的法定责任、排除劳动者权利,《中华人民共和国劳动合同法》第二十六条|《中华人民共和国劳动合同法》第八十六条,"下列劳动合同无效或者部分无效：
（一）以欺诈、胁迫的手段或者乘人之危，使对方在违背真实意思的情况下订立或者变更劳动合同的；
【（二）用人单位免除自己的法定责任、排除劳动者权利的】；
（三）违反法律、行政法规强制性规定的。
对劳动合同的无效或者部分无效有争议的，由劳动争议仲裁机构或者人民法院确认。
|【劳动合同依照本法第二十六条规定被确认无效】，给对方造成损害的，有过错的一方应当承担赔偿责任。",暂无,与劳动者订立的劳动合同被确认为无效,赔偿劳动者损失,赔偿劳动者损失,暂无,,
制度问题,不出离职证明,拒绝出具解除/终止劳动合同的书面证明（离职证明）,《中华人民共和国劳动合同法》第八十九条,【用人单位违反本法规定未向劳动者出具解除或者终止劳动合同的书面证明】，由劳动行政部门责令改正；给劳动者造成损害的，应当承担赔偿责任。,暂无,用人单位违反劳动合同法规定未向劳动者出具解除或者终止劳动合同的书面证明,责令改正|赔偿劳动者损失,给劳动者造成损害的，应当承担赔偿责任,暂无,,
制度问题,擅自经营派遣业务,无证经营劳务派遣业务,《中华人民共和国劳动合同法》第九十二条,"违反本法规定，【未经许可，擅自经营劳务派遣业务的】，由劳动行政部门责令停止违法行为，没收违法所得，并处违法所得一倍以上五倍以下的罚款；没有违法所得的，可以处五万元以下的罚款。
劳务派遣单位、用工单位违反本法有关劳务派遣规定的，由劳动行政部门责令限期改正；逾期不改正的，以每人五千元以上一万元以下的标准处以罚款，对劳务派遣单位，吊销其劳务派遣业务经营许可证。用工单位给被派遣劳动者造成损害的，劳务派遣单位与用工单位承担连带赔偿责任。",暂无,用人单位未经许可，擅自经营劳务派遣业务,责令限期改正|责令停止|没收违法所得|罚款|吊销劳务派遣业务经营许可证|承担连带赔偿责任,并处违法所得一倍以上五倍以下的罚款；没有违法所得的，可以处五万元以下的罚款,暂无,,
