一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
资质问题,船员无证,无法提供船舶船员适任证书或其他有效证件,《中华人民共和国内河交通安全管理条例》第六十六条|《中华人民共和国内河海事行政处罚规定》第十条,"违反本条例的规定，【未经考试合格并取得适任证书或者其他适任证件的人员擅自从事船舶航行】的，由海事管理机构责令其立即离岗，对直接责任人员处2000元以上2万元以下的罚款，并对聘用单位处1万元以上10万元以下的罚款。
|违反《内河交通安全管理条例》第九条的规定，【未经考试合格并取得适任证书或者其他适任证件的人员擅自从事船舶航行或者操作的】，依照《内河交通安全管理条例》第六十六条和《船员条例》第五十五条的规定，责令其立即离岗，对直接责任人员处以2000元以上2万元以下罚款，并对聘用单位处以3万元以上15万元以下罚款。
　　本条前款所称未经考试合格并取得适任证书或者其他适任证件，包括下列情形：
　　（一）未经水上交通安全培训并取得相应合格证明；
　　（二）未持有船员适任证书或者其他适任证件；
　　（三）持采取弄虚作假的方式取得的船员职务证书；
　　（四）持伪造、变造的船员职务证书；
　　（五）持转让、买卖或租借的船员职务证书；
　　（六）所服务的船舶的航区、种类和等级或者所任职务超越所持船员职务证书限定的范围；
　　（七）持已经超过有效期限的船员职务证书。","违法事实： 2022年6月，市交通运输行政执法队在某航段巡查过程中，发现周某驾驶一艘机动船在该水域航行。经现场检查，周某无法提供船舶船员适任证书及其他有效证件。
处罚依据：《中华人民共和国内河交通安全管理条例》第六十六条、《中华人民共和国内河海事行政处罚规定》第十条之规定。
处罚决定：罚款人民币2000元整。
|违法事实： 2022年7月，市交通运输局执法人员通过港航视频综合监管系统进行巡查时，发现有人驾驶机动橡皮艇在某水域航行。经查，驾驶该机动橡皮艇的是董某，其未取得船员适任证书，航行期间未发生事故。
处罚依据：《中华人民共和国内河交通安全管理条例》第六十六条、《中华人民共和国内河海事行政处罚规定》第十条之规定。
处罚决定：罚款人民币2000元整。",未经考试合格并取得适任证书或者其他适任证件的人员擅自从事船舶航行或者操作,责令立即离岗|罚款,对直接责任人员处2000元以上2万元以下的罚款，并对聘用单位处1万元以上10万元以下的罚款|对直接责任人员处以2000元以上2万元以下罚款，并对聘用单位处以3万元以上15万元以下罚款,暂无,,
资质问题,安全技术不达标,使用不具备安全技术条件的船舶从事拖带运输,《中华人民共和国内河交通安全管理条例》第八十二条|《中华人民共和国内河海事行政处罚规定》第十八条第二款第（六）项,"违反本条例的规定，【船舶不具备安全技术条件从事货物、旅客运输】，或者超载运输货物、旅客的，由海事管理机构责令改正，处2万元以上10万元以下的罚款，可以对责任船员给予暂扣适任证书或者其他适任证件6个月以上直至吊销适任证书或者其他适任证件的处罚，并对超载运输的船舶强制卸载，因卸载而发生的卸货费、存货费、旅客安置费和船舶监管费由船舶所有人或者经营人承担；发生重大伤亡事故或者造成其他严重后果的，依照刑法关于重大劳动安全事故罪或者其他罪的规定，依法追究刑事责任。
|违反《内河交通安全管理条例》第八条、第二十一条的规定，船舶不具备安全技术条件从事货物、旅客运输，或者超载运输货物、超定额运输旅客，依照《内河交通安全管理条例》第八十二条的规定，责令改正，处以2万元以上10万元以下罚款，并可以对责任船员给予扣留船员适任证书或者其他适任证件6个月以上直至吊销船员适任证书或者其他适任证件的处罚，并对超载运输的船舶强制卸载，因卸载而发生的卸货费、存货费、旅客安置费和船舶监管费由船舶所有人或者经营人承担。
　　本条前款所称船舶不具备安全技术条件从事货物、旅客运输，包括以下情形：
　　（一）不遵守船舶、设施的配载和系固安全技术规范；
　　（二）不按照规定载运易流态化货物，或者不按照规定向海事管理机构备案；
　　（三）遇有不符合安全开航条件的情况而冒险开航；
　　（四）超过核定航区航行；
　　（五）船舶违规使用低闪点燃油；
　　（六）【未按照规定拖带或者非拖船从事拖带作业】；
　　（七）未经核准从事大型设施或者移动式平台的水上拖带；
　　（八）未持有《乘客定额证书》；
　　（九）未按照规定配备救生设施；
　　（十）船舶不具备安全技术条件从事货物、旅客运输的其他情形。
　　本条第一款所称超载运输货物、超定额运输旅客，包括以下情形：
　　（一）超核定载重线载运货物；
　　（二）集装箱船装载超过核定箱数；
　　（三）集装箱载运货物超过集装箱装载限额；
　　（四）滚装船装载超出检验证书核定的车辆数量；
　　（五）未经核准乘客定额载客航行；
　　（六）超乘客定额载运旅客。","违法事实：2018年9月，姚某在某处使用不具备安全技术条件的船舶从事拖带运输，经调查，当事人违反了《中华人民共和国内河交通安全管理条例》第二十一条第一款之规定。
处罚依据：地方海事处依据《中华人民共和国内河交通安全管理条例》第八十二条、《中华人民共和国内河海事行政处罚规定》第十八条第二款第（六）项之规定。
处罚决定：对当事人处以罚款人民币4000元整的行政处罚。",船舶不具备安全技术条件从事货物、旅客运输,责令改正|罚款|暂扣、吊销船员适任证书或者其他适任证件|强制卸载|追究刑事责任,处以2万元以上10万元以下罚款，并对超载运输的船舶强制卸载，因卸载而发生的卸货费、存货费、旅客安置费和船舶监管费由船舶所有人或者经营人承担,【重大劳动事故安全罪】,《中华人民共和国刑法》第一百三十五条第一款,【安全生产设施或者安全生产条件不符合国家规定】，因而发生重大伤亡事故或者造成其他严重后果的，对直接负责的主管人员和其他直接责任人员，处三年以下有期徒刑或者拘役；情节特别恶劣的，处三年以上七年以下有期徒刑。
资质问题,登记手续作假,登记时隐瞒真实情况或者弄虚作假,《中华人民共和国船舶登记条例》第五十一条第(一)项,"违反本条例规定，有下列情形之一的，船籍港船舶登记机关可以视情节给予警告、根据船舶吨位处以本条例第五十条规定的罚款数额的50%直至没收船舶登记证书：
（一）【在办理登记手续时隐瞒真实情况、弄虚作假的】；
（二）隐瞒登记事实，造成重复登记的；
（三）伪造、涂改船舶登记证书的。","违法事实：你单位接某在2017年12月在某地方海事处行政许可服务中心实施的在办登记手续时隐瞒真实情况或者弄虚作假的行为，经调查，当事人违反了《中华人民共和国船舶登记条例》第十三条之规定。
处罚依据：《中华人民共和国船舶登记条例》第五十一条第（一）项之规定。
处罚决定：对你单位当事人处以罚款人民币2000元整。",在办理登记手续时隐瞒真实情况、弄虚作假,警告|罚款|没收船舶登记证书,根据船舶吨位处罚款数额的百分之五十,暂无,,
资质问题,登记证书作假,伪造/涂改船舶登记证书,《中华人民共和国船舶登记条例》第五十一条第(三)项,"违反本条例规定，有下列情形之一的，船籍港船舶登记机关可以视情节给予警告、根据船舶吨位处以本条例第五十条规定的罚款数额的50%直至没收船舶登记证书：
（一）在办理登记手续时隐瞒真实情况、弄虚作假的；
（二）隐瞒登记事实，造成重复登记的；
（三）【伪造、涂改船舶登记证书的】。",暂无,伪造、涂改船舶登记证书,警告|罚款|没收船舶登记证书,根据船舶吨位处罚款数额的百分之五十,暂无,,
资质问题,运输船舶无证,使用无证船舶从事水路运输,《国内水路运输管理条例》第三十四条第一款|《浙江省水上交通安全管理条例》第四十九条第二款,"【水路运输经营者使用未取得船舶营运证件的船舶从事水路运输的】，由负责水路运输管理的部门责令该船停止经营，没收违法所得，并处违法所得1倍以上5倍以下的罚款；没有违法所得或者违法所得不足2万元的，处2万元以上10万元以下的罚款。
从事水路运输经营的船舶未随船携带船舶营运证件的，责令改正，可以处1000元以下的罚款。
|违反本条例第十七条规定，小型客船运输经营者未经许可擅自经营水路旅客运输业务的，由小型客船运输主管部门责令停止经营，没收违法所得，并处三千元以上三万元以下罚款。
违反本条例第十七条规定，【小型客船运输经营者使用未取得《内河船舶综合证书》的船舶从事水路旅客运输】，或者未按规定报备案的，由小型客船运输主管部门责令限期改正；逾期不改正的，处一千元以上一万元以下罚款。
小型客船运输经营者取得水路运输经营许可后，因经营情况变化不再符合本条例规定条件的，由小型客船运输主管部门责令限期改正；在规定期限内，经整改仍不符合本条例规定条件的，由原发证机关吊销经营许可证。","违法事实： 甲公司所属的“邦宏57”船，于2022年5月从某地装载350吨海砂，于当天到达某县某搬运队码头并开始卸货。经查，“邦宏57”船未办理船舶营业运输证，该航次为海砂公司自用，无违法所得，违法程度一般。
处罚依据：《国内水路运输管理条例》第三十四条第一款、《老旧运输船舶管理规定》第三十四条、《浙江省水上交通安全管理条例》第四十九条第二款之规定。
处罚决定：责令该船停止经营并罚款人民币20000元整。
|违法事实： 2022年6月，船舶所有人和经营人委托陈某前来市交通运输综合行政执法队一分队咨询《船舶营业运输证》过期办理事宜，市交通运输局执法人员当即对该船舶相关证书进行检查。经现场检查发现，该船的《船舶营业运输证》使用期限已到。执法人员通过海事通APP对该船进一步调查发现，该船在《船舶营业运输证》过期后存在船舶营运行为。船舶所有人和经营人是陈某。陈某涉嫌违反《国内水路运输管理条例》第十四条第一款、《老旧运输船舶管理规定》第十三条第（四）项、《浙江省水上交通安全管理条例》第十七条第二款第（一）项，其行为涉嫌使用未取得船舶营运证件的船舶从事水路运输。
处罚依据：《国内水路运输管理条例》第三十四条第一款、《老旧运输船舶管理规定》第三十四条、《浙江省水上交通安全管理条例》第四十九条第二款之规定。
处罚决定：责令该船停止经营并罚款人民币1740元整。",水路运输经营者使用未取得船舶营运证件的船舶从事水路运输,责令停止经营|没收违法所得|罚款|责令限期改正,没收违法所得，并处违法所得1倍以上5倍以下的罚款；没有违法所得或者违法所得不足2万元的，处2万元以上10万元以下的罚款|处一千元以上一万元以下罚款,暂无,,
资质问题,船舶未带证件,未随船携带船舶营运证件,《国内水路运输管理条例》第三十四条第二款,"水路运输经营者使用未取得船舶营运证件的船舶从事水路运输的，由负责水路运输管理的部门责令该船停止经营，没收违法所得，并处违法所得1倍以上5倍以下的罚款；没有违法所得或者违法所得不足2万元的，处2万元以上10万元以下的罚款。
【从事水路运输经营的船舶未随船携带船舶营运证件的】，责令改正，可以处1000元以下的罚款。","违法事实：你单位周某在2017年12月在某水域未随船携带船舶营运证件，经调查，当事人违反了《国内水路运输管理条例》第十四条第二款之规定。
处罚依据：《国内水路运输管理条例》第三十四条第二款之规定。
处罚决定：对当事人处以罚款人民币200元整。",从事水路运输经营的船舶未随船携带船舶营运证件,责令改正|罚款,1000元以下罚款,暂无,,
资质问题,未办理备案,未按照规定办理水路运输及辅助业务备案,《国内水路运输管理规定》第五十一条|《国内水路运输辅助业管理规定》第三十六条第（一）项,"水路运输经营者违反本规定，有下列行为之一的，由其所在地县级以上人民政府水路运输管理部门责令改正：
（一）【未履行备案义务】；
（二）未以公布的票价或者变相变更公布的票价销售客票；
（三）进行虚假宣传，误导旅客或者托运人；
（四）以不正当方式或者不规范行为争抢客源、货源及提供运输服务扰乱市场秩序。
|水路运输辅助业务经营者违反本规定，有下列行为之一的，由其所在地县级以上人民政府水路运输管理部门责令改正，处2000元以上1万元以下的罚款；一年内累计三次以上违反本规定的，处1万元以上3万元以下的罚款：
（一）【未履行备案或者报告义务】；
（二）为未依法取得水路运输业务经营许可或者超越许可范围的经营者提供水路运输辅助服务；
（三）与船舶所有人、经营人、承租人未订立船舶管理协议或者协议未对船舶海务、机务管理责任做出明确规定；
（四）未订立书面合同、强行代理或者代办业务；
（五）滥用优势地位，限制委托人选择其他代理或者船舶管理服务提供者；
（六）进行虚假宣传，误导旅客或者委托人；
（七）以不正当方式或者不规范行为争抢客源、货源及提供其他水路运输辅助服务，扰乱市场秩序；
（八）未在售票场所和售票网站的明显位置公布船舶、班期、班次、票价等信息；
（九）未以公布的票价或者变相变更公布的票价销售客票；
（十）使用的运输单证不符合有关规定；
（十一）未建立业务记录和管理台账。","违法事实：你单位王某在2017年9月在某湖实施的未履行备案义务的行为，经调查，当事人违反了《国内水路运输管理规定》第十四条第三款、第十八条、第二十七条、第二十八条或者《国内水路运输辅助业管理规定》第十条、第十二条、第十三条、第十六条第二款之规定。
处罚依据：《国内水路运输管理规定》第四十九条第（一）项或者《国内水路运输辅助业管理规定》第三十六条第（一）项之规定。
处罚决定：对你单位当事人处以罚款人民币2000元整。",水路运输经营者未按照规定履行备案或者报告义务,责令改正|罚款,处2000元以上1万元以下的罚款；一年内累计三次以上违反本规定的，处1万元以上3万元以下的罚款,暂无,,
船上人员问题,船员配备不足,船员配备不足，擅自航行,《中华人民共和国内河交通安全管理条例》第六十五条|《中华人民共和国内河海事行政处罚规定》第十四条,"违反本条例的规定，【船舶未按照国务院交通主管部门的规定配备船员擅自航行】，或者浮动设施未按照国务院交通主管部门的规定配备掌握水上交通安全技能的船员擅自作业的，由海事管理机构责令限期改正，对船舶、浮动设施所有人或者经营人处1万元以上10万元以下的罚款；逾期不改正的，责令停航或者停止作业。
|船舶、浮动设施的所有人或者经营人违反《内河交通安全管理条例》第六条第（三）项、第七条第（三）项的规定，【船舶未按照国务院交通运输主管部门的规定配备船员擅自航行的，或者浮动设施未按照国务院交通运输主管部门的规定配备掌握水上交通安全技能的船员擅自作业的】，依照《内河交通安全管理条例》第六十五条的规定，责令限期改正，并处以1万元以上10万元以下罚款；逾期不改正的，责令停航或者停止作业。
本条前款所称船舶未按照国务院交通运输主管部门的规定配备船员擅自航行，包括下列情形：
（一）船舶所配船员的数量低于船舶最低安全配员证书规定的定额要求；
（二）船舶未持有有效的船舶最低安全配员证书。","违法事实：你单位在2017年12月吴某在某码头实施的未按规定配备船员擅自航行的行为，经调查，当事人违反了《中华人民共和国内河交通安全管理条例》第六条第（三）项之规定。
处罚依据：《中华人民共和国内河交通安全管理条例》第六十五条、《中华人民共和国内河海事行政处罚规定》第十四条之规定。
处罚决定：对你单位当事人处以罚款人民币40000元整。
|违法事实：你单位在某地实施的未按规照国务院交通主管部门之规定配备船员擅自航行的行为，经调查，当事人违反了《中华人民共和国内河交通安全管理条例》第六条第（三）项之规定。
处罚依据：《中华人民共和国内河交通安全管理条例》第六十五条、《中华人民共和国内河海事行政处罚规定》第十四条之规定。
处罚决定：对你单位对当事人处以罚款人民币10000元整。",船舶未按照国务院交通主管部门的规定配备船员，擅自航行,责令限期改正|罚款|责令停止,10000元以上100000以下罚款,暂无,,
船上人员问题,未办变更手续,未办理船员服务簿变更手续,《中华人民共和国船员条例》第五十条,违反本条例的规定，【船员服务簿记载的事项发生变更，船员未办理变更手续的】，由海事管理机构责令改正，可以处1000元以下罚款。,"违法事实：你单位陈某在2017年12月在某码头实施的未按规定办理船员服务簿变更手续的行为，经调查，当事人违反了《中华人民共和国船员条例》第七条第二款之规定。
处罚依据：《中华人民共和国船员条例》第五十五条之规定。
处罚决定；对你单位当事人处以罚款人民币50元整。",船员服务簿记载的事项发生变更，船员未办理变更手续,责令改正|罚款,1000元以下罚款,暂无,,
船上人员问题,船员未带证件,船员在工作期间未携带有效证件,《中华人民共和国船员条例》第五十一条,违反本条例的规定，【船员在船工作期间未携带本条例规定的有效证件的】，由海事管理机构责令改正，可以处2000元以下罚款。,"违法事实：你单位郑某在2017年12月在某水域实施的在船工作期间未携带规定的有效证件的行为，经调查，当事人违反了《中华人民共和国船员条例》第二十条第（一）项之规定。
处罚依据：《中华人民共和国船员条例》第五十六条之规定。
处罚决定：对你单位当事人处以罚款人民币200元整。",船员在船工作期间未携带规定的船员适任证等有效证件,责令改正|罚款,2000元以下罚款,暂无,,
