一级,二级,情形抽取,法条依据,法条内容,类案,处罚依据,处罚种类,处罚幅度,涉刑风险,刑法依据,刑法内容
出版发行管理问题,无证经营,未经批准，擅自上网出版网络游戏,《出版管理条例》第六十一条|《互联网信息服务管理办法》第十九条,"【未经批准，擅自设立出版物的出版、印刷或者复制、进口单位，或者擅自从事出版物的出版、印刷或者复制、进口、发行业务，假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物的】，由出版行政主管部门、工商行政管理部门依照法定职权予以取缔；依照刑法关于非法经营罪的规定，依法追究刑事责任；尚不够刑事处罚的，没收出版物、违法所得和从事违法活动的专用工具、设备，违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款，违法经营额不足1万元的，可以处5万元以下的罚款；侵犯他人合法权益的，依法承担民事责任。
|【违反本办法的规定，未取得经营许可证，擅自从事经营性互联网信息服务，或者超出许可的项目提供服务的】，由省、自治区、直辖市电信管理机构责令限期改正，有违法所得的，没收违法所得，处违法所得3倍以上5倍以下的罚款；没有违法所得或者违法所得不足5万元的，处10万元以上100万元以下的罚款；情节严重的，责令关闭网站。
违反本办法的规定，未履行备案手续，擅自从事非经营性互联网信息服务，或者超出备案的项目提供服务的，由省、自治区、直辖市电信管理机构责令限期改正；拒不改正的，责令关闭网站。","违法事实：你公司违反了《网络出版服务管理规定》第二十七条：“网络游戏上网出版前，必须向所在地省、自治区、直辖市出版行政主管部门提出申请，经审核同意后，报国家新闻出版广电总局审批。”构成了未经批准，擅自上网出版网络游戏的违法行为，存在未经批准，擅自上网出版网络游戏的违法事实清楚，证据确凿。该违法行为违反了《网络出版服务管理规定》第二十七条的规定，“网络游戏上网出版前，必须向所在地省、自治区、直辖市出版行政主管部门提出申请，经审核同意后，报国家新闻出版广电总局审批。”。依据《网络出版服务管理规定》第五十一条“未经批准，擅自从事网络出版服务，或者擅自上网出版网络游戏（含境外著作权人授权的网络游戏）
处罚根据：《出版管理条例》第六十一条、《互联网信息服务管理办法》第十九条之规定
处罚依据：对你单位处没收违法所得2606.11元，罚款人民币10000元整。
|违法事实：你公司于2022年5月17日存在未经批准，擅自上网出版网络游戏的违法行为。
处罚依据：《出版管理条例》第六十一条、《互联网信息服务管理办法》第十九条之规定
处罚决定：对你单位处没收违法所得1784.26元，处罚款人民币5000元整。",未取得经营许可证，擅自从事经营性互联网信息服务，或者超出许可的项目提供服务,没收违法所得|罚款|责令关闭,"违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款，违法经营额不足1万元的，可以处5万元以下的罚款
|处违法所得3倍以上5倍以下的罚款；没有违法所得或者违法所得不足5万元的，处10万元以上100万元以下的罚款",暂无,,
出版发行管理问题,无证经营,未办理《出版物经营许可证》，擅自销售出版物,《出版管理条例》第六十一条,【未经批准，擅自设立出版物的出版、印刷或者复制、进口单位，或者擅自从事出版物的出版、印刷或者复制、进口、发行业务，假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物的】，由出版行政主管部门、工商行政管理部门依照法定职权予以取缔；依照刑法关于非法经营罪的规定，依法追究刑事责任；尚不够刑事处罚的，没收出版物、违法所得和从事违法活动的专用工具、设备，违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款，违法经营额不足1万元的，可以处5万元以下的罚款；侵犯他人合法权益的，依法承担民事责任。,"违法事实：你单位正在从事出版物发行业务，在未取得《出版物经营许可证》的情况下，擅自在其场所售卖出版物《爆笑校园》《大话降龙》《斗罗大陆》合计32册，被执法人员现场检查时当场查获。该公司无相关供货清单，当事人承诺没有售出过任何出版物。无违法所得，无从事违法活动的专用工具、设备。经营者华某表示，这32册出版物是从某某平台上购买的，由于对法律法规不熟悉不重视，就拿到场所零售，导致了这次违法行为的发生。 你场所上述行为违反了国务院《出版管理条例》第三十五条第二款：“单位和个体工商户从事出版物零售业务的，须经县级人民政府出版行政主管部门审核许可，取得《出版物经营许可证》。”之规定，扰乱了出版物经营市场的正常秩序。你（场所）法律意识淡薄，在未办理《出版物经营许可证》的情况下，擅自从事出版物的零售经营活动，扰乱当地出版物经营活动的管理秩序。你（单位）的上述行为违反了《出版管理条例》第三十五条第二款“单位和个体工商户从事出版物零售业务的，须经县级人民政府出版行政主管部门审核许可，取得《出版物经营许可证》。”
处罚依据：《出版管理条例》第六十一条之规定
处罚决定： 对你单位处没收共计32册出版物； 处罚款人民币1000元整。",未经批准，擅自设立出版物的出版、印刷或者复制、进口单位，或者擅自从事出版物的出版、印刷或者复制、进口、发行业务，假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物,取缔违法经营|没收违法所得|罚款|追究刑事责任,违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款，违法经营额不足1万元的，可以处5万元以下的罚款,【非法经营罪】,《中华人民共和国刑法》第二百二十五条,"违反国家规定，有下列非法经营行为之一，扰乱市场秩序，情节严重的，处五年以下有期徒刑或者拘役，并处或者单处违法所得一倍以上五倍以下罚金；情节特别严重的，处五年以上有期徒刑，并处违法所得一倍以上五倍以下罚金或者没收财产：
（一）【未经许可经营法律、行政法规规定的专营、专卖物品或者其他限制买卖的物品的】；
（二）买卖进出口许可证、进出口原产地证明以及其他法律、行政法规规定的经营许可证或者批准文件的；
（三）未经国家有关主管部门批准非法经营证券、期货、保险业务的，或者非法从事资金支付结算业务的；
（四）其他严重扰乱市场秩序的非法经营行为。"
出版发行管理问题,发行非法出版物,发行非法出版物,《出版管理条例》第六十五条|《出版物市场管理规定》第三十二条第三款,"发行违禁出版物的，依照《出版管理条例》第六十二条处罚。
发行国家新闻出版广电总局禁止进口的出版物，或者发行未从依法批准的出版物进口经营单位进货的进口出版物，依照《出版管理条例》第六十三条处罚。
【发行其他非法出版物和出版行政主管部门明令禁止出版、印刷或者复制、发行的出版物的，依照《出版管理条例》第六十五条处罚。】
发行违禁出版物或者非法出版物的，当事人对其来源作出说明、指认，经查证属实的，没收出版物和非法所得，可以减轻或免除其他行政处罚。
|有下列行为之一的，由出版行政主管部门没收出版物、违法所得，违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款；违法经营额不足1万元的，可以处5万元以下的罚款；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）出版单位委托未取得出版物印刷或者复制许可的单位印刷或者复制出版物的；
（二）印刷或者复制单位未取得印刷或者复制许可而印刷或者复制出版物的；
（三）印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物的；
（四）印刷或者复制单位未履行法定手续印刷或者复制境外出版物的，印刷或者复制的境外出版物没有全部运输出境的；
（五）印刷或者复制单位、发行单位或者个体工商户印刷或者复制、发行未署出版单位名称的出版物的；
（六）【印刷或者复制单位、发行单位或者个体工商户印刷或者复制、发行伪造、假冒出版单位名称或者报纸、期刊名称的出版物的；】
（七）出版、印刷、发行单位出版、印刷、发行未经依法审定的中学小学教科书，或者非依照本条例规定确定的单位从事中学小学教科书的出版、发行业务的。","违法事实：当事人发行非法出版物的违法行为，违反了原国家新闻出版广电总局、商务部令第10号《出版物市场管理规定》第二十条“任何单位和个人不得发行下列出版物”第（二）项“各种非法出版物，包括：未经批准擅自出版、印刷或者复制的出版物，伪造、假冒出版单位或者报刊名称出版的出版物，非法进口的出版物；”的有关规定
处罚依据：《出版物市场管理规定》第三十二条第三款，《出版管理条例》第六十五条之规定
处罚决定：对你单位处没收非法出版物33本，并处罚款人民币3000元。 
|违法事实：当事人发行非法出版物的违法行为，违反了原国家新闻出版广电总局、商务部令第10号《出版物市场管理规定》第二十条“任何单位和个人不得发行下列出版物”第（二）项“各种非法出版物，包括：未经批准擅自出版、印刷或者复制的出版物，伪造、假冒出版单位或者报刊名称出版的出版物，非法进口的出版物；”的有关规定
处罚依据：《出版物市场管理规定》第三十二条第三款，《出版管理条例》第六十五条之规定
处罚决定：对你单位处没收非法出版物5本，并处罚款人民币2000元。",发行其他非法出版物和出版行政主管部门明令禁止出版、印刷或者复制、发行的出版物,没收违法所得|罚款|责令停业整顿|吊销许可证,违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款；违法经营额不足1万元的，可以处5万元以下的罚款,暂无,,
出版发行管理问题,无证经营教材,擅自从事中学小学教科书出版/发行业务,《出版管理条例》第六十五条第（七）项,"有下列行为之一的，由出版行政主管部门没收出版物、违法所得，违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款；违法经营额不足1万元的，可以处5万元以下的罚款；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）出版单位委托未取得出版物印刷或者复制许可的单位印刷或者复制出版物的；
（二）印刷或者复制单位未取得印刷或者复制许可而印刷或者复制出版物的；
（三）印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物的；
（四）印刷或者复制单位未履行法定手续印刷或者复制境外出版物的，印刷或者复制的境外出版物没有全部运输出境的；
（五）印刷或者复制单位、发行单位或者个体工商户印刷或者复制、发行未署出版单位名称的出版物的；
（六）印刷或者复制单位、发行单位或者个体工商户印刷或者复制、发行伪造、假冒出版单位名称或者报纸、期刊名称的出版物的；
（七）【出版、印刷、发行单位出版、印刷、发行未经依法审定的中学小学教科书，或者非依照本条例规定确定的单位从事中学小学教科书的出版、发行业务的】。","违法事实：你单位有《营业执照》和《出版物经营许可证》，经营范围是书报刊零售（含网络）。该场所正在营业，书架上摆放了《数学》（二年级上册）、《科学》（七年级上册）等中小学教科书，经询问，现场负责人表示其书店无中学小学教科书发行资质。该场所涉嫌擅自从事中学小学教科书发行业务，涉嫌违反了《出版管理条例》第三十条的规定，干扰了文化市场秩序。执法人员对现场发现的215本中学小学教科书采取扣押措施，并对现场全过程录像。你单位擅自从事中学小学教科书发行业务，违反了《出版管理条例》第三十条“中学小学教科书由国务院教育行政主管部门审定；其出版、发行单位应当具有适应教科书出版、发行业务需要的资金、组织机构和人员等条件，并取得国务院出版行政主管部门批准的教科书出版、发行资质。纳入政府采购范围的中学小学教科书，其发行单位按照《中华人民共和国政府采购法》的有关规定确定。其他任何单位或者个人不得从事中学小学教科书的出版、发行业务。”的规定。因其未曾发生过相同违法行为，符合《杭州市规范行政处罚自由裁量权的规定》九“有下列情形之一的，行政处罚实施机关应当依法从轻处罚：……（三）未曾发生过相同违法行为的…”规定的情形，认定当事人具有从轻处罚情节。
处罚依据：《出版管理条例》第六十五条第（七）项之规定
处罚决定：对你单位处没收出版物215本。
|违法事实：你公司批销单所列的小学英语教科书，经现场联系你公司法定代表人刘某某，其承认去年曾向某图书有限公司销售过小学英语教科书三年级至六年级系列图书。你公司无教科书经营资质，其行为涉嫌违反了《出版管理条例》第三十条之规定，扰乱了出版物正常经营秩序。你公司无销售小学教科书的经营资质,从事小学教科书的发行业务，销售给某有限公司小学英语教科书共计275本，违法经营额人民币1178.5元，违法所得人民币88.5元。其行为违反了国务院第343号《出版管理条例》第三十条“中学小学教科书由国务院教育行政主管部门审定;其出版、发行单位应当具有适应教科书出版、发行业务需要的资金、组织机构和人员等条件，并取得国务院出版行政主管部门批准的教科书出版、发行资质。纳入政府采购范围的中学小学教科书，其发行单位按照《中华人民共和国政府采购法》的有关规定确定。其他任何单位或者个人不得从事中学小学教科书的出版、发行业务。”之规定
处罚依据：《出版管理条例》第六十五条第（七）项之规定
处罚决定：对你单位处没收违法所得88.5元，并处罚款人民币5000元。",出版、印刷、发行单位出版、印刷、发行未经依法审定的中学小学教科书，或者非依规确定的单位从事中学小学教科书的出版、发行业务,没收违法所得|罚款|吊销许可证,违法经营额1万元以上的，并处违法经营额5倍以上10倍以下的罚款；违法经营额不足1万元的，可以处5万元以下的罚款,暂无,,
出版发行管理问题,未审批登记,出版单位相关事项发生变更，未办理审批登记手续,《出版管理条例》第六十七条第（一）项,"有下列行为之一的，由出版行政主管部门责令改正，给予警告；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）【出版单位变更名称、主办单位或者其主管机关、业务范围，合并或者分立，出版新的报纸、期刊，或者报纸、期刊改变名称，以及出版单位变更其他事项，未依照本条例的规定到出版行政主管部门办理审批、变更登记手续的】；
（二）出版单位未将其年度出版计划和涉及国家安全、社会安定等方面的重大选题备案的；
（三）出版单位未依照本条例的规定送交出版物的样本的；
（四）印刷或者复制单位未依照本条例的规定留存备查的材料的；
（五）出版进口经营单位未将其进口的出版物目录报送备案的；
（六）出版单位擅自中止出版活动超过180日的；
（七）出版物发行单位、出版物进口经营单位未依照本条例的规定办理变更审批手续的；
（八）出版物质量不符合有关规定和标准的。",暂无,出版单位变更名称、主办单位或者其主管机关、业务范围，合并或者分立，出版新的报纸、期刊，或者报纸、期刊改变名称，以及出版单位变更其他事项，未按规定到出版行政主管部门办理审批、变更登记手续,责令改正|警告|责令停业整顿|吊销许可证,暂无,暂无,,
出版发行管理问题,计划选题未备案,出版单位未备案年度出版计划/重大选题等,《出版管理条例》第六十七条第（二）项,"有下列行为之一的，由出版行政主管部门责令改正，给予警告；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）出版单位变更名称、主办单位或者其主管机关、业务范围，合并或者分立，出版新的报纸、期刊，或者报纸、期刊改变名称，以及出版单位变更其他事项，未依照本条例的规定到出版行政主管部门办理审批、变更登记手续的；
（二）【出版单位未将其年度出版计划和涉及国家安全、社会安定等方面的重大选题备案的】；
（三）出版单位未依照本条例的规定送交出版物的样本的；
（四）印刷或者复制单位未依照本条例的规定留存备查的材料的；
（五）出版进口经营单位未将其进口的出版物目录报送备案的；
（六）出版单位擅自中止出版活动超过180日的；
（七）出版物发行单位、出版物进口经营单位未依照本条例的规定办理变更审批手续的；
（八）出版物质量不符合有关规定和标准的。",暂无,出版单位未将其年度出版计划和涉及国家安全、社会安定等方面的重大选题备案,责令改正|警告|责令停业整顿|吊销许可证,暂无,暂无,,
出版发行管理问题,未送交样本,出版单位未按规定送交出版物样本,《出版管理条例》第六十七条第（三）项,"有下列行为之一的，由出版行政主管部门责令改正，给予警告；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）出版单位变更名称、主办单位或者其主管机关、业务范围，合并或者分立，出版新的报纸、期刊，或者报纸、期刊改变名称，以及出版单位变更其他事项，未依照本条例的规定到出版行政主管部门办理审批、变更登记手续的；
（二）出版单位未将其年度出版计划和涉及国家安全、社会安定等方面的重大选题备案的；
（三）【出版单位未依照本条例的规定送交出版物的样本的】；
（四）印刷或者复制单位未依照本条例的规定留存备查的材料的；
（五）出版进口经营单位未将其进口的出版物目录报送备案的；
（六）出版单位擅自中止出版活动超过180日的；
（七）出版物发行单位、出版物进口经营单位未依照本条例的规定办理变更审批手续的；
（八）出版物质量不符合有关规定和标准的。",暂无,出版单位未按规定送交出版物的样本,责令改正|警告|责令停业整顿|吊销许可证,暂无,暂无,,
出版发行管理问题,进口出版物目录未备案,出版进口经营单位未将其进口的出版物目录报送备案,《出版管理条例》第六十七条第（五）项,"有下列行为之一的，由出版行政主管部门责令改正，给予警告；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）出版单位变更名称、主办单位或者其主管机关、业务范围，合并或者分立，出版新的报纸、期刊，或者报纸、期刊改变名称，以及出版单位变更其他事项，未依照本条例的规定到出版行政主管部门办理审批、变更登记手续的；
（二）出版单位未将其年度出版计划和涉及国家安全、社会安定等方面的重大选题备案的；
（三）出版单位未依照本条例的规定送交出版物的样本的；
（四）印刷或者复制单位未依照本条例的规定留存备查的材料的；
（五）【出版进口经营单位未将其进口的出版物目录报送备案的】；
（六）出版单位擅自中止出版活动超过180日的；
（七）出版物发行单位、出版物进口经营单位未依照本条例的规定办理变更审批手续的；
（八）出版物质量不符合有关规定和标准的。",暂无,出版进口经营单位未将其进口的出版物目录报送备案,责令改正|警告|责令停业整顿|吊销许可证,暂无,暂无,,
出版发行管理问题,擅自中止出版,出版单位擅自中止出版活动超过180日,《出版管理条例》第六十七条第（六）项,"有下列行为之一的，由出版行政主管部门责令改正，给予警告；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）出版单位变更名称、主办单位或者其主管机关、业务范围，合并或者分立，出版新的报纸、期刊，或者报纸、期刊改变名称，以及出版单位变更其他事项，未依照本条例的规定到出版行政主管部门办理审批、变更登记手续的；
（二）出版单位未将其年度出版计划和涉及国家安全、社会安定等方面的重大选题备案的；
（三）出版单位未依照本条例的规定送交出版物的样本的；
（四）印刷或者复制单位未依照本条例的规定留存备查的材料的；
（五）出版进口经营单位未将其进口的出版物目录报送备案的；
（六）【出版单位擅自中止出版活动超过180日的】；
（七）出版物发行单位、出版物进口经营单位未依照本条例的规定办理变更审批手续的；
（八）出版物质量不符合有关规定和标准的。",暂无,出版单位擅自中止出版活动超过180日,责令改正|警告|责令停业整顿|吊销许可证,暂无,暂无,,
出版发行管理问题,变更未审批,出版物发行单位未依照规定办理变更审批手续,《出版管理条例》第六十七条第（七）项,"有下列行为之一的，由出版行政主管部门责令改正，给予警告；情节严重的，责令限期停业整顿或者由原发证机关吊销许可证：
（一）出版单位变更名称、主办单位或者其主管机关、业务范围，合并或者分立，出版新的报纸、期刊，或者报纸、期刊改变名称，以及出版单位变更其他事项，未依照本条例的规定到出版行政主管部门办理审批、变更登记手续的；
（二）出版单位未将其年度出版计划和涉及国家安全、社会安定等方面的重大选题备案的；
（三）出版单位未依照本条例的规定送交出版物的样本的；
（四）印刷或者复制单位未依照本条例的规定留存备查的材料的；
（五）出版进口经营单位未将其进口的出版物目录报送备案的；
（六）出版单位擅自中止出版活动超过180日的；
（七）【出版物发行单位、出版物进口经营单位未依照本条例的规定办理变更审批手续的】；
（八）出版物质量不符合有关规定和标准的。","违法事实：你公司变更经营地址未依照规定办理变更审批手续的行为违反了《出版管理条例》第三十七条第一款“从事出版物发行业务的单位和个体工商户变更《出版物经营许可证》登记事项，或者兼并、合并、分立的，应当依照本条例第三十五条的规定办理审批手续，并持批准文件到工商行政管理部门办理相应的登记手续。”的规定。因其未曾发生过相同违法行为，符合《杭州市规范行政处罚自由裁量权的规定》“九、有下列情形之一的，行政处罚实施机关应当依法从轻处罚：……（三）未曾发生过相同违法行为……”规定的从轻处罚情形。
处罚依据：《出版管理条例》第六十七条第（七）项之规定
处罚决定：对你单位处警告",出版物发行单位、出版物进口经营单位未依规办理变更审批手续,责令改正|警告|责令停业整顿|吊销许可证,暂无,暂无,,
