案由名称,描述模板,
宅基地使用权,x年x月x日，是/不是该村村民，通过x方式取得宅基地使用权（如:本村分配、继承、交换等），在此过程中x存在x行为影响到该宅基地的使用。（请具体描述过程及结果，如影响正常居住等）,
网络侵权,x年x月x日，x通过网络进行了x行为（请具体侵权行为，如发布贬损言论、散布负面帖文等），对x造成了x损害后果。（请具体描述结果，如造成商誉降低等）,
劳务人员受害,x年x月x日，在x处工作，双方签订/未签订劳务协议，x在工作劳动/非工作劳动过程中受到x损害。（请具体描述过程及结果，如造成轻伤、住院、财产损失、劳务有偿还是无偿等）,
劳务人员致害,x年x月x日，在x处工作，双方签订/未签订劳务协议，x在工作劳动/非工作劳动过程中造成x损害。（请具体描述过程及结果，如造成轻伤、住院、财产损失等）,
用人单位责任,x年x月x日，签订/未签订劳动合同，劳动者在执行职务/非执行职务的过程中，存在x行为（请具体描述过程，如砸伤第三人等），对受害人造成x损害后果（请具体描述结果，如导致第三人死亡、骨折等）,
社保纠纷,x年x月x日，到x处工作，双方签订/未签订劳动合同，约定工资x元，用人单位存在/不存在未办理或未足额缴纳保险费等行为。,
工伤赔偿,x年x月x日，到x公司工作，双方签订/未签订劳动合同，约定工资x元，工作期间因为x原因受伤（请具体描述），申请/未申请工伤鉴定及伤残等级鉴定（若已鉴定请告知鉴定结果），用人单位已经/未足额缴纳工伤保险费。,
劳动纠纷,x年x月x日，到x处工作，双方签订/未签订劳动合同，约定工资x元，工作期间，每天工作超过/不超过8小时，每周超过/不超过40小时。劳动者因x原因（请具体描述）已经/尚未离职（自愿解除劳动关系/遭辞退）。,
劳务纠纷,x年x月x日，在x处工作，双方签订/未签订劳务协议，约定工资x元，拖欠/未拖欠工资或存在其他违约情形（请具体描述违约行为及后果）。,
著作权纠纷,x作品由x创造（是否存在特殊情形，如职务行为、合作作品、委托作品等），x经过/未经许可使用作品（请具体描述，如为了个人学习/商业目的使用）。著作权人权利受到侵害的具体表现及结果（请具体描述）。,
专利权纠纷,x专利由x发明创造，（是否存在特殊情形，如职务发明、委托发明、合作发明等），x经过/未经权利人许可合理使用（请具体描述用途，如以生产经营为目的/为科学研究和实验目的）。专利权人权利受到侵害的具体表现及结果（请具体描述）。,
商标权纠纷,x商标由x申请注册/已注册/未注册（请具体描述商标注册状态），x存在x侵权行为（请具体描述，如未经商标注册人许可使用注册商标/伪造、擅自制造他人注册商标/替换商标/将和注册商标相同相近似文字用于企业名称或者网站域名/抢注商标等），造成了x后果（请具体描述）。,
不正当竞争,x存在不正当竞争行为（请具体描述具体行为，如以盗窃、贿赂手段获取商业秘密/虚假宣传/商业诋毁/商业贿赂/非法有奖销售/网络不正当竞争/侵犯商业秘密等），造成了x后果（请具体描述过程及结果，如损害竞争对手商誉，扰乱市场竞争秩序等）。,
婚姻家庭,男女双方自愿/不自愿（不自愿的原因）登记结婚，婚后育有x子/女，现 x岁， 因xx原因离婚。婚姻/同居期间，有存款x元、房屋x处、车子x辆、债务x元（债务用途请具体描述）。双方是否对子女、财产、债务等达成协议或已有法院判决，调解以及判决、调解的内容，双方对协议或判决、调解的履行情况。,
继承纠纷,x留有x遗产，有/没有遗嘱（遗嘱的形式），或x拥有继承权（如:配偶、父母、子女关系），继承人尽/未尽到赡养义务（如未尽到赡养义务，请具体描述），被继承人生前有债务未清偿或欠x元（债务是否合法有效）。,
子女抚养,子女目前x周岁，x有/没有收入，有/没有劳动能力，收入能/不能维持生活，是否在校接受高中及其以下学历教育，父母是否尽到支付抚养费义务，或者支付的抚养费是否能够维持子女生活。,
老人赡养,老人x是否有劳动能力以及收入，子女因x原因未支付赡养费，或者子女之间要求如何分担赡养费。,
返还彩礼,双方办理/未办理结婚登记手续，共同/未共同生活，彩礼的支付是否导致给付人生活困难（请具体描述情形）。,
财产分割,财产是/不是婚姻关系存续期间夫妻的共同财产，是否属于婚前父母明确表示赠与双方，存在/不存在财产分割协议，一方负担/没有负担较多义务，离婚时一方生活困难/不困难，一方有/没有隐藏、转移、变卖、毁损、挥霍夫妻共同财产的行为（请具体描述情形）。,
同居问题,双方未办理结婚登记，共同生活，x在同居期间给付了彩礼，双方是否育有子女，孩子目前n周岁，男/女方是否有抚养能力（请具体描述情形）。,
民间借贷,双方自愿/不自愿签订/未签订《借款协议》/欠条/收据等，通过转账/现金方式支付/未支付借款，钱款用于x用途，借款人到期未足额偿还或者支付本金/利息/逾期利息，存在/不存在第三人为担保人，约定/未约定借款年利息、借款期限、逾期利息年利率等，在借贷过程中，x存在x行为导致x后果。（请具体描述）,
金融借贷,x年x月x日，双方自愿/不自愿签订《金融借贷》合同，对本金偿还期限有约定/没有约定/约定不明确，是否经催告且经过合理期限借款人仍未还本付息，是否存在借款人未按约定用途使用借款，或者借款人提前还款，或者借款人死亡，或者借款人离婚等。（请具体描述）,
合伙纠纷,x年x月x日，签订/未签订合伙协议，x全面履行出资义务/存在x违约行为，合伙期间债权债务情况（请具体描述自合伙开始至结束具体情形）。,
买卖合同,双方自愿/不自愿签订/未签订《买卖合同》/其他协议，约定x内容，x存在x违约行为（如:逾期付款、不办理变更手续、未按期发货等），造成x后果（请具体描述违约行为及后果）。,
