id,type,name,son_factor,group_id,question,answer,factor_answer,multiple_choice
1,factor,有交通事故责任认定书,,0,是否有交通事故责任认定书？,是|否,是,0
2,factor,没有交通事故责任认定书,,0,是否有交通事故责任认定书？,是|否,否,0
3,factor,您方有责任,,1,您方是否有责任？,是|否,是,0
4,factor,您方无责任,,1,您方是否有责任？,是|否,否,0
5,factor,您方为机动车,,2,您方是机动车还是非机动车或行人？,机动车|非机动车或行人,机动车,0
6,factor,您方为非机动车或行人,,2,您方是机动车还是非机动车或行人？,机动车|非机动车或行人,非机动车或行人,0
7,factor,对方为机动车,,3,对方是机动车还是非机动车或行人？,机动车|非机动车或行人,机动车,0
8,factor,对方为非机动车或行人,,3,对方是机动车还是非机动车或行人？,机动车|非机动车或行人,非机动车或行人,0
9,factor,您方存在违章行为,,4,您方是否存在以下情形？,闯红灯|违规超车、会车和使用灯光|未按规定让行|逆向行驶|超速超载|无证驾驶|违反禁令标志、禁止标线指示|酒驾|疲劳驾驶|其它违法违规的驾驶行为|以上都没有,闯红灯|违规超车、会车和使用灯光|未按规定让行|逆向行驶|超速超载|无证驾驶|违反禁令标志、禁止标线指示|酒驾|疲劳驾驶|其它违法违规的驾驶行为,0
10,factor,您方不存在违章行为,,4,您方是否存在以下情形？,闯红灯|违规超车、会车和使用灯光|未按规定让行|逆向行驶|超速超载|无证驾驶|违反禁令标志、禁止标线指示|酒驾|疲劳驾驶|其它违法违规的驾驶行为|以上都没有,以上都没有,0
