文档名,文本内容,schema,审核意见,审核结果
fwzl1,租赁房屋座落在八大村自建房附房，建筑⾯积30平⽅⽶，租房⽤途为住宅之⽤。,房屋基本信息,,通过
fwzl1,乙方应在本合同签署之日支付整年租金，下年租金于每年12月31日之前支付。,支付周期,支付周期不合理，建议核实或修改。支付周期过长增加了租赁双方的交易风险。
fwzl1,押⾦5000整,押金,租赁合同通常约定承租人支付相当于1-3个月租金的押金给出租人，押金的数额建议控制在合同总金额的20%以内。
fwzl1,房屋租赁合同期满或因承租⼈违约本合同第九条时，承租⼈应在三⼗天内将租房⽆条件归还出租⼈，超过三⼗天后，出租⼈有权将租房室内⼀切财物作⽆主处理,租赁物返还,不合理地免除或者减轻出租房责任、加重承租方责任、限制承租方主要权利，可能涉及格式条款无效。
fwzl1,每逾期⼀⽇，则承租⼈须按⽇租⾦的三倍⽀付滞纳⾦。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
fwzl2,租赁期共70年，以租代售，出租方从2021年1月1日起将出租房屋交付承租方使用，至2071年1月1日收回。,租赁期限,租赁期限过长，建议修改。租赁期限不得超过二十年，超过二十年的部分无效。
fwzl2,出租人通知承租人解除合同后，承租人应立即搬离，如未在一天内搬离，视为放弃房屋内所有财务所有权。,租赁物返还,合同解除后，腾退时间不合理，加重承租人的租房风险。
fwzl2,房屋坐落：山东省娜市朝阳梧州路E座755003号，面积20平方你，1间，质量符合居住要求。,房屋基本信息,"该约定为无效条款，无效合同自始无效,
房屋权属条款缺失或约定不明确，建议补充完整。建议在房屋租赁合同中写明房屋的所有人或合法使用人，并提供房屋所有权证书或其他能够证明权利人可对外出租该房屋的合法性文件。",通过
fwzl2,本合同范本在履行中如发生争议，双方应协商解决∶协商不成时，任何一方均可向工商局经济合同仲裁委员会申请调解或仲裁，也可以向承租人住所地人民法院,争议解决,"争议解决管辖法院校验错误，建议核实或修改。
争议解决条款缺失或约定不明确，建议补充完整。
如发生争议，双方应友好协商解决。房屋租赁合同纠纷为专属管辖，即应由不动产所在地的法院管辖。"
fwzl3,根据《中华人民共和国合同法》及有关规定，为明确甲、⼄双⽅的权利义务关系，经双⽅协商⼀致，签订本合同。,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
fwzl3,甲⽅将⾃有的坐落在北京市东市滨城六安街L座307451号的合法房屋1栋3间，建筑⾯积100平⽅⽶、使⽤⾯积100平⽅⽶，类型民用住宅，结构等级A，完损等级F，主要装修设备，出租给⼄⽅作开设超市使⽤。,租赁用途,房屋属性与租赁用途不符，建议核实或修改。租赁房屋性质将影响合同目的能否实现。
fwzl3,甲⼄双⽅议定⽉租⾦5000元，租金共120000元（大写拾贰万元整）由⼄⽅在2020年1⽉1⽇一次性全部交纳给甲⽅。,支付周期,支付周期不合理，建议核实或修改。租金支付为一次性支付全部租金，增加了承租方的租赁风险。
fwzl3,乙方应按时支付租金，如乙方未按时支付租金，每逾期一天应支付甲方按未支付租金的1%计算的违约金。,违约责任,约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。
fwzl4,依据《中华人民共和国合同法》及有关法律、法规的规定，甲乙双方在平等、自愿的基础上，就房屋坐落地址为:杨市萧山济南路F座599952号房屋租赁的有关事宜达成协议如下:,鉴于条款,"法条引用错误，《民法典》第一千二百六十条 本法自2021年1月1日起施行。《中华人民共和国婚姻法》、《中华人民共和国继承法》、《中华人民共和国民法通则》、《中华人民共和国收养法》、《中华人民共和国担保法》、《中华人民共和国合同法》、《中华人民共和国物权法》、《中华人民共和国侵权责任法》、《中华人民共和国民法总则》同时废止。"
fwzl4,乙方承租房屋用于开设赌场。,租赁用途,租赁用途违法，建议核实或修改。房东在享受房屋出租权益的同时，必须履行相关的管理责任，杜绝承租人利用出租屋从事违法犯罪行为。
fwzl4,租金标准及支付方式:年付,支付周期,支付周期不合理，建议核实或修改。支付周期过长增加了租赁双方的交易风险。
